Date,Team 1,Team 2,FT,HT
2013-07-19,Ingolstadt,Erzgebirge Aue,1-2,0-1
2013-07-19,Sandhausen,Aalen,0-0,0-0
2013-07-19,St Pauli,Munich 1860,1-0,0-0
2013-07-20,Dresden,FC Koln,1-1,0-0
2013-07-20,Paderborn,Kaiserslautern,0-1,0-0
2013-07-21,Frankfurt FSV,Karlsruhe,0-1,0-0
2013-07-21,Greuther Furth,Bielefeld,2-0,2-0
2013-07-21,Union Berlin,Bochum,1-2,0-0
2013-07-22,Fortuna Dusseldorf,Cottbus,1-0,0-0
2013-07-26,Aalen,Greuther Furth,0-2,0-1
2013-07-26,Bielefeld,Union Berlin,1-1,0-1
2013-07-26,Kaiserslautern,Ingolstadt,3-1,1-0
2013-07-27,Erzgebirge Aue,Sandhausen,1-0,0-0
2013-07-27,Karlsruhe,St Pauli,0-0,0-0
2013-07-28,Cottbus,Paderborn,4-0,4-0
2013-07-28,FC Koln,Fortuna Dusseldorf,1-1,0-1
2013-07-28,Munich 1860,Frankfurt FSV,2-1,0-0
2013-07-29,Bochum,Dresden,1-1,1-0
2013-08-09,Dresden,Union Berlin,1-3,0-3
2013-08-09,Fortuna Dusseldorf,Munich 1860,1-2,1-1
2013-08-09,Frankfurt FSV,Bochum,1-0,1-0
2013-08-10,Ingolstadt,Karlsruhe,0-2,0-0
2013-08-10,Paderborn,FC Koln,1-1,1-0
2013-08-11,Erzgebirge Aue,Aalen,0-1,0-1
2013-08-11,Sandhausen,Cottbus,2-2,2-1
2013-08-11,St Pauli,Bielefeld,0-1,0-0
2013-08-12,Greuther Furth,Kaiserslautern,2-1,1-1
2013-08-16,Bielefeld,Paderborn,3-3,0-1
2013-08-16,Bochum,St Pauli,2-2,1-2
2013-08-16,Karlsruhe,Greuther Furth,1-2,1-0
2013-08-17,FC Koln,Sandhausen,2-0,0-0
2013-08-17,Kaiserslautern,Erzgebirge Aue,2-1,1-0
2013-08-18,Cottbus,Aalen,5-1,3-1
2013-08-18,Dresden,Frankfurt FSV,0-3,0-1
2013-08-18,Munich 1860,Ingolstadt,1-0,0-0
2013-08-19,Union Berlin,Fortuna Dusseldorf,2-1,1-0
2013-08-23,Erzgebirge Aue,Cottbus,2-1,0-1
2013-08-23,Ingolstadt,Bielefeld,3-2,1-1
2013-08-23,Sandhausen,Karlsruhe,1-1,0-0
2013-08-24,Aalen,Kaiserslautern,4-0,1-0
2013-08-24,Greuther Furth,FC Koln,0-0,0-0
2013-08-25,Fortuna Dusseldorf,Bochum,1-0,1-0
2013-08-25,Frankfurt FSV,Union Berlin,1-1,1-0
2013-08-25,Paderborn,Munich 1860,1-0,0-0
2013-08-26,St Pauli,Dresden,2-1,0-0
2013-08-30,Bielefeld,Fortuna Dusseldorf,4-2,1-2
2013-08-30,Frankfurt FSV,Greuther Furth,1-1,1-0
2013-08-30,Munich 1860,Sandhausen,0-2,0-2
2013-08-31,Bochum,Paderborn,4-2,0-2
2013-08-31,Union Berlin,St Pauli,3-2,1-2
2013-09-01,Dresden,Ingolstadt,1-1,1-1
2013-09-01,FC Koln,Erzgebirge Aue,4-1,3-1
2013-09-01,Karlsruhe,Aalen,1-1,1-1
2013-09-02,Kaiserslautern,Cottbus,2-2,1-2
2013-09-13,Aalen,Munich 1860,0-0,0-0
2013-09-13,Erzgebirge Aue,Bielefeld,0-2,0-0
2013-09-13,Paderborn,Karlsruhe,1-0,0-0
