Round,Date,Time,Team 1,Team 2,FT,HT
1,1974-08-24,15:30,FC Schalke 04,1. FC Kaiserslautern,2-1,1-1
1,1974-08-24,15:30,Wuppertaler SV,MSV Duisburg,1-4,1-2
1,1974-08-24,15:30,1. FC Köln,Rot-Weiss Essen,0-1,0-1
1,1974-08-24,15:30,Bor. Mönchengladbach,Hamburger SV,1-3,0-1
1,1974-08-24,15:30,Kickers Offenbach,Bayern München,6-0,2-0
1,1974-08-24,15:30,Werder Bremen,Eintracht Frankfurt,0-3,0-2
1,1974-08-24,15:30,Hertha BSC,Fortuna Duesseldorf,3-3,1-2
1,1974-08-24,15:30,Eintracht Braunschweig,TeBe Berlin,5-0,3-0
1,1974-08-24,15:30,VfB Stuttgart,VfL Bochum,1-0,0-0
2,1974-08-30,20:00,Hamburger SV,Kickers Offenbach,1-0,0-0
2,1974-08-30,20:00,1. FC Kaiserslautern,Eintracht Braunschweig,2-0,0-0
2,1974-08-30,20:00,Fortuna Duesseldorf,VfB Stuttgart,4-0,1-0
2,1974-08-31,15:30,Rot-Weiss Essen,Wuppertaler SV,2-0,0-0
2,1974-08-31,15:30,TeBe Berlin,Werder Bremen,4-0,2-0
2,1974-08-31,15:30,Eintracht Frankfurt,Bor. Mönchengladbach,1-1,1-0
2,1974-08-31,15:30,VfL Bochum,1. FC Köln,3-2,2-2
2,1974-08-31,15:30,MSV Duisburg,FC Schalke 04,2-0,0-0
2,1974-08-31,15:30,Bayern München,Hertha BSC,2-1,1-0
3,1974-09-10,20:00,Bor. Mönchengladbach,TeBe Berlin,3-1,1-1
3,1974-09-11,20:00,Werder Bremen,1. FC Kaiserslautern,3-1,0-1
3,1974-09-11,20:00,Hertha BSC,Kickers Offenbach,4-1,1-0
3,1974-09-11,20:00,Eintracht Frankfurt,Hamburger SV,1-3,0-2
3,1974-09-11,20:00,VfB Stuttgart,Bayern München,1-2,0-0
3,1974-09-11,20:00,Wuppertaler SV,VfL Bochum,1-1,0-0
3,1974-09-11,20:00,Eintracht Braunschweig,MSV Duisburg,4-1,1-0
3,1974-09-11,20:00,1. FC Köln,Fortuna Duesseldorf,2-2,2-0
3,1974-09-11,20:00,FC Schalke 04,Rot-Weiss Essen,3-0,0-0
4,1974-09-14,15:30,Fortuna Duesseldorf,Wuppertaler SV,2-0,1-0
4,1974-09-14,15:30,Rot-Weiss Essen,Eintracht Braunschweig,1-2,0-1
4,1974-09-14,15:30,Bayern München,1. FC Köln,6-3,2-3
4,1974-09-14,15:30,TeBe Berlin,Eintracht Frankfurt,1-4,1-2
4,1974-09-14,15:30,Hamburger SV,Hertha BSC,1-1,0-1
4,1974-09-14,15:30,MSV Duisburg,Werder Bremen,4-0,2-0
4,1974-09-14,15:30,1. FC Kaiserslautern,Bor. Mönchengladbach,1-3,1-1
4,1974-09-14,15:30,Kickers Offenbach,VfB Stuttgart,3-1,1-0
4,1974-09-14,15:30,VfL Bochum,FC Schalke 04,2-1,1-1
5,1974-09-21,15:30,Wuppertaler SV,Bayern München,3-1,1-0
5,1974-09-21,15:30,Eintracht Frankfurt,1. FC Kaiserslautern,5-1,1-0
5,1974-09-21,15:30,TeBe Berlin,Hamburger SV,0-3,0-1
5,1974-09-21,15:30,VfB Stuttgart,Hertha BSC,1-2,1-1
5,1974-09-21,15:30,1. FC Köln,Kickers Offenbach,0-1,0-0
5,1974-09-21,15:30,Werder Bremen,Rot-Weiss Essen,0-0,0-0
5,1974-09-21,15:30,Eintracht Braunschweig,VfL Bochum,2-0,1-0
5,1974-09-21,15:30,FC Schalke 04,Fortuna Duesseldorf,3-0,2-0
5,1974-09-21,15:30,Bor. Mönchengladbach,MSV Duisburg,4-1,1-0
6,1974-09-27,20:00,Kickers Offenbach,Wuppertaler SV,3-1,1-0
6,1974-09-27,20:00,1. FC Kaiserslautern,TeBe Berlin,4-0,1-0
6,1974-09-28,15:30,Rot-Weiss Essen,Bor. Mönchengladbach,1-3,1-1
6,1974-09-28,15:30,Hertha BSC,1. FC Köln,1-1,1-0
6,1974-09-28,15:30,MSV Duisburg,Eintracht Frankfurt,1-3,0-1
6,1974-09-28,15:30,Fortuna Duesseldorf,Eintracht Braunschweig,2-2,1-0
6,1974-09-28,15:30,VfL Bochum,Werder Bremen,3-1,1-0
6,1974-09-28,15:30,Hamburger SV,VfB Stuttgart,1-0,0-0
6,1974-09-28,15:30,Bayern München,FC Schalke 04,0-2,0-0
7,1974-10-04,20:00,Werder Bremen,Fortuna Duesseldorf,0-0,0-0
7,1974-10-05,15:30,Bor. Mönchengladbach,VfL Bochum,3-0,2-0
7,1974-10-05,15:30,Eintracht Braunschweig,Bayern München,3-1,2-0
7,1974-10-05,15:30,FC Schalke 04,Kickers Offenbach,2-0,2-0
7,1974-10-05,15:30,Eintracht Frankfurt,Rot-Weiss Essen,9-1,4-1
