Round,Date,Time,Team 1,Team 2,FT,HT
1,1980-08-15,20:00,Bayer Leverkusen,1. FC Kaiserslautern,0-1,0-1
1,1980-08-15,20:00,Borussia Dortmund,Bayer 05 Uerdingen,2-1,2-0
1,1980-08-16,15:30,TSV 1860 München,VfL Bochum,2-2,0-0
1,1980-08-16,15:30,Hamburger SV,MSV Duisburg,0-0,0-0
1,1980-08-16,15:30,VfB Stuttgart,1. FC Nürnberg,2-1,2-0
1,1980-08-16,15:30,Arminia Bielefeld,1. FC Köln,2-5,1-1
1,1980-08-16,15:30,FC Schalke 04,Eintracht Frankfurt,1-4,1-3
1,1980-08-16,15:30,Fortuna Duesseldorf,Bor. Mönchengladbach,2-1,0-0
1,1980-08-16,15:30,Karlsruher SC,Bayern München,0-3,0-1
2,1980-08-19,19:30,Bor. Mönchengladbach,FC Schalke 04,3-1,1-0
2,1980-08-19,19:30,MSV Duisburg,TSV 1860 München,1-0,0-0
2,1980-08-19,20:00,Bayern München,Borussia Dortmund,5-3,1-0
2,1980-08-19,20:00,Eintracht Frankfurt,Arminia Bielefeld,2-0,2-0
2,1980-08-19,20:00,Bayer 05 Uerdingen,Fortuna Duesseldorf,0-1,0-1
2,1980-08-20,19:30,VfL Bochum,Karlsruher SC,0-0,0-0
2,1980-08-20,20:00,1. FC Köln,Bayer Leverkusen,1-1,0-0
2,1980-08-20,20:00,1. FC Kaiserslautern,VfB Stuttgart,1-0,1-0
2,1980-08-20,20:00,1. FC Nürnberg,Hamburger SV,2-3,1-1
3,1980-08-23,15:30,TSV 1860 München,1. FC Nürnberg,2-4,1-2
3,1980-08-23,15:30,Hamburger SV,1. FC Kaiserslautern,3-2,0-0
3,1980-08-23,15:30,VfB Stuttgart,1. FC Köln,3-0,1-0
3,1980-08-23,15:30,Bayer Leverkusen,Eintracht Frankfurt,3-2,1-0
3,1980-08-23,15:30,Arminia Bielefeld,Bor. Mönchengladbach,2-3,1-1
3,1980-08-23,15:30,FC Schalke 04,Bayer 05 Uerdingen,3-1,1-1
3,1980-08-23,15:30,Fortuna Duesseldorf,Bayern München,3-0,0-0
3,1980-08-23,15:30,VfL Bochum,MSV Duisburg,1-1,0-0
3,1980-08-23,15:30,Karlsruher SC,Borussia Dortmund,1-1,1-0
4,1980-09-02,19:30,Bor. Mönchengladbach,Bayer Leverkusen,1-0,0-0
4,1980-09-02,19:30,1. FC Kaiserslautern,TSV 1860 München,3-2,0-0
4,1980-09-02,19:30,MSV Duisburg,Karlsruher SC,2-2,0-1
4,1980-09-02,19:30,Borussia Dortmund,Fortuna Duesseldorf,2-1,1-0
4,1980-09-03,20:00,Bayern München,FC Schalke 04,5-1,1-1
4,1980-09-03,20:00,Eintracht Frankfurt,VfB Stuttgart,2-1,1-0
4,1980-09-03,20:00,1. FC Köln,Hamburger SV,0-3,0-1
4,1980-09-03,20:00,1. FC Nürnberg,VfL Bochum,0-2,0-1
4,1980-09-03,20:00,Bayer 05 Uerdingen,Arminia Bielefeld,2-2,0-0
5,1980-09-05,19:30,VfL Bochum,1. FC Kaiserslautern,0-0,0-0
5,1980-09-06,15:30,TSV 1860 München,1. FC Köln,2-1,1-1
5,1980-09-06,15:30,Hamburger SV,Eintracht Frankfurt,3-1,2-1
5,1980-09-06,15:30,VfB Stuttgart,Bor. Mönchengladbach,4-2,2-2
5,1980-09-06,15:30,Bayer Leverkusen,Bayer 05 Uerdingen,4-1,1-0
5,1980-09-06,15:30,Arminia Bielefeld,Bayern München,1-2,1-1
5,1980-09-06,15:30,FC Schalke 04,Borussia Dortmund,1-2,1-0
5,1980-09-06,15:30,MSV Duisburg,1. FC Nürnberg,2-0,2-0
5,1980-09-06,15:30,Karlsruher SC,Fortuna Duesseldorf,3-0,1-0
6,1980-09-12,20:00,1. FC Kaiserslautern,MSV Duisburg,1-1,1-1
6,1980-09-12,20:00,Fortuna Duesseldorf,FC Schalke 04,3-3,2-1
6,1980-09-13,15:30,Bayern München,Bayer Leverkusen,3-0,1-0
6,1980-09-13,15:30,Bor. Mönchengladbach,Hamburger SV,2-2,1-0
6,1980-09-13,15:30,Eintracht Frankfurt,TSV 1860 München,2-1,0-0
6,1980-09-13,15:30,1. FC Köln,VfL Bochum,2-2,1-1
6,1980-09-13,15:30,1. FC Nürnberg,Karlsruher SC,5-0,2-0
6,1980-09-13,15:30,Borussia Dortmund,Arminia Bielefeld,5-0,3-0
6,1980-09-13,15:30,Bayer 05 Uerdingen,VfB Stuttgart,3-3,1-2
7,1980-09-20,15:30,TSV 1860 München,Bor. Mönchengladbach,0-0,0-0
7,1980-09-20,15:30,Hamburger SV,Bayer 05 Uerdingen,2-1,2-0
7,1980-09-20,15:30,VfB Stuttgart,Bayern München,1-2,0-1
7,1980-09-20,15:30,Bayer Leverkusen,Borussia Dortmund,4-1,2-0
7,1980-09-20,15:30,Arminia Bielefeld,Fortuna Duesseldorf,3-0,1-0
7,1980-09-20,15:30,1. FC Nürnberg,1. FC Kaiserslautern,0-4,0-0
7,1980-09-20,15:30,MSV Duisburg,1. FC Köln,3-4,1-0
7,1980-09-20,15:30,VfL Bochum,Eintracht Frankfurt,2-0,0-0
7,1980-09-20,15:30,Karlsruher SC,FC Schalke 04,3-2,0-2
8,1980-09-26,20:00,Bor. Mönchengladbach,VfL Bochum,2-1,1-0
8,1980-09-26,20:00,FC Schalke 04,Arminia Bielefeld,2-2,1-1
8,1980-09-27,15:30,Bayern München,Hamburger SV,2-1,0-0
8,1980-09-27,15:30,Eintracht Frankfurt,MSV Duisburg,2-1,1-1
8,1980-09-27,15:30,1. FC Köln,1. FC Nürnberg,2-2,1-2
8,1980-09-27,15:30,1. FC Kaiserslautern,Karlsruher SC,1-0,1-0
8,1980-09-27,15:30,Fortuna Duesseldorf,Bayer Leverkusen,4-3,1-0
8,1980-09-27,15:30,Borussia Dortmund,VfB Stuttgart,3-3,1-0
8,1980-09-27,15:30,Bayer 05 Uerdingen,TSV 1860 München,0-3,0-0
9,1980-10-14,20:00,TSV 1860 München,Bayern München,1-3,0-2
9,1980-10-14,20:00,Hamburger SV,Borussia Dortmund,2-1,2-1
9,1980-10-14,20:00,Karlsruher SC,Arminia Bielefeld,2-1,1-1
9,1980-10-15,20:00,VfB Stuttgart,Fortuna Duesseldorf,4-2,2-2
9,1980-10-15,20:00,Bayer Leverkusen,FC Schalke 04,4-0,2-0
9,1980-10-15,20:00,1. FC Kaiserslautern,1. FC Köln,5-1,2-0
9,1980-10-15,20:00,1. FC Nürnberg,Eintracht Frankfurt,1-4,0-1
9,1980-10-15,20:00,MSV Duisburg,Bor. Mönchengladbach,4-0,1-0
9,1980-10-15,20:00,VfL Bochum,Bayer 05 Uerdingen,2-2,1-1
10,1980-10-18,15:30,Bayern München,VfL Bochum,3-1,3-0
10,1980-10-18,15:30,Bor. Mönchengladbach,1. FC Nürnberg,1-4,0-1
10,1980-10-18,15:30,Eintracht Frankfurt,1. FC Kaiserslautern,3-2,0-1
10,1980-10-18,15:30,1. FC Köln,Karlsruher SC,4-0,2-0
10,1980-10-18,15:30,Arminia Bielefeld,Bayer Leverkusen,1-1,0-0
10,1980-10-18,15:30,FC Schalke 04,VfB Stuttgart,3-2,1-0
10,1980-10-18,15:30,Fortuna Duesseldorf,Hamburger SV,2-3,1-3
10,1980-10-18,15:30,Borussia Dortmund,TSV 1860 München,4-1,1-1
10,1980-10-18,15:30,Bayer 05 Uerdingen,MSV Duisburg,4-1,1-0
11,1980-10-24,20:00,1. FC Nürnberg,Bayer 05 Uerdingen,0-0,0-0
11,1980-10-25,15:30,TSV 1860 München,Fortuna Duesseldorf,4-3,0-3
11,1980-10-25,15:30,Hamburger SV,FC Schalke 04,7-1,3-0
11,1980-10-25,15:30,VfB Stuttgart,Arminia Bielefeld,2-1,0-1
11,1980-10-25,15:30,1. FC Köln,Eintracht Frankfurt,5-0,3-0
11,1980-10-25,15:30,1. FC Kaiserslautern,Bor. Mönchengladbach,3-2,1-1
11,1980-10-25,15:30,MSV Duisburg,Bayern München,0-1,0-0
