Round,Date,Team 1,Team 2,FT,HT
1,1966-08-20,1. FC Köln,TSV 1860 München,2-0,2-0
1,1966-08-20,Borussia Dortmund,Fortuna Düsseldorf,1-2,0-0
1,1966-08-20,Eintracht Braunschweig,Werder Bremen,2-0,1-0
1,1966-08-20,Hamburger SV,Hannover 96,2-1,2-1
1,1966-08-20,VfB Stuttgart,1. FC Nürnberg,1-0,0-0
1,1966-08-20,1. FC Kaiserslautern,Karlsruher SC,3-1,1-0
1,1966-08-20,MSV Duisburg,Rot-Weiss Essen,2-0,1-0
1,1966-08-20,FC Schalke 04,Bor. Mönchengladbach,0-0,0-0
1,1966-08-20,Bayern München,Eintracht Frankfurt,1-2,1-0
2,1966-08-27,TSV 1860 München,Eintracht Braunschweig,2-1,1-0
2,1966-08-27,Fortuna Düsseldorf,Bayern München,0-0,0-0
2,1966-08-27,Hannover 96,Borussia Dortmund,2-0,0-0
2,1966-08-27,Werder Bremen,VfB Stuttgart,1-2,0-2
2,1966-08-27,1. FC Nürnberg,MSV Duisburg,3-1,0-0
2,1966-08-27,Bor. Mönchengladbach,1. FC Kaiserslautern,1-1,1-1
2,1966-08-27,Rot-Weiss Essen,FC Schalke 04,4-1,0-0
2,1966-08-27,Eintracht Frankfurt,1. FC Köln,4-0,2-0
2,1966-08-27,Karlsruher SC,Hamburger SV,1-1,0-1
3,1966-09-03,VfB Stuttgart,TSV 1860 München,2-0,1-0
3,1966-09-03,Bayern München,Hannover 96,0-0,0-0
3,1966-09-03,MSV Duisburg,Werder Bremen,1-0,0-0
3,1966-09-03,Hamburger SV,Bor. Mönchengladbach,2-0,1-0
3,1966-09-03,FC Schalke 04,1. FC Nürnberg,1-0,1-0
3,1966-09-03,1. FC Kaiserslautern,Rot-Weiss Essen,5-2,3-1
3,1966-09-03,Borussia Dortmund,Karlsruher SC,2-1,1-1
3,1966-09-03,Eintracht Braunschweig,1. FC Köln,1-0,0-0
3,1966-09-03,Fortuna Düsseldorf,Eintracht Frankfurt,2-4,2-4
4,1966-09-07,Eintracht Frankfurt,Eintracht Braunschweig,0-1,0-0
4,1966-09-10,TSV 1860 München,MSV Duisburg,3-3,2-2
4,1966-09-10,Karlsruher SC,Bayern München,1-6,0-2
4,1966-09-10,Rot-Weiss Essen,Hamburger SV,1-1,1-0
4,1966-09-10,Werder Bremen,FC Schalke 04,2-1,2-0
4,1966-09-10,Bor. Mönchengladbach,Borussia Dortmund,4-0,2-0
4,1966-09-10,1. FC Köln,VfB Stuttgart,3-1,1-0
4,1966-09-10,Hannover 96,Fortuna Düsseldorf,0-2,0-0
4,1966-09-10,1. FC Nürnberg,1. FC Kaiserslautern,1-2,0-0
5,1966-09-17,FC Schalke 04,TSV 1860 München,1-0,0-0
5,1966-09-17,Bayern München,Bor. Mönchengladbach,4-3,2-2
5,1966-09-17,1. FC Kaiserslautern,Werder Bremen,2-0,0-0
5,1966-09-17,Hamburger SV,1. FC Nürnberg,0-1,0-0
5,1966-09-17,Borussia Dortmund,Rot-Weiss Essen,0-0,0-0
5,1966-09-17,MSV Duisburg,1. FC Köln,1-0,1-0
5,1966-09-17,Fortuna Düsseldorf,Karlsruher SC,1-0,0-0
5,1966-09-17,VfB Stuttgart,Eintracht Braunschweig,1-2,0-0
5,1966-09-17,Hannover 96,Eintracht Frankfurt,2-1,1-0
6,1966-09-24,TSV 1860 München,1. FC Kaiserslautern,3-0,2-0
6,1966-09-24,Rot-Weiss Essen,Bayern München,3-1,1-0
6,1966-09-24,Werder Bremen,Hamburger SV,5-1,3-0
6,1966-09-24,1. FC Nürnberg,Borussia Dortmund,2-0,1-0
6,1966-09-24,1. FC Köln,FC Schalke 04,2-1,1-0
6,1966-09-24,Bor. Mönchengladbach,Fortuna Düsseldorf,3-1,1-1
6,1966-09-24,Eintracht Braunschweig,MSV Duisburg,0-0,0-0
6,1966-09-24,Karlsruher SC,Hannover 96,0-0,0-0
6,1966-09-24,Eintracht Frankfurt,VfB Stuttgart,4-0,1-0
7,1966-10-01,Hamburger SV,TSV 1860 München,3-2,1-2
7,1966-10-01,Bayern München,1. FC Nürnberg,0-1,0-1
