Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 1 1997,FC Schalke 04,2-1,Bayer 04 Leverkusen
1,Fri Aug 1 1997,VfB Stuttgart,1-1,TSV 1860 München
1,Sat Aug 2 1997,VfL Bochum,1-0,Arminia Bielefeld
1,Sat Aug 2 1997,Bayern München,0-1,1. FC Kaiserslautern
1,Sat Aug 2 1997,1. FC Köln,3-2,MSV Duisburg
1,Sat Aug 2 1997,Hansa Rostock,0-1,VfL Wolfsburg
1,Sat Aug 2 1997,Karlsruher SC,3-1,Werder Bremen
1,Sun Aug 3 1997,Hamburger SV,2-2,Bor. Mönchengladbach
1,Sun Aug 3 1997,Hertha BSC,1-1,Borussia Dortmund
2,Tue Aug 5 1997,MSV Duisburg,1-0,FC Schalke 04
2,Tue Aug 5 1997,Arminia Bielefeld,2-1,VfB Stuttgart
2,Tue Aug 5 1997,Bayer 04 Leverkusen,3-2,VfL Bochum
2,Tue Aug 5 1997,Werder Bremen,1-1,Hansa Rostock
2,Tue Aug 5 1997,TSV 1860 München,2-2,Karlsruher SC
2,Wed Aug 6 1997,Borussia Dortmund,3-0,1. FC Köln
2,Wed Aug 6 1997,1. FC Kaiserslautern,1-0,Hertha BSC
2,Wed Aug 6 1997,VfL Wolfsburg,1-1,Hamburger SV
2,Wed Aug 6 1997,Bor. Mönchengladbach,1-1,Bayern München
3,Fri Aug 8 1997,VfL Bochum,0-0,MSV Duisburg
3,Fri Aug 8 1997,VfB Stuttgart,1-0,Bayer 04 Leverkusen
3,Sat Aug 9 1997,Bayern München,5-2,VfL Wolfsburg
3,Sat Aug 9 1997,Werder Bremen,3-3,TSV 1860 München
3,Sat Aug 9 1997,Hansa Rostock,2-1,Hamburger SV
3,Sat Aug 9 1997,Karlsruher SC,3-1,Arminia Bielefeld
3,Sat Aug 9 1997,FC Schalke 04,1-0,Borussia Dortmund
3,Sat Aug 9 1997,1. FC Köln,0-0,1. FC Kaiserslautern
3,Sun Aug 10 1997,Hertha BSC,2-2,Bor. Mönchengladbach
4,Fri Aug 22 1997,TSV 1860 München,0-1,Hansa Rostock
4,Fri Aug 22 1997,VfL Wolfsburg,2-1,Hertha BSC
4,Sat Aug 23 1997,Borussia Dortmund,5-2,VfL Bochum
4,Sat Aug 23 1997,Arminia Bielefeld,3-0,Werder Bremen
4,Sat Aug 23 1997,MSV Duisburg,0-3,VfB Stuttgart
4,Sat Aug 23 1997,1. FC Kaiserslautern,3-0,FC Schalke 04
4,Sat Aug 23 1997,Bayer 04 Leverkusen,6-1,Karlsruher SC
4,Sat Aug 23 1997,Bor. Mönchengladbach,4-1,1. FC Köln
4,Sun Aug 24 1997,Hamburger SV,0-2,Bayern München
5,Fri Aug 29 1997,VfL Bochum,1-3,1. FC Kaiserslautern
5,Fri Aug 29 1997,Hertha BSC,0-2,Hamburger SV
5,Sat Aug 30 1997,1. FC Köln,5-3,VfL Wolfsburg
5,Sat Aug 30 1997,Werder Bremen,2-1,Bayer 04 Leverkusen
5,Sat Aug 30 1997,FC Schalke 04,2-0,Bor. Mönchengladbach
5,Sat Aug 30 1997,VfB Stuttgart,0-0,Borussia Dortmund
5,Sat Aug 30 1997,Hansa Rostock,1-3,Bayern München
5,Sun Aug 31 1997,Karlsruher SC,1-2,MSV Duisburg
5,Mon Sep 1 1997,TSV 1860 München,1-0,Arminia Bielefeld
6,Fri Sep 12 1997,Arminia Bielefeld,0-1,Hansa Rostock
6,Fri Sep 12 1997,Hamburger SV,2-1,1. FC Köln
6,Sat Sep 13 1997,Bayern München,3-0,Hertha BSC
6,Sat Sep 13 1997,Borussia Dortmund,2-2,Karlsruher SC
6,Sat Sep 13 1997,MSV Duisburg,2-1,Werder Bremen
