Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 1 Aug 1997 (W31),FC Schalke 04 (1),2-1,0-1,Bayer 04 Leverkusen (1)
?,(Fri) 1 Aug 1997 (W31),VfB Stuttgart (1),1-1,1-0,TSV 1860 München (1)
?,(Sat) 2 Aug 1997 (W31),Bayern München (1),0-1,0-0,1. FC Kaiserslautern (1)
?,(Sat) 2 Aug 1997 (W31),VfL Bochum (1),1-0,0-0,Arminia Bielefeld (1)
?,(Sat) 2 Aug 1997 (W31),1. FC Köln (1),3-2,1-1,MSV Duisburg (1)
?,(Sat) 2 Aug 1997 (W31),Hansa Rostock (1),0-1,0-0,VfL Wolfsburg (1)
?,(Sat) 2 Aug 1997 (W31),Karlsruher SC (1),3-1,1-0,Werder Bremen (1)
?,(Sun) 3 Aug 1997 (W31),Hamburger SV (1),2-2,0-1,Bor. Mönchengladbach (1)
?,(Sun) 3 Aug 1997 (W31),Hertha BSC (1),1-1,1-1,Borussia Dortmund (1)
?,(Tue) 5 Aug 1997 (W32),Arminia Bielefeld (2),2-1,0-1,VfB Stuttgart (2)
?,(Tue) 5 Aug 1997 (W32),MSV Duisburg (2),1-0,0-0,FC Schalke 04 (2)
?,(Tue) 5 Aug 1997 (W32),Bayer 04 Leverkusen (2),3-2,0-1,VfL Bochum (2)
?,(Tue) 5 Aug 1997 (W32),TSV 1860 München (2),2-2,1-1,Karlsruher SC (2)
?,(Tue) 5 Aug 1997 (W32),Werder Bremen (2),1-1,1-0,Hansa Rostock (2)
?,(Wed) 6 Aug 1997 (W32),Borussia Dortmund (2),3-0,2-0,1. FC Köln (2)
?,(Wed) 6 Aug 1997 (W32),1. FC Kaiserslautern (2),1-0,0-0,Hertha BSC (2)
?,(Wed) 6 Aug 1997 (W32),Bor. Mönchengladbach (2),1-1,1-0,Bayern München (2)
?,(Wed) 6 Aug 1997 (W32),VfL Wolfsburg (2),1-1,1-1,Hamburger SV (2)
?,(Fri) 8 Aug 1997 (W32),VfL Bochum (3),0-0,0-0,MSV Duisburg (3)
?,(Fri) 8 Aug 1997 (W32),VfB Stuttgart (3),1-0,1-0,Bayer 04 Leverkusen (3)
?,(Sat) 9 Aug 1997 (W32),Bayern München (3),5-2,3-1,VfL Wolfsburg (3)
?,(Sat) 9 Aug 1997 (W32),1. FC Köln (3),0-0,0-0,1. FC Kaiserslautern (3)
?,(Sat) 9 Aug 1997 (W32),Hansa Rostock (3),2-1,2-0,Hamburger SV (3)
?,(Sat) 9 Aug 1997 (W32),Karlsruher SC (3),3-1,1-0,Arminia Bielefeld (3)
?,(Sat) 9 Aug 1997 (W32),FC Schalke 04 (3),1-0,0-0,Borussia Dortmund (3)
?,(Sat) 9 Aug 1997 (W32),Werder Bremen (3),3-3,2-1,TSV 1860 München (3)
?,(Sun) 10 Aug 1997 (W32),Hertha BSC (3),2-2,1-0,Bor. Mönchengladbach (3)
?,(Fri) 22 Aug 1997 (W34),TSV 1860 München (4),0-1,0-0,Hansa Rostock (4)
?,(Fri) 22 Aug 1997 (W34),VfL Wolfsburg (4),2-1,1-0,Hertha BSC (4)
?,(Sat) 23 Aug 1997 (W34),Arminia Bielefeld (4),3-0,1-0,Werder Bremen (4)
?,(Sat) 23 Aug 1997 (W34),Borussia Dortmund (4),5-2,3-1,VfL Bochum (4)
?,(Sat) 23 Aug 1997 (W34),MSV Duisburg (4),0-3,0-1,VfB Stuttgart (4)
?,(Sat) 23 Aug 1997 (W34),1. FC Kaiserslautern (4),3-0,2-0,FC Schalke 04 (4)
?,(Sat) 23 Aug 1997 (W34),Bayer 04 Leverkusen (4),6-1,2-1,Karlsruher SC (4)
?,(Sat) 23 Aug 1997 (W34),Bor. Mönchengladbach (4),4-1,3-0,1. FC Köln (4)
?,(Sun) 24 Aug 1997 (W34),Hamburger SV (4),0-2,0-1,Bayern München (4)
?,(Fri) 29 Aug 1997 (W35),VfL Bochum (5),1-3,0-1,1. FC Kaiserslautern (5)
?,(Fri) 29 Aug 1997 (W35),Hertha BSC (5),0-2,0-1,Hamburger SV (5)
?,(Sat) 30 Aug 1997 (W35),1. FC Köln (5),5-3,2-1,VfL Wolfsburg (5)
?,(Sat) 30 Aug 1997 (W35),Hansa Rostock (5),1-3,0-0,Bayern München (5)
?,(Sat) 30 Aug 1997 (W35),FC Schalke 04 (5),2-0,1-0,Bor. Mönchengladbach (5)
?,(Sat) 30 Aug 1997 (W35),VfB Stuttgart (5),0-0,0-0,Borussia Dortmund (5)
?,(Sat) 30 Aug 1997 (W35),Werder Bremen (5),2-1,1-0,Bayer 04 Leverkusen (5)
?,(Sun) 31 Aug 1997 (W35),Karlsruher SC (5),1-2,0-0,MSV Duisburg (5)
?,(Mon) 1 Sep 1997 (W36),TSV 1860 München (5),1-0,0-0,Arminia Bielefeld (5)
?,(Fri) 12 Sep 1997 (W37),Arminia Bielefeld (6),0-1,0-1,Hansa Rostock (6)
?,(Fri) 12 Sep 1997 (W37),Hamburger SV (6),2-1,2-0,1. FC Köln (6)
?,(Sat) 13 Sep 1997 (W37),Bayern München (6),3-0,1-0,Hertha BSC (6)
?,(Sat) 13 Sep 1997 (W37),Borussia Dortmund (6),2-2,0-1,Karlsruher SC (6)
?,(Sat) 13 Sep 1997 (W37),MSV Duisburg (6),2-1,2-1,Werder Bremen (6)
?,(Sat) 13 Sep 1997 (W37),Bayer 04 Leverkusen (6),2-2,0-0,TSV 1860 München (6)
?,(Sat) 13 Sep 1997 (W37),Bor. Mönchengladbach (6),2-1,0-1,VfL Bochum (6)
?,(Sat) 13 Sep 1997 (W37),VfL Wolfsburg (6),0-0,0-0,FC Schalke 04 (6)
?,(Sun) 14 Sep 1997 (W37),1. FC Kaiserslautern (6),4-3,1-2,VfB Stuttgart (6)
?,(Fri) 19 Sep 1997 (W38),Karlsruher SC (7),2-4,0-2,1. FC Kaiserslautern (7)
?,(Fri) 19 Sep 1997 (W38),TSV 1860 München (7),0-1,0-1,MSV Duisburg (7)
?,(Sat) 20 Sep 1997 (W38),Arminia Bielefeld (7),2-1,1-1,Bayer 04 Leverkusen (7)
?,(Sat) 20 Sep 1997 (W38),VfL Bochum (7),2-1,2-0,VfL Wolfsburg (7)
?,(Sat) 20 Sep 1997 (W38),1. FC Köln (7),1-3,1-2,Bayern München (7)
?,(Sat) 20 Sep 1997 (W38),Hansa Rostock (7),4-0,2-0,Hertha BSC (7)
?,(Sat) 20 Sep 1997 (W38),FC Schalke 04 (7),2-2,1-2,Hamburger SV (7)
?,(Sat) 20 Sep 1997 (W38),Werder Bremen (7),2-1,2-1,Borussia Dortmund (7)
