Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 7 2009,VfL Wolfsburg,2-0,VfB Stuttgart
1,Sat Aug 8 2009,Borussia Dortmund,1-0,1. FC Köln
1,Sat Aug 8 2009,Hertha BSC,1-0,Hannover 96
1,Sat Aug 8 2009,TSG 1899 Hoffenheim,1-1,Bayern München
1,Sat Aug 8 2009,1. FSV Mainz 05,2-2,Bayer 04 Leverkusen
1,Sat Aug 8 2009,1. FC Nürnberg,1-2,FC Schalke 04
1,Sat Aug 8 2009,Werder Bremen,2-3,Eintracht Frankfurt
1,Sun Aug 9 2009,VfL Bochum,3-3,Bor. Mönchengladbach
1,Sun Aug 9 2009,SC Freiburg,1-1,Hamburger SV
2,Sat Aug 15 2009,Bayern München,1-1,Werder Bremen
2,Sat Aug 15 2009,Eintracht Frankfurt,1-1,1. FC Nürnberg
2,Sat Aug 15 2009,1. FC Köln,1-3,VfL Wolfsburg
2,Sat Aug 15 2009,Hamburger SV,4-1,Borussia Dortmund
2,Sat Aug 15 2009,Hannover 96,1-1,1. FSV Mainz 05
2,Sat Aug 15 2009,Bayer 04 Leverkusen,1-0,TSG 1899 Hoffenheim
2,Sat Aug 15 2009,VfB Stuttgart,4-2,SC Freiburg
2,Sun Aug 16 2009,Bor. Mönchengladbach,2-1,Hertha BSC
2,Sun Aug 16 2009,FC Schalke 04,3-0,VfL Bochum
3,Fri Aug 21 2009,TSG 1899 Hoffenheim,0-0,FC Schalke 04
3,Sat Aug 22 2009,Borussia Dortmund,1-1,VfB Stuttgart
3,Sat Aug 22 2009,1. FC Köln,0-0,Eintracht Frankfurt
3,Sat Aug 22 2009,SC Freiburg,0-5,Bayer 04 Leverkusen
3,Sat Aug 22 2009,1. FSV Mainz 05,2-1,Bayern München
3,Sat Aug 22 2009,1. FC Nürnberg,0-2,Hannover 96
3,Sun Aug 23 2009,VfL Bochum,1-0,Hertha BSC
3,Sun Aug 23 2009,Werder Bremen,3-0,Bor. Mönchengladbach
3,Sun Aug 23 2009,VfL Wolfsburg,2-4,Hamburger SV
4,Fri Aug 28 2009,Bor. Mönchengladbach,2-0,1. FSV Mainz 05
4,Sat Aug 29 2009,Bayern München,3-0,VfL Wolfsburg
4,Sat Aug 29 2009,Eintracht Frankfurt,1-1,Borussia Dortmund
4,Sat Aug 29 2009,Hannover 96,0-1,TSG 1899 Hoffenheim
4,Sat Aug 29 2009,Bayer 04 Leverkusen,2-1,VfL Bochum
4,Sat Aug 29 2009,FC Schalke 04,0-1,SC Freiburg
