Round,Date,Team 1,Team 2,FT,HT
10,2009-10-25,FC Schalke 04,Hamburger SV,3-3,0-2
10,2009-10-25,VfL Bochum,Werder Bremen,1-4,1-2
11,2009-10-30,Borussia Dortmund,Hertha BSC,2-0,0-0
11,2009-10-31,VfL Wolfsburg,1. FSV Mainz 05,3-3,2-2
11,2009-10-31,VfB Stuttgart,Bayern München,0-0,0-0
11,2009-10-31,Hamburger SV,Bor. Mönchengladbach,2-3,1-1
11,2009-10-31,1. FC Köln,Hannover 96,0-1,0-1
11,2009-10-31,1. FC Nürnberg,Werder Bremen,2-2,2-0
11,2009-10-31,FC Schalke 04,Bayer Leverkusen,2-2,0-2
11,2009-11-01,SC Freiburg,1899 Hoffenheim,0-1,0-1
11,2009-11-01,Eintracht Frankfurt,VfL Bochum,2-1,1-1
12,2009-11-06,Bayer Leverkusen,Eintracht Frankfurt,4-0,3-0
12,2009-11-07,Bayern München,FC Schalke 04,1-1,1-1
12,2009-11-07,1899 Hoffenheim,VfL Wolfsburg,1-2,1-0
12,2009-11-07,VfL Bochum,SC Freiburg,1-2,0-1
12,2009-11-07,Bor. Mönchengladbach,VfB Stuttgart,0-0,0-0
12,2009-11-07,1. FSV Mainz 05,1. FC Nürnberg,1-0,1-0
12,2009-11-08,Hannover 96,Hamburger SV,2-2,1-2
12,2009-11-08,Hertha BSC,1. FC Köln,0-1,0-0
12,2009-11-08,Werder Bremen,Borussia Dortmund,1-1,1-0
13,2009-11-21,VfL Wolfsburg,1. FC Nürnberg,2-3,0-0
13,2009-11-21,VfB Stuttgart,Hertha BSC,1-1,0-0
13,2009-11-21,FC Schalke 04,Hannover 96,2-0,0-0
13,2009-11-21,1. FC Köln,1899 Hoffenheim,0-4,0-2
13,2009-11-21,Eintracht Frankfurt,Bor. Mönchengladbach,1-2,0-0
13,2009-11-21,SC Freiburg,Werder Bremen,0-6,0-1
13,2009-11-21,Borussia Dortmund,1. FSV Mainz 05,0-0,0-0
13,2009-11-22,Bayern München,Bayer Leverkusen,1-1,1-1
13,2009-11-22,Hamburger SV,VfL Bochum,0-1,0-0
14,2009-11-27,VfL Bochum,1. FC Köln,0-0,0-0
14,2009-11-28,Hertha BSC,Eintracht Frankfurt,1-3,0-1
14,2009-11-28,1899 Hoffenheim,Borussia Dortmund,1-2,0-1
14,2009-11-28,Werder Bremen,VfL Wolfsburg,2-2,0-1
14,2009-11-28,1. FSV Mainz 05,Hamburger SV,1-1,0-1
14,2009-11-28,1. FC Nürnberg,SC Freiburg,0-1,0-1
14,2009-11-28,Bor. Mönchengladbach,FC Schalke 04,1-0,1-0
14,2009-11-29,Bayer Leverkusen,VfB Stuttgart,4-0,2-0
14,2009-11-29,Hannover 96,Bayern München,0-3,0-1
15,2009-12-04,Bayern München,Bor. Mönchengladbach,2-1,1-1
15,2009-12-05,VfL Wolfsburg,SC Freiburg,2-2,1-1
15,2009-12-05,VfB Stuttgart,VfL Bochum,1-1,0-0
15,2009-12-05,Hamburger SV,1899 Hoffenheim,0-0,0-0
