Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 11 1978,MSV Duisburg,1-1,Arminia Bielefeld
1,Sat Aug 12 1978,FC Schalke 04,4-0,Eintracht Frankfurt
1,Sat Aug 12 1978,Borussia Dortmund,1-0,Bayern München
1,Sat Aug 12 1978,Hamburger SV,3-0,Bor. Mönchengladbach
1,Sat Aug 12 1978,Fortuna Düsseldorf,3-1,Werder Bremen
1,Sat Aug 12 1978,1. FC Nürnberg,0-2,VfL Bochum
1,Sat Aug 12 1978,1. FC Kaiserslautern,5-1,VfB Stuttgart
1,Sat Aug 12 1978,SV Darmstadt 98,0-0,Hertha BSC
1,Sat Aug 12 1978,Eintracht Braunschweig,1-0,1. FC Köln
2,Thu Aug 17 1978,Hertha BSC,0-3,1. FC Kaiserslautern
2,Sat Aug 19 1978,Werder Bremen,1-1,Hamburger SV
2,Sat Aug 19 1978,VfB Stuttgart,4-0,1. FC Nürnberg
2,Sat Aug 19 1978,VfL Bochum,2-2,Fortuna Düsseldorf
2,Sat Aug 19 1978,Eintracht Frankfurt,3-1,Eintracht Braunschweig
2,Sat Aug 19 1978,Bor. Mönchengladbach,2-2,Borussia Dortmund
2,Sat Aug 19 1978,Bayern München,6-2,MSV Duisburg
2,Sat Aug 19 1978,Arminia Bielefeld,3-2,FC Schalke 04
2,Sat Aug 19 1978,1. FC Köln,2-1,SV Darmstadt 98
3,Fri Aug 25 1978,Borussia Dortmund,1-0,Werder Bremen
3,Fri Aug 25 1978,Fortuna Düsseldorf,2-0,VfB Stuttgart
3,Sat Aug 26 1978,Hamburger SV,1-1,VfL Bochum
3,Sat Aug 26 1978,MSV Duisburg,0-3,Bor. Mönchengladbach
3,Sat Aug 26 1978,Eintracht Braunschweig,4-1,SV Darmstadt 98
3,Sat Aug 26 1978,1. FC Nürnberg,2-1,Hertha BSC
3,Sat Aug 26 1978,1. FC Kaiserslautern,1-1,1. FC Köln
3,Sat Aug 26 1978,Eintracht Frankfurt,1-0,Arminia Bielefeld
3,Sat Aug 26 1978,FC Schalke 04,2-1,Bayern München
4,Sat Sep 2 1978,1. FC Köln,2-0,1. FC Nürnberg
4,Sat Sep 2 1978,VfB Stuttgart,1-0,Hamburger SV
4,Sat Sep 2 1978,VfL Bochum,4-1,Borussia Dortmund
4,Sat Sep 2 1978,Werder Bremen,3-2,MSV Duisburg
4,Sat Sep 2 1978,Bor. Mönchengladbach,0-0,FC Schalke 04
4,Sat Sep 2 1978,Bayern München,3-1,Eintracht Frankfurt
4,Sat Sep 2 1978,Arminia Bielefeld,2-2,Eintracht Braunschweig
4,Sat Sep 2 1978,SV Darmstadt 98,2-2,1. FC Kaiserslautern
4,Sat Sep 2 1978,Hertha BSC,4-1,Fortuna Düsseldorf
5,Fri Sep 8 1978,FC Schalke 04,2-1,Werder Bremen
5,Fri Sep 8 1978,MSV Duisburg,1-0,VfL Bochum
5,Sat Sep 9 1978,Fortuna Düsseldorf,1-1,1. FC Köln
5,Sat Sep 9 1978,Hamburger SV,4-1,Hertha BSC
5,Sat Sep 9 1978,Eintracht Braunschweig,0-0,1. FC Kaiserslautern
5,Sat Sep 9 1978,1. FC Nürnberg,3-2,SV Darmstadt 98
5,Sat Sep 9 1978,Arminia Bielefeld,0-2,Bayern München
5,Sat Sep 9 1978,Eintracht Frankfurt,2-0,Bor. Mönchengladbach
5,Sat Sep 9 1978,Borussia Dortmund,4-3,VfB Stuttgart
6,Sat Sep 16 1978,1. FC Köln,1-3,Hamburger SV
6,Sat Sep 16 1978,VfB Stuttgart,2-0,MSV Duisburg
6,Sat Sep 16 1978,VfL Bochum,2-2,FC Schalke 04
6,Sat Sep 16 1978,Werder Bremen,0-2,Eintracht Frankfurt
6,Sat Sep 16 1978,Bor. Mönchengladbach,4-1,Arminia Bielefeld
6,Sat Sep 16 1978,Bayern München,6-1,Eintracht Braunschweig
6,Sat Sep 16 1978,1. FC Kaiserslautern,3-0,1. FC Nürnberg
6,Sat Sep 16 1978,SV Darmstadt 98,1-6,Fortuna Düsseldorf
6,Sat Sep 16 1978,Hertha BSC,4-0,Borussia Dortmund
7,Sat Sep 30 1978,FC Schalke 04,2-3,VfB Stuttgart
