Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 24 1963,Werder Bremen,3-2,Borussia Dortmund
1,Sat Aug 24 1963,1. FC Saarbrücken,0-2,1. FC Köln
1,Sat Aug 24 1963,TSV 1860 München,1-1,Eintracht Braunschweig
1,Sat Aug 24 1963,Eintracht Frankfurt,1-1,1. FC Kaiserslautern
1,Sat Aug 24 1963,FC Schalke 04,2-0,VfB Stuttgart
1,Sat Aug 24 1963,Preußen Münster,1-1,Hamburger SV
1,Sat Aug 24 1963,Karlsruher SC,1-4,MSV Duisburg
1,Sat Aug 24 1963,Hertha BSC,1-1,1. FC Nürnberg
2,Sat Aug 31 1963,Borussia Dortmund,3-3,TSV 1860 München
2,Sat Aug 31 1963,Hamburger SV,4-2,1. FC Saarbrücken
2,Sat Aug 31 1963,1. FC Nürnberg,3-0,Werder Bremen
2,Sat Aug 31 1963,1. FC Köln,4-0,Karlsruher SC
2,Sat Aug 31 1963,1. FC Kaiserslautern,2-3,FC Schalke 04
2,Sat Aug 31 1963,VfB Stuttgart,2-0,Hertha BSC
2,Sat Aug 31 1963,MSV Duisburg,3-1,Eintracht Frankfurt
2,Sat Aug 31 1963,Eintracht Braunschweig,1-0,Preußen Münster
3,Sat Sep 7 1963,TSV 1860 München,1-3,1. FC Köln
3,Sat Sep 7 1963,Karlsruher SC,0-4,Hamburger SV
3,Sat Sep 7 1963,Eintracht Frankfurt,2-3,1. FC Nürnberg
3,Sat Sep 7 1963,FC Schalke 04,3-1,Borussia Dortmund
3,Sat Sep 7 1963,Werder Bremen,2-2,VfB Stuttgart
3,Sat Sep 7 1963,Hertha BSC,2-2,1. FC Kaiserslautern
3,Sat Sep 7 1963,Preußen Münster,4-2,MSV Duisburg
3,Sat Sep 7 1963,1. FC Saarbrücken,2-2,Eintracht Braunschweig
4,Sat Sep 14 1963,1. FC Köln,2-2,FC Schalke 04
4,Sat Sep 14 1963,1. FC Nürnberg,2-2,Preußen Münster
4,Sat Sep 14 1963,Borussia Dortmund,2-1,1. FC Saarbrücken
4,Sat Sep 14 1963,Hamburger SV,3-0,Eintracht Frankfurt
4,Sat Sep 14 1963,VfB Stuttgart,1-1,TSV 1860 München
4,Sat Sep 14 1963,1. FC Kaiserslautern,3-0,Werder Bremen
4,Sat Sep 14 1963,MSV Duisburg,1-3,Hertha BSC
4,Sat Sep 14 1963,Eintracht Braunschweig,2-0,Karlsruher SC
5,Sat Sep 21 1963,FC Schalke 04,1-0,Hamburger SV
5,Sat Sep 21 1963,1. FC Saarbrücken,3-5,1. FC Nürnberg
5,Sat Sep 21 1963,Hertha BSC,0-3,1. FC Köln
5,Sat Sep 21 1963,Karlsruher SC,1-3,Borussia Dortmund
5,Sat Sep 21 1963,TSV 1860 München,3-0,1. FC Kaiserslautern
5,Sat Sep 21 1963,Eintracht Frankfurt,3-0,Eintracht Braunschweig
5,Sat Sep 21 1963,Preußen Münster,4-2,VfB Stuttgart
5,Sat Sep 21 1963,Werder Bremen,1-1,MSV Duisburg
6,Sat Oct 5 1963,1. FC Köln,4-3,Werder Bremen
6,Sat Oct 5 1963,1. FC Kaiserslautern,0-0,Preußen Münster
6,Sat Oct 5 1963,MSV Duisburg,3-0,TSV 1860 München
6,Sat Oct 5 1963,VfB Stuttgart,3-1,1. FC Saarbrücken
6,Sat Oct 5 1963,1. FC Nürnberg,2-4,Karlsruher SC
6,Sat Oct 5 1963,Hamburger SV,5-1,Hertha BSC
6,Sat Oct 5 1963,Eintracht Braunschweig,4-3,FC Schalke 04
6,Sat Oct 5 1963,Borussia Dortmund,3-0,Eintracht Frankfurt
7,Sat Oct 12 1963,Eintracht Frankfurt,2-1,1. FC Köln
7,Sat Oct 12 1963,Hertha BSC,1-2,Eintracht Braunschweig
7,Sat Oct 12 1963,TSV 1860 München,5-0,1. FC Nürnberg
7,Sat Oct 12 1963,Karlsruher SC,0-3,VfB Stuttgart
7,Sat Oct 12 1963,FC Schalke 04,2-2,MSV Duisburg
7,Sat Oct 12 1963,1. FC Saarbrücken,2-4,1. FC Kaiserslautern
7,Sat Oct 12 1963,Werder Bremen,4-2,Hamburger SV
7,Sat Oct 12 1963,Preußen Münster,1-2,Borussia Dortmund
8,Sat Oct 19 1963,Hamburger SV,5-0,TSV 1860 München
8,Sat Oct 19 1963,1. FC Köln,3-0,Preußen Münster
8,Sat Oct 19 1963,1. FC Nürnberg,0-2,FC Schalke 04
8,Sat Oct 19 1963,VfB Stuttgart,0-0,Eintracht Frankfurt
8,Sat Oct 19 1963,MSV Duisburg,3-1,1. FC Saarbrücken
8,Sat Oct 19 1963,1. FC Kaiserslautern,1-0,Karlsruher SC
8,Sat Oct 19 1963,Eintracht Braunschweig,1-1,Werder Bremen
8,Sat Oct 19 1963,Borussia Dortmund,7-2,Hertha BSC
9,Sat Oct 26 1963,VfB Stuttgart,2-1,Borussia Dortmund
9,Sat Oct 26 1963,FC Schalke 04,2-3,Werder Bremen
9,Sat Oct 26 1963,Hamburger SV,2-1,Eintracht Braunschweig
9,Sat Oct 26 1963,1. FC Köln,3-3,MSV Duisburg
9,Sat Oct 26 1963,1. FC Nürnberg,0-5,1. FC Kaiserslautern
9,Sat Oct 26 1963,Preußen Münster,0-0,TSV 1860 München
9,Sat Oct 26 1963,Hertha BSC,1-3,Eintracht Frankfurt
9,Sat Oct 26 1963,1. FC Saarbrücken,1-3,Karlsruher SC
10,Fri Nov 8 1963,Eintracht Braunschweig,1-1,1. FC Köln
10,Sat Nov 9 1963,1. FC Kaiserslautern,1-3,VfB Stuttgart
10,Sat Nov 9 1963,MSV Duisburg,4-0,Hamburger SV
10,Sat Nov 9 1963,Eintracht Frankfurt,4-2,FC Schalke 04
10,Sat Nov 9 1963,TSV 1860 München,7-1,1. FC Saarbrücken
10,Sat Nov 9 1963,Karlsruher SC,4-2,Preußen Münster
10,Sat Nov 9 1963,Werder Bremen,2-2,Hertha BSC
10,Sat Nov 9 1963,Borussia Dortmund,3-1,1. FC Nürnberg
11,Sat Nov 16 1963,1. FC Köln,4-1,Hamburger SV
11,Sat Nov 16 1963,Eintracht Braunschweig,0-0,MSV Duisburg
11,Sat Nov 16 1963,1. FC Saarbrücken,1-1,Preußen Münster
11,Sat Nov 16 1963,VfB Stuttgart,1-0,1. FC Nürnberg
11,Sat Nov 16 1963,TSV 1860 München,1-0,Karlsruher SC
11,Sat Nov 16 1963,Werder Bremen,4-1,Eintracht Frankfurt
11,Sat Nov 16 1963,Borussia Dortmund,9-3,1. FC Kaiserslautern
11,Sat Nov 16 1963,FC Schalke 04,1-0,Hertha BSC
12,Sat Nov 23 1963,1. FC Nürnberg,2-2,1. FC Köln
12,Sat Nov 23 1963,Hamburger SV,1-1,VfB Stuttgart
12,Sat Nov 23 1963,MSV Duisburg,3-3,Borussia Dortmund
12,Sat Nov 23 1963,Preußen Münster,2-2,FC Schalke 04
12,Sat Nov 23 1963,1. FC Kaiserslautern,2-1,Eintracht Braunschweig
12,Sat Nov 23 1963,Hertha BSC,3-2,1. FC Saarbrücken
12,Sat Nov 23 1963,Karlsruher SC,1-1,Werder Bremen
12,Sat Nov 23 1963,Eintracht Frankfurt,5-2,TSV 1860 München
13,Sat Nov 30 1963,1. FC Nürnberg,2-0,MSV Duisburg
13,Sat Nov 30 1963,Hertha BSC,2-3,Karlsruher SC
13,Sat Nov 30 1963,1. FC Kaiserslautern,3-2,Hamburger SV
13,Sat Nov 30 1963,VfB Stuttgart,5-0,Eintracht Braunschweig
13,Sat Nov 30 1963,Werder Bremen,0-3,1. FC Saarbrücken
13,Sat Nov 30 1963,Eintracht Frankfurt,3-0,Preußen Münster
13,Sat Nov 30 1963,FC Schalke 04,2-1,TSV 1860 München
13,Sat Nov 30 1963,Borussia Dortmund,2-3,1. FC Köln
14,Sat Dec 7 1963,MSV Duisburg,3-0,VfB Stuttgart
14,Sat Dec 7 1963,Preußen Münster,1-3,Werder Bremen
14,Sat Dec 7 1963,Karlsruher SC,1-1,FC Schalke 04
14,Sat Dec 7 1963,TSV 1860 München,1-2,Hertha BSC
14,Sat Dec 7 1963,1. FC Saarbrücken,0-4,Eintracht Frankfurt
14,Sat Dec 7 1963,1. FC Köln,5-1,1. FC Kaiserslautern
14,Sat Dec 7 1963,Eintracht Braunschweig,2-0,1. FC Nürnberg
15,Sat Dec 14 1963,Hertha BSC,2-0,Preußen Münster
15,Sat Dec 14 1963,Borussia Dortmund,3-0,Eintracht Braunschweig
15,Sat Dec 14 1963,1. FC Nürnberg,3-2,Hamburger SV
15,Sat Dec 14 1963,Eintracht Frankfurt,0-3,Karlsruher SC
15,Sat Dec 14 1963,Werder Bremen,4-1,TSV 1860 München
15,Sat Dec 14 1963,1. FC Kaiserslautern,1-1,MSV Duisburg
15,Sat Dec 14 1963,FC Schalke 04,4-1,1. FC Saarbrücken
15,Sat Dec 14 1963,VfB Stuttgart,0-1,1. FC Köln
14,Sat Dec 21 1963,Hamburger SV,2-1,Borussia Dortmund
16,Sat Jan 11 1964,Borussia Dortmund,4-3,Werder Bremen
16,Sat Jan 11 1964,1. FC Köln,1-3,1. FC Saarbrücken
16,Sat Jan 11 1964,1. FC Kaiserslautern,1-1,Eintracht Frankfurt
16,Sat Jan 11 1964,Hamburger SV,5-0,Preußen Münster
16,Sat Jan 11 1964,MSV Duisburg,2-0,Karlsruher SC
16,Sat Jan 11 1964,1. FC Nürnberg,2-3,Hertha BSC
16,Sat Jan 11 1964,Eintracht Braunschweig,0-1,TSV 1860 München
17,Sat Jan 18 1964,Preußen Münster,0-2,Eintracht Braunschweig
17,Sat Jan 18 1964,Werder Bremen,2-1,1. FC Nürnberg
17,Sat Jan 18 1964,TSV 1860 München,6-1,Borussia Dortmund
17,Sat Jan 18 1964,Karlsruher SC,2-2,1. FC Köln
17,Sat Jan 18 1964,FC Schalke 04,4-0,1. FC Kaiserslautern
17,Sat Jan 18 1964,Hertha BSC,0-2,VfB Stuttgart
18,Sat Jan 25 1964,Borussia Dortmund,3-0,FC Schalke 04
18,Sat Jan 25 1964,1. FC Nürnberg,1-0,Eintracht Frankfurt
18,Sat Jan 25 1964,Hamburger SV,1-1,Karlsruher SC
18,Sat Jan 25 1964,Eintracht Braunschweig,3-1,1. FC Saarbrücken
18,Sat Jan 25 1964,VfB Stuttgart,2-0,Werder Bremen
18,Sat Jan 25 1964,MSV Duisburg,0-0,Preußen Münster
18,Sat Jan 25 1964,1. FC Köln,2-2,TSV 1860 München
19,Sat Feb 1 1964,FC Schalke 04,2-3,1. FC Köln
19,Sat Feb 1 1964,Werder Bremen,2-0,1. FC Kaiserslautern
19,Sat Feb 1 1964,Karlsruher SC,3-1,Eintracht Braunschweig
16,Sat Feb 8 1964,VfB Stuttgart,2-0,FC Schalke 04
17,Sat Feb 8 1964,1. FC Saarbrücken,1-1,Hamburger SV
18,Sat Feb 8 1964,1. FC Kaiserslautern,3-0,Hertha BSC
17,Sat Feb 8 1964,Eintracht Frankfurt,2-2,MSV Duisburg
19,Sat Feb 8 1964,Preußen Münster,0-1,1. FC Nürnberg
20,Sat Feb 15 1964,1. FC Köln,3-1,Hertha BSC
20,Sat Feb 15 1964,1. FC Nürnberg,2-0,1. FC Saarbrücken
20,Sat Feb 15 1964,Borussia Dortmund,3-2,Karlsruher SC
20,Sat Feb 15 1964,Hamburger SV,3-1,FC Schalke 04
20,Sat Feb 15 1964,VfB Stuttgart,0-3,Preußen Münster
20,Sat Feb 15 1964,1. FC Kaiserslautern,2-1,TSV 1860 München
20,Sat Feb 15 1964,Eintracht Braunschweig,0-3,Eintracht Frankfurt
20,Sat Feb 15 1964,MSV Duisburg,1-0,Werder Bremen
21,Sat Feb 22 1964,1. FC Saarbrücken,0-1,VfB Stuttgart
21,Sat Feb 22 1964,Werder Bremen,1-1,1. FC Köln
21,Sat Feb 22 1964,Preußen Münster,1-0,1. FC Kaiserslautern
21,Sat Feb 22 1964,Hertha BSC,1-2,Hamburger SV
21,Sat Feb 22 1964,Karlsruher SC,1-3,1. FC Nürnberg
21,Sat Feb 22 1964,FC Schalke 04,2-0,Eintracht Braunschweig
21,Sat Feb 22 1964,Eintracht Frankfurt,2-1,Borussia Dortmund
22,Sat Feb 29 1964,1. FC Köln,1-1,Eintracht Frankfurt
22,Sat Feb 29 1964,VfB Stuttgart,4-1,Karlsruher SC
22,Sat Feb 29 1964,1. FC Nürnberg,2-2,TSV 1860 München
22,Sat Feb 29 1964,Borussia Dortmund,0-0,Preußen Münster
22,Sat Feb 29 1964,MSV Duisburg,3-0,FC Schalke 04
22,Sat Feb 29 1964,1. FC Kaiserslautern,2-4,1. FC Saarbrücken
23,Sat Mar 7 1964,TSV 1860 München,9-2,Hamburger SV
23,Sat Mar 7 1964,Karlsruher SC,5-1,1. FC Kaiserslautern
23,Sat Mar 7 1964,FC Schalke 04,4-1,1. FC Nürnberg
23,Sat Mar 7 1964,Preußen Münster,0-2,1. FC Köln
23,Sat Mar 7 1964,Hertha BSC,0-0,Borussia Dortmund
23,Sat Mar 7 1964,1. FC Saarbrücken,0-2,MSV Duisburg
23,Sat Mar 7 1964,Eintracht Frankfurt,3-2,VfB Stuttgart
23,Sat Mar 7 1964,Werder Bremen,2-3,Eintracht Braunschweig
24,Sat Mar 14 1964,Eintracht Frankfurt,4-0,Hertha BSC
24,Sat Mar 14 1964,Borussia Dortmund,7-1,VfB Stuttgart
24,Sat Mar 14 1964,Werder Bremen,1-0,FC Schalke 04
24,Sat Mar 14 1964,MSV Duisburg,2-2,1. FC Köln
24,Sat Mar 14 1964,1. FC Kaiserslautern,3-1,1. FC Nürnberg
24,Sat Mar 14 1964,TSV 1860 München,3-1,Preußen Münster
24,Sat Mar 14 1964,Karlsruher SC,2-2,1. FC Saarbrücken
24,Sat Mar 14 1964,Eintracht Braunschweig,2-1,Hamburger SV
25,Sat Mar 21 1964,1. FC Saarbrücken,1-2,TSV 1860 München
25,Sat Mar 21 1964,VfB Stuttgart,4-0,1. FC Kaiserslautern
25,Sat Mar 21 1964,Hamburger SV,3-3,MSV Duisburg
25,Sat Mar 21 1964,Preußen Münster,0-0,Karlsruher SC
25,Sat Mar 21 1964,1. FC Köln,4-1,Eintracht Braunschweig
25,Sat Mar 21 1964,FC Schalke 04,1-2,Eintracht Frankfurt
25,Sat Mar 21 1964,1. FC Nürnberg,4-0,Borussia Dortmund
22,Thu Mar 26 1964,Hamburger SV,1-1,Werder Bremen
19,Thu Mar 26 1964,TSV 1860 München,1-1,VfB Stuttgart
19,Fri Mar 27 1964,Hertha BSC,5-2,MSV Duisburg
22,Mon Mar 30 1964,Eintracht Braunschweig,1-1,Hertha BSC
19,Mon Mar 30 1964,1. FC Saarbrücken,2-1,Borussia Dortmund
19,Mon Mar 30 1964,Eintracht Frankfurt,2-2,Hamburger SV
21,Tue Mar 31 1964,TSV 1860 München,0-0,MSV Duisburg
26,Sat Apr 4 1964,Hamburger SV,1-1,1. FC Köln
26,Sat Apr 4 1964,MSV Duisburg,5-1,Eintracht Braunschweig
26,Sat Apr 4 1964,Hertha BSC,1-0,FC Schalke 04
26,Sat Apr 4 1964,Eintracht Frankfurt,7-0,Werder Bremen
26,Sat Apr 4 1964,Preußen Münster,2-1,1. FC Saarbrücken
26,Sat Apr 4 1964,1. FC Kaiserslautern,0-1,Borussia Dortmund
26,Sat Apr 4 1964,1. FC Nürnberg,0-0,VfB Stuttgart
26,Sat Apr 4 1964,Karlsruher SC,1-0,TSV 1860 München
27,Sat Apr 11 1964,1. FC Köln,5-0,1. FC Nürnberg
27,Sat Apr 11 1964,Eintracht Braunschweig,0-1,1. FC Kaiserslautern
27,Sat Apr 11 1964,1. FC Saarbrücken,3-0,Hertha BSC
27,Sat Apr 11 1964,VfB Stuttgart,2-2,Hamburger SV
27,Sat Apr 11 1964,Borussia Dortmund,0-0,MSV Duisburg
27,Sat Apr 11 1964,TSV 1860 München,1-1,Eintracht Frankfurt
27,Sat Apr 11 1964,FC Schalke 04,1-2,Preußen Münster
27,Sat Apr 11 1964,Werder Bremen,0-0,Karlsruher SC
25,Wed Apr 15 1964,Hertha BSC,5-2,Werder Bremen
28,Sat Apr 18 1964,1. FC Köln,5-2,Borussia Dortmund
28,Sat Apr 18 1964,MSV Duisburg,0-0,1. FC Nürnberg
28,Sat Apr 18 1964,Eintracht Braunschweig,2-0,VfB Stuttgart
28,Sat Apr 18 1964,Karlsruher SC,1-1,Hertha BSC
28,Sat Apr 18 1964,TSV 1860 München,7-1,FC Schalke 04
28,Sat Apr 18 1964,Hamburger SV,7-3,1. FC Kaiserslautern
28,Sat Apr 18 1964,1. FC Saarbrücken,3-2,Werder Bremen
28,Sat Apr 18 1964,Preußen Münster,1-3,Eintracht Frankfurt
29,Sat Apr 25 1964,VfB Stuttgart,1-2,MSV Duisburg
29,Sat Apr 25 1964,1. FC Kaiserslautern,3-3,1. FC Köln
29,Sat Apr 25 1964,Eintracht Frankfurt,3-1,1. FC Saarbrücken
29,Sat Apr 25 1964,Hertha BSC,3-1,TSV 1860 München
29,Sat Apr 25 1964,1. FC Nürnberg,1-0,Eintracht Braunschweig
29,Sat Apr 25 1964,Werder Bremen,4-2,Preußen Münster
