Date,Team 1,Team 2,FT,HT
2005-08-05,Bayern Munich,M'gladbach,3-0,1-0
2005-08-06,Duisburg,Stuttgart,1-1,1-1
2005-08-06,FC Koln,Mainz,1-0,0-0
2005-08-06,Hamburg,Nurnberg,3-0,2-0
2005-08-06,Hannover,Hertha,2-2,0-0
2005-08-06,Werder Bremen,Bielefeld,5-2,3-2
2005-08-06,Wolfsburg,Dortmund,2-2,1-0
2005-08-07,Ein Frankfurt,Leverkusen,1-4,1-1
2005-08-07,Schalke 04,Kaiserslautern,2-1,0-1
2005-08-13,Bielefeld,Hamburg,0-2,0-0
2005-08-13,Dortmund,Schalke 04,1-2,1-1
2005-08-13,Hertha,Ein Frankfurt,2-0,0-0
2005-08-13,Kaiserslautern,Duisburg,5-3,2-1
2005-08-13,Leverkusen,Bayern Munich,2-5,1-3
2005-08-13,M'gladbach,Wolfsburg,1-1,0-1
2005-08-13,Nurnberg,Hannover,1-1,0-1
2005-08-14,Mainz,Werder Bremen,0-2,0-1
2005-08-14,Stuttgart,FC Koln,2-3,0-1
2005-08-27,Bayern Munich,Hertha,3-0,0-0
2005-08-27,Ein Frankfurt,Nurnberg,1-0,0-0
2005-08-27,FC Koln,Kaiserslautern,2-3,0-1
2005-08-27,Hamburg,Hannover,1-1,1-1
2005-08-27,Schalke 04,M'gladbach,1-1,0-1
2005-08-27,Werder Bremen,Stuttgart,1-1,1-0
2005-08-27,Wolfsburg,Leverkusen,2-1,1-1
2005-08-28,Bielefeld,Mainz,2-0,2-0
2005-08-28,Duisburg,Dortmund,1-1,0-0
2005-09-10,Hannover,Ein Frankfurt,2-0,1-0
2005-09-10,Kaiserslautern,Werder Bremen,1-5,0-3
2005-09-10,Leverkusen,Schalke 04,1-1,0-0
2005-09-10,Mainz,Hamburg,1-3,0-1
2005-09-10,M'gladbach,Duisburg,2-1,1-1
2005-09-10,Nurnberg,Bayern Munich,1-2,1-1
2005-09-10,Stuttgart,Bielefeld,1-1,0-0
2005-09-11,Dortmund,FC Koln,2-1,1-0
2005-09-11,Hertha,Wolfsburg,3-0,0-0
2005-09-17,Bayern Munich,Hannover,1-0,1-0
2005-09-17,Bielefeld,Kaiserslautern,0-0,0-0
2005-09-17,FC Koln,M'gladbach,2-1,2-0
2005-09-17,Hamburg,Ein Frankfurt,1-1,0-0
2005-09-17,Mainz,Stuttgart,1-2,0-0
2005-09-17,Werder Bremen,Dortmund,3-2,1-1
2005-09-17,Wolfsburg,Nurnberg,1-1,1-0
2005-09-18,Duisburg,Leverkusen,1-3,1-2
2005-09-18,Schalke 04,Hertha,0-0,0-0
2005-09-20,Dortmund,Bielefeld,2-0,1-0
2005-09-20,Ein Frankfurt,Bayern Munich,0-1,0-0
2005-09-20,Hannover,Wolfsburg,2-4,1-4
2005-09-20,M'gladbach,Werder Bremen,2-1,0-1
2005-09-21,Hertha,Duisburg,3-2,1-1
2005-09-21,Kaiserslautern,Mainz,0-2,0-1
2005-09-21,Leverkusen,FC Koln,2-1,1-0
2005-09-21,Nurnberg,Schalke 04,1-1,1-0
2005-09-21,Stuttgart,Hamburg,1-2,0-1
2005-09-24,Bielefeld,M'gladbach,0-2,0-1
2005-09-24,Duisburg,Nurnberg,1-0,1-0
2005-09-24,Hamburg,Bayern Munich,2-0,1-0
2005-09-24,Mainz,Dortmund,1-1,0-0
