Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 17 1968,1. FC Nürnberg,1-4,Alemannia Aachen
1,Sat Aug 17 1968,Bayern München,2-0,1. FC Kaiserslautern
1,Sat Aug 17 1968,Eintracht Frankfurt,2-0,Hertha BSC
1,Sat Aug 17 1968,1. FC Köln,2-1,Kickers Offenbach
1,Sat Aug 17 1968,MSV Duisburg,1-0,FC Schalke 04
1,Sat Aug 17 1968,Borussia Dortmund,1-3,Bor. Mönchengladbach
1,Sat Aug 17 1968,Eintracht Braunschweig,1-0,Hamburger SV
1,Sat Aug 17 1968,Werder Bremen,3-2,Hannover 96
1,Sat Aug 17 1968,VfB Stuttgart,1-1,TSV 1860 München
2,Sat Aug 24 1968,Hertha BSC,1-1,MSV Duisburg
2,Sat Aug 24 1968,Bor. Mönchengladbach,2-1,1. FC Köln
2,Sat Aug 24 1968,Kickers Offenbach,2-1,1. FC Nürnberg
2,Sat Aug 24 1968,FC Schalke 04,0-2,Eintracht Braunschweig
2,Sat Aug 24 1968,Hannover 96,1-1,Borussia Dortmund
2,Sat Aug 24 1968,Hamburger SV,2-1,VfB Stuttgart
2,Sat Aug 24 1968,1. FC Kaiserslautern,1-0,Werder Bremen
2,Sat Aug 24 1968,TSV 1860 München,0-3,Bayern München
2,Sat Aug 24 1968,Alemannia Aachen,4-2,Eintracht Frankfurt
3,Sat Aug 31 1968,MSV Duisburg,1-1,Eintracht Frankfurt
3,Sat Aug 31 1968,VfB Stuttgart,1-1,FC Schalke 04
3,Sat Aug 31 1968,1. FC Nürnberg,4-0,Bor. Mönchengladbach
3,Sat Aug 31 1968,Bayern München,5-1,Hamburger SV
3,Sat Aug 31 1968,1. FC Köln,1-0,Hannover 96
3,Sat Aug 31 1968,Eintracht Braunschweig,3-3,Hertha BSC
3,Sat Aug 31 1968,Kickers Offenbach,1-1,Alemannia Aachen
4,Wed Sep 4 1968,FC Schalke 04,1-2,Bayern München
4,Wed Sep 4 1968,1. FC Kaiserslautern,4-0,1. FC Köln
4,Wed Sep 4 1968,Hamburger SV,5-2,Werder Bremen
4,Wed Sep 4 1968,Eintracht Frankfurt,0-1,Eintracht Braunschweig
4,Wed Sep 4 1968,Hertha BSC,0-1,VfB Stuttgart
4,Wed Sep 4 1968,Bor. Mönchengladbach,4-1,Kickers Offenbach
4,Wed Sep 4 1968,Alemannia Aachen,4-0,MSV Duisburg
4,Wed Sep 4 1968,Hannover 96,2-2,1. FC Nürnberg
4,Wed Sep 4 1968,TSV 1860 München,2-1,Borussia Dortmund
5,Sat Sep 7 1968,Borussia Dortmund,3-1,Hamburger SV
5,Sat Sep 7 1968,Bor. Mönchengladbach,2-2,Alemannia Aachen
5,Sat Sep 7 1968,Eintracht Braunschweig,0-0,MSV Duisburg
5,Sat Sep 7 1968,Kickers Offenbach,1-1,Hannover 96
5,Sat Sep 7 1968,1. FC Köln,0-0,TSV 1860 München
5,Sat Sep 7 1968,Bayern München,3-0,Hertha BSC
5,Sat Sep 7 1968,VfB Stuttgart,2-0,Eintracht Frankfurt
5,Sat Sep 7 1968,Werder Bremen,1-3,FC Schalke 04
5,Sat Sep 7 1968,1. FC Nürnberg,1-0,1. FC Kaiserslautern
6,Fri Sep 13 1968,MSV Duisburg,2-0,VfB Stuttgart
6,Sat Sep 14 1968,1. FC Kaiserslautern,2-1,Kickers Offenbach
6,Sat Sep 14 1968,Hertha BSC,1-0,Werder Bremen
6,Sat Sep 14 1968,Hannover 96,2-3,Bor. Mönchengladbach
6,Sat Sep 14 1968,Eintracht Frankfurt,1-1,Bayern München
6,Sat Sep 14 1968,FC Schalke 04,4-1,Borussia Dortmund
6,Sat Sep 14 1968,Hamburger SV,3-1,1. FC Köln
6,Sat Sep 14 1968,Alemannia Aachen,1-4,Eintracht Braunschweig
6,Sat Sep 14 1968,TSV 1860 München,2-0,1. FC Nürnberg
3,Tue Sep 17 1968,Borussia Dortmund,2-3,1. FC Kaiserslautern
3,Tue Sep 17 1968,Werder Bremen,4-1,TSV 1860 München
7,Fri Sep 20 1968,Kickers Offenbach,2-3,TSV 1860 München
7,Sat Sep 21 1968,VfB Stuttgart,2-2,Eintracht Braunschweig
7,Sat Sep 21 1968,Hannover 96,5-2,Alemannia Aachen
7,Sat Sep 21 1968,1. FC Nürnberg,0-0,Hamburger SV
7,Sat Sep 21 1968,1. FC Köln,2-0,FC Schalke 04
7,Sat Sep 21 1968,Werder Bremen,0-1,Eintracht Frankfurt
7,Sat Sep 21 1968,Borussia Dortmund,2-2,Hertha BSC
7,Sat Sep 21 1968,Bayern München,2-2,MSV Duisburg
7,Sat Sep 21 1968,Bor. Mönchengladbach,4-0,1. FC Kaiserslautern
8,Sat Sep 28 1968,Eintracht Frankfurt,1-1,Borussia Dortmund
8,Sat Sep 28 1968,Alemannia Aachen,1-3,VfB Stuttgart
8,Sat Sep 28 1968,Hertha BSC,2-1,1. FC Köln
8,Sat Sep 28 1968,FC Schalke 04,4-1,1. FC Nürnberg
8,Sat Sep 28 1968,1. FC Kaiserslautern,0-0,Hannover 96
8,Sat Sep 28 1968,Hamburger SV,3-0,Kickers Offenbach
8,Sat Sep 28 1968,MSV Duisburg,2-0,Werder Bremen
