Round,Date,Team 1,Team 2,FT,HT
1,1968-08-17,1. FC Nürnberg,Alemannia Aachen,1-4,0-2
1,1968-08-17,Bayern München,1. FC Kaiserslautern,2-0,2-0
1,1968-08-17,Eintracht Frankfurt,Hertha BSC,2-0,1-0
1,1968-08-17,1. FC Köln,Kickers Offenbach,2-1,1-0
1,1968-08-17,MSV Duisburg,FC Schalke 04,1-0,1-0
1,1968-08-17,Borussia Dortmund,Bor. Mönchengladbach,1-3,0-1
1,1968-08-17,Eintracht Braunschweig,Hamburger SV,1-0,1-0
1,1968-08-17,Werder Bremen,Hannover 96,3-2,2-0
1,1968-08-17,VfB Stuttgart,TSV 1860 München,1-1,1-0
2,1968-08-24,Hertha BSC,MSV Duisburg,1-1,0-0
2,1968-08-24,Bor. Mönchengladbach,1. FC Köln,2-1,0-0
2,1968-08-24,Kickers Offenbach,1. FC Nürnberg,2-1,1-0
2,1968-08-24,FC Schalke 04,Eintracht Braunschweig,0-2,0-0
2,1968-08-24,Hannover 96,Borussia Dortmund,1-1,1-1
2,1968-08-24,Hamburger SV,VfB Stuttgart,2-1,0-0
2,1968-08-24,1. FC Kaiserslautern,Werder Bremen,1-0,1-0
2,1968-08-24,TSV 1860 München,Bayern München,0-3,0-2
2,1968-08-24,Alemannia Aachen,Eintracht Frankfurt,4-2,3-1
3,1968-08-31,MSV Duisburg,Eintracht Frankfurt,1-1,1-0
3,1968-08-31,VfB Stuttgart,FC Schalke 04,1-1,1-0
3,1968-08-31,1. FC Nürnberg,Bor. Mönchengladbach,4-0,0-0
3,1968-08-31,Bayern München,Hamburger SV,5-1,1-0
3,1968-08-31,1. FC Köln,Hannover 96,1-0,0-0
3,1968-08-31,Eintracht Braunschweig,Hertha BSC,3-3,0-1
3,1968-08-31,Kickers Offenbach,Alemannia Aachen,1-1,0-0
3,1968-09-17,Borussia Dortmund,1. FC Kaiserslautern,2-3,0-1
3,1968-09-17,Werder Bremen,TSV 1860 München,4-1,0-0
4,1968-09-04,Hertha BSC,VfB Stuttgart,0-1,0-0
4,1968-09-04,Bor. Mönchengladbach,Kickers Offenbach,4-1,3-0
4,1968-09-04,Alemannia Aachen,MSV Duisburg,4-0,3-0
4,1968-09-04,Hannover 96,1. FC Nürnberg,2-2,1-2
4,1968-09-04,FC Schalke 04,Bayern München,1-2,1-1
4,1968-09-04,TSV 1860 München,Borussia Dortmund,2-1,0-1
4,1968-09-04,Hamburger SV,Werder Bremen,5-2,2-1
4,1968-09-04,1. FC Kaiserslautern,1. FC Köln,4-0,0-0
4,1968-09-04,Eintracht Frankfurt,Eintracht Braunschweig,0-1,0-0
5,1968-09-07,1. FC Köln,TSV 1860 München,0-0,0-0
5,1968-09-07,Bayern München,Hertha BSC,3-0,3-0
5,1968-09-07,1. FC Nürnberg,1. FC Kaiserslautern,1-0,1-0
5,1968-09-07,Werder Bremen,FC Schalke 04,1-3,1-1
5,1968-09-07,Borussia Dortmund,Hamburger SV,3-1,1-0
5,1968-09-07,Bor. Mönchengladbach,Alemannia Aachen,2-2,1-0
5,1968-09-07,VfB Stuttgart,Eintracht Frankfurt,2-0,2-0
5,1968-09-07,Kickers Offenbach,Hannover 96,1-1,0-0
5,1968-09-07,Eintracht Braunschweig,MSV Duisburg,0-0,0-0
6,1968-09-13,MSV Duisburg,VfB Stuttgart,2-0,0-0
6,1968-09-14,FC Schalke 04,Borussia Dortmund,4-1,3-1
6,1968-09-14,Hannover 96,Bor. Mönchengladbach,2-3,2-1
6,1968-09-14,Alemannia Aachen,Eintracht Braunschweig,1-4,0-3
6,1968-09-14,TSV 1860 München,1. FC Nürnberg,2-0,1-0
6,1968-09-14,Hertha BSC,Werder Bremen,1-0,1-0
6,1968-09-14,Eintracht Frankfurt,Bayern München,1-1,1-1
6,1968-09-14,1. FC Kaiserslautern,Kickers Offenbach,2-1,1-0
6,1968-09-14,Hamburger SV,1. FC Köln,3-1,2-1
7,1968-09-20,Kickers Offenbach,TSV 1860 München,2-3,0-1
7,1968-09-21,VfB Stuttgart,Eintracht Braunschweig,2-2,1-2
7,1968-09-21,Hannover 96,Alemannia Aachen,5-2,4-0
7,1968-09-21,1. FC Nürnberg,Hamburger SV,0-0,0-0
7,1968-09-21,1. FC Köln,FC Schalke 04,2-0,1-0
7,1968-09-21,Werder Bremen,Eintracht Frankfurt,0-1,0-0
7,1968-09-21,Borussia Dortmund,Hertha BSC,2-2,1-1
7,1968-09-21,Bayern München,MSV Duisburg,2-2,1-1
7,1968-09-21,Bor. Mönchengladbach,1. FC Kaiserslautern,4-0,2-0
8,1968-09-28,Eintracht Frankfurt,Borussia Dortmund,1-1,0-0
8,1968-09-28,Alemannia Aachen,VfB Stuttgart,1-3,0-3
8,1968-09-28,Hertha BSC,1. FC Köln,2-1,0-0
8,1968-09-28,FC Schalke 04,1. FC Nürnberg,4-1,1-0
8,1968-09-28,1. FC Kaiserslautern,Hannover 96,0-0,0-0
8,1968-09-28,Hamburger SV,Kickers Offenbach,3-0,1-0
8,1968-09-28,MSV Duisburg,Werder Bremen,2-0,0-0
8,1968-09-28,TSV 1860 München,Bor. Mönchengladbach,0-4,0-1
8,1968-09-28,Eintracht Braunschweig,Bayern München,2-3,1-1
9,1968-10-05,1. FC Kaiserslautern,Alemannia Aachen,2-1,1-1
9,1968-10-05,1. FC Köln,Eintracht Frankfurt,2-1,1-0
9,1968-10-05,1. FC Nürnberg,Hertha BSC,3-0,3-0
9,1968-10-05,Kickers Offenbach,FC Schalke 04,1-0,1-0
9,1968-10-05,Borussia Dortmund,MSV Duisburg,2-1,1-0
9,1968-10-05,Bor. Mönchengladbach,Hamburger SV,1-2,1-2
9,1968-10-05,Werder Bremen,Eintracht Braunschweig,2-1,1-1
9,1968-10-05,Hannover 96,TSV 1860 München,3-2,1-1
9,1968-10-05,Bayern München,VfB Stuttgart,2-0,0-0
10,1968-10-19,FC Schalke 04,Bor. Mönchengladbach,1-1,0-1
10,1968-10-19,Alemannia Aachen,Bayern München,2-4,1-2
10,1968-10-19,TSV 1860 München,1. FC Kaiserslautern,1-0,0-0
10,1968-10-19,Hertha BSC,Kickers Offenbach,1-0,1-0
10,1968-10-19,Eintracht Frankfurt,1. FC Nürnberg,3-0,0-0
10,1968-10-19,MSV Duisburg,1. FC Köln,0-0,0-0
10,1968-10-19,Eintracht Braunschweig,Borussia Dortmund,4-3,1-2
10,1968-10-19,VfB Stuttgart,Werder Bremen,2-2,1-0
10,1968-10-19,Hamburger SV,Hannover 96,1-4,0-2
11,1968-10-26,TSV 1860 München,Alemannia Aachen,0-0,0-0
11,1968-10-26,Werder Bremen,Bayern München,1-0,0-0
11,1968-10-26,Bor. Mönchengladbach,Hertha BSC,0-1,0-1
11,1968-10-26,1. FC Nürnberg,MSV Duisburg,1-1,1-0
11,1968-10-26,Hannover 96,FC Schalke 04,1-0,1-0
11,1968-10-26,Borussia Dortmund,VfB Stuttgart,1-0,0-0
11,1968-10-26,1. FC Kaiserslautern,Hamburger SV,0-1,0-0
11,1968-10-26,Kickers Offenbach,Eintracht Frankfurt,4-2,1-1
11,1968-10-26,1. FC Köln,Eintracht Braunschweig,2-0,1-0
12,1968-10-30,Eintracht Braunschweig,1. FC Nürnberg,0-2,0-1
12,1968-10-30,FC Schalke 04,1. FC Kaiserslautern,1-0,0-0
12,1968-10-30,Bayern München,Borussia Dortmund,4-1,2-0
12,1968-10-30,Hamburger SV,TSV 1860 München,2-0,0-0
