Round,Date,Team 1,FT,HT,Team 2
1,(Fri) 10 Aug 2007 (32),VfB Stuttgart (1),2-2,0-1,FC Schalke 04 (1)
1,(Sat) 11 Aug 2007 (32),Bayern München (1),3-0,1-0,Hansa Rostock (1)
1,(Sat) 11 Aug 2007 (32),Bayer 04 Leverkusen (1),0-0,0-0,Energie Cottbus (1)
1,(Sat) 11 Aug 2007 (32),VfL Bochum (1),2-2,0-2,Werder Bremen (1)
1,(Sat) 11 Aug 2007 (32),Hannover 96 (1),0-1,0-1,Hamburger SV (1)
1,(Sat) 11 Aug 2007 (32),Eintracht Frankfurt (1),1-0,1-0,Hertha BSC (1)
1,(Sat) 11 Aug 2007 (32),VfL Wolfsburg (1),1-3,0-1,Arminia Bielefeld (1)
1,(Sun) 12 Aug 2007 (32),1. FC Nürnberg (1),0-2,0-1,Karlsruher SC (1)
1,(Sun) 12 Aug 2007 (32),Borussia Dortmund (1),1-3,0-1,MSV Duisburg (1)
2,(Fri) 17 Aug 2007 (33),Karlsruher SC (2),1-2,1-0,Hannover 96 (2)
2,(Sat) 18 Aug 2007 (33),FC Schalke 04 (2),4-1,2-0,Borussia Dortmund (2)
2,(Sat) 18 Aug 2007 (33),Werder Bremen (2),0-4,0-1,Bayern München (2)
2,(Sat) 18 Aug 2007 (33),Hertha BSC (2),3-1,0-1,VfB Stuttgart (2)
2,(Sat) 18 Aug 2007 (33),Arminia Bielefeld (2),2-2,0-0,Eintracht Frankfurt (2)
2,(Sat) 18 Aug 2007 (33),Hansa Rostock (2),1-2,0-2,1. FC Nürnberg (2)
2,(Sat) 18 Aug 2007 (33),MSV Duisburg (2),1-3,0-1,VfL Wolfsburg (2)
2,(Sun) 19 Aug 2007 (33),Hamburger SV (2),1-0,0-0,Bayer 04 Leverkusen (2)
2,(Sun) 19 Aug 2007 (33),Energie Cottbus (2),1-2,0-2,VfL Bochum (2)
3,(Fri) 24 Aug 2007 (34),VfL Bochum (3),2-1,1-0,Hamburger SV (3)
3,(Sat) 25 Aug 2007 (34),VfB Stuttgart (3),1-0,1-0,MSV Duisburg (3)
3,(Sat) 25 Aug 2007 (34),Bayern München (3),3-0,1-0,Hannover 96 (3)
3,(Sat) 25 Aug 2007 (34),Bayer 04 Leverkusen (3),3-0,3-0,Karlsruher SC (3)
3,(Sat) 25 Aug 2007 (34),1. FC Nürnberg (3),0-1,0-0,Werder Bremen (3)
3,(Sat) 25 Aug 2007 (34),Borussia Dortmund (3),3-0,1-0,Energie Cottbus (3)
3,(Sat) 25 Aug 2007 (34),Arminia Bielefeld (3),2-0,0-0,Hertha BSC (3)
3,(Sun) 26 Aug 2007 (34),Eintracht Frankfurt (3),1-0,1-0,Hansa Rostock (3)
3,(Sun) 26 Aug 2007 (34),VfL Wolfsburg (3),1-1,1-0,FC Schalke 04 (3)
4,(Fri) 31 Aug 2007 (35),FC Schalke 04 (4),1-1,1-0,Bayer 04 Leverkusen (4)
4,(Sat) 1 Sep 2007 (35),Werder Bremen (4),2-1,1-0,Eintracht Frankfurt (4)
4,(Sat) 1 Sep 2007 (35),Hertha BSC (4),2-1,1-0,VfL Wolfsburg (4)
4,(Sat) 1 Sep 2007 (35),Hannover 96 (4),3-2,2-1,VfL Bochum (4)
4,(Sat) 1 Sep 2007 (35),Energie Cottbus (4),1-1,1-0,1. FC Nürnberg (4)
4,(Sat) 1 Sep 2007 (35),Hansa Rostock (4),0-1,0-0,Borussia Dortmund (4)
4,(Sat) 1 Sep 2007 (35),MSV Duisburg (4),3-0,0-0,Arminia Bielefeld (4)
4,(Sun) 2 Sep 2007 (35),Hamburger SV (4),1-1,0-0,Bayern München (4)
4,(Sun) 2 Sep 2007 (35),Karlsruher SC (4),1-0,0-0,VfB Stuttgart (4)
5,(Fri) 14 Sep 2007 (37),Borussia Dortmund (5),3-0,3-0,Werder Bremen (5)
5,(Sat) 15 Sep 2007 (37),VfB Stuttgart (5),3-0,0-0,Energie Cottbus (5)
5,(Sat) 15 Sep 2007 (37),Bayern München (5),1-1,0-1,FC Schalke 04 (5)
5,(Sat) 15 Sep 2007 (37),Bayer 04 Leverkusen (5),2-0,0-0,VfL Bochum (5)
5,(Sat) 15 Sep 2007 (37),1. FC Nürnberg (5),2-2,0-2,Hannover 96 (5)
5,(Sat) 15 Sep 2007 (37),Arminia Bielefeld (5),4-2,1-0,Hansa Rostock (5)
5,(Sat) 15 Sep 2007 (37),Eintracht Frankfurt (5),2-1,1-0,Hamburger SV (5)
5,(Sun) 16 Sep 2007 (37),VfL Wolfsburg (5),1-2,1-0,Karlsruher SC (5)
5,(Sun) 16 Sep 2007 (37),MSV Duisburg (5),1-2,0-0,Hertha BSC (5)
6,(Fri) 21 Sep 2007 (38),VfL Bochum (6),0-0,0-0,Eintracht Frankfurt (6)
6,(Sat) 22 Sep 2007 (38),FC Schalke 04 (6),3-0,1-0,Arminia Bielefeld (6)
6,(Sat) 22 Sep 2007 (38),Werder Bremen (6),4-1,3-1,VfB Stuttgart (6)
6,(Sat) 22 Sep 2007 (38),Hamburger SV (6),1-0,0-0,1. FC Nürnberg (6)
6,(Sat) 22 Sep 2007 (38),Hertha BSC (6),3-2,1-1,Borussia Dortmund (6)
6,(Sat) 22 Sep 2007 (38),Energie Cottbus (6),1-2,1-1,VfL Wolfsburg (6)
6,(Sat) 22 Sep 2007 (38),Hansa Rostock (6),2-0,1-0,MSV Duisburg (6)
6,(Sun) 23 Sep 2007 (38),Hannover 96 (6),0-3,0-0,Bayer 04 Leverkusen (6)
6,(Sun) 23 Sep 2007 (38),Karlsruher SC (6),1-4,0-2,Bayern München (6)
7,(Tue) 25 Sep 2007 (39),Borussia Dortmund (7),0-3,0-2,Hamburger SV (7)
7,(Tue) 25 Sep 2007 (39),Hertha BSC (7),1-3,1-1,Hansa Rostock (7)
7,(Tue) 25 Sep 2007 (39),VfL Wolfsburg (7),1-1,0-0,Werder Bremen (7)
7,(Tue) 25 Sep 2007 (39),MSV Duisburg (7),0-2,0-1,FC Schalke 04 (7)
7,(Wed) 26 Sep 2007 (39),VfB Stuttgart (7),1-0,0-0,VfL Bochum (7)
7,(Wed) 26 Sep 2007 (39),Bayern München (7),5-0,0-0,Energie Cottbus (7)
7,(Wed) 26 Sep 2007 (39),1. FC Nürnberg (7),1-2,0-1,Bayer 04 Leverkusen (7)
7,(Wed) 26 Sep 2007 (39),Arminia Bielefeld (7),0-2,0-0,Hannover 96 (7)
7,(Wed) 26 Sep 2007 (39),Eintracht Frankfurt (7),0-1,0-0,Karlsruher SC (7)
8,(Fri) 28 Sep 2007 (39),FC Schalke 04 (8),1-0,1-0,Hertha BSC (8)
8,(Sat) 29 Sep 2007 (39),Werder Bremen (8),8-1,4-1,Arminia Bielefeld (8)
8,(Sat) 29 Sep 2007 (39),Bayer 04 Leverkusen (8),0-1,0-1,Bayern München (8)
8,(Sat) 29 Sep 2007 (39),Hamburger SV (8),2-2,1-0,VfL Wolfsburg (8)
8,(Sat) 29 Sep 2007 (39),VfL Bochum (8),3-3,1-1,1. FC Nürnberg (8)
8,(Sat) 29 Sep 2007 (39),Karlsruher SC (8),3-1,1-1,Borussia Dortmund (8)
8,(Sat) 29 Sep 2007 (39),Hansa Rostock (8),2-1,2-0,VfB Stuttgart (8)
8,(Sun) 30 Sep 2007 (39),Hannover 96 (8),2-1,1-1,MSV Duisburg (8)
8,(Sun) 30 Sep 2007 (39),Energie Cottbus (8),2-2,2-0,Eintracht Frankfurt (8)
9,(Fri) 5 Oct 2007 (40),Borussia Dortmund (9),2-1,1-1,VfL Bochum (9)
9,(Sat) 6 Oct 2007 (40),VfB Stuttgart (9),0-2,0-1,Hannover 96 (9)
9,(Sat) 6 Oct 2007 (40),FC Schalke 04 (9),0-2,0-0,Karlsruher SC (9)
9,(Sat) 6 Oct 2007 (40),Hertha BSC (9),0-0,0-0,Energie Cottbus (9)
9,(Sat) 6 Oct 2007 (40),Arminia Bielefeld (9),0-1,0-0,Hamburger SV (9)
9,(Sat) 6 Oct 2007 (40),VfL Wolfsburg (9),1-0,0-0,Hansa Rostock (9)
9,(Sat) 6 Oct 2007 (40),MSV Duisburg (9),1-3,1-1,Werder Bremen (9)
9,(Sun) 7 Oct 2007 (40),Bayern München (9),3-0,2-0,1. FC Nürnberg (9)
9,(Sun) 7 Oct 2007 (40),Eintracht Frankfurt (9),2-1,0-0,Bayer 04 Leverkusen (9)
10,(Fri) 19 Oct 2007 (42),Energie Cottbus (10),1-2,0-1,MSV Duisburg (10)
10,(Sat) 20 Oct 2007 (42),Werder Bremen (10),3-2,0-0,Hertha BSC (10)
10,(Sat) 20 Oct 2007 (42),Bayer 04 Leverkusen (10),2-2,0-1,Borussia Dortmund (10)
10,(Sat) 20 Oct 2007 (42),1. FC Nürnberg (10),5-1,1-1,Eintracht Frankfurt (10)
10,(Sat) 20 Oct 2007 (42),Hamburger SV (10),4-1,3-0,VfB Stuttgart (10)
10,(Sat) 20 Oct 2007 (42),VfL Bochum (10),1-2,1-1,Bayern München (10)
10,(Sat) 20 Oct 2007 (42),Hansa Rostock (10),1-1,0-1,FC Schalke 04 (10)
10,(Sun) 21 Oct 2007 (42),Hannover 96 (10),2-2,2-2,VfL Wolfsburg (10)
10,(Sun) 21 Oct 2007 (42),Karlsruher SC (10),0-0,0-0,Arminia Bielefeld (10)
11,(Fri) 26 Oct 2007 (43),Eintracht Frankfurt (11),0-0,0-0,Hannover 96 (11)
11,(Sat) 27 Oct 2007 (43),VfB Stuttgart (11),1-0,0-0,Bayer 04 Leverkusen (11)
11,(Sat) 27 Oct 2007 (43),FC Schalke 04 (11),1-1,1-1,Werder Bremen (11)
11,(Sat) 27 Oct 2007 (43),Hertha BSC (11),2-0,2-0,VfL Bochum (11)
11,(Sat) 27 Oct 2007 (43),Arminia Bielefeld (11),1-1,0-0,Energie Cottbus (11)
11,(Sat) 27 Oct 2007 (43),VfL Wolfsburg (11),3-1,2-0,1. FC Nürnberg (11)
11,(Sat) 27 Oct 2007 (43),Hansa Rostock (11),0-0,0-0,Karlsruher SC (11)
11,(Sun) 28 Oct 2007 (43),Borussia Dortmund (11),0-0,0-0,Bayern München (11)
11,(Sun) 28 Oct 2007 (43),MSV Duisburg (11),0-1,0-1,Hamburger SV (11)
12,(Fri) 2 Nov 2007 (44),Energie Cottbus (12),1-0,0-0,FC Schalke 04 (12)
12,(Sat) 3 Nov 2007 (44),Werder Bremen (12),1-0,1-0,Hansa Rostock (12)
12,(Sat) 3 Nov 2007 (44),Bayern München (12),0-0,0-0,Eintracht Frankfurt (12)
12,(Sat) 3 Nov 2007 (44),Bayer 04 Leverkusen (12),4-0,3-0,Arminia Bielefeld (12)
12,(Sat) 3 Nov 2007 (44),1. FC Nürnberg (12),0-1,0-1,VfB Stuttgart (12)
12,(Sat) 3 Nov 2007 (44),Hamburger SV (12),2-1,1-0,Hertha BSC (12)
12,(Sat) 3 Nov 2007 (44),Hannover 96 (12),2-1,0-0,Borussia Dortmund (12)
12,(Sun) 4 Nov 2007 (44),VfL Bochum (12),5-3,4-0,VfL Wolfsburg (12)
12,(Sun) 4 Nov 2007 (44),Karlsruher SC (12),1-0,1-0,MSV Duisburg (12)
13,(Fri) 9 Nov 2007 (45),MSV Duisburg (13),0-2,0-1,VfL Bochum (13)
13,(Sat) 10 Nov 2007 (45),VfB Stuttgart (13),3-1,3-0,Bayern München (13)
