Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Aug 2007 (W32),Alemannia Aachen (1),2-2,2-1,FC Carl Zeiss Jena (1)
?,(Fri) 10 Aug 2007 (W32),Osnabrück (1),2-1,1-0,SC Freiburg (1)
?,(Fri) 10 Aug 2007 (W32),FC St. Pauli (1),0-2,0-0,1. FC Köln (1)
?,(Sun) 12 Aug 2007 (W32),FC Augsburg (1),2-6,1-3,TSV 1860 München (1)
?,(Sun) 12 Aug 2007 (W32),FC Erzgebirge Aue (1),1-1,0-0,Greuther Fürth (1)
?,(Sun) 12 Aug 2007 (W32),TSG 1899 Hoffenheim (1),2-3,2-1,SV Wehen Wiesbaden (1)
?,(Sun) 12 Aug 2007 (W32),1. FSV Mainz 05 (1),4-1,1-1,TuS Koblenz (1)
?,(Sun) 12 Aug 2007 (W32),SC Paderborn 07 (1),0-2,0-0,Kickers Offenbach (1)
?,(Mon) 13 Aug 2007 (W33),1. FC Kaiserslautern (1),1-1,0-0,Bor. Mönchengladbach (1)
?,(Fri) 17 Aug 2007 (W33),SC Freiburg (2),1-0,0-0,SC Paderborn 07 (2)
?,(Fri) 17 Aug 2007 (W33),TuS Koblenz (2),2-1,1-0,FC Augsburg (2)
?,(Fri) 17 Aug 2007 (W33),SV Wehen Wiesbaden (2),1-1,0-1,Osnabrück (2)
?,(Sun) 19 Aug 2007 (W33),FC Carl Zeiss Jena (2),0-1,0-1,FC St. Pauli (2)
?,(Sun) 19 Aug 2007 (W33),Greuther Fürth (2),3-0,1-0,1. FSV Mainz 05 (2)
?,(Sun) 19 Aug 2007 (W33),Bor. Mönchengladbach (2),0-0,0-0,TSG 1899 Hoffenheim (2)
?,(Sun) 19 Aug 2007 (W33),TSV 1860 München (2),3-1,0-1,1. FC Kaiserslautern (2)
?,(Sun) 19 Aug 2007 (W33),Kickers Offenbach (2),3-2,2-1,FC Erzgebirge Aue (2)
?,(Mon) 20 Aug 2007 (W34),1. FC Köln (2),0-1,0-1,Alemannia Aachen (2)
?,(Fri) 24 Aug 2007 (W34),1. FC Köln (3),4-3,1-2,FC Carl Zeiss Jena (3)
?,(Fri) 24 Aug 2007 (W34),1. FSV Mainz 05 (3),4-1,2-0,Bor. Mönchengladbach (3)
?,(Fri) 24 Aug 2007 (W34),Osnabrück (3),0-0,0-0,SC Paderborn 07 (3)
?,(Sun) 26 Aug 2007 (W34),Alemannia Aachen (3),4-0,0-0,Kickers Offenbach (3)
?,(Sun) 26 Aug 2007 (W34),FC Erzgebirge Aue (3),3-0,0-0,SV Wehen Wiesbaden (3)
?,(Sun) 26 Aug 2007 (W34),TSG 1899 Hoffenheim (3),0-3,0-2,TSV 1860 München (3)
?,(Sun) 26 Aug 2007 (W34),1. FC Kaiserslautern (3),0-1,0-1,Greuther Fürth (3)
?,(Sun) 26 Aug 2007 (W34),FC St. Pauli (3),1-0,0-0,TuS Koblenz (3)
?,(Mon) 27 Aug 2007 (W35),FC Augsburg (3),1-1,1-0,SC Freiburg (3)
?,(Fri) 31 Aug 2007 (W35),TuS Koblenz (4),2-2,1-1,1. FC Kaiserslautern (4)
?,(Fri) 31 Aug 2007 (W35),TSV 1860 München (4),1-1,0-0,1. FC Köln (4)
?,(Fri) 31 Aug 2007 (W35),Kickers Offenbach (4),1-0,0-0,FC Augsburg (4)
?,(Sun) 2 Sep 2007 (W35),FC Carl Zeiss Jena (4),1-2,0-1,1. FSV Mainz 05 (4)
?,(Sun) 2 Sep 2007 (W35),Greuther Fürth (4),2-1,1-1,FC St. Pauli (4)
?,(Sun) 2 Sep 2007 (W35),Bor. Mönchengladbach (4),2-1,2-0,Osnabrück (4)
?,(Sun) 2 Sep 2007 (W35),SC Paderborn 07 (4),0-1,0-0,FC Erzgebirge Aue (4)
?,(Sun) 2 Sep 2007 (W35),SV Wehen Wiesbaden (4),3-0,0-0,Alemannia Aachen (4)
?,(Mon) 3 Sep 2007 (W36),SC Freiburg (4),3-2,2-1,TSG 1899 Hoffenheim (4)
?,(Fri) 14 Sep 2007 (W37),FC Carl Zeiss Jena (5),1-2,1-2,TuS Koblenz (5)
?,(Fri) 14 Sep 2007 (W37),1. FC Kaiserslautern (5),0-0,0-0,SC Paderborn 07 (5)
?,(Fri) 14 Sep 2007 (W37),FC St. Pauli (5),3-1,2-1,Kickers Offenbach (5)
?,(Sun) 16 Sep 2007 (W37),Alemannia Aachen (5),0-0,0-0,TSV 1860 München (5)
?,(Sun) 16 Sep 2007 (W37),FC Augsburg (5),5-1,3-0,SV Wehen Wiesbaden (5)
?,(Sun) 16 Sep 2007 (W37),1. FC Köln (5),0-0,0-0,Greuther Fürth (5)
?,(Sun) 16 Sep 2007 (W37),TSG 1899 Hoffenheim (5),3-1,0-1,Osnabrück (5)
?,(Sun) 16 Sep 2007 (W37),1. FSV Mainz 05 (5),1-1,0-0,SC Freiburg (5)
?,(Mon) 17 Sep 2007 (W38),FC Erzgebirge Aue (5),2-3,0-2,Bor. Mönchengladbach (5)
?,(Fri) 21 Sep 2007 (W38),Greuther Fürth (6),2-0,1-0,Alemannia Aachen (6)
?,(Fri) 21 Sep 2007 (W38),Bor. Mönchengladbach (6),4-2,1-0,FC Augsburg (6)
?,(Fri) 21 Sep 2007 (W38),TSV 1860 München (6),2-1,2-1,FC St. Pauli (6)
?,(Fri) 21 Sep 2007 (W38),Osnabrück (6),2-1,1-0,FC Erzgebirge Aue (6)
?,(Fri) 21 Sep 2007 (W38),SC Paderborn 07 (6),0-2,0-2,TSG 1899 Hoffenheim (6)
