Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 8 1981,Bayern München,6-2,Bayer 04 Leverkusen
1,Sat Aug 8 1981,Arminia Bielefeld,1-1,SV Darmstadt 98
1,Sat Aug 8 1981,Bor. Mönchengladbach,2-4,Werder Bremen
1,Sat Aug 8 1981,VfB Stuttgart,3-2,Fortuna Düsseldorf
1,Sat Aug 8 1981,MSV Duisburg,1-1,Karlsruher SC
1,Sat Aug 8 1981,Hamburger SV,4-2,Eintracht Braunschweig
1,Sat Aug 8 1981,Eintracht Frankfurt,2-2,1. FC Kaiserslautern
1,Sat Aug 8 1981,1. FC Köln,1-0,Borussia Dortmund
1,Sat Aug 8 1981,VfL Bochum,2-0,1. FC Nürnberg
2,Fri Aug 14 1981,1. FC Nürnberg,1-3,1. FC Köln
2,Fri Aug 14 1981,Werder Bremen,1-0,Arminia Bielefeld
2,Fri Aug 14 1981,Bayer 04 Leverkusen,0-3,VfL Bochum
2,Sat Aug 15 1981,Eintracht Braunschweig,2-1,MSV Duisburg
2,Sat Aug 15 1981,Borussia Dortmund,0-2,Eintracht Frankfurt
2,Sat Aug 15 1981,Karlsruher SC,0-2,VfB Stuttgart
2,Sat Aug 15 1981,Fortuna Düsseldorf,0-2,Bor. Mönchengladbach
2,Sat Aug 15 1981,SV Darmstadt 98,1-2,Bayern München
2,Sat Aug 15 1981,1. FC Kaiserslautern,1-1,Hamburger SV
3,Fri Aug 21 1981,Bor. Mönchengladbach,2-2,Karlsruher SC
3,Fri Aug 21 1981,MSV Duisburg,3-1,1. FC Kaiserslautern
3,Fri Aug 21 1981,Bayer 04 Leverkusen,3-2,SV Darmstadt 98
3,Sat Aug 22 1981,VfL Bochum,3-1,1. FC Köln
3,Sat Aug 22 1981,Bayern München,3-1,Werder Bremen
3,Sat Aug 22 1981,VfB Stuttgart,2-0,Eintracht Braunschweig
3,Sat Aug 22 1981,Hamburger SV,2-2,Borussia Dortmund
3,Sat Aug 22 1981,Eintracht Frankfurt,3-1,1. FC Nürnberg
3,Sat Aug 22 1981,Arminia Bielefeld,1-1,Fortuna Düsseldorf
4,Tue Aug 25 1981,1. FC Kaiserslautern,3-2,VfB Stuttgart
4,Tue Aug 25 1981,Eintracht Braunschweig,0-1,Bor. Mönchengladbach
4,Tue Aug 25 1981,Werder Bremen,0-0,Bayer 04 Leverkusen
4,Wed Aug 26 1981,1. FC Nürnberg,0-3,Hamburger SV
4,Wed Aug 26 1981,Karlsruher SC,2-1,Arminia Bielefeld
4,Wed Aug 26 1981,Fortuna Düsseldorf,1-2,Bayern München
4,Wed Aug 26 1981,SV Darmstadt 98,2-0,VfL Bochum
4,Wed Aug 26 1981,1. FC Köln,2-0,Eintracht Frankfurt
