Round,Date,Team 1,FT,HT,Team 2
1,(Fri) 9 Aug 1985 (31),FC Schalke 04 (1),0-1,0-1,Werder Bremen (1)
1,(Sat) 10 Aug 1985 (31),Fortuna Düsseldorf (1),4-1,2-1,SV Waldhof Mannheim (1)
1,(Sat) 10 Aug 1985 (31),1. FC Nürnberg (1),0-1,0-0,VfL Bochum (1)
1,(Sat) 10 Aug 1985 (31),1. FC Köln (1),1-1,0-0,Eintracht Frankfurt (1)
1,(Sat) 10 Aug 1985 (31),Hamburger SV (1),4-1,1-1,1. FC Kaiserslautern (1)
1,(Sat) 10 Aug 1985 (31),1. FC Saarbrücken (1),1-1,1-1,Borussia Dortmund (1)
1,(Sat) 10 Aug 1985 (31),Hannover 96 (1),1-1,1-0,Bayer 04 Leverkusen (1)
1,(Sat) 10 Aug 1985 (31),VfB Stuttgart (1),0-0,0-0,Bor. Mönchengladbach (1)
1,(Sat) 10 Aug 1985 (31),KFC Uerdingen (1),1-0,1-0,Bayern München (1)
2,(Fri) 16 Aug 1985 (32),Werder Bremen (2),8-2,4-2,Hannover 96 (2)
2,(Fri) 16 Aug 1985 (32),Borussia Dortmund (2),1-1,0-0,Hamburger SV (2)
2,(Fri) 16 Aug 1985 (32),SV Waldhof Mannheim (2),2-0,0-0,KFC Uerdingen (2)
2,(Sat) 17 Aug 1985 (32),Bayern München (2),4-1,1-1,VfB Stuttgart (2)
2,(Sat) 17 Aug 1985 (32),Bayer 04 Leverkusen (2),2-0,1-0,1. FC Saarbrücken (2)
2,(Sat) 17 Aug 1985 (32),1. FC Kaiserslautern (2),1-0,0-0,1. FC Köln (2)
2,(Sat) 17 Aug 1985 (32),Eintracht Frankfurt (2),1-1,0-1,1. FC Nürnberg (2)
2,(Sat) 17 Aug 1985 (32),VfL Bochum (2),5-3,3-0,Fortuna Düsseldorf (2)
2,(Sat) 17 Aug 1985 (32),Bor. Mönchengladbach (2),4-0,1-0,FC Schalke 04 (2)
3,(Tue) 20 Aug 1985 (33),Fortuna Düsseldorf (3),0-1,0-0,Eintracht Frankfurt (3)
3,(Tue) 20 Aug 1985 (33),SV Waldhof Mannheim (3),4-1,2-0,VfL Bochum (3)
3,(Wed) 21 Aug 1985 (33),1. FC Nürnberg (3),3-1,0-0,1. FC Kaiserslautern (3)
3,(Wed) 21 Aug 1985 (33),1. FC Köln (3),2-0,2-0,Borussia Dortmund (3)
3,(Wed) 21 Aug 1985 (33),1. FC Saarbrücken (3),1-1,0-1,Werder Bremen (3)
3,(Wed) 21 Aug 1985 (33),Hannover 96 (3),2-3,0-2,Bor. Mönchengladbach (3)
3,(Wed) 21 Aug 1985 (33),FC Schalke 04 (3),0-1,0-0,Bayern München (3)
3,(Wed) 21 Aug 1985 (33),KFC Uerdingen (3),1-4,1-2,VfB Stuttgart (3)
3,(Tue) 8 Oct 1985 (40),Hamburger SV (3),1-3,0-2,Bayer 04 Leverkusen (3)
4,(Sat) 31 Aug 1985 (34),Werder Bremen (4),2-0,1-0,Hamburger SV (4)
4,(Sat) 31 Aug 1985 (34),Bayer 04 Leverkusen (4),1-1,1-0,1. FC Köln (4)
4,(Sat) 31 Aug 1985 (34),Borussia Dortmund (4),1-4,1-3,1. FC Nürnberg (4)
4,(Sat) 31 Aug 1985 (34),1. FC Kaiserslautern (4),2-0,0-0,Fortuna Düsseldorf (4)
4,(Sat) 31 Aug 1985 (34),Eintracht Frankfurt (4),0-0,0-0,SV Waldhof Mannheim (4)
4,(Sat) 31 Aug 1985 (34),VfL Bochum (4),1-2,0-2,KFC Uerdingen (4)
4,(Sat) 31 Aug 1985 (34),VfB Stuttgart (4),0-1,0-0,FC Schalke 04 (4)
4,(Sat) 31 Aug 1985 (34),Bor. Mönchengladbach (4),2-0,0-0,1. FC Saarbrücken (4)
4,(Tue) 8 Oct 1985 (40),Bayern München (4),6-0,1-0,Hannover 96 (4)
5,(Tue) 3 Sep 1985 (35),1. FC Saarbrücken (5),1-1,0-0,Bayern München (5)
5,(Tue) 3 Sep 1985 (35),VfL Bochum (5),2-1,0-1,Eintracht Frankfurt (5)
5,(Tue) 3 Sep 1985 (35),SV Waldhof Mannheim (5),1-1,0-1,1. FC Kaiserslautern (5)
5,(Tue) 3 Sep 1985 (35),KFC Uerdingen (5),3-2,1-1,FC Schalke 04 (5)
5,(Wed) 4 Sep 1985 (35),Fortuna Düsseldorf (5),4-2,2-2,Borussia Dortmund (5)
5,(Wed) 4 Sep 1985 (35),1. FC Nürnberg (5),3-2,2-1,Bayer 04 Leverkusen (5)
5,(Wed) 4 Sep 1985 (35),1. FC Köln (5),3-3,2-1,Werder Bremen (5)
5,(Wed) 4 Sep 1985 (35),Hamburger SV (5),4-1,3-0,Bor. Mönchengladbach (5)
5,(Wed) 4 Sep 1985 (35),Hannover 96 (5),1-3,0-1,VfB Stuttgart (5)
6,(Fri) 6 Sep 1985 (35),1. FC Kaiserslautern (6),2-0,1-0,VfL Bochum (6)
6,(Sat) 7 Sep 1985 (35),Bayern München (6),2-0,0-0,Hamburger SV (6)
6,(Sat) 7 Sep 1985 (35),Werder Bremen (6),2-1,1-0,1. FC Nürnberg (6)
6,(Sat) 7 Sep 1985 (35),Bayer 04 Leverkusen (6),3-1,1-1,Fortuna Düsseldorf (6)
6,(Sat) 7 Sep 1985 (35),Borussia Dortmund (6),0-0,0-0,SV Waldhof Mannheim (6)
6,(Sat) 7 Sep 1985 (35),Eintracht Frankfurt (6),1-1,1-1,KFC Uerdingen (6)
6,(Sat) 7 Sep 1985 (35),FC Schalke 04 (6),2-2,0-1,Hannover 96 (6)
6,(Sat) 7 Sep 1985 (35),VfB Stuttgart (6),3-1,2-1,1. FC Saarbrücken (6)
6,(Sat) 7 Sep 1985 (35),Bor. Mönchengladbach (6),1-1,0-0,1. FC Köln (6)
7,(Fri) 13 Sep 1985 (36),1. FC Saarbrücken (7),3-2,2-2,FC Schalke 04 (7)
7,(Fri) 13 Sep 1985 (36),Fortuna Düsseldorf (7),1-4,1-2,Werder Bremen (7)
7,(Fri) 13 Sep 1985 (36),Eintracht Frankfurt (7),1-1,1-0,1. FC Kaiserslautern (7)
7,(Sat) 14 Sep 1985 (36),1. FC Nürnberg (7),2-4,0-2,Bor. Mönchengladbach (7)
7,(Sat) 14 Sep 1985 (36),1. FC Köln (7),1-1,0-1,Bayern München (7)
7,(Sat) 14 Sep 1985 (36),Hamburger SV (7),2-0,1-0,VfB Stuttgart (7)
7,(Sat) 14 Sep 1985 (36),VfL Bochum (7),6-1,2-1,Borussia Dortmund (7)
7,(Sat) 14 Sep 1985 (36),SV Waldhof Mannheim (7),1-0,0-0,Bayer 04 Leverkusen (7)
7,(Sat) 14 Sep 1985 (36),KFC Uerdingen (7),3-3,1-1,Hannover 96 (7)
8,(Fri) 20 Sep 1985 (37),Bayer 04 Leverkusen (8),4-2,3-0,VfL Bochum (8)
8,(Fri) 20 Sep 1985 (37),Borussia Dortmund (8),4-2,0-1,Eintracht Frankfurt (8)
