Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 19 2013,SV Sandhausen,0-0,VfR Aalen
1,Fri Jul 19 2013,FC Ingolstadt 04,1-2,FC Erzgebirge Aue
1,Fri Jul 19 2013,FC St. Pauli,1-0,TSV 1860 München
1,Sat Jul 20 2013,SC Paderborn 07,0-1,1. FC Kaiserslautern
1,Sat Jul 20 2013,Dynamo Dresden,1-1,1. FC Köln
1,Sun Jul 21 2013,SpVgg Greuther Fürth,2-0,Arminia Bielefeld
1,Sun Jul 21 2013,FSV Frankfurt,0-1,Karlsruher SC
1,Sun Jul 21 2013,1. FC Union Berlin,1-2,VfL Bochum
1,Mon Jul 22 2013,Fortuna Düsseldorf,1-0,Energie Cottbus
2,Fri Jul 26 2013,VfR Aalen,0-2,SpVgg Greuther Fürth
2,Fri Jul 26 2013,Arminia Bielefeld,1-1,1. FC Union Berlin
2,Fri Jul 26 2013,1. FC Kaiserslautern,3-1,FC Ingolstadt 04
2,Sat Jul 27 2013,FC Erzgebirge Aue,1-0,SV Sandhausen
2,Sat Jul 27 2013,Karlsruher SC,0-0,FC St. Pauli
2,Sun Jul 28 2013,TSV 1860 München,2-1,FSV Frankfurt
2,Sun Jul 28 2013,Energie Cottbus,4-0,SC Paderborn 07
2,Sun Jul 28 2013,1. FC Köln,1-1,Fortuna Düsseldorf
2,Mon Jul 29 2013,VfL Bochum,1-1,Dynamo Dresden
3,Fri Aug 9 2013,Fortuna Düsseldorf,1-2,TSV 1860 München
3,Fri Aug 9 2013,FSV Frankfurt,1-0,VfL Bochum
3,Fri Aug 9 2013,Dynamo Dresden,1-3,1. FC Union Berlin
3,Sat Aug 10 2013,SC Paderborn 07,1-1,1. FC Köln
3,Sat Aug 10 2013,FC Ingolstadt 04,0-2,Karlsruher SC
3,Sun Aug 11 2013,FC St. Pauli,0-1,Arminia Bielefeld
3,Sun Aug 11 2013,SV Sandhausen,2-2,Energie Cottbus
3,Sun Aug 11 2013,FC Erzgebirge Aue,0-1,VfR Aalen
3,Mon Aug 12 2013,SpVgg Greuther Fürth,2-1,1. FC Kaiserslautern
4,Fri Aug 16 2013,Karlsruher SC,1-2,SpVgg Greuther Fürth
4,Fri Aug 16 2013,Arminia Bielefeld,3-3,SC Paderborn 07
4,Fri Aug 16 2013,VfL Bochum,2-2,FC St. Pauli
4,Sat Aug 17 2013,1. FC Kaiserslautern,2-1,FC Erzgebirge Aue
4,Sat Aug 17 2013,1. FC Köln,2-0,SV Sandhausen
4,Sun Aug 18 2013,TSV 1860 München,1-0,FC Ingolstadt 04
4,Sun Aug 18 2013,Energie Cottbus,5-1,VfR Aalen
4,Sun Aug 18 2013,Dynamo Dresden,0-3,FSV Frankfurt
4,Mon Aug 19 2013,1. FC Union Berlin,2-1,Fortuna Düsseldorf
5,Fri Aug 23 2013,SV Sandhausen,1-1,Karlsruher SC
5,Fri Aug 23 2013,FC Ingolstadt 04,3-2,Arminia Bielefeld
5,Fri Aug 23 2013,FC Erzgebirge Aue,2-1,Energie Cottbus
5,Sat Aug 24 2013,SpVgg Greuther Fürth,0-0,1. FC Köln
5,Sat Aug 24 2013,VfR Aalen,4-0,1. FC Kaiserslautern
5,Sun Aug 25 2013,Fortuna Düsseldorf,1-0,VfL Bochum
5,Sun Aug 25 2013,FSV Frankfurt,1-1,1. FC Union Berlin
5,Sun Aug 25 2013,SC Paderborn 07,1-0,TSV 1860 München
5,Mon Aug 26 2013,FC St. Pauli,2-1,Dynamo Dresden
6,Fri Aug 30 2013,FSV Frankfurt,1-1,SpVgg Greuther Fürth
6,Fri Aug 30 2013,TSV 1860 München,0-2,SV Sandhausen
6,Fri Aug 30 2013,Arminia Bielefeld,4-2,Fortuna Düsseldorf
