Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 16 1996,Bor. Mönchengladbach,0-0,Arminia Bielefeld
1,Fri Aug 16 1996,FC St. Pauli,1-2,Bayern München
1,Sat Aug 17 1996,SC Freiburg,3-2,Werder Bremen
1,Sat Aug 17 1996,VfL Bochum,1-0,MSV Duisburg
1,Sat Aug 17 1996,Hansa Rostock,2-2,Karlsruher SC
1,Sat Aug 17 1996,Bayer 04 Leverkusen,4-2,Borussia Dortmund
1,Sat Aug 17 1996,VfB Stuttgart,4-0,FC Schalke 04
1,Sat Aug 17 1996,TSV 1860 München,2-1,Hamburger SV
1,Sun Aug 18 1996,Fortuna Düsseldorf,0-3,1. FC Köln
2,Tue Aug 20 1996,Hamburger SV,5-1,SC Freiburg
2,Tue Aug 20 1996,Arminia Bielefeld,1-2,FC St. Pauli
2,Tue Aug 20 1996,FC Schalke 04,0-0,Bor. Mönchengladbach
2,Tue Aug 20 1996,Werder Bremen,1-1,Hansa Rostock
2,Wed Aug 21 1996,Bayern München,1-1,VfL Bochum
2,Wed Aug 21 1996,Borussia Dortmund,4-0,Fortuna Düsseldorf
2,Wed Aug 21 1996,1. FC Köln,1-0,TSV 1860 München
2,Wed Aug 21 1996,MSV Duisburg,1-3,Bayer 04 Leverkusen
3,Fri Aug 23 1996,FC St. Pauli,4-4,FC Schalke 04
3,Fri Aug 23 1996,Hansa Rostock,0-1,Hamburger SV
3,Sat Aug 24 1996,VfB Stuttgart,2-1,Werder Bremen
3,Sat Aug 24 1996,VfL Bochum,1-1,Arminia Bielefeld
3,Sat Aug 24 1996,TSV 1860 München,1-3,Borussia Dortmund
3,Sat Aug 24 1996,Bayer 04 Leverkusen,0-1,Fortuna Düsseldorf
3,Sat Aug 24 1996,Bor. Mönchengladbach,1-3,Karlsruher SC
3,Sat Aug 24 1996,SC Freiburg,1-3,1. FC Köln
3,Sun Aug 25 1996,MSV Duisburg,0-4,Bayern München
4,Tue Aug 27 1996,Borussia Dortmund,3-1,SC Freiburg
4,Tue Aug 27 1996,FC Schalke 04,1-1,VfL Bochum
4,Tue Aug 27 1996,Hamburger SV,0-4,VfB Stuttgart
4,Tue Aug 27 1996,Werder Bremen,1-0,Bor. Mönchengladbach
4,Wed Aug 28 1996,Fortuna Düsseldorf,0-0,TSV 1860 München
4,Wed Aug 28 1996,1. FC Köln,0-2,Hansa Rostock
4,Wed Aug 28 1996,Arminia Bielefeld,1-1,MSV Duisburg
4,Wed Aug 28 1996,Karlsruher SC,4-0,FC St. Pauli
4,Wed Aug 28 1996,Bayern München,4-2,Bayer 04 Leverkusen
5,Fri Sep 6 1996,Bor. Mönchengladbach,3-0,Hamburger SV
5,Fri Sep 6 1996,SC Freiburg,1-2,Fortuna Düsseldorf
5,Sat Sep 7 1996,FC St. Pauli,0-3,Werder Bremen
5,Sat Sep 7 1996,Bayern München,1-0,Arminia Bielefeld
5,Sat Sep 7 1996,VfL Bochum,3-1,Karlsruher SC
5,Sat Sep 7 1996,Bayer 04 Leverkusen,3-0,TSV 1860 München
5,Sat Sep 7 1996,Hansa Rostock,0-1,Borussia Dortmund
5,Sat Sep 7 1996,MSV Duisburg,0-1,FC Schalke 04
5,Sun Sep 8 1996,VfB Stuttgart,4-0,1. FC Köln
6,Fri Sep 13 1996,Werder Bremen,5-1,VfL Bochum
6,Fri Sep 13 1996,Fortuna Düsseldorf,0-2,Hansa Rostock
6,Sat Sep 14 1996,Arminia Bielefeld,0-1,Bayer 04 Leverkusen
6,Sat Sep 14 1996,FC Schalke 04,1-1,Bayern München
6,Sat Sep 14 1996,TSV 1860 München,4-0,SC Freiburg
6,Sat Sep 14 1996,1. FC Köln,4-0,Bor. Mönchengladbach
6,Sat Sep 14 1996,Karlsruher SC,1-0,MSV Duisburg
6,Sat Sep 14 1996,Borussia Dortmund,1-1,VfB Stuttgart
6,Sun Sep 15 1996,Hamburger SV,3-0,FC St. Pauli
2,Tue Sep 17 1996,Karlsruher SC,0-2,VfB Stuttgart
7,Fri Sep 20 1996,MSV Duisburg,3-2,Werder Bremen
7,Fri Sep 20 1996,Hansa Rostock,2-4,TSV 1860 München
7,Sat Sep 21 1996,Arminia Bielefeld,0-1,FC Schalke 04
7,Sat Sep 21 1996,Bayern München,1-0,Karlsruher SC
