Round,Date,Team 1,Team 2,FT,HT
1,1970-08-15,Rot-Weiss Essen,Hannover 96,2-0,0-0
1,1970-08-15,Werder Bremen,1. FC Köln,1-1,1-0
1,1970-08-15,VfB Stuttgart,Bayern München,1-1,1-1
1,1970-08-15,Hertha BSC,1. FC Kaiserslautern,5-3,2-3
1,1970-08-15,Bor. Mönchengladbach,Kickers Offenbach,2-0,0-0
1,1970-08-15,MSV Duisburg,Rot-Weiss Oberhausen,2-2,1-1
1,1970-08-15,Borussia Dortmund,Arminia Bielefeld,3-0,1-0
1,1970-08-15,Eintracht Braunschweig,FC Schalke 04,3-3,2-1
1,1970-08-15,Eintracht Frankfurt,Hamburger SV,0-0,0-0
2,1970-08-22,1. FC Köln,Eintracht Braunschweig,3-1,2-1
2,1970-08-22,FC Schalke 04,MSV Duisburg,1-0,0-0
2,1970-08-22,Arminia Bielefeld,Rot-Weiss Essen,0-0,0-0
2,1970-08-22,Rot-Weiss Oberhausen,VfB Stuttgart,1-2,0-0
2,1970-08-22,1. FC Kaiserslautern,Borussia Dortmund,1-0,0-0
2,1970-08-22,Hamburger SV,Bor. Mönchengladbach,2-2,0-2
2,1970-08-22,Kickers Offenbach,Werder Bremen,2-1,1-0
2,1970-08-22,Bayern München,Hertha BSC,1-0,0-0
2,1970-08-22,Hannover 96,Eintracht Frankfurt,1-2,1-0
3,1970-08-28,Borussia Dortmund,Bayern München,0-0,0-0
3,1970-08-28,Eintracht Frankfurt,Arminia Bielefeld,1-1,1-0
3,1970-08-28,Eintracht Braunschweig,Werder Bremen,1-0,1-0
3,1970-08-28,Bor. Mönchengladbach,Hannover 96,0-0,0-0
3,1970-08-28,Rot-Weiss Essen,1. FC Kaiserslautern,4-0,2-0
3,1970-08-28,VfB Stuttgart,FC Schalke 04,1-1,1-0
3,1970-08-28,Hertha BSC,Rot-Weiss Oberhausen,3-1,0-1
3,1970-10-28,Hamburger SV,Kickers Offenbach,3-2,2-1
3,1970-10-28,MSV Duisburg,1. FC Köln,0-0,0-0
4,1970-09-05,1. FC Kaiserslautern,Eintracht Frankfurt,2-0,1-0
4,1970-09-05,Kickers Offenbach,Eintracht Braunschweig,0-2,0-2
