Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 24 2015,MSV Duisburg,1-3,1. FC Kaiserslautern
1,Sat Jul 25 2015,SpVgg Greuther Fürth,1-0,Karlsruher SC
1,Sat Jul 25 2015,FC St. Pauli,0-0,Arminia Bielefeld
1,Sat Jul 25 2015,FSV Frankfurt,0-1,RB Leipzig
1,Sun Jul 26 2015,SC Paderborn 07,0-1,VfL Bochum
1,Sun Jul 26 2015,1. FC Union Berlin,1-1,Fortuna Düsseldorf
1,Sun Jul 26 2015,1. FC Heidenheim,1-0,TSV 1860 München
1,Sun Jul 26 2015,Eintracht Braunschweig,1-3,SV Sandhausen
1,Mon Jul 27 2015,SC Freiburg,6-3,1. FC Nürnberg
2,Fri Jul 31 2015,1. FC Nürnberg,3-2,1. FC Heidenheim
2,Fri Jul 31 2015,Arminia Bielefeld,0-0,FSV Frankfurt
2,Fri Jul 31 2015,1. FC Kaiserslautern,0-0,Eintracht Braunschweig
2,Sat Aug 1 2015,VfL Bochum,3-0,MSV Duisburg
2,Sat Aug 1 2015,TSV 1860 München,0-1,SC Freiburg
2,Sun Aug 2 2015,Fortuna Düsseldorf,1-2,SC Paderborn 07
2,Sun Aug 2 2015,SV Sandhausen,4-3,1. FC Union Berlin
2,Sun Aug 2 2015,Karlsruher SC,1-2,FC St. Pauli
2,Mon Aug 3 2015,RB Leipzig,2-2,SpVgg Greuther Fürth
3,Fri Aug 14 2015,1. FC Heidenheim,1-0,Fortuna Düsseldorf
3,Fri Aug 14 2015,FSV Frankfurt,1-2,Karlsruher SC
3,Fri Aug 14 2015,SC Paderborn 07,0-6,SV Sandhausen
3,Sat Aug 15 2015,Eintracht Braunschweig,0-2,RB Leipzig
3,Sat Aug 15 2015,SC Freiburg,1-3,VfL Bochum
3,Sun Aug 16 2015,MSV Duisburg,2-2,Arminia Bielefeld
3,Sun Aug 16 2015,1. FC Union Berlin,2-2,1. FC Kaiserslautern
3,Sun Aug 16 2015,FC St. Pauli,3-2,SpVgg Greuther Fürth
3,Mon Aug 17 2015,1. FC Nürnberg,2-2,TSV 1860 München
4,Fri Aug 21 2015,SV Sandhausen,0-0,1. FC Heidenheim
