Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 24 2015,1. FC Magdeburg,2-1,FC Rot-Weiß Erfurt
1,Sat Jul 25 2015,Dynamo Dresden,4-1,VfB Stuttgart II
1,Sat Jul 25 2015,FC Erzgebirge Aue,0-0,VfL Osnabrück
1,Sat Jul 25 2015,VfR Aalen,0-0,Chemnitzer FC
1,Sat Jul 25 2015,Stuttgarter Kickers,2-1,Fortuna Köln
1,Sat Jul 25 2015,Preußen Münster,1-1,SG Großaspach
1,Sat Jul 25 2015,SV Wehen Wiesbaden,0-0,Würzburger Kickers
1,Sat Jul 25 2015,Hansa Rostock,1-2,Werder Bremen II
1,Sat Jul 25 2015,Holstein Kiel,0-4,1. FSV Mainz 05 II
1,Sun Jul 26 2015,Energie Cottbus,2-0,Hallescher FC
2,Fri Jul 31 2015,VfB Stuttgart II,1-3,Preußen Münster
2,Fri Jul 31 2015,1. FSV Mainz 05 II,2-2,1. FC Magdeburg
2,Sat Aug 1 2015,FC Rot-Weiß Erfurt,0-0,SV Wehen Wiesbaden
2,Sat Aug 1 2015,Fortuna Köln,1-1,VfR Aalen
2,Sat Aug 1 2015,VfL Osnabrück,1-1,Stuttgarter Kickers
2,Sat Aug 1 2015,Chemnitzer FC,1-1,Hansa Rostock
2,Sat Aug 1 2015,Würzburger Kickers,1-1,Dynamo Dresden
2,Sat Aug 1 2015,Werder Bremen II,0-2,Energie Cottbus
2,Sun Aug 2 2015,Hallescher FC,0-2,Holstein Kiel
2,Sun Aug 2 2015,SG Großaspach,2-0,FC Erzgebirge Aue
3,Thu Aug 13 2015,Dynamo Dresden,3-1,FC Rot-Weiß Erfurt
3,Fri Aug 14 2015,VfR Aalen,1-0,VfL Osnabrück
3,Sat Aug 15 2015,SV Wehen Wiesbaden,1-1,1. FSV Mainz 05 II
3,Sat Aug 15 2015,Holstein Kiel,3-0,Werder Bremen II
3,Sat Aug 15 2015,Energie Cottbus,0-1,Chemnitzer FC
3,Sat Aug 15 2015,Hansa Rostock,4-2,Fortuna Köln
3,Sat Aug 15 2015,FC Erzgebirge Aue,2-0,Stuttgarter Kickers
3,Sat Aug 15 2015,Preußen Münster,0-0,Würzburger Kickers
3,Sat Aug 15 2015,SG Großaspach,1-3,VfB Stuttgart II
3,Sun Aug 16 2015,1. FC Magdeburg,2-1,Hallescher FC
4,Fri Aug 21 2015,Werder Bremen II,1-1,1. FC Magdeburg
4,Fri Aug 21 2015,Fortuna Köln,3-0,Energie Cottbus
4,Sat Aug 22 2015,FC Rot-Weiß Erfurt,1-1,Preußen Münster
4,Sat Aug 22 2015,VfL Osnabrück,0-1,Hansa Rostock
4,Sat Aug 22 2015,Würzburger Kickers,0-1,SG Großaspach
4,Sat Aug 22 2015,VfB Stuttgart II,1-2,FC Erzgebirge Aue
4,Sat Aug 22 2015,Hallescher FC,3-0,SV Wehen Wiesbaden
4,Sat Aug 22 2015,Chemnitzer FC,4-2,Holstein Kiel
4,Sun Aug 23 2015,1. FSV Mainz 05 II,1-1,Dynamo Dresden
4,Sun Aug 23 2015,Stuttgarter Kickers,0-0,VfR Aalen
5,Tue Aug 25 2015,SV Wehen Wiesbaden,3-1,Werder Bremen II
5,Tue Aug 25 2015,VfB Stuttgart II,0-2,Würzburger Kickers
5,Tue Aug 25 2015,Holstein Kiel,2-2,Fortuna Köln
5,Tue Aug 25 2015,Energie Cottbus,1-2,VfL Osnabrück
5,Tue Aug 25 2015,1. FC Magdeburg,2-0,Chemnitzer FC
5,Wed Aug 26 2015,SG Großaspach,2-2,FC Rot-Weiß Erfurt
5,Wed Aug 26 2015,Hansa Rostock,0-1,Stuttgarter Kickers
5,Wed Aug 26 2015,Preußen Münster,0-1,1. FSV Mainz 05 II
5,Wed Aug 26 2015,FC Erzgebirge Aue,1-0,VfR Aalen
5,Wed Aug 26 2015,Dynamo Dresden,3-2,Hallescher FC
6,Fri Aug 28 2015,Fortuna Köln,2-1,1. FC Magdeburg
6,Sat Aug 29 2015,VfL Osnabrück,3-2,Holstein Kiel
6,Sat Aug 29 2015,Würzburger Kickers,1-0,FC Erzgebirge Aue
6,Sat Aug 29 2015,Werder Bremen II,1-2,Dynamo Dresden
6,Sat Aug 29 2015,FC Rot-Weiß Erfurt,3-0,VfB Stuttgart II
6,Sat Aug 29 2015,Hallescher FC,1-3,Preußen Münster
6,Sat Aug 29 2015,Chemnitzer FC,1-0,SV Wehen Wiesbaden
6,Sat Aug 29 2015,Stuttgarter Kickers,0-0,Energie Cottbus
6,Sun Aug 30 2015,1. FSV Mainz 05 II,2-1,SG Großaspach
6,Sun Aug 30 2015,VfR Aalen,1-1,Hansa Rostock
7,Sat Sep 5 2015,Holstein Kiel,1-2,Stuttgarter Kickers
7,Sat Sep 5 2015,Preußen Münster,3-1,Werder Bremen II
7,Sat Sep 5 2015,Energie Cottbus,0-4,VfR Aalen
7,Sat Sep 5 2015,SV Wehen Wiesbaden,3-0,Fortuna Köln
7,Sat Sep 5 2015,Würzburger Kickers,0-0,FC Rot-Weiß Erfurt
7,Sat Sep 5 2015,FC Erzgebirge Aue,0-0,Hansa Rostock
7,Sun Sep 6 2015,Dynamo Dresden,1-0,Chemnitzer FC
8,Fri Sep 11 2015,Hansa Rostock,1-1,Energie Cottbus
8,Fri Sep 11 2015,Stuttgarter Kickers,1-0,1. FC Magdeburg
8,Sat Sep 12 2015,Hallescher FC,3-0,VfB Stuttgart II
8,Sat Sep 12 2015,Fortuna Köln,1-5,Dynamo Dresden
8,Sat Sep 12 2015,Werder Bremen II,0-4,SG Großaspach
8,Sat Sep 12 2015,FC Rot-Weiß Erfurt,0-1,FC Erzgebirge Aue
8,Sat Sep 12 2015,1. FSV Mainz 05 II,1-0,Würzburger Kickers
8,Sat Sep 12 2015,VfL Osnabrück,4-0,SV Wehen Wiesbaden
8,Sat Sep 12 2015,Chemnitzer FC,0-1,Preußen Münster
8,Sun Sep 13 2015,VfR Aalen,0-0,Holstein Kiel
7,Tue Sep 15 2015,VfB Stuttgart II,1-1,1. FSV Mainz 05 II
7,Tue Sep 15 2015,1. FC Magdeburg,3-0,VfL Osnabrück
7,Tue Sep 15 2015,SG Großaspach,0-0,Hallescher FC
9,Fri Sep 18 2015,1. FC Magdeburg,1-2,VfR Aalen
9,Fri Sep 18 2015,FC Erzgebirge Aue,1-0,Energie Cottbus
9,Sat Sep 19 2015,Dynamo Dresden,2-1,VfL Osnabrück
9,Sat Sep 19 2015,SV Wehen Wiesbaden,3-3,Stuttgarter Kickers
9,Sat Sep 19 2015,FC Rot-Weiß Erfurt,3-0,1. FSV Mainz 05 II
9,Sat Sep 19 2015,Holstein Kiel,0-0,Hansa Rostock
9,Sat Sep 19 2015,SG Großaspach,4-2,Chemnitzer FC
9,Sat Sep 19 2015,VfB Stuttgart II,1-1,Werder Bremen II
9,Sat Sep 19 2015,Preußen Münster,3-1,Fortuna Köln
9,Sat Sep 19 2015,Würzburger Kickers,0-1,Hallescher FC
10,Tue Sep 22 2015,1. FSV Mainz 05 II,1-1,FC Erzgebirge Aue
10,Tue Sep 22 2015,Werder Bremen II,0-0,Würzburger Kickers
10,Tue Sep 22 2015,Chemnitzer FC,2-1,VfB Stuttgart II
10,Tue Sep 22 2015,Hallescher FC,2-1,FC Rot-Weiß Erfurt
10,Tue Sep 22 2015,VfR Aalen,3-1,SV Wehen Wiesbaden
10,Wed Sep 23 2015,Hansa Rostock,1-1,1. FC Magdeburg
10,Wed Sep 23 2015,Stuttgarter Kickers,1-2,Dynamo Dresden
10,Wed Sep 23 2015,Energie Cottbus,1-2,Holstein Kiel
10,Wed Sep 23 2015,Fortuna Köln,2-2,SG Großaspach
10,Wed Sep 23 2015,VfL Osnabrück,2-2,Preußen Münster
11,Fri Sep 25 2015,Würzburger Kickers,1-1,Chemnitzer FC
11,Fri Sep 25 2015,1. FSV Mainz 05 II,2-0,Hallescher FC
11,Sat Sep 26 2015,FC Rot-Weiß Erfurt,2-1,Werder Bremen II
11,Sat Sep 26 2015,SV Wehen Wiesbaden,0-0,Hansa Rostock
11,Sat Sep 26 2015,SG Großaspach,3-3,VfL Osnabrück
11,Sat Sep 26 2015,1. FC Magdeburg,2-2,Energie Cottbus
11,Sat Sep 26 2015,FC Erzgebirge Aue,0-0,Holstein Kiel
11,Sat Sep 26 2015,Preußen Münster,4-2,Stuttgarter Kickers
11,Sun Sep 27 2015,VfB Stuttgart II,3-0,Fortuna Köln
11,Sun Sep 27 2015,Dynamo Dresden,4-0,VfR Aalen
12,Thu Oct 1 2015,Chemnitzer FC,1-1,FC Rot-Weiß Erfurt
12,Fri Oct 2 2015,Holstein Kiel,0-0,1. FC Magdeburg
12,Sat Oct 3 2015,Werder Bremen II,2-1,1. FSV Mainz 05 II
12,Sat Oct 3 2015,Hallescher FC,1-0,FC Erzgebirge Aue
12,Sat Oct 3 2015,Stuttgarter Kickers,0-4,SG Großaspach
12,Sat Oct 3 2015,Fortuna Köln,0-3,Würzburger Kickers
12,Sat Oct 3 2015,VfR Aalen,0-0,Preußen Münster
12,Sat Oct 3 2015,Hansa Rostock,1-3,Dynamo Dresden
12,Sat Oct 3 2015,VfL Osnabrück,1-1,VfB Stuttgart II
12,Sun Oct 4 2015,Energie Cottbus,2-2,SV Wehen Wiesbaden
13,Fri Oct 16 2015,Preußen Münster,1-1,Hansa Rostock
13,Sat Oct 17 2015,Hallescher FC,6-2,Werder Bremen II
13,Sat Oct 17 2015,SG Großaspach,2-0,VfR Aalen
13,Sat Oct 17 2015,SV Wehen Wiesbaden,3-1,Holstein Kiel
13,Sat Oct 17 2015,Würzburger Kickers,0-1,VfL Osnabrück
13,Sat Oct 17 2015,Dynamo Dresden,0-1,Energie Cottbus
13,Sat Oct 17 2015,FC Rot-Weiß Erfurt,0-2,Fortuna Köln
13,Sat Oct 17 2015,1. FSV Mainz 05 II,0-0,Chemnitzer FC
13,Sun Oct 18 2015,FC Erzgebirge Aue,0-0,1. FC Magdeburg
13,Sun Oct 18 2015,VfB Stuttgart II,2-1,Stuttgarter Kickers
14,Fri Oct 23 2015,Werder Bremen II,4-0,FC Erzgebirge Aue
14,Sat Oct 24 2015,Energie Cottbus,0-0,Preußen Münster
14,Sat Oct 24 2015,Fortuna Köln,3-1,1. FSV Mainz 05 II
14,Sat Oct 24 2015,VfL Osnabrück,1-0,FC Rot-Weiß Erfurt
14,Sat Oct 24 2015,1. FC Magdeburg,1-0,SV Wehen Wiesbaden
14,Sat Oct 24 2015,VfR Aalen,1-0,VfB Stuttgart II
14,Sat Oct 24 2015,Stuttgarter Kickers,1-2,Würzburger Kickers
14,Sat Oct 24 2015,Holstein Kiel,1-2,Dynamo Dresden
14,Sat Oct 24 2015,Hansa Rostock,1-3,SG Großaspach
14,Sun Oct 25 2015,Chemnitzer FC,3-1,Hallescher FC
15,Fri Oct 30 2015,VfB Stuttgart II,3-1,Hansa Rostock
15,Fri Oct 30 2015,FC Erzgebirge Aue,1-1,SV Wehen Wiesbaden
15,Sat Oct 31 2015,Hallescher FC,1-1,Fortuna Köln
15,Sat Oct 31 2015,Dynamo Dresden,3-2,1. FC Magdeburg
15,Sat Oct 31 2015,1. FSV Mainz 05 II,0-0,VfL Osnabrück
15,Sat Oct 31 2015,Würzburger Kickers,2-2,VfR Aalen
15,Sat Oct 31 2015,FC Rot-Weiß Erfurt,1-0,Stuttgarter Kickers
15,Sat Oct 31 2015,SG Großaspach,1-1,Energie Cottbus
15,Sat Oct 31 2015,Preußen Münster,2-0,Holstein Kiel
15,Sun Nov 1 2015,Werder Bremen II,3-2,Chemnitzer FC
16,Fri Nov 6 2015,VfL Osnabrück,2-0,Hallescher FC
