Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 14 2015,Bayern München,5-0,Hamburger SV
1,Sat Aug 15 2015,Bayer 04 Leverkusen,2-1,TSG 1899 Hoffenheim
1,Sat Aug 15 2015,1. FSV Mainz 05,0-1,FC Ingolstadt 04
1,Sat Aug 15 2015,SV Darmstadt 98,2-2,Hannover 96
1,Sat Aug 15 2015,Werder Bremen,0-3,FC Schalke 04
1,Sat Aug 15 2015,FC Augsburg,0-1,Hertha BSC
1,Sat Aug 15 2015,Borussia Dortmund,4-0,Bor. Mönchengladbach
1,Sun Aug 16 2015,VfL Wolfsburg,2-1,Eintracht Frankfurt
1,Sun Aug 16 2015,VfB Stuttgart,1-3,1. FC Köln
2,Fri Aug 21 2015,Hertha BSC,1-1,Werder Bremen
2,Sat Aug 22 2015,FC Schalke 04,1-1,SV Darmstadt 98
2,Sat Aug 22 2015,Eintracht Frankfurt,1-1,FC Augsburg
2,Sat Aug 22 2015,TSG 1899 Hoffenheim,1-2,Bayern München
2,Sat Aug 22 2015,Hannover 96,0-1,Bayer 04 Leverkusen
2,Sat Aug 22 2015,1. FC Köln,1-1,VfL Wolfsburg
2,Sat Aug 22 2015,Hamburger SV,3-2,VfB Stuttgart
2,Sun Aug 23 2015,FC Ingolstadt 04,0-4,Borussia Dortmund
2,Sun Aug 23 2015,Bor. Mönchengladbach,1-2,1. FSV Mainz 05
3,Fri Aug 28 2015,VfL Wolfsburg,3-0,FC Schalke 04
3,Sat Aug 29 2015,SV Darmstadt 98,0-0,TSG 1899 Hoffenheim
3,Sat Aug 29 2015,1. FC Köln,2-1,Hamburger SV
3,Sat Aug 29 2015,1. FSV Mainz 05,3-0,Hannover 96
3,Sat Aug 29 2015,FC Augsburg,0-1,FC Ingolstadt 04
3,Sat Aug 29 2015,VfB Stuttgart,1-4,Eintracht Frankfurt
3,Sat Aug 29 2015,Bayern München,3-0,Bayer 04 Leverkusen
3,Sun Aug 30 2015,Borussia Dortmund,3-1,Hertha BSC
