Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 18 2017,Bayern München,3-1,Bayer 04 Leverkusen
1,Sat Aug 19 2017,Hamburger SV,1-0,FC Augsburg
1,Sat Aug 19 2017,TSG 1899 Hoffenheim,1-0,Werder Bremen
1,Sat Aug 19 2017,VfL Wolfsburg,0-3,Borussia Dortmund
1,Sat Aug 19 2017,Hertha BSC,2-0,VfB Stuttgart
1,Sat Aug 19 2017,1. FSV Mainz 05,0-1,Hannover 96
1,Sat Aug 19 2017,FC Schalke 04,2-0,RB Leipzig
1,Sun Aug 20 2017,SC Freiburg,0-0,Eintracht Frankfurt
1,Sun Aug 20 2017,Bor. Mönchengladbach,1-0,1. FC Köln
2,Fri Aug 25 2017,1. FC Köln,1-3,Hamburger SV
2,Sat Aug 26 2017,VfB Stuttgart,1-0,1. FSV Mainz 05
2,Sat Aug 26 2017,Eintracht Frankfurt,0-1,VfL Wolfsburg
2,Sat Aug 26 2017,FC Augsburg,2-2,Bor. Mönchengladbach
2,Sat Aug 26 2017,Bayer 04 Leverkusen,2-2,TSG 1899 Hoffenheim
2,Sat Aug 26 2017,Werder Bremen,0-2,Bayern München
2,Sat Aug 26 2017,Borussia Dortmund,2-0,Hertha BSC
2,Sun Aug 27 2017,RB Leipzig,4-1,SC Freiburg
2,Sun Aug 27 2017,Hannover 96,1-0,FC Schalke 04
3,Fri Sep 8 2017,Hamburger SV,0-2,RB Leipzig
3,Sat Sep 9 2017,Bor. Mönchengladbach,0-1,Eintracht Frankfurt
3,Sat Sep 9 2017,FC Augsburg,3-0,1. FC Köln
3,Sat Sep 9 2017,VfL Wolfsburg,1-1,Hannover 96
3,Sat Sep 9 2017,1. FSV Mainz 05,3-1,Bayer 04 Leverkusen
3,Sat Sep 9 2017,SC Freiburg,0-0,Borussia Dortmund
3,Sat Sep 9 2017,TSG 1899 Hoffenheim,2-0,Bayern München
3,Sun Sep 10 2017,Hertha BSC,1-1,Werder Bremen
3,Sun Sep 10 2017,FC Schalke 04,3-1,VfB Stuttgart
4,Fri Sep 15 2017,Hannover 96,2-0,Hamburger SV
4,Sat Sep 16 2017,Eintracht Frankfurt,1-2,FC Augsburg
4,Sat Sep 16 2017,Werder Bremen,1-2,FC Schalke 04
4,Sat Sep 16 2017,Bayern München,4-0,1. FSV Mainz 05
4,Sat Sep 16 2017,VfB Stuttgart,1-0,VfL Wolfsburg
4,Sat Sep 16 2017,RB Leipzig,2-2,Bor. Mönchengladbach
4,Sun Sep 17 2017,TSG 1899 Hoffenheim,1-1,Hertha BSC
4,Sun Sep 17 2017,Bayer 04 Leverkusen,4-0,SC Freiburg
4,Sun Sep 17 2017,Borussia Dortmund,5-0,1. FC Köln
5,Tue Sep 19 2017,Bor. Mönchengladbach,2-0,VfB Stuttgart
5,Tue Sep 19 2017,FC Augsburg,1-0,RB Leipzig
5,Tue Sep 19 2017,FC Schalke 04,0-3,Bayern München
5,Tue Sep 19 2017,VfL Wolfsburg,1-1,Werder Bremen
5,Wed Sep 20 2017,1. FC Köln,0-1,Eintracht Frankfurt
5,Wed Sep 20 2017,Hertha BSC,2-1,Bayer 04 Leverkusen
5,Wed Sep 20 2017,1. FSV Mainz 05,2-3,TSG 1899 Hoffenheim
5,Wed Sep 20 2017,SC Freiburg,1-1,Hannover 96
5,Wed Sep 20 2017,Hamburger SV,0-3,Borussia Dortmund
6,Fri Sep 22 2017,Bayern München,2-2,VfL Wolfsburg
6,Sat Sep 23 2017,Werder Bremen,0-0,SC Freiburg
6,Sat Sep 23 2017,TSG 1899 Hoffenheim,2-0,FC Schalke 04
6,Sat Sep 23 2017,1. FSV Mainz 05,1-0,Hertha BSC
6,Sat Sep 23 2017,VfB Stuttgart,0-0,FC Augsburg
6,Sat Sep 23 2017,RB Leipzig,2-1,Eintracht Frankfurt
6,Sat Sep 23 2017,Borussia Dortmund,6-1,Bor. Mönchengladbach
6,Sun Sep 24 2017,Hannover 96,0-0,1. FC Köln
6,Sun Sep 24 2017,Bayer 04 Leverkusen,3-0,Hamburger SV
7,Fri Sep 29 2017,FC Schalke 04,1-1,Bayer 04 Leverkusen
7,Sat Sep 30 2017,Eintracht Frankfurt,2-1,VfB Stuttgart
7,Sat Sep 30 2017,Bor. Mönchengladbach,2-1,Hannover 96
