Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 21 2017,Karlsruher SC,2-2,VfL Osnabrück
1,Sat Jul 22 2017,SV Wehen Wiesbaden,1-0,FC Carl Zeiss Jena
1,Sat Jul 22 2017,Werder Bremen II,3-0,SpVgg Unterhaching
1,Sat Jul 22 2017,SV Meppen,2-2,Würzburger Kickers
1,Sat Jul 22 2017,Fortuna Köln,1-0,VfR Aalen
1,Sat Jul 22 2017,FC Rot-Weiß Erfurt,1-1,Preußen Münster
1,Sat Jul 22 2017,Hallescher FC,4-4,SC Paderborn 07
1,Sat Jul 22 2017,SF Lotte,0-2,Hansa Rostock
1,Sun Jul 23 2017,SG Großaspach,4-1,1. FC Magdeburg
1,Sun Jul 23 2017,Chemnitzer FC,1-0,FSV Zwickau
2,Fri Jul 28 2017,SpVgg Unterhaching,3-2,Karlsruher SC
2,Fri Jul 28 2017,VfL Osnabrück,0-4,SV Wehen Wiesbaden
2,Sat Jul 29 2017,FSV Zwickau,1-1,SF Lotte
2,Sat Jul 29 2017,FC Carl Zeiss Jena,0-2,Fortuna Köln
2,Sat Jul 29 2017,Hansa Rostock,0-0,SG Großaspach
2,Sat Jul 29 2017,1. FC Magdeburg,3-0,FC Rot-Weiß Erfurt
2,Sat Jul 29 2017,Preußen Münster,3-0,SV Meppen
2,Sat Jul 29 2017,SC Paderborn 07,3-2,Chemnitzer FC
2,Sat Jul 29 2017,VfR Aalen,2-1,Hallescher FC
2,Sun Jul 30 2017,Würzburger Kickers,1-1,Werder Bremen II
3,Tue Aug 1 2017,SV Wehen Wiesbaden,1-0,SpVgg Unterhaching
3,Tue Aug 1 2017,Hallescher FC,0-2,FC Carl Zeiss Jena
3,Tue Aug 1 2017,FC Rot-Weiß Erfurt,0-1,Hansa Rostock
3,Tue Aug 1 2017,SG Großaspach,2-0,FSV Zwickau
3,Tue Aug 1 2017,SF Lotte,1-2,SC Paderborn 07
3,Wed Aug 2 2017,Werder Bremen II,2-0,Karlsruher SC
3,Wed Aug 2 2017,Chemnitzer FC,2-4,VfR Aalen
3,Wed Aug 2 2017,Fortuna Köln,3-0,VfL Osnabrück
3,Wed Aug 2 2017,Würzburger Kickers,0-1,Preußen Münster
3,Wed Aug 2 2017,SV Meppen,1-2,1. FC Magdeburg
4,Fri Aug 4 2017,FSV Zwickau,1-1,FC Rot-Weiß Erfurt
4,Sat Aug 5 2017,Preußen Münster,0-1,Werder Bremen II
4,Sat Aug 5 2017,SpVgg Unterhaching,2-2,Fortuna Köln
4,Sat Aug 5 2017,Karlsruher SC,2-1,SV Wehen Wiesbaden
4,Sat Aug 5 2017,SC Paderborn 07,5-0,SG Großaspach
4,Sat Aug 5 2017,FC Carl Zeiss Jena,1-1,Chemnitzer FC
4,Sat Aug 5 2017,VfR Aalen,3-0,SF Lotte
4,Sat Aug 5 2017,Hansa Rostock,1-2,SV Meppen
4,Sun Aug 6 2017,VfL Osnabrück,3-3,Hallescher FC
4,Sun Aug 6 2017,1. FC Magdeburg,2-1,Würzburger Kickers
5,Fri Aug 18 2017,Fortuna Köln,4-0,Karlsruher SC
5,Fri Aug 18 2017,SV Meppen,4-0,FSV Zwickau
5,Sat Aug 19 2017,Werder Bremen II,0-0,SV Wehen Wiesbaden
5,Sat Aug 19 2017,Hallescher FC,1-2,SpVgg Unterhaching
5,Sat Aug 19 2017,Chemnitzer FC,0-0,VfL Osnabrück
5,Sat Aug 19 2017,Preußen Münster,0-1,1. FC Magdeburg
5,Sat Aug 19 2017,SG Großaspach,0-0,VfR Aalen
5,Sat Aug 19 2017,FC Rot-Weiß Erfurt,0-1,SC Paderborn 07
5,Sun Aug 20 2017,SF Lotte,4-0,FC Carl Zeiss Jena
5,Sun Aug 20 2017,Würzburger Kickers,0-3,Hansa Rostock
6,Fri Aug 25 2017,SC Paderborn 07,1-0,SV Meppen
6,Sat Aug 26 2017,SpVgg Unterhaching,4-2,Chemnitzer FC
6,Sat Aug 26 2017,VfL Osnabrück,1-0,SF Lotte
6,Sat Aug 26 2017,Karlsruher SC,1-1,Hallescher FC
6,Sat Aug 26 2017,1. FC Magdeburg,4-1,Werder Bremen II
6,Sat Aug 26 2017,FC Carl Zeiss Jena,0-0,SG Großaspach
6,Sat Aug 26 2017,SV Wehen Wiesbaden,1-1,Fortuna Köln
6,Sat Aug 26 2017,VfR Aalen,1-1,FC Rot-Weiß Erfurt
6,Sun Aug 27 2017,Hansa Rostock,1-1,Preußen Münster
6,Sun Aug 27 2017,FSV Zwickau,0-1,Würzburger Kickers
7,Fri Sep 8 2017,Preußen Münster,0-2,FSV Zwickau
7,Fri Sep 8 2017,Werder Bremen II,1-2,Fortuna Köln
7,Sat Sep 9 2017,1. FC Magdeburg,2-0,Hansa Rostock
7,Sat Sep 9 2017,Hallescher FC,2-1,SV Wehen Wiesbaden
7,Sat Sep 9 2017,SG Großaspach,0-1,VfL Osnabrück
7,Sat Sep 9 2017,Chemnitzer FC,0-0,Karlsruher SC
7,Sat Sep 9 2017,Würzburger Kickers,2-3,SC Paderborn 07
7,Sat Sep 9 2017,FC Rot-Weiß Erfurt,1-0,FC Carl Zeiss Jena
7,Sat Sep 9 2017,SF Lotte,2-1,SpVgg Unterhaching
7,Sun Sep 10 2017,SV Meppen,1-1,VfR Aalen
8,Fri Sep 15 2017,SV Wehen Wiesbaden,2-1,Chemnitzer FC
8,Fri Sep 15 2017,FSV Zwickau,3-1,1. FC Magdeburg
8,Fri Sep 15 2017,VfL Osnabrück,0-1,FC Rot-Weiß Erfurt
8,Sat Sep 16 2017,VfR Aalen,2-3,Würzburger Kickers
8,Sat Sep 16 2017,Fortuna Köln,1-1,Hallescher FC
8,Sat Sep 16 2017,SpVgg Unterhaching,1-4,SG Großaspach
8,Sat Sep 16 2017,Karlsruher SC,1-0,SF Lotte
8,Sat Sep 16 2017,Hansa Rostock,0-0,Werder Bremen II
8,Sat Sep 16 2017,SC Paderborn 07,2-1,Preußen Münster
