Matchday,Date,Team 1,FT,Team 2
1,Wed Aug 8 1990,Borussia Dortmund,0-3,VfB Stuttgart
1,Thu Aug 9 1990,Hertha BSC,1-2,FC St. Pauli
1,Fri Aug 10 1990,1. FC Nürnberg,1-1,KFC Uerdingen
1,Sat Aug 11 1990,Bayern München,1-1,Bayer 04 Leverkusen
1,Sat Aug 11 1990,Eintracht Frankfurt,3-0,Karlsruher SC
1,Sat Aug 11 1990,Hamburger SV,1-3,1. FC Kaiserslautern
1,Sat Aug 11 1990,1. FC Köln,1-1,Fortuna Düsseldorf
1,Sat Aug 11 1990,Bor. Mönchengladbach,1-2,VfL Bochum
1,Sat Aug 11 1990,SG Wattenscheid 09,2-0,Werder Bremen
2,Tue Aug 14 1990,FC St. Pauli,0-0,Bayern München
2,Fri Aug 17 1990,Werder Bremen,3-0,Bor. Mönchengladbach
2,Fri Aug 17 1990,VfB Stuttgart,4-0,Hertha BSC
2,Sat Aug 18 1990,1. FC Kaiserslautern,1-1,Eintracht Frankfurt
2,Sat Aug 18 1990,VfL Bochum,1-0,1. FC Köln
2,Sat Aug 18 1990,Karlsruher SC,1-2,Borussia Dortmund
2,Sat Aug 18 1990,Bayer 04 Leverkusen,2-2,1. FC Nürnberg
2,Sat Aug 18 1990,KFC Uerdingen,0-2,SG Wattenscheid 09
2,Sat Aug 18 1990,Fortuna Düsseldorf,2-1,Hamburger SV
3,Fri Aug 24 1990,Borussia Dortmund,0-2,1. FC Kaiserslautern
3,Fri Aug 24 1990,Eintracht Frankfurt,5-1,Fortuna Düsseldorf
3,Fri Aug 24 1990,Hamburger SV,1-0,VfL Bochum
3,Sat Aug 25 1990,Bayern München,2-1,VfB Stuttgart
3,Sat Aug 25 1990,SG Wattenscheid 09,1-1,Bor. Mönchengladbach
3,Sat Aug 25 1990,Hertha BSC,1-1,Karlsruher SC
3,Sat Aug 25 1990,1. FC Köln,1-0,Werder Bremen
3,Sat Aug 25 1990,KFC Uerdingen,1-1,Bayer 04 Leverkusen
3,Sat Aug 25 1990,1. FC Nürnberg,5-2,FC St. Pauli
4,Fri Aug 31 1990,1. FC Kaiserslautern,4-3,Hertha BSC
4,Sat Sep 1 1990,Werder Bremen,3-1,Hamburger SV
4,Sat Sep 1 1990,Karlsruher SC,2-3,Bayern München
4,Sat Sep 1 1990,VfB Stuttgart,2-1,1. FC Nürnberg
4,Sat Sep 1 1990,FC St. Pauli,1-1,KFC Uerdingen
4,Sat Sep 1 1990,Bor. Mönchengladbach,2-2,1. FC Köln
4,Sat Sep 1 1990,VfL Bochum,0-0,Eintracht Frankfurt
4,Sun Sep 2 1990,Fortuna Düsseldorf,0-0,Borussia Dortmund
4,Tue Sep 4 1990,Bayer 04 Leverkusen,2-1,SG Wattenscheid 09
5,Fri Sep 7 1990,Bayern München,4-0,1. FC Kaiserslautern
