Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 11 2006,Bayern München,2-0,Borussia Dortmund
1,Sat Aug 12 2006,Hamburger SV,1-1,Arminia Bielefeld
1,Sat Aug 12 2006,Bayer 04 Leverkusen,3-0,Alemannia Aachen
1,Sat Aug 12 2006,1. FSV Mainz 05,2-1,VfL Bochum
1,Sat Aug 12 2006,Bor. Mönchengladbach,2-0,Energie Cottbus
1,Sat Aug 12 2006,FC Schalke 04,1-1,Eintracht Frankfurt
1,Sat Aug 12 2006,VfB Stuttgart,0-3,1. FC Nürnberg
1,Sun Aug 13 2006,Hannover 96,2-4,Werder Bremen
1,Sun Aug 13 2006,VfL Wolfsburg,0-0,Hertha BSC
2,Fri Aug 18 2006,1. FC Nürnberg,1-0,Bor. Mönchengladbach
2,Sat Aug 19 2006,Alemannia Aachen,0-1,FC Schalke 04
2,Sat Aug 19 2006,Energie Cottbus,2-2,Hamburger SV
2,Sat Aug 19 2006,Borussia Dortmund,1-1,1. FSV Mainz 05
2,Sat Aug 19 2006,Eintracht Frankfurt,0-0,VfL Wolfsburg
2,Sat Aug 19 2006,Hertha BSC,4-0,Hannover 96
2,Sat Aug 19 2006,Werder Bremen,2-1,Bayer 04 Leverkusen
2,Sun Aug 20 2006,Arminia Bielefeld,2-3,VfB Stuttgart
2,Sun Aug 20 2006,VfL Bochum,1-2,Bayern München
3,Fri Aug 25 2006,FC Schalke 04,2-0,Werder Bremen
3,Sat Aug 26 2006,Bayern München,0-0,1. FC Nürnberg
3,Sat Aug 26 2006,VfL Bochum,0-1,Energie Cottbus
3,Sat Aug 26 2006,Hannover 96,0-3,Alemannia Aachen
3,Sat Aug 26 2006,Bayer 04 Leverkusen,1-1,VfL Wolfsburg
3,Sat Aug 26 2006,Bor. Mönchengladbach,1-0,Arminia Bielefeld
3,Sat Aug 26 2006,VfB Stuttgart,1-3,Borussia Dortmund
3,Sun Aug 27 2006,Hamburger SV,1-1,Hertha BSC
3,Sun Aug 27 2006,1. FSV Mainz 05,1-1,Eintracht Frankfurt
4,Fri Sep 15 2006,VfL Wolfsburg,1-2,Hannover 96
4,Sat Sep 16 2006,Alemannia Aachen,4-2,Bor. Mönchengladbach
4,Sat Sep 16 2006,Arminia Bielefeld,2-1,Bayern München
4,Sat Sep 16 2006,Energie Cottbus,2-0,1. FSV Mainz 05
4,Sat Sep 16 2006,Borussia Dortmund,1-0,Hamburger SV
4,Sat Sep 16 2006,1. FC Nürnberg,1-1,VfL Bochum
4,Sat Sep 16 2006,Werder Bremen,2-3,VfB Stuttgart
4,Sun Sep 17 2006,Eintracht Frankfurt,3-1,Bayer 04 Leverkusen
4,Sun Sep 17 2006,Hertha BSC,2-0,FC Schalke 04
5,Fri Sep 22 2006,Bor. Mönchengladbach,1-0,Borussia Dortmund
5,Sat Sep 23 2006,Bayern München,2-1,Alemannia Aachen
5,Sat Sep 23 2006,Hamburger SV,1-1,Werder Bremen
5,Sat Sep 23 2006,Hannover 96,1-1,Bayer 04 Leverkusen
5,Sat Sep 23 2006,1. FSV Mainz 05,1-1,Hertha BSC
5,Sat Sep 23 2006,FC Schalke 04,2-0,VfL Wolfsburg
5,Sat Sep 23 2006,VfB Stuttgart,1-1,Eintracht Frankfurt
5,Sun Sep 24 2006,VfL Bochum,2-1,Arminia Bielefeld
5,Sun Sep 24 2006,Energie Cottbus,1-1,1. FC Nürnberg
6,Fri Sep 29 2006,Borussia Dortmund,2-2,Hannover 96
6,Sat Sep 30 2006,Alemannia Aachen,2-1,VfL Bochum
6,Sat Sep 30 2006,Arminia Bielefeld,3-1,Energie Cottbus
6,Sat Sep 30 2006,Eintracht Frankfurt,2-2,Hamburger SV
6,Sat Sep 30 2006,1. FC Nürnberg,1-1,1. FSV Mainz 05
6,Sat Sep 30 2006,Werder Bremen,3-0,Bor. Mönchengladbach
6,Sat Sep 30 2006,VfL Wolfsburg,1-0,Bayern München
6,Sun Oct 1 2006,Hertha BSC,2-2,VfB Stuttgart
6,Sun Oct 1 2006,Bayer 04 Leverkusen,3-1,FC Schalke 04
7,Fri Oct 13 2006,1. FSV Mainz 05,1-3,Alemannia Aachen
7,Sat Oct 14 2006,Bayern München,4-2,Hertha BSC
7,Sat Oct 14 2006,VfL Bochum,0-6,Werder Bremen
7,Sat Oct 14 2006,Hamburger SV,1-2,FC Schalke 04
7,Sat Oct 14 2006,Hannover 96,1-1,Eintracht Frankfurt
7,Sat Oct 14 2006,Bor. Mönchengladbach,3-1,VfL Wolfsburg
7,Sat Oct 14 2006,VfB Stuttgart,3-0,Bayer 04 Leverkusen
7,Sun Oct 15 2006,Energie Cottbus,2-3,Borussia Dortmund
7,Sun Oct 15 2006,1. FC Nürnberg,1-1,Arminia Bielefeld
8,Fri Oct 20 2006,Borussia Dortmund,1-1,VfL Bochum
8,Sat Oct 21 2006,Alemannia Aachen,1-2,Energie Cottbus
8,Sat Oct 21 2006,Arminia Bielefeld,1-0,1. FSV Mainz 05
8,Sat Oct 21 2006,Hertha BSC,2-1,Bor. Mönchengladbach
8,Sat Oct 21 2006,FC Schalke 04,2-1,Hannover 96
8,Sat Oct 21 2006,Werder Bremen,3-1,Bayern München
8,Sat Oct 21 2006,VfL Wolfsburg,1-1,VfB Stuttgart
8,Sun Oct 22 2006,Eintracht Frankfurt,2-2,1. FC Nürnberg
8,Sun Oct 22 2006,Bayer 04 Leverkusen,1-2,Hamburger SV
9,Fri Oct 27 2006,1. FSV Mainz 05,1-6,Werder Bremen
9,Sat Oct 28 2006,Bayern München,2-0,Eintracht Frankfurt
9,Sat Oct 28 2006,VfL Bochum,0-1,VfL Wolfsburg
9,Sat Oct 28 2006,Energie Cottbus,2-0,Hertha BSC
9,Sat Oct 28 2006,Hamburger SV,0-0,Hannover 96
9,Sat Oct 28 2006,Bor. Mönchengladbach,0-2,Bayer 04 Leverkusen
9,Sat Oct 28 2006,1. FC Nürnberg,1-1,Borussia Dortmund
9,Sun Oct 29 2006,Arminia Bielefeld,5-1,Alemannia Aachen
9,Sun Oct 29 2006,VfB Stuttgart,3-0,FC Schalke 04
10,Fri Nov 3 2006,Hannover 96,0-2,VfL Bochum
10,Sat Nov 4 2006,Alemannia Aachen,2-4,VfB Stuttgart
10,Sat Nov 4 2006,Borussia Dortmund,1-1,Arminia Bielefeld
10,Sat Nov 4 2006,Hertha BSC,2-1,1. FC Nürnberg
10,Sat Nov 4 2006,Bayer 04 Leverkusen,1-1,1. FSV Mainz 05
10,Sat Nov 4 2006,Werder Bremen,1-1,Energie Cottbus
10,Sat Nov 4 2006,VfL Wolfsburg,1-0,Hamburger SV
10,Sun Nov 5 2006,Eintracht Frankfurt,1-0,Bor. Mönchengladbach
10,Sun Nov 5 2006,FC Schalke 04,2-2,Bayern München
