Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 2 1991,MSV Duisburg,1-0,VfB Stuttgart
1,Fri Aug 2 1991,VfL Bochum,2-2,1. FC Köln
1,Fri Aug 2 1991,Bayer 04 Leverkusen,1-0,Bor. Mönchengladbach
1,Sat Aug 3 1991,Dynamo Dresden,0-1,1. FC Kaiserslautern
1,Sat Aug 3 1991,FC Schalke 04,0-0,Hamburger SV
1,Sat Aug 3 1991,Fortuna Düsseldorf,1-2,Eintracht Frankfurt
1,Sat Aug 3 1991,Hansa Rostock,4-0,1. FC Nürnberg
1,Sat Aug 3 1991,Werder Bremen,1-1,Bayern München
1,Sat Aug 3 1991,Karlsruher SC,2-2,Borussia Dortmund
1,Sat Aug 3 1991,Stuttgarter Kickers,3-0,SG Wattenscheid 09
2,Fri Aug 9 1991,SG Wattenscheid 09,3-0,Bayer 04 Leverkusen
2,Fri Aug 9 1991,Bor. Mönchengladbach,0-0,MSV Duisburg
2,Fri Aug 9 1991,Hamburger SV,2-0,Dynamo Dresden
2,Sat Aug 10 1991,Bayern München,1-2,Hansa Rostock
2,Sat Aug 10 1991,VfB Stuttgart,1-0,Karlsruher SC
2,Sat Aug 10 1991,1. FC Nürnberg,3-1,Fortuna Düsseldorf
2,Sat Aug 10 1991,Eintracht Frankfurt,5-0,FC Schalke 04
2,Sat Aug 10 1991,1. FC Kaiserslautern,1-1,VfL Bochum
2,Sat Aug 10 1991,1. FC Köln,0-0,Stuttgarter Kickers
2,Sat Aug 10 1991,Borussia Dortmund,2-1,Werder Bremen
3,Tue Aug 13 1991,MSV Duisburg,0-0,SG Wattenscheid 09
3,Tue Aug 13 1991,VfL Bochum,2-3,Hamburger SV
3,Tue Aug 13 1991,Dynamo Dresden,2-1,Eintracht Frankfurt
3,Tue Aug 13 1991,Karlsruher SC,2-0,Bor. Mönchengladbach
3,Wed Aug 14 1991,FC Schalke 04,1-0,1. FC Nürnberg
3,Wed Aug 14 1991,Fortuna Düsseldorf,0-1,Bayern München
3,Wed Aug 14 1991,Hansa Rostock,5-1,Borussia Dortmund
3,Wed Aug 14 1991,Werder Bremen,1-1,VfB Stuttgart
3,Wed Aug 14 1991,1. FC Köln,1-1,1. FC Kaiserslautern
3,Wed Aug 14 1991,Stuttgarter Kickers,0-1,Bayer 04 Leverkusen
4,Tue Aug 20 1991,Bor. Mönchengladbach,0-2,Werder Bremen
4,Tue Aug 20 1991,Borussia Dortmund,3-1,Fortuna Düsseldorf
4,Tue Aug 20 1991,Bayern München,3-2,FC Schalke 04
4,Tue Aug 20 1991,1. FC Nürnberg,1-1,Dynamo Dresden
4,Wed Aug 21 1991,SG Wattenscheid 09,1-1,Karlsruher SC
4,Wed Aug 21 1991,Eintracht Frankfurt,2-1,VfL Bochum
4,Wed Aug 21 1991,Hamburger SV,1-1,1. FC Köln
4,Wed Aug 21 1991,1. FC Kaiserslautern,4-3,Stuttgarter Kickers
4,Wed Aug 21 1991,Bayer 04 Leverkusen,2-1,MSV Duisburg
4,Wed Aug 21 1991,VfB Stuttgart,3-0,Hansa Rostock
5,Fri Aug 23 1991,Dynamo Dresden,0-2,Bayern München
5,Sat Aug 24 1991,FC Schalke 04,5-2,Borussia Dortmund
5,Sat Aug 24 1991,Fortuna Düsseldorf,0-3,VfB Stuttgart
5,Sat Aug 24 1991,Hansa Rostock,2-1,Bor. Mönchengladbach
5,Sat Aug 24 1991,Werder Bremen,2-2,SG Wattenscheid 09
