Round,Date,Team 1,Team 2,FT,HT
1,1991-08-02,MSV Duisburg,VfB Stuttgart,1-0,1-0
1,1991-08-02,VfL Bochum,1. FC Köln,2-2,1-2
1,1991-08-02,Bayer Leverkusen,Bor. Mönchengladbach,1-0,1-0
1,1991-08-03,Dynamo Dresden,1. FC Kaiserslautern,0-1,0-1
1,1991-08-03,FC Schalke 04,Hamburger SV,0-0,0-0
1,1991-08-03,Fortuna Düsseldorf,Eintracht Frankfurt,1-2,1-1
1,1991-08-03,Hansa Rostock,1. FC Nürnberg,4-0,1-0
1,1991-08-03,Werder Bremen,Bayern München,1-1,0-1
1,1991-08-03,Karlsruher SC,Borussia Dortmund,2-2,1-1
1,1991-08-03,Stuttgarter Kickers,SG Wattenscheid 09,3-0,1-0
2,1991-08-09,SG Wattenscheid 09,Bayer Leverkusen,3-0,1-0
2,1991-08-09,Bor. Mönchengladbach,MSV Duisburg,0-0,0-0
2,1991-08-09,Hamburger SV,Dynamo Dresden,2-0,0-0
2,1991-08-10,Borussia Dortmund,Werder Bremen,2-1,0-0
2,1991-08-10,Bayern München,Hansa Rostock,1-2,1-1
2,1991-08-10,1. FC Nürnberg,Fortuna Düsseldorf,3-1,2-1
2,1991-08-10,Eintracht Frankfurt,FC Schalke 04,5-0,1-0
2,1991-08-10,1. FC Kaiserslautern,VfL Bochum,1-1,1-0
2,1991-08-10,1. FC Köln,Stuttgarter Kickers,0-0,0-0
2,1991-08-10,VfB Stuttgart,Karlsruher SC,1-0,0-0
3,1991-08-13,MSV Duisburg,SG Wattenscheid 09,0-0,0-0
3,1991-08-13,VfL Bochum,Hamburger SV,2-3,2-0
3,1991-08-13,Dynamo Dresden,Eintracht Frankfurt,2-1,1-1
3,1991-08-13,Karlsruher SC,Bor. Mönchengladbach,2-0,2-0
3,1991-08-14,FC Schalke 04,1. FC Nürnberg,1-0,1-0
3,1991-08-14,Fortuna Düsseldorf,Bayern München,0-1,0-0
3,1991-08-14,Hansa Rostock,Borussia Dortmund,5-1,2-0
3,1991-08-14,Werder Bremen,VfB Stuttgart,1-1,0-0
3,1991-08-14,1. FC Köln,1. FC Kaiserslautern,1-1,0-0
3,1991-08-14,Stuttgarter Kickers,Bayer Leverkusen,0-1,0-0
4,1991-08-20,Bor. Mönchengladbach,Werder Bremen,0-2,0-0
4,1991-08-20,Borussia Dortmund,Fortuna Düsseldorf,3-1,2-0
4,1991-08-20,Bayern München,FC Schalke 04,3-2,2-0
4,1991-08-20,1. FC Nürnberg,Dynamo Dresden,1-1,0-0
4,1991-08-21,SG Wattenscheid 09,Karlsruher SC,1-1,0-1
4,1991-08-21,Eintracht Frankfurt,VfL Bochum,2-1,0-1
4,1991-08-21,Hamburger SV,1. FC Köln,1-1,1-0
4,1991-08-21,1. FC Kaiserslautern,Stuttgarter Kickers,4-3,2-1
4,1991-08-21,Bayer Leverkusen,MSV Duisburg,2-1,1-0
4,1991-08-21,VfB Stuttgart,Hansa Rostock,3-0,1-0
5,1991-08-23,Dynamo Dresden,Bayern München,0-2,0-1
5,1991-08-24,FC Schalke 04,Borussia Dortmund,5-2,1-1
5,1991-08-24,Fortuna Düsseldorf,VfB Stuttgart,0-3,0-1
5,1991-08-24,Hansa Rostock,Bor. Mönchengladbach,2-1,1-1
5,1991-08-24,Werder Bremen,SG Wattenscheid 09,2-2,1-0
5,1991-08-24,Karlsruher SC,Bayer Leverkusen,0-0,0-0
5,1991-08-24,1. FC Kaiserslautern,Hamburger SV,0-0,0-0
5,1991-08-24,1. FC Köln,Eintracht Frankfurt,1-1,0-1
5,1991-08-25,VfL Bochum,1. FC Nürnberg,0-3,0-2
5,1991-10-09,Stuttgarter Kickers,MSV Duisburg,0-1,0-0
6,1991-08-27,SG Wattenscheid 09,Hansa Rostock,0-0,0-0
6,1991-08-27,MSV Duisburg,Karlsruher SC,6-2,5-1
6,1991-08-27,Bor. Mönchengladbach,Fortuna Düsseldorf,3-1,1-0
6,1991-08-27,Bayer Leverkusen,Werder Bremen,0-0,0-0
6,1991-08-27,VfB Stuttgart,FC Schalke 04,1-0,1-0
6,1991-08-28,Borussia Dortmund,Dynamo Dresden,4-0,0-0
6,1991-08-28,Bayern München,VfL Bochum,0-2,0-0
6,1991-08-28,1. FC Nürnberg,1. FC Köln,4-0,4-0
6,1991-08-28,Eintracht Frankfurt,1. FC Kaiserslautern,2-0,0-0
6,1991-08-28,Hamburger SV,Stuttgarter Kickers,0-3,0-1
7,1991-08-30,FC Schalke 04,Bor. Mönchengladbach,3-1,2-0
7,1991-08-30,Fortuna Düsseldorf,SG Wattenscheid 09,4-3,1-1
7,1991-08-30,Werder Bremen,MSV Duisburg,5-1,3-1
7,1991-08-31,VfL Bochum,Borussia Dortmund,0-0,0-0
7,1991-08-31,Dynamo Dresden,VfB Stuttgart,1-0,1-0
7,1991-08-31,Hansa Rostock,Bayer Leverkusen,2-2,1-1
7,1991-08-31,Hamburger SV,Eintracht Frankfurt,2-1,0-0
7,1991-08-31,1. FC Kaiserslautern,1. FC Nürnberg,3-0,1-0
7,1991-08-31,1. FC Köln,Bayern München,1-1,0-1
7,1991-08-31,Stuttgarter Kickers,Karlsruher SC,1-1,1-1
8,1991-09-06,Borussia Dortmund,1. FC Köln,3-1,1-1
8,1991-09-06,Eintracht Frankfurt,Stuttgarter Kickers,6-1,4-0
8,1991-09-07,SG Wattenscheid 09,FC Schalke 04,1-2,1-1
8,1991-09-07,Bor. Mönchengladbach,Dynamo Dresden,1-0,1-0
8,1991-09-07,Bayern München,1. FC Kaiserslautern,1-0,1-0
8,1991-09-07,1. FC Nürnberg,Hamburger SV,1-1,0-0
8,1991-09-07,Karlsruher SC,Werder Bremen,2-1,1-1
8,1991-09-07,Bayer Leverkusen,Fortuna Düsseldorf,1-1,0-1
8,1991-09-07,VfB Stuttgart,VfL Bochum,4-1,3-1
8,1991-09-08,MSV Duisburg,Hansa Rostock,2-0,1-0
9,1991-09-13,VfL Bochum,Bor. Mönchengladbach,3-1,1-0
9,1991-09-13,Fortuna Düsseldorf,MSV Duisburg,1-1,0-0
9,1991-09-13,Hansa Rostock,Karlsruher SC,1-2,0-0
9,1991-09-14,Dynamo Dresden,SG Wattenscheid 09,3-0,1-0
9,1991-09-14,FC Schalke 04,Bayer Leverkusen,0-0,0-0
9,1991-09-14,Hamburger SV,Bayern München,1-0,1-0
9,1991-09-14,1. FC Kaiserslautern,Borussia Dortmund,4-0,2-0
9,1991-09-14,1. FC Köln,VfB Stuttgart,1-1,1-1
9,1991-09-14,Stuttgarter Kickers,Werder Bremen,2-1,0-1
9,1991-09-15,Eintracht Frankfurt,1. FC Nürnberg,2-2,2-0
10,1991-09-20,SG Wattenscheid 09,VfL Bochum,1-2,0-0
10,1991-09-20,Bor. Mönchengladbach,1. FC Köln,2-2,1-1
10,1991-09-20,Karlsruher SC,Fortuna Düsseldorf,1-5,1-2
10,1991-09-21,Borussia Dortmund,Hamburger SV,2-2,2-1
10,1991-09-21,Bayern München,Eintracht Frankfurt,3-3,1-1
10,1991-09-21,1. FC Nürnberg,Stuttgarter Kickers,2-0,0-0
10,1991-09-21,Werder Bremen,Hansa Rostock,1-0,1-0
10,1991-09-21,Bayer Leverkusen,Dynamo Dresden,4-0,1-0
10,1991-09-21,VfB Stuttgart,1. FC Kaiserslautern,4-1,2-1
10,1991-09-22,MSV Duisburg,FC Schalke 04,2-0,1-0
11,1991-09-27,VfL Bochum,Bayer Leverkusen,0-2,0-0
11,1991-09-27,1. FC Nürnberg,Bayern München,1-1,0-0
11,1991-09-27,1. FC Köln,SG Wattenscheid 09,1-1,0-0
11,1991-09-28,Dynamo Dresden,MSV Duisburg,0-0,0-0
11,1991-09-28,FC Schalke 04,Karlsruher SC,3-1,0-1
11,1991-09-28,Fortuna Düsseldorf,Werder Bremen,0-0,0-0
11,1991-09-28,Eintracht Frankfurt,Borussia Dortmund,3-0,1-0
11,1991-09-28,Hamburger SV,VfB Stuttgart,1-1,1-1
11,1991-09-28,1. FC Kaiserslautern,Bor. Mönchengladbach,4-2,3-1
11,1991-09-28,Stuttgarter Kickers,Hansa Rostock,1-1,0-1
12,1991-10-04,MSV Duisburg,VfL Bochum,1-1,0-0
12,1991-10-04,Borussia Dortmund,1. FC Nürnberg,3-2,2-0
12,1991-10-04,Karlsruher SC,Dynamo Dresden,1-0,0-0
12,1991-10-05,SG Wattenscheid 09,1. FC Kaiserslautern,1-0,0-0
12,1991-10-05,Bor. Mönchengladbach,Hamburger SV,1-0,1-0
12,1991-10-05,Bayern München,Stuttgarter Kickers,1-4,0-2
12,1991-10-05,Hansa Rostock,Fortuna Düsseldorf,3-1,1-1
12,1991-10-05,Werder Bremen,FC Schalke 04,2-1,1-0
12,1991-10-05,Bayer Leverkusen,1. FC Köln,1-1,0-0
12,1991-10-05,VfB Stuttgart,Eintracht Frankfurt,1-2,1-0
