Date,Team 1,Team 2,FT,HT
2000-08-11,Dortmund,Hansa Rostock,1-0,0-0
2000-08-12,Bayern Munich,Hertha,4-1,1-0
2000-08-12,Freiburg,Stuttgart,4-0,2-0
2000-08-12,Hamburg,Munich 1860,2-2,2-2
2000-08-12,Kaiserslautern,Bochum,0-1,0-0
2000-08-12,Leverkusen,Wolfsburg,2-0,2-0
2000-08-12,Werder Bremen,Cottbus,3-1,2-1
2000-08-13,Ein Frankfurt,Unterhaching,3-0,1-0
2000-08-13,Schalke 04,FC Koln,2-1,2-0
2000-08-18,Cottbus,Dortmund,1-4,0-0
2000-08-19,Munich 1860,Werder Bremen,2-1,1-1
2000-08-19,Bochum,Bayern Munich,0-3,0-3
2000-08-19,Hertha,Hamburg,4-0,3-0
2000-08-19,Stuttgart,Leverkusen,4-1,2-0
2000-08-19,Unterhaching,Freiburg,1-1,1-0
2000-08-19,Wolfsburg,Kaiserslautern,4-0,1-0
2000-08-20,FC Koln,Ein Frankfurt,4-1,2-0
2000-08-20,Hansa Rostock,Schalke 04,0-4,0-3
2000-09-05,Freiburg,FC Koln,0-0,0-0
2000-09-05,Kaiserslautern,Stuttgart,1-0,1-0
2000-09-05,Leverkusen,Unterhaching,1-0,1-0
2000-09-05,Schalke 04,Cottbus,3-0,2-0
2000-09-06,Bayern Munich,Wolfsburg,3-1,2-0
2000-09-06,Dortmund,Munich 1860,2-3,1-1
2000-09-06,Ein Frankfurt,Hansa Rostock,4-0,0-0
2000-09-06,Hamburg,Werder Bremen,2-1,1-0
2000-09-06,Hertha,Bochum,4-0,3-0
2000-09-08,Unterhaching,Kaiserslautern,0-0,0-0
2000-09-09,FC Koln,Leverkusen,1-1,0-1
2000-09-09,Munich 1860,Schalke 04,1-1,0-0
2000-09-09,Bochum,Hamburg,0-4,0-2
2000-09-09,Stuttgart,Bayern Munich,2-1,1-1
2000-09-09,Werder Bremen,Dortmund,1-2,0-1
2000-09-09,Wolfsburg,Hertha,2-1,1-0
2000-09-10,Cottbus,Ein Frankfurt,2-0,0-0
2000-09-10,Hansa Rostock,Freiburg,0-0,0-0
2000-09-15,Kaiserslautern,FC Koln,3-1,1-1
2000-09-16,Bayern Munich,Unterhaching,3-1,1-1
2000-09-16,Bochum,Wolfsburg,2-1,1-0
2000-09-16,Ein Frankfurt,Munich 1860,1-0,1-0
2000-09-16,Freiburg,Cottbus,4-1,0-0
2000-09-16,Hamburg,Dortmund,2-3,1-1
2000-09-16,Leverkusen,Hansa Rostock,1-2,0-2
2000-09-17,Hertha,Stuttgart,2-0,0-0
2000-09-17,Schalke 04,Werder Bremen,1-1,0-0
2000-09-22,Munich 1860,Freiburg,3-1,0-1
2000-09-23,FC Koln,Bayern Munich,1-2,1-1
2000-09-23,Cottbus,Leverkusen,1-2,1-1
2000-09-23,Dortmund,Schalke 04,0-4,0-2
2000-09-23,Stuttgart,Bochum,1-1,0-1
2000-09-23,Werder Bremen,Ein Frankfurt,1-1,1-1
2000-09-23,Wolfsburg,Hamburg,4-4,2-1
2000-09-24,Hansa Rostock,Kaiserslautern,1-0,0-0
2000-09-24,Unterhaching,Hertha,5-2,2-1
2000-09-29,Ein Frankfurt,Dortmund,1-1,1-0
2000-09-30,Bayern Munich,Hansa Rostock,0-1,0-1
2000-09-30,Bochum,Unterhaching,3-0,0-0
2000-09-30,Hamburg,Schalke 04,2-0,1-0
2000-09-30,Hertha,FC Koln,4-2,3-2
2000-09-30,Kaiserslautern,Cottbus,1-1,1-0
2000-09-30,Leverkusen,Munich 1860,0-0,0-0
2000-10-01,Freiburg,Werder Bremen,0-1,0-0
2000-10-01,Wolfsburg,Stuttgart,2-2,1-1
2000-10-13,Dortmund,Freiburg,1-0,0-0
2000-10-14,FC Koln,Bochum,2-0,0-0
2000-10-14,Munich 1860,Kaiserslautern,0-4,0-1
2000-10-14,Cottbus,Bayern Munich,1-0,1-0
2000-10-14,Schalke 04,Ein Frankfurt,4-0,1-0
2000-10-14,Stuttgart,Hamburg,3-3,2-2
2000-10-14,Werder Bremen,Leverkusen,3-3,0-1
2000-10-15,Hansa Rostock,Hertha,0-2,0-1
2000-10-15,Unterhaching,Wolfsburg,0-3,0-1
2000-10-20,Kaiserslautern,Werder Bremen,2-0,1-0
2000-10-21,Bayern Munich,Munich 1860,3-1,1-0
2000-10-21,Hamburg,Ein Frankfurt,2-0,1-0
2000-10-21,Hertha,Cottbus,3-1,1-1
2000-10-21,Leverkusen,Dortmund,2-0,1-0
2000-10-21,Stuttgart,Unterhaching,2-2,1-2
2000-10-21,Wolfsburg,FC Koln,6-0,4-0
2000-10-22,Bochum,Hansa Rostock,1-2,0-0
2000-10-22,Freiburg,Schalke 04,3-1,1-0
2000-10-27,Cottbus,Bochum,2-0,2-0
2000-10-28,Dortmund,Kaiserslautern,1-2,0-1
2000-10-28,Ein Frankfurt,Freiburg,3-0,2-0
2000-10-28,Hansa Rostock,Wolfsburg,1-1,0-1
2000-10-28,Schalke 04,Leverkusen,0-0,0-0
2000-10-28,Unterhaching,Hamburg,2-1,0-1
2000-10-28,Werder Bremen,Bayern Munich,1-1,1-1
2000-10-29,FC Koln,Stuttgart,3-2,2-2
2000-10-29,Munich 1860,Hertha,0-1,0-0
2000-11-03,Leverkusen,Ein Frankfurt,1-0,0-0
2000-11-04,Bayern Munich,Dortmund,6-2,3-1
2000-11-04,Bochum,Munich 1860,1-1,0-0
2000-11-04,Hamburg,Freiburg,5-0,4-0
2000-11-04,Hertha,Werder Bremen,4-1,2-0
2000-11-04,Kaiserslautern,Schalke 04,3-2,0-1
2000-11-04,Stuttgart,Hansa Rostock,1-0,1-0
2000-11-05,Unterhaching,FC Koln,0-0,0-0
2000-11-05,Wolfsburg,Cottbus,1-1,0-1
2000-11-10,Dortmund,Hertha,2-0,1-0
