Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 1 2003,Bayern München,3-1,Eintracht Frankfurt
1,Sat Aug 2 2003,Hamburger SV,0-3,Hannover 96
1,Sat Aug 2 2003,Hertha BSC,0-3,Werder Bremen
1,Sat Aug 2 2003,1. FC Kaiserslautern,0-1,TSV 1860 München
1,Sat Aug 2 2003,Bayer 04 Leverkusen,4-1,SC Freiburg
1,Sat Aug 2 2003,FC Schalke 04,2-2,Borussia Dortmund
1,Sat Aug 2 2003,VfL Wolfsburg,3-2,VfL Bochum
1,Sun Aug 3 2003,Hansa Rostock,0-2,VfB Stuttgart
1,Sun Aug 3 2003,Bor. Mönchengladbach,1-0,1. FC Köln
2,Sat Aug 9 2003,VfL Bochum,1-1,Hamburger SV
2,Sat Aug 9 2003,Borussia Dortmund,4-0,VfL Wolfsburg
2,Sat Aug 9 2003,1. FC Köln,1-2,1. FC Kaiserslautern
2,Sat Aug 9 2003,SC Freiburg,2-2,Hansa Rostock
2,Sat Aug 9 2003,Hannover 96,3-3,Bayern München
2,Sat Aug 9 2003,TSV 1860 München,1-1,FC Schalke 04
2,Sat Aug 9 2003,Werder Bremen,1-1,Bor. Mönchengladbach
2,Sun Aug 10 2003,Eintracht Frankfurt,1-2,Bayer 04 Leverkusen
2,Sun Aug 10 2003,VfB Stuttgart,0-0,Hertha BSC
3,Sat Aug 16 2003,Bayern München,2-0,VfL Bochum
3,Sat Aug 16 2003,Borussia Dortmund,3-1,TSV 1860 München
3,Sat Aug 16 2003,Hansa Rostock,3-0,Eintracht Frankfurt
3,Sat Aug 16 2003,Hertha BSC,0-0,SC Freiburg
3,Sat Aug 16 2003,1. FC Kaiserslautern,0-1,Werder Bremen
3,Sat Aug 16 2003,Bayer 04 Leverkusen,4-0,Hannover 96
3,Sat Aug 16 2003,Bor. Mönchengladbach,0-1,VfB Stuttgart
3,Sun Aug 17 2003,FC Schalke 04,2-1,1. FC Köln
3,Sun Aug 17 2003,VfL Wolfsburg,5-1,Hamburger SV
4,Sat Aug 23 2003,VfL Bochum,1-0,Bayer 04 Leverkusen
4,Sat Aug 23 2003,Eintracht Frankfurt,0-0,Hertha BSC
4,Sat Aug 23 2003,1. FC Köln,1-0,Borussia Dortmund
4,Sat Aug 23 2003,SC Freiburg,4-1,Bor. Mönchengladbach
4,Sat Aug 23 2003,TSV 1860 München,1-0,VfL Wolfsburg
4,Sat Aug 23 2003,VfB Stuttgart,2-0,1. FC Kaiserslautern
4,Sat Aug 23 2003,Werder Bremen,4-1,FC Schalke 04
4,Sun Aug 24 2003,Hamburger SV,0-2,Bayern München
4,Wed Aug 27 2003,Hannover 96,3-3,Hansa Rostock
5,Sat Sep 13 2003,Borussia Dortmund,2-1,Werder Bremen
5,Sat Sep 13 2003,Hansa Rostock,0-2,VfL Bochum
5,Sat Sep 13 2003,Hertha BSC,2-3,Hannover 96
5,Sat Sep 13 2003,Bayer 04 Leverkusen,1-0,Hamburger SV
5,Sat Sep 13 2003,TSV 1860 München,2-1,1. FC Köln
5,Sat Sep 13 2003,FC Schalke 04,0-0,VfB Stuttgart
5,Sat Sep 13 2003,VfL Wolfsburg,3-2,Bayern München
5,Sun Sep 14 2003,1. FC Kaiserslautern,2-2,SC Freiburg
5,Sun Sep 14 2003,Bor. Mönchengladbach,0-2,Eintracht Frankfurt
6,Sat Sep 20 2003,Bayern München,3-3,Bayer 04 Leverkusen
6,Sat Sep 20 2003,VfL Bochum,2-2,Hertha BSC
6,Sat Sep 20 2003,1. FC Köln,2-3,VfL Wolfsburg
6,Sat Sep 20 2003,SC Freiburg,2-1,FC Schalke 04
6,Sat Sep 20 2003,Hannover 96,2-0,Bor. Mönchengladbach
6,Sat Sep 20 2003,VfB Stuttgart,1-0,Borussia Dortmund
6,Sat Sep 20 2003,Werder Bremen,2-1,TSV 1860 München
6,Sun Sep 21 2003,Eintracht Frankfurt,1-3,1. FC Kaiserslautern
6,Sun Sep 21 2003,Hamburger SV,2-1,Hansa Rostock
7,Sat Sep 27 2003,Borussia Dortmund,1-0,SC Freiburg
7,Sat Sep 27 2003,1. FC Köln,1-4,Werder Bremen
7,Sat Sep 27 2003,Hansa Rostock,1-2,Bayern München
7,Sat Sep 27 2003,1. FC Kaiserslautern,1-0,Hannover 96
7,Sat Sep 27 2003,Bor. Mönchengladbach,2-2,VfL Bochum
7,Sat Sep 27 2003,TSV 1860 München,0-3,VfB Stuttgart
7,Sat Sep 27 2003,VfL Wolfsburg,0-1,Bayer 04 Leverkusen
7,Sun Sep 28 2003,Hertha BSC,1-1,Hamburger SV
7,Sun Sep 28 2003,FC Schalke 04,1-1,Eintracht Frankfurt
8,Sat Oct 4 2003,Bayern München,4-1,Hertha BSC
8,Sat Oct 4 2003,VfL Bochum,4-0,1. FC Kaiserslautern
8,Sat Oct 4 2003,Eintracht Frankfurt,0-1,Borussia Dortmund
8,Sat Oct 4 2003,SC Freiburg,1-0,TSV 1860 München
8,Sat Oct 4 2003,Hamburger SV,2-1,Bor. Mönchengladbach
8,Sat Oct 4 2003,Hannover 96,1-2,FC Schalke 04
8,Sat Oct 4 2003,VfB Stuttgart,0-0,1. FC Köln
