Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 22 1988,Borussia Dortmund,1-2,VfB Stuttgart
1,Fri Jul 22 1988,SV Waldhof Mannheim,1-1,Bayer 04 Leverkusen
1,Sat Jul 23 1988,1. FC Köln,1-1,KFC Uerdingen
1,Sat Jul 23 1988,FC St. Pauli,0-1,1. FC Nürnberg
1,Sat Jul 23 1988,Stuttgarter Kickers,1-2,VfL Bochum
1,Sat Jul 23 1988,Bayern München,3-0,Eintracht Frankfurt
1,Sat Jul 23 1988,Hannover 96,2-3,Karlsruher SC
1,Sat Jul 23 1988,Werder Bremen,2-1,Hamburger SV
1,Sat Jul 23 1988,Bor. Mönchengladbach,4-1,1. FC Kaiserslautern
2,Fri Jul 29 1988,Hamburger SV,0-0,Borussia Dortmund
2,Fri Jul 29 1988,VfB Stuttgart,2-1,Hannover 96
2,Sat Jul 30 1988,Bayer 04 Leverkusen,3-1,Bor. Mönchengladbach
2,Sat Jul 30 1988,Karlsruher SC,2-2,Bayern München
2,Sat Jul 30 1988,Eintracht Frankfurt,1-2,Stuttgarter Kickers
2,Sat Jul 30 1988,VfL Bochum,0-0,FC St. Pauli
2,Sat Jul 30 1988,1. FC Nürnberg,0-2,1. FC Köln
2,Sat Jul 30 1988,KFC Uerdingen,0-0,SV Waldhof Mannheim
2,Sat Jul 30 1988,1. FC Kaiserslautern,0-0,Werder Bremen
3,Fri Aug 12 1988,Borussia Dortmund,1-1,1. FC Kaiserslautern
3,Sat Aug 13 1988,FC St. Pauli,2-0,Eintracht Frankfurt
3,Sat Aug 13 1988,Stuttgarter Kickers,1-3,Karlsruher SC
3,Sat Aug 13 1988,Hannover 96,2-3,Hamburger SV
3,Sat Aug 13 1988,Werder Bremen,3-1,Bayer 04 Leverkusen
3,Sat Aug 13 1988,KFC Uerdingen,3-2,1. FC Nürnberg
3,Sat Aug 13 1988,SV Waldhof Mannheim,4-1,Bor. Mönchengladbach
3,Tue Aug 16 1988,1. FC Köln,1-0,VfL Bochum
4,Fri Aug 19 1988,Karlsruher SC,3-1,FC St. Pauli
4,Fri Aug 19 1988,Eintracht Frankfurt,1-0,1. FC Köln
4,Sat Aug 20 1988,Hamburger SV,0-1,Bayern München
4,Sat Aug 20 1988,1. FC Kaiserslautern,0-0,Hannover 96
4,Sat Aug 20 1988,1. FC Nürnberg,1-0,SV Waldhof Mannheim
