Round,Date,Time,Team 1,Team 2,FT,HT
1,1988-07-22,20:00,Borussia Dortmund,VfB Stuttgart,1-2,1-1
1,1988-07-22,20:00,Waldhof Mannheim,Bayer Leverkusen,1-1,1-0
1,1988-07-23,15:30,1. FC Köln,Bayer 05 Uerdingen,1-1,1-0
1,1988-07-23,15:30,FC St. Pauli,1. FC Nürnberg,0-1,0-0
1,1988-07-23,15:30,Stuttgarter Kickers,VfL Bochum,1-2,1-1
1,1988-07-23,15:30,Bayern München,Eintracht Frankfurt,3-0,0-0
1,1988-07-23,15:30,Hannover 96,Karlsruher SC,2-3,1-2
1,1988-07-23,15:30,Werder Bremen,Hamburger SV,2-1,0-1
1,1988-07-23,15:30,Bor. Mönchengladbach,1. FC Kaiserslautern,4-1,1-1
2,1988-07-29,20:00,Hamburger SV,Borussia Dortmund,0-0,0-0
2,1988-07-29,20:00,VfB Stuttgart,Hannover 96,2-1,1-1
2,1988-07-30,15:30,Bayer Leverkusen,Bor. Mönchengladbach,3-1,2-0
2,1988-07-30,15:30,Karlsruher SC,Bayern München,2-2,0-1
2,1988-07-30,15:30,Eintracht Frankfurt,Stuttgarter Kickers,1-2,0-0
2,1988-07-30,15:30,VfL Bochum,FC St. Pauli,0-0,0-0
2,1988-07-30,15:30,1. FC Nürnberg,1. FC Köln,0-2,0-0
2,1988-07-30,15:30,Bayer 05 Uerdingen,Waldhof Mannheim,0-0,0-0
2,1988-07-30,15:30,1. FC Kaiserslautern,Werder Bremen,0-0,0-0
3,1988-08-12,20:00,Borussia Dortmund,1. FC Kaiserslautern,1-1,1-0
3,1988-08-13,15:30,FC St. Pauli,Eintracht Frankfurt,2-0,0-0
3,1988-08-13,15:30,Stuttgarter Kickers,Karlsruher SC,1-3,1-1
3,1988-08-13,15:30,Hannover 96,Hamburger SV,2-3,0-1
3,1988-08-13,15:30,Werder Bremen,Bayer Leverkusen,3-1,1-0
3,1988-08-13,15:30,Bayer 05 Uerdingen,1. FC Nürnberg,3-2,2-0
3,1988-08-13,15:30,Waldhof Mannheim,Bor. Mönchengladbach,4-1,2-0
3,1988-08-16,20:00,1. FC Köln,VfL Bochum,1-0,0-0
3,1988-11-15,20:00,Bayern München,VfB Stuttgart,3-3,1-1
4,1988-08-19,20:00,Karlsruher SC,FC St. Pauli,3-1,1-0
4,1988-08-19,20:00,Eintracht Frankfurt,1. FC Köln,1-0,1-0
4,1988-08-20,15:30,Bayer Leverkusen,Borussia Dortmund,2-0,0-0
4,1988-08-20,15:30,Hamburger SV,Bayern München,0-1,0-0
4,1988-08-20,15:30,VfB Stuttgart,Stuttgarter Kickers,4-0,2-0
4,1988-08-20,15:30,VfL Bochum,Bayer 05 Uerdingen,1-1,0-1
4,1988-08-20,15:30,1. FC Nürnberg,Waldhof Mannheim,1-0,0-0
4,1988-08-20,15:30,Bor. Mönchengladbach,Werder Bremen,4-1,1-0
