Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 14 1992,1. FC Kaiserslautern,1-0,1. FC Köln
1,Fri Aug 14 1992,Bayer 04 Leverkusen,1-1,1. FC Saarbrücken
1,Fri Aug 14 1992,1. FC Nürnberg,0-0,Werder Bremen
1,Sat Aug 15 1992,Eintracht Frankfurt,1-1,Dynamo Dresden
1,Sat Aug 15 1992,KFC Uerdingen,0-3,Bayern München
1,Sat Aug 15 1992,FC Schalke 04,3-4,SG Wattenscheid 09
1,Sat Aug 15 1992,VfL Bochum,2-2,Borussia Dortmund
1,Sat Aug 15 1992,Karlsruher SC,4-2,Bor. Mönchengladbach
1,Sat Aug 15 1992,Hamburger SV,1-1,VfB Stuttgart
2,Fri Aug 21 1992,SG Wattenscheid 09,1-1,KFC Uerdingen
2,Fri Aug 21 1992,Dynamo Dresden,1-1,Hamburger SV
2,Sat Aug 22 1992,Bor. Mönchengladbach,1-1,VfL Bochum
2,Sat Aug 22 1992,VfB Stuttgart,3-0,1. FC Nürnberg
2,Sat Aug 22 1992,1. FC Saarbrücken,2-0,Karlsruher SC
2,Sat Aug 22 1992,Borussia Dortmund,0-2,FC Schalke 04
2,Sat Aug 22 1992,Bayern München,1-0,1. FC Kaiserslautern
2,Sat Aug 22 1992,1. FC Köln,0-1,Eintracht Frankfurt
2,Sat Aug 22 1992,Werder Bremen,1-1,Bayer 04 Leverkusen
3,Tue Aug 25 1992,KFC Uerdingen,0-2,Borussia Dortmund
3,Tue Aug 25 1992,FC Schalke 04,1-2,Bor. Mönchengladbach
3,Tue Aug 25 1992,Bayer 04 Leverkusen,4-0,VfB Stuttgart
3,Tue Aug 25 1992,Hamburger SV,0-1,1. FC Nürnberg
3,Wed Aug 26 1992,1. FC Kaiserslautern,4-1,SG Wattenscheid 09
3,Wed Aug 26 1992,VfL Bochum,4-0,1. FC Saarbrücken
3,Wed Aug 26 1992,Karlsruher SC,5-2,Werder Bremen
3,Wed Aug 26 1992,Dynamo Dresden,3-0,1. FC Köln
4,Fri Aug 28 1992,Bor. Mönchengladbach,0-4,KFC Uerdingen
4,Fri Aug 28 1992,1. FC Nürnberg,0-1,Bayer 04 Leverkusen
4,Sat Aug 29 1992,1. FC Saarbrücken,1-3,FC Schalke 04
4,Sat Aug 29 1992,Werder Bremen,3-1,VfL Bochum
4,Sat Aug 29 1992,Bayern München,3-1,Dynamo Dresden
4,Sat Aug 29 1992,1. FC Köln,2-2,Hamburger SV
4,Sat Aug 29 1992,Borussia Dortmund,1-0,1. FC Kaiserslautern
4,Sat Aug 29 1992,SG Wattenscheid 09,1-2,Eintracht Frankfurt
4,Sat Aug 29 1992,VfB Stuttgart,2-1,Karlsruher SC
