Round,Date,Time,Team 1,Team 2,FT,HT
1,1973-08-11,15:30,Bor. Mönchengladbach,Fortuna Koeln,3-1,2-0
1,1973-08-11,15:30,1. FC Köln,Eintracht Frankfurt,1-1,0-0
1,1973-08-11,15:30,Kickers Offenbach,Rot-Weiss Essen,1-1,1-0
1,1973-08-11,15:30,1. FC Kaiserslautern,Werder Bremen,2-2,1-1
1,1973-08-11,15:30,Hamburger SV,Hertha BSC,0-2,0-1
1,1973-08-11,15:30,VfB Stuttgart,FC Schalke 04,3-0,2-0
1,1973-08-11,15:30,VfL Bochum,Wuppertaler SV,2-1,2-0
1,1973-08-11,15:30,MSV Duisburg,Hannover 96,1-1,0-1
1,1973-08-11,15:30,Bayern München,Fortuna Duesseldorf,3-1,1-1
2,1973-08-17,20:00,Werder Bremen,VfB Stuttgart,1-1,0-0
2,1973-08-17,20:00,FC Schalke 04,VfL Bochum,3-1,2-1
2,1973-08-18,15:30,Fortuna Koeln,Bayern München,0-3,0-1
2,1973-08-18,15:30,Rot-Weiss Essen,Bor. Mönchengladbach,2-6,2-2
2,1973-08-18,15:30,Hertha BSC,Kickers Offenbach,2-2,1-1
2,1973-08-18,15:30,Wuppertaler SV,Hamburger SV,3-0,2-0
2,1973-08-18,15:30,Fortuna Duesseldorf,1. FC Köln,3-0,1-0
2,1973-08-18,15:30,Hannover 96,1. FC Kaiserslautern,4-2,3-1
2,1973-08-18,15:30,Eintracht Frankfurt,MSV Duisburg,3-0,0-0
3,1973-08-21,20:00,1. FC Kaiserslautern,Eintracht Frankfurt,1-4,1-0
3,1973-08-21,20:00,MSV Duisburg,1. FC Köln,5-1,2-1
3,1973-08-21,20:00,Kickers Offenbach,Wuppertaler SV,0-1,0-0
3,1973-08-21,20:00,VfB Stuttgart,Hannover 96,5-1,0-0
3,1973-08-21,20:00,Fortuna Koeln,Fortuna Duesseldorf,1-1,1-0
3,1973-08-21,20:00,Hamburger SV,FC Schalke 04,5-2,1-0
3,1973-08-21,20:00,VfL Bochum,Werder Bremen,0-0,0-0
3,1973-08-21,20:00,Bayern München,Rot-Weiss Essen,2-0,0-0
3,1973-08-29,20:00,Bor. Mönchengladbach,Hertha BSC,1-1,1-0
4,1973-08-25,15:30,Eintracht Frankfurt,VfB Stuttgart,4-3,0-0
4,1973-08-25,15:30,Hannover 96,VfL Bochum,1-2,0-1
4,1973-08-25,15:30,FC Schalke 04,Kickers Offenbach,0-2,0-0
