Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 14 1976,Bor. Mönchengladbach,1-1,MSV Duisburg
1,Sat Aug 14 1976,Karlsruher SC,0-3,Hertha BSC
1,Sat Aug 14 1976,1. FC Saarbrücken,0-1,VfL Bochum
1,Sat Aug 14 1976,Hamburger SV,3-4,Borussia Dortmund
1,Sat Aug 14 1976,FC Schalke 04,3-2,Werder Bremen
1,Sat Aug 14 1976,1. FC Köln,3-1,1. FC Kaiserslautern
1,Sat Aug 14 1976,Tennis Borussia Berlin,2-2,Rot-Weiss Essen
1,Sat Aug 14 1976,Eintracht Braunschweig,3-1,Eintracht Frankfurt
1,Sat Aug 14 1976,Bayern München,2-1,Fortuna Düsseldorf
2,Fri Aug 20 1976,1. FC Kaiserslautern,2-0,FC Schalke 04
2,Sat Aug 21 1976,Werder Bremen,2-2,Hamburger SV
2,Sat Aug 21 1976,Rot-Weiss Essen,0-3,1. FC Köln
2,Sat Aug 21 1976,Eintracht Frankfurt,7-1,Tennis Borussia Berlin
2,Sat Aug 21 1976,Borussia Dortmund,2-1,1. FC Saarbrücken
2,Sat Aug 21 1976,MSV Duisburg,5-2,Bayern München
2,Sat Aug 21 1976,Hertha BSC,0-1,Bor. Mönchengladbach
2,Sat Aug 21 1976,Fortuna Düsseldorf,1-3,Eintracht Braunschweig
3,Fri Aug 27 1976,Bayern München,2-2,Eintracht Braunschweig
3,Fri Aug 27 1976,Hamburger SV,1-0,1. FC Kaiserslautern
3,Sat Aug 28 1976,MSV Duisburg,1-1,Hertha BSC
3,Sat Aug 28 1976,Tennis Borussia Berlin,4-2,Fortuna Düsseldorf
3,Sat Aug 28 1976,Bor. Mönchengladbach,4-2,VfL Bochum
3,Sat Aug 28 1976,1. FC Saarbrücken,2-0,Werder Bremen
3,Sat Aug 28 1976,FC Schalke 04,3-0,Rot-Weiss Essen
3,Sat Aug 28 1976,1. FC Köln,2-0,Eintracht Frankfurt
3,Sat Aug 28 1976,Karlsruher SC,2-1,Borussia Dortmund
4,Fri Sep 3 1976,Eintracht Frankfurt,6-3,FC Schalke 04
4,Fri Sep 3 1976,VfL Bochum,2-1,MSV Duisburg
4,Fri Sep 3 1976,Eintracht Braunschweig,3-1,Tennis Borussia Berlin
4,Sat Sep 4 1976,Fortuna Düsseldorf,1-3,1. FC Köln
4,Sat Sep 4 1976,Borussia Dortmund,0-0,Bor. Mönchengladbach
4,Sat Sep 4 1976,Rot-Weiss Essen,1-2,Hamburger SV
4,Sat Sep 4 1976,Werder Bremen,1-1,Karlsruher SC
4,Sat Sep 4 1976,1. FC Kaiserslautern,1-0,1. FC Saarbrücken
4,Sat Sep 4 1976,Hertha BSC,1-1,Bayern München
5,Fri Sep 10 1976,Bayern München,9-0,Tennis Borussia Berlin
5,Fri Sep 10 1976,MSV Duisburg,0-0,Borussia Dortmund
5,Sat Sep 11 1976,Hamburger SV,3-1,Eintracht Frankfurt
5,Sat Sep 11 1976,Bor. Mönchengladbach,3-1,Werder Bremen
