Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 9 1975,Hannover 96,3-3,Bor. Mönchengladbach
1,Sat Aug 9 1975,Bayern München,1-1,Eintracht Braunschweig
1,Sat Aug 9 1975,1. FC Kaiserslautern,2-2,Kickers Offenbach
1,Sat Aug 9 1975,Hamburger SV,4-1,FC Schalke 04
1,Sat Aug 9 1975,VfL Bochum,0-3,Werder Bremen
1,Sat Aug 9 1975,MSV Duisburg,2-2,Fortuna Düsseldorf
1,Sat Aug 9 1975,Rot-Weiss Essen,2-1,KFC Uerdingen
1,Sat Aug 9 1975,Hertha BSC,2-1,1. FC Köln
1,Sat Aug 9 1975,Eintracht Frankfurt,0-2,Karlsruher SC
2,Fri Aug 15 1975,Werder Bremen,1-2,Eintracht Frankfurt
2,Fri Aug 15 1975,Kickers Offenbach,3-2,Hamburger SV
2,Sat Aug 16 1975,FC Schalke 04,5-1,MSV Duisburg
2,Sat Aug 16 1975,Bor. Mönchengladbach,3-0,1. FC Kaiserslautern
2,Sat Aug 16 1975,Karlsruher SC,1-2,Bayern München
2,Sat Aug 16 1975,KFC Uerdingen,0-0,VfL Bochum
2,Sat Aug 16 1975,Fortuna Düsseldorf,5-2,Rot-Weiss Essen
2,Sat Aug 16 1975,1. FC Köln,2-1,Hannover 96
2,Sat Aug 16 1975,Eintracht Braunschweig,5-2,Hertha BSC
3,Fri Aug 22 1975,1. FC Kaiserslautern,2-2,Hannover 96
3,Fri Aug 22 1975,Bayern München,4-0,Werder Bremen
3,Sat Aug 23 1975,MSV Duisburg,6-2,Kickers Offenbach
3,Sat Aug 23 1975,Hertha BSC,1-1,Karlsruher SC
3,Sat Aug 23 1975,Eintracht Braunschweig,0-0,1. FC Köln
3,Sat Aug 23 1975,Eintracht Frankfurt,3-1,KFC Uerdingen
3,Sat Aug 23 1975,Rot-Weiss Essen,0-0,FC Schalke 04
3,Sat Aug 23 1975,VfL Bochum,0-1,Fortuna Düsseldorf
3,Sat Aug 23 1975,Hamburger SV,0-0,Bor. Mönchengladbach
4,Tue Aug 26 1975,Bor. Mönchengladbach,3-0,MSV Duisburg
4,Wed Aug 27 1975,Werder Bremen,3-2,Hertha BSC
4,Wed Aug 27 1975,Kickers Offenbach,0-4,Rot-Weiss Essen
4,Wed Aug 27 1975,Fortuna Düsseldorf,1-1,Eintracht Frankfurt
4,Wed Aug 27 1975,FC Schalke 04,1-1,VfL Bochum
4,Wed Aug 27 1975,KFC Uerdingen,2-1,Bayern München
4,Wed Aug 27 1975,Hannover 96,1-0,Hamburger SV
4,Wed Aug 27 1975,Karlsruher SC,0-2,Eintracht Braunschweig
4,Wed Aug 27 1975,1. FC Köln,1-1,1. FC Kaiserslautern
5,Sat Aug 30 1975,Rot-Weiss Essen,1-3,Bor. Mönchengladbach
5,Sat Aug 30 1975,Hertha BSC,5-0,KFC Uerdingen
5,Sat Aug 30 1975,VfL Bochum,5-1,Kickers Offenbach
5,Sat Aug 30 1975,Eintracht Frankfurt,2-1,FC Schalke 04
5,Sat Aug 30 1975,Bayern München,5-0,Fortuna Düsseldorf
5,Sat Aug 30 1975,MSV Duisburg,4-3,Hannover 96
5,Sat Aug 30 1975,Eintracht Braunschweig,3-2,Werder Bremen
5,Sat Aug 30 1975,Hamburger SV,2-0,1. FC Kaiserslautern
5,Sat Aug 30 1975,Karlsruher SC,3-1,1. FC Köln
6,Sat Sep 6 1975,Bor. Mönchengladbach,1-1,VfL Bochum
6,Sat Sep 6 1975,1. FC Köln,1-1,Hamburger SV
6,Sat Sep 6 1975,Fortuna Düsseldorf,2-1,Hertha BSC
6,Sat Sep 6 1975,Werder Bremen,1-0,Karlsruher SC
