Date,Team 1,Team 2,FT,HT
1993-07-28,Chemnitz,Wuppertaler,0-0,
1993-07-28,CZ Jena,Hertha,1-1,
1993-07-28,Hansa Rostock,Munich 1860,4-0,
1993-07-28,Homburg,St Pauli,2-1,
1993-07-28,Mannheim,F Koln,1-1,
1993-07-28,Meppen,Bochum,0-1,
1993-07-28,RW Essen,Saarbrucken,3-1,
1993-07-28,Stuttgarter K,Hannover,0-0,
1993-07-28,TB Berlin,Mainz,0-1,
1993-07-28,Wolfsburg,Uerdingen,3-0,
1993-07-31,Bochum,Hansa Rostock,2-0,
1993-07-31,F Koln,Wolfsburg,2-0,
1993-07-31,Hannover,TB Berlin,0-1,
1993-07-31,Hertha,Mannheim,1-0,
1993-07-31,Mainz,CZ Jena,2-0,
1993-07-31,Munich 1860,RW Essen,1-0,
1993-07-31,Saarbrucken,Stuttgarter K,3-0,
1993-07-31,St Pauli,Chemnitz,3-0,
1993-07-31,Uerdingen,Homburg,0-1,
1993-07-31,Wuppertaler,Meppen,0-1,
1993-08-07,Chemnitz,Uerdingen,1-4,
1993-08-07,CZ Jena,Mannheim,2-2,
1993-08-07,Hansa Rostock,Wuppertaler,0-1,
1993-08-07,Homburg,F Koln,1-2,
1993-08-07,Mainz,Hannover,1-0,
1993-08-07,Meppen,St Pauli,1-1,
1993-08-07,RW Essen,Bochum,0-2,
1993-08-07,Stuttgarter K,Munich 1860,0-2,
1993-08-07,TB Berlin,Saarbrucken,0-4,
1993-08-07,Wolfsburg,Hertha,1-0,
1993-08-14,Bochum,Stuttgarter K,3-1,
1993-08-14,F Koln,Chemnitz,0-1,
1993-08-14,Hannover,CZ Jena,1-0,
1993-08-14,Hertha,Homburg,1-0,
1993-08-14,Mannheim,Wolfsburg,1-1,
1993-08-14,Munich 1860,TB Berlin,2-1,
1993-08-14,Saarbrucken,Mainz,2-0,
1993-08-14,St Pauli,Hansa Rostock,2-4,
1993-08-14,Uerdingen,Meppen,1-0,
1993-08-14,Wuppertaler,RW Essen,0-0,
1993-08-21,Chemnitz,Hertha,1-1,
1993-08-21,CZ Jena,Wolfsburg,2-0,
1993-08-21,Hannover,Saarbrucken,4-1,
1993-08-21,Hansa Rostock,Uerdingen,2-0,
1993-08-21,Homburg,Mannheim,3-0,
1993-08-21,Mainz,Munich 1860,1-1,
1993-08-21,Meppen,F Koln,4-2,
1993-08-21,RW Essen,St Pauli,0-0,
1993-08-21,Stuttgarter K,Wuppertaler,1-0,
1993-08-21,TB Berlin,Bochum,1-1,
1993-08-28,Bochum,Mainz,2-0,
1993-08-28,F Koln,Hansa Rostock,0-0,
1993-08-28,Hertha,Meppen,1-1,
1993-08-28,Mannheim,Chemnitz,1-0,
1993-08-28,Munich 1860,Hannover,2-2,
1993-08-28,Saarbrucken,CZ Jena,2-1,
1993-08-28,St Pauli,Stuttgarter K,3-0,
1993-08-28,Uerdingen,RW Essen,2-0,
1993-08-28,Wolfsburg,Homburg,2-0,
1993-08-28,Wuppertaler,TB Berlin,1-0,
1993-09-04,Chemnitz,Wolfsburg,1-1,
1993-09-04,CZ Jena,Homburg,2-1,
1993-09-04,Hannover,Bochum,0-0,
1993-09-04,Hansa Rostock,Hertha,2-2,
1993-09-04,Mainz,Wuppertaler,1-1,
1993-09-04,Meppen,Mannheim,1-0,
1993-09-04,RW Essen,F Koln,3-0,
1993-09-04,Saarbrucken,Munich 1860,0-2,
1993-09-04,Stuttgarter K,Uerdingen,0-2,
1993-09-04,TB Berlin,St Pauli,0-0,
1993-09-18,Bochum,Saarbrucken,4-0,
1993-09-18,F Koln,Stuttgarter K,2-1,
1993-09-18,Hertha,RW Essen,3-4,
1993-09-18,Homburg,Chemnitz,4-0,
1993-09-18,Mannheim,Hansa Rostock,3-3,
1993-09-18,Munich 1860,CZ Jena,2-0,
1993-09-18,St Pauli,Mainz,1-0,
1993-09-18,Uerdingen,TB Berlin,3-1,
1993-09-18,Wolfsburg,Meppen,3-2,
1993-09-18,Wuppertaler,Hannover,0-0,
1993-09-25,CZ Jena,Chemnitz,0-2,
1993-09-25,Hannover,St Pauli,4-1,
1993-09-25,Hansa Rostock,Wolfsburg,2-0,
1993-09-25,Mainz,Uerdingen,1-1,
1993-09-25,Meppen,Homburg,2-1,
1993-09-25,Munich 1860,Bochum,4-1,
1993-09-25,RW Essen,Mannheim,2-0,
1993-09-25,Saarbrucken,Wuppertaler,1-0,
1993-09-25,Stuttgarter K,Hertha,1-1,
1993-09-25,TB Berlin,F Koln,0-1,
1993-10-02,Bochum,CZ Jena,3-0,
1993-10-02,Chemnitz,Meppen,2-1,
1993-10-02,F Koln,Mainz,1-2,
1993-10-02,Hertha,TB Berlin,3-0,
1993-10-02,Homburg,Hansa Rostock,0-2,
1993-10-02,Mannheim,Stuttgarter K,0-1,
1993-10-02,St Pauli,Saarbrucken,1-1,
1993-10-02,Uerdingen,Hannover,3-2,
1993-10-02,Wolfsburg,RW Essen,2-2,
1993-10-02,Wuppertaler,Munich 1860,5-2,
1993-10-09,Bochum,Wuppertaler,1-0,
1993-10-09,CZ Jena,Meppen,0-0,
1993-10-09,Hannover,F Koln,0-2,
1993-10-09,Hansa Rostock,Chemnitz,2-0,
1993-10-09,Mainz,Hertha,1-1,
1993-10-09,Munich 1860,St Pauli,1-0,
1993-10-09,RW Essen,Homburg,3-3,
1993-10-09,Saarbrucken,Uerdingen,2-1,
1993-10-09,Stuttgarter K,Wolfsburg,0-0,
1993-10-09,TB Berlin,Mannheim,0-1,
1993-10-16,Chemnitz,RW Essen,2-1,
1993-10-16,F Koln,Saarbrucken,7-4,
1993-10-16,Hertha,Hannover,0-0,
