Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 20 2010,Bayern München,2-1,VfL Wolfsburg
1,Sat Aug 21 2010,1. FC Köln,1-3,1. FC Kaiserslautern
1,Sat Aug 21 2010,SC Freiburg,1-3,FC St. Pauli
1,Sat Aug 21 2010,Bor. Mönchengladbach,1-1,1. FC Nürnberg
1,Sat Aug 21 2010,TSG 1899 Hoffenheim,4-1,Werder Bremen
1,Sat Aug 21 2010,Hamburger SV,2-1,FC Schalke 04
1,Sat Aug 21 2010,Hannover 96,2-1,Eintracht Frankfurt
1,Sun Aug 22 2010,1. FSV Mainz 05,2-0,VfB Stuttgart
1,Sun Aug 22 2010,Borussia Dortmund,0-2,Bayer 04 Leverkusen
2,Fri Aug 27 2010,1. FC Kaiserslautern,2-0,Bayern München
2,Sat Aug 28 2010,FC Schalke 04,1-2,Hannover 96
2,Sat Aug 28 2010,VfL Wolfsburg,3-4,1. FSV Mainz 05
2,Sat Aug 28 2010,1. FC Nürnberg,1-2,SC Freiburg
2,Sat Aug 28 2010,Werder Bremen,4-2,1. FC Köln
2,Sat Aug 28 2010,FC St. Pauli,0-1,TSG 1899 Hoffenheim
2,Sat Aug 28 2010,Eintracht Frankfurt,1-3,Hamburger SV
2,Sun Aug 29 2010,Bayer 04 Leverkusen,3-6,Bor. Mönchengladbach
2,Sun Aug 29 2010,VfB Stuttgart,1-3,Borussia Dortmund
3,Fri Sep 10 2010,TSG 1899 Hoffenheim,2-0,FC Schalke 04
3,Sat Sep 11 2010,Hamburger SV,1-1,1. FC Nürnberg
3,Sat Sep 11 2010,Hannover 96,2-2,Bayer 04 Leverkusen
3,Sat Sep 11 2010,Bor. Mönchengladbach,0-4,Eintracht Frankfurt
3,Sat Sep 11 2010,Borussia Dortmund,2-0,VfL Wolfsburg
3,Sat Sep 11 2010,SC Freiburg,2-1,VfB Stuttgart
3,Sat Sep 11 2010,Bayern München,0-0,Werder Bremen
3,Sun Sep 12 2010,1. FSV Mainz 05,2-1,1. FC Kaiserslautern
3,Sun Sep 12 2010,1. FC Köln,1-0,FC St. Pauli
4,Fri Sep 17 2010,Eintracht Frankfurt,0-1,SC Freiburg
