Round,Date,Time,Team 1,Team 2,FT,HT
1,2010-08-20,20:30,Bayern München,VfL Wolfsburg,2-1,1-0
1,2010-08-21,15:30,1899 Hoffenheim,Werder Bremen,4-1,4-1
1,2010-08-21,15:30,Bor. Mönchengladbach,1. FC Nürnberg,1-1,1-1
1,2010-08-21,15:30,1. FC Köln,1. FC Kaiserslautern,1-3,1-0
1,2010-08-21,15:30,SC Freiburg,FC St. Pauli,1-3,0-0
1,2010-08-21,15:30,Hannover 96,Eintracht Frankfurt,2-1,1-1
1,2010-08-21,18:30,Hamburger SV,FC Schalke 04,2-1,0-0
1,2010-08-22,15:30,1. FSV Mainz 05,VfB Stuttgart,2-0,1-0
1,2010-08-22,17:30,Borussia Dortmund,Bayer Leverkusen,0-2,0-2
2,2010-08-27,20:30,1. FC Kaiserslautern,Bayern München,2-0,2-0
2,2010-08-28,15:30,FC Schalke 04,Hannover 96,1-2,0-1
2,2010-08-28,15:30,Werder Bremen,1. FC Köln,4-2,2-1
2,2010-08-28,15:30,VfL Wolfsburg,1. FSV Mainz 05,3-4,3-1
2,2010-08-28,15:30,Eintracht Frankfurt,Hamburger SV,1-3,1-0
2,2010-08-28,15:30,1. FC Nürnberg,SC Freiburg,1-2,1-1
2,2010-08-28,18:30,FC St. Pauli,1899 Hoffenheim,0-1,0-0
2,2010-08-29,15:30,Bayer Leverkusen,Bor. Mönchengladbach,3-6,1-3
2,2010-08-29,17:30,VfB Stuttgart,Borussia Dortmund,1-3,0-3
3,2010-09-10,20:30,1899 Hoffenheim,FC Schalke 04,2-0,1-0
3,2010-09-11,15:30,Borussia Dortmund,VfL Wolfsburg,2-0,0-0
3,2010-09-11,15:30,Hamburger SV,1. FC Nürnberg,1-1,0-0
3,2010-09-11,15:30,Bor. Mönchengladbach,Eintracht Frankfurt,0-4,0-2
3,2010-09-11,15:30,SC Freiburg,VfB Stuttgart,2-1,0-1
3,2010-09-11,15:30,Hannover 96,Bayer Leverkusen,2-2,1-0
3,2010-09-11,18:30,Bayern München,Werder Bremen,0-0,0-0
3,2010-09-12,15:30,1. FSV Mainz 05,1. FC Kaiserslautern,2-1,0-1
3,2010-09-12,17:30,1. FC Köln,FC St. Pauli,1-0,1-0
4,2010-09-17,20:30,Eintracht Frankfurt,SC Freiburg,0-1,0-0
4,2010-09-18,15:30,Bayern München,1. FC Köln,0-0,0-0
4,2010-09-18,15:30,Werder Bremen,1. FSV Mainz 05,0-2,0-0
4,2010-09-18,15:30,VfB Stuttgart,Bor. Mönchengladbach,7-0,2-0
4,2010-09-18,15:30,VfL Wolfsburg,Hannover 96,2-0,0-0
4,2010-09-18,15:30,1. FC Kaiserslautern,1899 Hoffenheim,2-2,0-1
4,2010-09-19,15:30,FC St. Pauli,Hamburger SV,1-1,0-0
4,2010-09-19,17:30,FC Schalke 04,Borussia Dortmund,1-3,0-1
4,2010-09-19,17:30,Bayer Leverkusen,1. FC Nürnberg,0-0,0-0
5,2010-09-21,20:00,1. FSV Mainz 05,1. FC Köln,2-0,0-0
5,2010-09-21,20:00,1899 Hoffenheim,Bayern München,1-2,1-0
5,2010-09-21,20:00,Hannover 96,Werder Bremen,4-1,1-1
5,2010-09-22,20:00,Bayer Leverkusen,Eintracht Frankfurt,2-1,1-1
5,2010-09-22,20:00,Borussia Dortmund,1. FC Kaiserslautern,5-0,2-0
5,2010-09-22,20:00,Hamburger SV,VfL Wolfsburg,1-3,1-1
5,2010-09-22,20:00,Bor. Mönchengladbach,FC St. Pauli,1-2,1-0
5,2010-09-22,20:00,SC Freiburg,FC Schalke 04,1-2,0-1
5,2010-09-22,20:00,1. FC Nürnberg,VfB Stuttgart,2-1,1-0
6,2010-09-24,20:30,1. FC Köln,1899 Hoffenheim,1-1,1-0
6,2010-09-25,15:30,Bayern München,1. FSV Mainz 05,1-2,1-1
