Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 19 1994,Bayer 04 Leverkusen,0-1,1. FC Kaiserslautern
1,Fri Aug 19 1994,FC Schalke 04,1-1,Bor. Mönchengladbach
1,Fri Aug 19 1994,VfB Stuttgart,2-1,Hamburger SV
1,Sat Aug 20 1994,Borussia Dortmund,4-0,TSV 1860 München
1,Sat Aug 20 1994,Bayern München,3-1,VfL Bochum
1,Sat Aug 20 1994,Dynamo Dresden,1-1,Werder Bremen
1,Sat Aug 20 1994,KFC Uerdingen,1-1,MSV Duisburg
1,Sat Aug 20 1994,Karlsruher SC,2-0,SC Freiburg
1,Sat Aug 20 1994,Eintracht Frankfurt,0-0,1. FC Köln
2,Tue Aug 23 1994,VfL Bochum,2-0,Dynamo Dresden
2,Tue Aug 23 1994,1. FC Köln,1-6,Borussia Dortmund
2,Tue Aug 23 1994,SC Freiburg,5-1,Bayern München
2,Tue Aug 23 1994,TSV 1860 München,0-2,VfB Stuttgart
2,Tue Aug 23 1994,1. FC Kaiserslautern,1-1,Eintracht Frankfurt
2,Wed Aug 24 1994,MSV Duisburg,2-2,FC Schalke 04
2,Wed Aug 24 1994,Hamburger SV,0-0,KFC Uerdingen
2,Wed Aug 24 1994,Werder Bremen,3-2,Bayer 04 Leverkusen
2,Wed Aug 24 1994,Bor. Mönchengladbach,2-2,Karlsruher SC
3,Fri Aug 26 1994,Borussia Dortmund,2-1,1. FC Kaiserslautern
3,Fri Aug 26 1994,Dynamo Dresden,1-3,SC Freiburg
3,Sat Aug 27 1994,Bayern München,3-0,Bor. Mönchengladbach
3,Sat Aug 27 1994,Karlsruher SC,4-1,MSV Duisburg
3,Sat Aug 27 1994,Werder Bremen,3-0,VfL Bochum
3,Sat Aug 27 1994,VfB Stuttgart,2-2,1. FC Köln
3,Sat Aug 27 1994,KFC Uerdingen,1-1,TSV 1860 München
3,Sat Aug 27 1994,FC Schalke 04,0-1,Hamburger SV
3,Sun Aug 28 1994,Bayer 04 Leverkusen,4-0,Eintracht Frankfurt
4,Fri Sep 2 1994,SC Freiburg,1-3,Werder Bremen
