Matchday,Date,Team 1,FT,Team 2
1,Fri Jul 28 1989,1. FC Kaiserslautern,2-1,Bor. Mönchengladbach
1,Fri Jul 28 1989,KFC Uerdingen,3-0,FC 08 Homburg
1,Sat Jul 29 1989,FC St. Pauli,0-0,Werder Bremen
1,Sat Jul 29 1989,Bayer 04 Leverkusen,1-0,Borussia Dortmund
1,Sat Jul 29 1989,Bayern München,3-2,1. FC Nürnberg
1,Sat Jul 29 1989,VfB Stuttgart,2-0,Karlsruher SC
1,Sat Jul 29 1989,VfL Bochum,0-1,1. FC Köln
1,Sat Jul 29 1989,Eintracht Frankfurt,3-1,SV Waldhof Mannheim
1,Sat Jul 29 1989,Fortuna Düsseldorf,1-1,Hamburger SV
2,Fri Aug 4 1989,Borussia Dortmund,3-1,FC St. Pauli
2,Fri Aug 4 1989,Hamburger SV,1-1,Eintracht Frankfurt
2,Sat Aug 5 1989,Karlsruher SC,0-0,KFC Uerdingen
2,Sat Aug 5 1989,FC 08 Homburg,2-2,1. FC Kaiserslautern
2,Sat Aug 5 1989,Bor. Mönchengladbach,0-0,Bayern München
2,Sat Aug 5 1989,1. FC Nürnberg,2-2,Bayer 04 Leverkusen
2,Sat Aug 5 1989,Werder Bremen,2-2,Fortuna Düsseldorf
2,Sat Aug 5 1989,SV Waldhof Mannheim,3-2,VfL Bochum
3,Tue Aug 8 1989,Fortuna Düsseldorf,1-2,Eintracht Frankfurt
2,Wed Aug 9 1989,1. FC Köln,0-0,VfB Stuttgart
3,Wed Aug 9 1989,Bayern München,1-0,FC 08 Homburg
3,Fri Aug 11 1989,1. FC Kaiserslautern,5-1,Karlsruher SC
3,Sat Aug 12 1989,FC St. Pauli,0-1,1. FC Nürnberg
3,Sat Aug 12 1989,Bayer 04 Leverkusen,0-0,Bor. Mönchengladbach
3,Sat Aug 12 1989,KFC Uerdingen,2-3,1. FC Köln
3,Sat Aug 12 1989,VfB Stuttgart,1-0,SV Waldhof Mannheim
3,Sat Aug 12 1989,VfL Bochum,3-1,Hamburger SV
3,Sat Aug 12 1989,Werder Bremen,2-0,Borussia Dortmund
4,Tue Aug 15 1989,FC 08 Homburg,2-1,Bayer 04 Leverkusen
4,Tue Aug 15 1989,Bor. Mönchengladbach,4-1,FC St. Pauli
4,Tue Aug 15 1989,1. FC Nürnberg,1-1,Werder Bremen
4,Tue Aug 15 1989,SV Waldhof Mannheim,1-1,KFC Uerdingen
4,Wed Aug 16 1989,Hamburger SV,1-0,VfB Stuttgart
4,Wed Aug 16 1989,1. FC Köln,4-1,1. FC Kaiserslautern
4,Wed Aug 16 1989,Karlsruher SC,3-3,Bayern München
4,Wed Aug 16 1989,Borussia Dortmund,1-0,Fortuna Düsseldorf
4,Wed Aug 16 1989,Eintracht Frankfurt,4-0,VfL Bochum
5,Tue Aug 22 1989,FC St. Pauli,1-1,FC 08 Homburg
5,Tue Aug 22 1989,Borussia Dortmund,2-1,1. FC Nürnberg
5,Tue Aug 22 1989,Werder Bremen,0-0,Bor. Mönchengladbach
5,Wed Aug 23 1989,Bayern München,5-1,1. FC Köln
5,Wed Aug 23 1989,Fortuna Düsseldorf,2-2,VfL Bochum
5,Wed Aug 23 1989,1. FC Kaiserslautern,2-3,SV Waldhof Mannheim
5,Wed Aug 23 1989,KFC Uerdingen,5-2,Hamburger SV
5,Wed Aug 23 1989,VfB Stuttgart,1-1,Eintracht Frankfurt
5,Wed Aug 23 1989,Bayer 04 Leverkusen,1-1,Karlsruher SC
6,Sat Aug 26 1989,Hamburger SV,3-0,1. FC Kaiserslautern
6,Sat Aug 26 1989,1. FC Köln,1-1,Bayer 04 Leverkusen
6,Sat Aug 26 1989,Karlsruher SC,0-0,FC St. Pauli
6,Sat Aug 26 1989,FC 08 Homburg,1-1,Werder Bremen
6,Sat Aug 26 1989,Bor. Mönchengladbach,0-0,Borussia Dortmund
6,Sat Aug 26 1989,1. FC Nürnberg,3-0,Fortuna Düsseldorf
