Round,Date,Team 1,Team 2,FT,HT
1,1989-07-28,1. FC Kaiserslautern,Bor. Mönchengladbach,2-1,2-0
1,1989-07-28,Bayer 05 Uerdingen,FC 08 Homburg,3-0,3-0
1,1989-07-29,FC St. Pauli,Werder Bremen,0-0,0-0
1,1989-07-29,Bayer Leverkusen,Borussia Dortmund,1-0,0-0
1,1989-07-29,Bayern München,1. FC Nürnberg,3-2,1-1
1,1989-07-29,VfB Stuttgart,Karlsruher SC,2-0,2-0
1,1989-07-29,VfL Bochum,1. FC Köln,0-1,0-0
1,1989-07-29,Eintracht Frankfurt,Waldhof Mannheim,3-1,1-1
1,1989-07-29,Fortuna Düsseldorf,Hamburger SV,1-1,0-0
2,1989-08-04,Borussia Dortmund,FC St. Pauli,3-1,2-1
2,1989-08-04,Hamburger SV,Eintracht Frankfurt,1-1,0-1
2,1989-08-05,Karlsruher SC,Bayer 05 Uerdingen,0-0,0-0
2,1989-08-05,FC 08 Homburg,1. FC Kaiserslautern,2-2,1-1
2,1989-08-05,Bor. Mönchengladbach,Bayern München,0-0,0-0
2,1989-08-05,1. FC Nürnberg,Bayer Leverkusen,2-2,1-1
2,1989-08-05,Werder Bremen,Fortuna Düsseldorf,2-2,1-1
2,1989-08-05,Waldhof Mannheim,VfL Bochum,3-2,2-1
2,1989-08-09,1. FC Köln,VfB Stuttgart,0-0,0-0
3,1989-08-08,Fortuna Düsseldorf,Eintracht Frankfurt,1-2,0-1
3,1989-08-09,Bayern München,FC 08 Homburg,1-0,0-0
3,1989-08-11,1. FC Kaiserslautern,Karlsruher SC,5-1,1-0
3,1989-08-12,FC St. Pauli,1. FC Nürnberg,0-1,0-0
3,1989-08-12,Bayer Leverkusen,Bor. Mönchengladbach,0-0,0-0
3,1989-08-12,Bayer 05 Uerdingen,1. FC Köln,2-3,0-1
3,1989-08-12,VfB Stuttgart,Waldhof Mannheim,1-0,0-0
3,1989-08-12,VfL Bochum,Hamburger SV,3-1,1-0
3,1989-08-12,Werder Bremen,Borussia Dortmund,2-0,2-0
4,1989-08-15,FC 08 Homburg,Bayer Leverkusen,2-1,1-0
4,1989-08-15,Bor. Mönchengladbach,FC St. Pauli,4-1,0-0
4,1989-08-15,1. FC Nürnberg,Werder Bremen,1-1,1-1
4,1989-08-15,Waldhof Mannheim,Bayer 05 Uerdingen,1-1,0-0
4,1989-08-16,Hamburger SV,VfB Stuttgart,1-0,0-0
