Round,Date,Time,Team 1,Team 2,FT,HT
1,1965-08-14,16:00,Eintracht Braunschweig,Borussia Dortmund,4-0,1-0
1,1965-08-14,16:00,1. FC Köln,Hannover 96,0-1,0-1
1,1965-08-14,16:00,Borussia Neunkirchen,Bor. Mönchengladbach,1-1,1-1
1,1965-08-14,16:00,Tasmania 1900 Berlin,Karlsruher SC,2-0,0-0
1,1965-08-14,16:00,Eintracht Frankfurt,Hamburger SV,2-0,1-0
1,1965-08-14,16:00,Werder Bremen,1. FC Nürnberg,1-0,0-0
1,1965-08-14,16:00,MSV Duisburg,1. FC Kaiserslautern,2-2,0-0
1,1965-08-14,16:00,TSV 1860 München,Bayern München,1-0,1-0
1,1965-08-14,16:00,VfB Stuttgart,FC Schalke 04,1-0,1-0
2,1965-08-21,16:00,VfB Stuttgart,MSV Duisburg,2-0,1-0
2,1965-08-21,16:00,Hannover 96,Werder Bremen,2-1,0-0
2,1965-08-21,16:00,1. FC Kaiserslautern,1. FC Köln,3-2,1-2
2,1965-08-21,16:00,Bor. Mönchengladbach,Tasmania 1900 Berlin,5-0,1-0
2,1965-08-21,16:00,Hamburger SV,Eintracht Braunschweig,2-1,1-1
2,1965-08-21,16:00,FC Schalke 04,Karlsruher SC,0-0,0-0
2,1965-08-21,16:00,Bayern München,Eintracht Frankfurt,2-0,1-0
2,1965-08-21,16:00,Borussia Dortmund,Borussia Neunkirchen,1-0,1-0
2,1965-08-21,16:00,1. FC Nürnberg,TSV 1860 München,1-4,1-3
3,1965-08-27,16:00,MSV Duisburg,FC Schalke 04,5-1,2-0
3,1965-08-28,16:00,Tasmania 1900 Berlin,Borussia Dortmund,0-2,0-1
3,1965-08-28,16:00,Karlsruher SC,Bor. Mönchengladbach,3-3,1-2
3,1965-08-28,16:00,Borussia Neunkirchen,Hamburger SV,1-1,0-1
3,1965-08-28,16:00,Werder Bremen,1. FC Kaiserslautern,4-1,2-0
3,1965-08-28,16:00,1. FC Köln,VfB Stuttgart,3-1,0-0
3,1965-08-28,16:00,Eintracht Braunschweig,Bayern München,2-4,0-2
3,1965-08-28,16:00,TSV 1860 München,Hannover 96,5-0,1-0
3,1965-09-03,16:00,Eintracht Frankfurt,1. FC Nürnberg,1-2,1-1
4,1965-09-04,16:00,Bayern München,Borussia Neunkirchen,6-0,2-0
4,1965-09-04,16:00,VfB Stuttgart,Werder Bremen,0-2,0-1
4,1965-09-04,16:00,1. FC Kaiserslautern,TSV 1860 München,3-0,2-0
4,1965-09-04,16:00,Borussia Dortmund,Karlsruher SC,4-1,2-1
4,1965-09-04,16:00,Hannover 96,Eintracht Frankfurt,4-1,2-1
4,1965-09-04,16:00,FC Schalke 04,Bor. Mönchengladbach,0-0,0-0
4,1965-09-04,16:00,Hamburger SV,Tasmania 1900 Berlin,5-1,0-0
4,1965-09-04,16:00,MSV Duisburg,1. FC Köln,2-3,2-2
4,1965-09-04,16:00,1. FC Nürnberg,Eintracht Braunschweig,1-1,0-1
5,1965-09-11,16:00,Borussia Neunkirchen,1. FC Nürnberg,2-1,1-0
5,1965-09-11,16:00,Karlsruher SC,Hamburger SV,1-4,1-2
5,1965-09-11,16:00,Bor. Mönchengladbach,Borussia Dortmund,4-5,1-1
5,1965-09-11,16:00,Tasmania 1900 Berlin,Bayern München,0-2,0-1
5,1965-09-11,16:00,1. FC Köln,FC Schalke 04,2-1,0-0
5,1965-09-11,16:00,Eintracht Frankfurt,1. FC Kaiserslautern,6-0,3-0
5,1965-09-11,16:00,Eintracht Braunschweig,Hannover 96,2-1,0-0
5,1965-09-11,16:00,Werder Bremen,MSV Duisburg,2-0,1-0
5,1965-09-17,16:00,TSV 1860 München,VfB Stuttgart,0-0,0-0
6,1965-09-18,16:00,1. FC Kaiserslautern,Eintracht Braunschweig,1-1,0-0
6,1965-09-18,16:00,Bayern München,Karlsruher SC,5-1,2-1
6,1965-09-18,16:00,1. FC Köln,Werder Bremen,2-0,1-0
6,1965-09-18,16:00,Hannover 96,Borussia Neunkirchen,6-0,4-0
6,1965-09-18,16:00,FC Schalke 04,Borussia Dortmund,2-3,1-1
6,1965-09-18,16:00,VfB Stuttgart,Eintracht Frankfurt,0-0,0-0
6,1965-09-18,16:00,Hamburger SV,Bor. Mönchengladbach,5-0,3-0
6,1965-09-18,16:00,MSV Duisburg,TSV 1860 München,2-3,0-1
6,1965-09-18,16:00,1. FC Nürnberg,Tasmania 1900 Berlin,7-2,3-2
7,1965-10-02,16:00,Bor. Mönchengladbach,Bayern München,1-2,1-1
7,1965-10-02,16:00,TSV 1860 München,1. FC Köln,2-1,1-0
7,1965-10-02,16:00,Borussia Dortmund,Hamburger SV,2-2,1-1
7,1965-10-02,16:00,Werder Bremen,FC Schalke 04,2-0,1-0
7,1965-10-02,16:00,Tasmania 1900 Berlin,Hannover 96,1-5,1-3
7,1965-10-02,16:00,Borussia Neunkirchen,1. FC Kaiserslautern,1-4,1-1
7,1965-10-02,16:00,Eintracht Frankfurt,MSV Duisburg,2-0,0-0
7,1965-10-02,16:00,Eintracht Braunschweig,VfB Stuttgart,1-1,0-0
7,1965-10-02,16:00,Karlsruher SC,1. FC Nürnberg,1-2,1-0
8,1965-10-16,16:00,1. FC Nürnberg,Bor. Mönchengladbach,2-2,0-1
8,1965-10-16,16:00,VfB Stuttgart,Borussia Neunkirchen,2-0,1-0
8,1965-10-16,16:00,1. FC Köln,Eintracht Frankfurt,1-0,1-0
8,1965-10-16,16:00,Werder Bremen,TSV 1860 München,0-2,0-0
