Round,Date,Time,Team 1,Team 2,FT,HT
8,1965-10-16,16:00,1. FC Kaiserslautern,Tasmania 1900 Berlin,0-0,0-0
8,1965-10-16,16:00,FC Schalke 04,Hamburger SV,2-1,2-1
8,1965-10-16,16:00,Hannover 96,Karlsruher SC,5-2,3-0
8,1965-10-16,16:00,Bayern München,Borussia Dortmund,0-2,0-1
8,1965-10-16,16:00,MSV Duisburg,Eintracht Braunschweig,4-1,1-0
9,1965-10-20,15:45,Bor. Mönchengladbach,Hannover 96,2-0,0-0
9,1965-10-20,15:45,Tasmania 1900 Berlin,VfB Stuttgart,0-2,0-1
9,1965-10-20,15:45,Borussia Neunkirchen,MSV Duisburg,0-1,0-0
9,1965-10-20,19:00,Borussia Dortmund,1. FC Nürnberg,2-0,1-0
9,1965-10-20,19:00,Karlsruher SC,1. FC Kaiserslautern,1-0,0-0
9,1965-10-20,19:00,Eintracht Braunschweig,1. FC Köln,1-2,1-1
9,1965-10-20,20:00,TSV 1860 München,FC Schalke 04,3-0,1-0
9,1965-10-20,20:00,Hamburger SV,Bayern München,0-4,0-2
9,1965-10-20,20:00,Eintracht Frankfurt,Werder Bremen,1-0,1-0
10,1965-10-23,16:00,FC Schalke 04,Bayern München,1-1,0-1
10,1965-10-23,16:00,VfB Stuttgart,Karlsruher SC,1-0,0-0
10,1965-10-23,16:00,TSV 1860 München,Eintracht Frankfurt,4-2,1-1
10,1965-10-23,16:00,Hannover 96,Borussia Dortmund,1-1,1-1
10,1965-10-23,16:00,1. FC Kaiserslautern,Bor. Mönchengladbach,1-2,0-1
10,1965-10-23,16:00,1. FC Köln,Borussia Neunkirchen,4-2,2-1
10,1965-10-23,16:00,MSV Duisburg,Tasmania 1900 Berlin,3-0,0-0
10,1965-10-23,16:00,1. FC Nürnberg,Hamburger SV,5-0,1-0
10,1965-10-23,16:00,Werder Bremen,Eintracht Braunschweig,4-0,3-0
11,1965-10-30,16:00,Bayern München,1. FC Nürnberg,0-0,0-0
11,1965-10-30,16:00,Borussia Dortmund,1. FC Kaiserslautern,4-0,0-0
11,1965-10-30,16:00,Eintracht Frankfurt,FC Schalke 04,4-1,2-0
11,1965-10-30,16:00,Eintracht Braunschweig,TSV 1860 München,2-2,1-2
11,1965-10-30,16:00,Hamburger SV,Hannover 96,2-1,0-1
11,1965-10-30,16:00,Bor. Mönchengladbach,VfB Stuttgart,1-0,1-0
11,1965-10-30,16:00,Karlsruher SC,MSV Duisburg,0-4,0-2
11,1965-10-30,16:00,Tasmania 1900 Berlin,1. FC Köln,0-6,0-1
11,1965-11-05,16:00,Borussia Neunkirchen,Werder Bremen,1-2,0-1
12,1965-11-06,14:30,Hannover 96,Bayern München,3-4,2-1
12,1965-11-06,15:00,FC Schalke 04,1. FC Nürnberg,1-0,0-0
12,1965-11-06,15:00,VfB Stuttgart,Borussia Dortmund,1-1,0-1
12,1965-11-06,15:00,Werder Bremen,Tasmania 1900 Berlin,5-0,3-0
12,1965-11-06,15:00,1. FC Köln,Karlsruher SC,2-0,0-0
12,1965-11-06,15:00,MSV Duisburg,Bor. Mönchengladbach,3-2,3-1
12,1965-11-06,15:00,1. FC Kaiserslautern,Hamburger SV,2-1,2-1
12,1965-11-06,15:00,TSV 1860 München,Borussia Neunkirchen,4-1,2-0
12,1965-11-06,15:00,Eintracht Frankfurt,Eintracht Braunschweig,4-1,2-0
13,1965-11-20,14:30,Bor. Mönchengladbach,1. FC Köln,2-3,1-2
13,1965-11-20,14:30,Borussia Neunkirchen,Eintracht Frankfurt,1-6,0-2
13,1965-11-20,15:00,Karlsruher SC,Werder Bremen,3-2,2-2
13,1965-11-20,15:00,Borussia Dortmund,MSV Duisburg,1-1,1-1
13,1965-11-20,15:00,Tasmania 1900 Berlin,TSV 1860 München,0-5,0-2
13,1965-11-20,15:00,1. FC Nürnberg,Hannover 96,2-1,0-0
13,1965-11-20,15:00,Hamburger SV,VfB Stuttgart,4-1,1-0
13,1965-11-20,15:00,Bayern München,1. FC Kaiserslautern,3-0,1-0
13,1965-11-20,15:00,Eintracht Braunschweig,FC Schalke 04,3-0,1-0
14,1965-11-27,15:00,1. FC Köln,Borussia Dortmund,1-2,1-2
14,1965-11-27,15:00,VfB Stuttgart,Bayern München,0-1,0-1
14,1965-11-27,15:00,MSV Duisburg,Hamburger SV,3-1,0-0
14,1965-11-27,15:00,FC Schalke 04,Hannover 96,1-0,1-0
14,1965-11-27,15:00,Eintracht Braunschweig,Borussia Neunkirchen,1-2,0-0
14,1965-11-27,15:00,Werder Bremen,Bor. Mönchengladbach,2-0,0-0
14,1965-11-27,15:00,TSV 1860 München,Karlsruher SC,2-0,1-0
14,1965-11-27,15:00,Eintracht Frankfurt,Tasmania 1900 Berlin,4-0,1-0
14,1965-12-03,06:00,1. FC Kaiserslautern,1. FC Nürnberg,0-0,0-0
15,1965-12-04,14:00,Hannover 96,1. FC Kaiserslautern,4-0,2-0
15,1965-12-04,14:00,Borussia Neunkirchen,FC Schalke 04,1-0,1-0
15,1965-12-04,15:00,Hamburger SV,1. FC Köln,2-2,0-1
15,1965-12-04,15:00,Borussia Dortmund,Werder Bremen,2-1,1-1
15,1965-12-04,15:00,Bayern München,MSV Duisburg,3-0,1-0
15,1965-12-04,15:00,Karlsruher SC,Eintracht Frankfurt,4-0,1-0
15,1965-12-04,15:00,1. FC Nürnberg,VfB Stuttgart,1-1,0-0
15,1965-12-29,20:00,Bor. Mönchengladbach,TSV 1860 München,1-1,0-1
15,1965-12-31,20:00,Tasmania 1900 Berlin,Eintracht Braunschweig,0-2,0-2
16,1965-12-11,14:00,Borussia Neunkirchen,Tasmania 1900 Berlin,3-1,1-1
16,1965-12-11,15:00,1. FC Köln,Bayern München,6-1,3-1
16,1965-12-11,15:00,TSV 1860 München,Borussia Dortmund,2-1,1-0
16,1965-12-11,15:00,Eintracht Braunschweig,Karlsruher SC,2-0,0-0
16,1965-12-11,15:00,FC Schalke 04,1. FC Kaiserslautern,2-1,1-1
16,1965-12-11,15:00,VfB Stuttgart,Hannover 96,4-2,2-0
16,1965-12-11,15:00,Werder Bremen,Hamburger SV,2-0,2-0
16,1965-12-11,15:00,Eintracht Frankfurt,Bor. Mönchengladbach,3-1,1-0
16,1965-12-29,20:00,MSV Duisburg,1. FC Nürnberg,1-2,0-1
17,1965-12-18,14:00,Tasmania 1900 Berlin,FC Schalke 04,1-2,0-2
17,1965-12-18,15:00,1. FC Nürnberg,1. FC Köln,2-0,0-0
17,1965-12-18,15:00,Hannover 96,MSV Duisburg,0-3,0-3
17,1965-12-18,15:00,Bayern München,Werder Bremen,3-1,1-1
17,1965-12-18,15:00,Hamburger SV,TSV 1860 München,1-2,0-0
17,1965-12-18,15:00,Bor. Mönchengladbach,Eintracht Braunschweig,1-0,1-0
17,1965-12-18,15:00,Karlsruher SC,Borussia Neunkirchen,1-1,0-1
17,1965-12-24,06:00,1. FC Kaiserslautern,VfB Stuttgart,1-2,0-2
17,1966-01-19,20:00,Borussia Dortmund,Eintracht Frankfurt,3-0,1-0
18,1966-01-08,14:15,Bor. Mönchengladbach,Borussia Neunkirchen,4-1,1-0
18,1966-01-08,15:00,Borussia Dortmund,Eintracht Braunschweig,1-1,0-1
18,1966-01-08,15:00,Hannover 96,1. FC Köln,1-1,1-1
18,1966-01-08,15:00,Karlsruher SC,Tasmania 1900 Berlin,3-0,3-0
18,1966-01-08,15:00,Hamburger SV,Eintracht Frankfurt,0-1,0-0
18,1966-01-08,15:00,1. FC Nürnberg,Werder Bremen,2-1,0-0
18,1966-01-08,15:00,1. FC Kaiserslautern,MSV Duisburg,1-0,0-0
18,1966-01-14,06:00,Bayern München,TSV 1860 München,3-0,0-0
18,1966-01-14,06:00,FC Schalke 04,VfB Stuttgart,2-0,0-0
19,1966-01-15,14:15,Tasmania 1900 Berlin,Bor. Mönchengladbach,0-0,0-0
19,1966-01-15,14:15,Borussia Neunkirchen,Borussia Dortmund,1-3,0-1
19,1966-01-15,15:00,MSV Duisburg,VfB Stuttgart,5-2,2-0
19,1966-01-15,15:00,Werder Bremen,Hannover 96,3-3,1-3
19,1966-01-15,15:00,1. FC Köln,1. FC Kaiserslautern,3-2,2-0
19,1966-01-15,15:00,Eintracht Braunschweig,Hamburger SV,1-4,1-2
19,1966-01-15,15:00,Karlsruher SC,FC Schalke 04,1-0,1-0
19,1966-01-15,15:00,Eintracht Frankfurt,Bayern München,0-0,0-0
19,1966-01-15,15:00,TSV 1860 München,1. FC Nürnberg,1-1,0-1
20,1966-01-29,15:00,Borussia Dortmund,Tasmania 1900 Berlin,3-1,2-1
20,1966-01-29,15:00,Bor. Mönchengladbach,Karlsruher SC,1-1,0-1
20,1966-01-29,15:00,Hamburger SV,Borussia Neunkirchen,3-0,0-0
20,1966-01-29,15:00,1. FC Kaiserslautern,Werder Bremen,2-3,2-2
20,1966-01-29,15:00,VfB Stuttgart,1. FC Köln,0-1,0-1
20,1966-01-29,15:00,1. FC Nürnberg,Eintracht Frankfurt,0-0,0-0
20,1966-01-29,15:00,Bayern München,Eintracht Braunschweig,2-2,1-1
20,1966-01-29,15:00,Hannover 96,TSV 1860 München,0-1,0-0
20,1966-01-29,15:00,FC Schalke 04,MSV Duisburg,0-0,0-0
21,1966-02-05,14:30,Borussia Neunkirchen,Bayern München,0-4,0-3
21,1966-02-05,14:30,Bor. Mönchengladbach,FC Schalke 04,2-0,0-0
21,1966-02-05,14:30,Tasmania 1900 Berlin,Hamburger SV,0-4,0-1
21,1966-02-05,15:00,Werder Bremen,VfB Stuttgart,3-1,0-0
21,1966-02-05,15:00,Karlsruher SC,Borussia Dortmund,0-0,0-0
21,1966-02-05,15:00,Eintracht Frankfurt,Hannover 96,0-1,0-0
21,1966-02-05,15:00,1. FC Köln,MSV Duisburg,1-1,0-0
21,1966-02-05,15:00,Eintracht Braunschweig,1. FC Nürnberg,3-0,1-0
21,1966-04-12,20:00,TSV 1860 München,1. FC Kaiserslautern,4-2,2-0
22,1966-02-12,15:00,1. FC Nürnberg,Borussia Neunkirchen,3-1,1-0
22,1966-02-12,15:00,Hamburger SV,Karlsruher SC,8-0,4-0
22,1966-02-12,15:00,Borussia Dortmund,Bor. Mönchengladbach,3-1,0-0
22,1966-02-12,15:00,Bayern München,Tasmania 1900 Berlin,2-1,1-0
22,1966-02-12,15:00,VfB Stuttgart,TSV 1860 München,0-0,0-0
22,1966-02-12,15:00,FC Schalke 04,1. FC Köln,0-0,0-0
22,1966-02-12,15:00,1. FC Kaiserslautern,Eintracht Frankfurt,5-2,1-2
22,1966-02-12,15:00,MSV Duisburg,Werder Bremen,1-2,0-1
22,1966-04-07,20:00,Hannover 96,Eintracht Braunschweig,1-1,1-0
23,1966-02-26,15:00,Eintracht Braunschweig,1. FC Kaiserslautern,1-1,0-1
23,1966-02-26,15:00,Karlsruher SC,Bayern München,1-0,0-0
23,1966-02-26,15:00,Werder Bremen,1. FC Köln,2-1,2-0
23,1966-02-26,15:00,Borussia Neunkirchen,Hannover 96,1-0,0-0
23,1966-02-26,15:00,Borussia Dortmund,FC Schalke 04,7-0,3-0
23,1966-02-26,15:00,Eintracht Frankfurt,VfB Stuttgart,3-2,3-2
23,1966-02-26,15:00,Bor. Mönchengladbach,Hamburger SV,0-0,0-0
23,1966-02-26,15:00,TSV 1860 München,MSV Duisburg,3-3,0-2
23,1966-02-26,15:00,Tasmania 1900 Berlin,1. FC Nürnberg,0-1,0-0
24,1966-03-05,16:00,Bayern München,Bor. Mönchengladbach,5-2,3-2
24,1966-03-05,16:00,1. FC Köln,TSV 1860 München,3-1,2-0
24,1966-03-05,16:00,Hamburger SV,Borussia Dortmund,1-1,0-1
24,1966-03-05,16:00,FC Schalke 04,Werder Bremen,1-6,1-1
24,1966-03-05,16:00,Hannover 96,Tasmania 1900 Berlin,5-0,3-0
24,1966-03-05,16:00,1. FC Kaiserslautern,Borussia Neunkirchen,0-0,0-0
24,1966-03-05,16:00,MSV Duisburg,Eintracht Frankfurt,0-0,0-0
24,1966-03-05,16:00,VfB Stuttgart,Eintracht Braunschweig,0-1,0-1
24,1966-03-05,16:00,1. FC Nürnberg,Karlsruher SC,3-0,1-0
25,1966-03-12,16:00,Bor. Mönchengladbach,1. FC Nürnberg,8-3,5-1
25,1966-03-12,16:00,Borussia Neunkirchen,VfB Stuttgart,1-2,1-1
25,1966-03-12,16:00,TSV 1860 München,Werder Bremen,3-1,2-1
25,1966-03-12,16:00,Tasmania 1900 Berlin,1. FC Kaiserslautern,1-1,0-0
25,1966-03-12,16:00,Hamburger SV,FC Schalke 04,1-1,1-0
25,1966-03-12,16:00,Karlsruher SC,Hannover 96,1-0,1-0
25,1966-03-12,16:00,Borussia Dortmund,Bayern München,3-0,0-0
25,1966-03-12,16:00,Eintracht Braunschweig,MSV Duisburg,1-0,0-0
25,1966-03-18,16:00,Eintracht Frankfurt,1. FC Köln,0-0,0-0
26,1966-03-19,16:00,FC Schalke 04,TSV 1860 München,0-2,0-1
26,1966-03-19,16:00,1. FC Nürnberg,Borussia Dortmund,0-0,0-0
26,1966-03-19,16:00,1. FC Kaiserslautern,Karlsruher SC,1-0,1-0
26,1966-03-19,16:00,Hannover 96,Bor. Mönchengladbach,2-1,1-1
26,1966-03-19,16:00,VfB Stuttgart,Tasmania 1900 Berlin,2-0,0-0
26,1966-03-19,16:00,MSV Duisburg,Borussia Neunkirchen,1-0,1-0
26,1966-03-19,16:00,Bayern München,Hamburger SV,3-0,1-0
26,1966-03-19,16:00,Werder Bremen,Eintracht Frankfurt,3-2,3-1
26,1966-03-19,16:00,1. FC Köln,Eintracht Braunschweig,3-0,3-0
27,1966-03-26,16:00,Bayern München,FC Schalke 04,1-0,1-0
27,1966-03-26,16:00,Karlsruher SC,VfB Stuttgart,3-0,1-0
27,1966-03-26,16:00,Eintracht Frankfurt,TSV 1860 München,5-2,3-1
27,1966-03-26,16:00,Borussia Dortmund,Hannover 96,4-0,1-0
27,1966-03-26,16:00,Bor. Mönchengladbach,1. FC Kaiserslautern,2-0,1-0
27,1966-03-26,16:00,Borussia Neunkirchen,1. FC Köln,2-1,2-1
27,1966-03-26,16:00,Tasmania 1900 Berlin,MSV Duisburg,0-9,0-4
27,1966-03-26,16:00,Hamburger SV,1. FC Nürnberg,0-2,0-1
27,1966-03-26,16:00,Eintracht Braunschweig,Werder Bremen,1-0,1-0
28,1966-04-02,16:00,1. FC Nürnberg,Bayern München,2-2,1-1
28,1966-04-02,16:00,1. FC Kaiserslautern,Borussia Dortmund,0-0,0-0
28,1966-04-02,16:00,Werder Bremen,Borussia Neunkirchen,5-2,4-1
28,1966-04-02,16:00,FC Schalke 04,Eintracht Frankfurt,3-2,2-2
28,1966-04-02,16:00,TSV 1860 München,Eintracht Braunschweig,1-1,1-0
28,1966-04-02,16:00,Hannover 96,Hamburger SV,0-0,0-0
28,1966-04-02,16:00,VfB Stuttgart,Bor. Mönchengladbach,5-0,3-0
28,1966-04-02,16:00,MSV Duisburg,Karlsruher SC,8-2,3-2
28,1966-04-02,16:00,1. FC Köln,Tasmania 1900 Berlin,4-0,2-0
29,1966-04-16,16:00,1. FC Nürnberg,FC Schalke 04,1-0,0-0
29,1966-04-16,16:00,Borussia Dortmund,VfB Stuttgart,4-0,1-0
29,1966-04-16,16:00,Tasmania 1900 Berlin,Werder Bremen,1-1,1-1
29,1966-04-16,16:00,Karlsruher SC,1. FC Köln,2-1,2-0
29,1966-04-16,16:00,Bayern München,Hannover 96,3-1,1-1
29,1966-04-16,16:00,Bor. Mönchengladbach,MSV Duisburg,1-2,0-1
29,1966-04-16,16:00,Hamburger SV,1. FC Kaiserslautern,4-1,2-1
29,1966-04-16,16:00,Borussia Neunkirchen,TSV 1860 München,1-9,0-4
29,1966-04-26,20:00,Eintracht Braunschweig,Eintracht Frankfurt,2-2,1-1
30,1966-04-23,16:00,Werder Bremen,Karlsruher SC,3-1,1-1
30,1966-04-23,16:00,MSV Duisburg,Borussia Dortmund,2-1,0-0
30,1966-04-23,16:00,1. FC Köln,Bor. Mönchengladbach,2-2,0-0
30,1966-04-23,16:00,TSV 1860 München,Tasmania 1900 Berlin,4-0,1-0
30,1966-04-23,16:00,Hannover 96,1. FC Nürnberg,2-2,1-0
30,1966-04-23,16:00,VfB Stuttgart,Hamburger SV,1-3,0-1
30,1966-04-23,16:00,1. FC Kaiserslautern,Bayern München,1-2,0-1
30,1966-04-23,16:00,Eintracht Frankfurt,Borussia Neunkirchen,1-2,0-1
30,1966-04-23,16:00,FC Schalke 04,Eintracht Braunschweig,1-1,0-0
31,1966-04-30,16:00,Borussia Dortmund,1. FC Köln,3-2,2-0
31,1966-04-30,16:00,Bayern München,VfB Stuttgart,0-1,0-1
31,1966-04-30,16:00,Hamburger SV,MSV Duisburg,2-0,0-0
31,1966-04-30,16:00,Hannover 96,FC Schalke 04,0-3,0-1
31,1966-04-30,16:00,1. FC Nürnberg,1. FC Kaiserslautern,1-1,0-1
31,1966-04-30,16:00,Borussia Neunkirchen,Eintracht Braunschweig,1-0,1-0
31,1966-04-30,16:00,Bor. Mönchengladbach,Werder Bremen,0-7,0-1
31,1966-04-30,16:00,Karlsruher SC,TSV 1860 München,1-1,1-0
31,1966-04-30,16:00,Tasmania 1900 Berlin,Eintracht Frankfurt,0-3,0-1
32,1966-05-07,16:00,1. FC Kaiserslautern,Hannover 96,1-1,0-0
32,1966-05-14,16:00,1. FC Köln,Hamburger SV,5-1,3-0
32,1966-05-14,16:00,Werder Bremen,Borussia Dortmund,1-0,0-0
32,1966-05-14,16:00,MSV Duisburg,Bayern München,1-1,1-0
32,1966-05-14,16:00,Eintracht Frankfurt,Karlsruher SC,1-0,1-0
32,1966-05-14,16:00,VfB Stuttgart,1. FC Nürnberg,1-0,1-0
32,1966-05-14,16:00,FC Schalke 04,Borussia Neunkirchen,2-0,0-0
32,1966-05-14,16:00,TSV 1860 München,Bor. Mönchengladbach,3-3,2-1
32,1966-05-14,16:00,Eintracht Braunschweig,Tasmania 1900 Berlin,3-1,1-0
33,1966-05-21,16:00,Bayern München,1. FC Köln,1-4,0-3
33,1966-05-21,16:00,Borussia Dortmund,TSV 1860 München,0-2,0-0
33,1966-05-21,16:00,Tasmania 1900 Berlin,Borussia Neunkirchen,2-1,1-1
33,1966-05-21,16:00,Karlsruher SC,Eintracht Braunschweig,1-4,0-1
33,1966-05-21,16:00,1. FC Kaiserslautern,FC Schalke 04,3-2,2-1
33,1966-05-21,16:00,Hannover 96,VfB Stuttgart,4-2,1-0
33,1966-05-21,16:00,Hamburger SV,Werder Bremen,1-3,1-2
33,1966-05-21,16:00,Bor. Mönchengladbach,Eintracht Frankfurt,1-2,0-1
33,1966-05-21,16:00,1. FC Nürnberg,MSV Duisburg,4-1,2-0
34,1966-05-28,16:00,1. FC Köln,1. FC Nürnberg,2-1,2-1
34,1966-05-28,16:00,MSV Duisburg,Hannover 96,2-2,0-0
34,1966-05-28,16:00,Werder Bremen,Bayern München,1-1,1-1
34,1966-05-28,16:00,TSV 1860 München,Hamburger SV,1-1,1-0
34,1966-05-28,16:00,Eintracht Braunschweig,Bor. Mönchengladbach,1-1,0-1
34,1966-05-28,16:00,Borussia Neunkirchen,Karlsruher SC,1-0,1-0
34,1966-05-28,16:00,VfB Stuttgart,1. FC Kaiserslautern,4-1,3-1
34,1966-05-28,16:00,FC Schalke 04,Tasmania 1900 Berlin,4-0,2-0
34,1966-05-28,16:00,Eintracht Frankfurt,Borussia Dortmund,4-1,3-1
