Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 6 1977,Fortuna Düsseldorf,5-1,1. FC Köln
1,Sat Aug 6 1977,FC St. Pauli,3-1,Werder Bremen
1,Sat Aug 6 1977,VfB Stuttgart,3-3,Bayern München
1,Sat Aug 6 1977,1. FC Kaiserslautern,2-1,Eintracht Braunschweig
1,Sat Aug 6 1977,Eintracht Frankfurt,4-0,1. FC Saarbrücken
1,Sat Aug 6 1977,TSV 1860 München,0-0,FC Schalke 04
1,Sat Aug 6 1977,MSV Duisburg,5-2,Hamburger SV
1,Sat Aug 6 1977,Hertha BSC,3-1,Borussia Dortmund
1,Sat Aug 6 1977,VfL Bochum,0-0,Bor. Mönchengladbach
2,Fri Aug 12 1977,Werder Bremen,2-1,Fortuna Düsseldorf
2,Fri Aug 12 1977,FC Schalke 04,3-2,Eintracht Frankfurt
2,Sat Aug 13 1977,Hamburger SV,3-0,TSV 1860 München
2,Sat Aug 13 1977,1. FC Köln,2-1,VfL Bochum
2,Sat Aug 13 1977,1. FC Saarbrücken,3-3,1. FC Kaiserslautern
2,Sat Aug 13 1977,Bayern München,4-2,FC St. Pauli
2,Sat Aug 13 1977,Bor. Mönchengladbach,2-1,Hertha BSC
2,Sat Aug 13 1977,Eintracht Braunschweig,3-1,VfB Stuttgart
3,Tue Aug 16 1977,1. FC Kaiserslautern,0-0,FC Schalke 04
3,Wed Aug 17 1977,FC St. Pauli,0-1,Eintracht Braunschweig
3,Wed Aug 17 1977,1. FC Köln,7-2,Werder Bremen
3,Wed Aug 17 1977,Fortuna Düsseldorf,4-2,Bayern München
3,Wed Aug 17 1977,VfB Stuttgart,1-0,1. FC Saarbrücken
3,Wed Aug 17 1977,MSV Duisburg,1-1,Bor. Mönchengladbach
3,Wed Aug 17 1977,Eintracht Frankfurt,0-2,Hamburger SV
3,Wed Aug 17 1977,TSV 1860 München,0-2,Borussia Dortmund
3,Wed Aug 17 1977,VfL Bochum,5-0,Hertha BSC
4,Fri Aug 26 1977,Werder Bremen,1-0,VfL Bochum
4,Sat Aug 27 1977,Bor. Mönchengladbach,2-1,TSV 1860 München
4,Sat Aug 27 1977,Eintracht Braunschweig,2-0,Fortuna Düsseldorf
4,Sat Aug 27 1977,Hamburger SV,3-1,1. FC Kaiserslautern
4,Sat Aug 27 1977,FC Schalke 04,3-1,VfB Stuttgart
4,Sat Aug 27 1977,1. FC Saarbrücken,4-0,FC St. Pauli
4,Sat Aug 27 1977,Hertha BSC,2-2,MSV Duisburg
4,Sat Aug 27 1977,Borussia Dortmund,0-2,Eintracht Frankfurt
4,Sat Aug 27 1977,Bayern München,0-3,1. FC Köln
5,Tue Aug 30 1977,1. FC Kaiserslautern,4-0,Borussia Dortmund
5,Wed Aug 31 1977,TSV 1860 München,2-3,Hertha BSC
5,Wed Aug 31 1977,VfL Bochum,1-2,MSV Duisburg
5,Wed Aug 31 1977,FC St. Pauli,1-1,FC Schalke 04
5,Wed Aug 31 1977,VfB Stuttgart,1-2,Hamburger SV
5,Wed Aug 31 1977,Eintracht Frankfurt,4-2,Bor. Mönchengladbach
