Round,Date,Time,Team 1,Team 2,FT,HT
1,1977-08-06,15:30,Fortuna Duesseldorf,1. FC Köln,5-1,1-1
1,1977-08-06,15:30,FC St. Pauli,Werder Bremen,3-1,0-0
1,1977-08-06,15:30,VfB Stuttgart,Bayern München,3-3,2-2
1,1977-08-06,15:30,1. FC Kaiserslautern,Eintracht Braunschweig,2-1,0-0
1,1977-08-06,15:30,Eintracht Frankfurt,1. FC Saarbrücken,4-0,2-0
1,1977-08-06,15:30,TSV 1860 München,FC Schalke 04,0-0,0-0
1,1977-08-06,15:30,MSV Duisburg,Hamburger SV,5-2,1-0
1,1977-08-06,15:30,Hertha BSC,Borussia Dortmund,3-1,0-0
1,1977-08-06,15:30,VfL Bochum,Bor. Mönchengladbach,0-0,0-0
2,1977-08-12,20:00,Werder Bremen,Fortuna Duesseldorf,2-1,1-0
2,1977-08-12,20:00,FC Schalke 04,Eintracht Frankfurt,3-2,2-0
2,1977-08-13,15:30,Hamburger SV,TSV 1860 München,3-0,2-0
2,1977-08-13,15:30,1. FC Saarbrücken,1. FC Kaiserslautern,3-3,1-1
2,1977-08-13,15:30,Eintracht Braunschweig,VfB Stuttgart,3-1,1-0
2,1977-08-13,15:30,Bayern München,FC St. Pauli,4-2,3-2
2,1977-08-13,15:30,Bor. Mönchengladbach,Hertha BSC,2-1,1-1
2,1977-08-13,15:30,1. FC Köln,VfL Bochum,2-1,2-1
2,1977-09-27,20:00,Borussia Dortmund,MSV Duisburg,2-1,1-0
3,1977-08-16,20:00,1. FC Kaiserslautern,FC Schalke 04,0-0,0-0
3,1977-08-17,20:00,Fortuna Duesseldorf,Bayern München,4-2,0-1
3,1977-08-17,20:00,FC St. Pauli,Eintracht Braunschweig,0-1,0-1
3,1977-08-17,20:00,VfB Stuttgart,1. FC Saarbrücken,1-0,1-0
3,1977-08-17,20:00,Eintracht Frankfurt,Hamburger SV,0-2,0-0
3,1977-08-17,20:00,TSV 1860 München,Borussia Dortmund,0-2,0-1
3,1977-08-17,20:00,MSV Duisburg,Bor. Mönchengladbach,1-1,0-1
3,1977-08-17,20:00,1. FC Köln,Werder Bremen,7-2,3-1
3,1977-08-17,20:00,VfL Bochum,Hertha BSC,5-0,1-0
4,1977-08-26,20:00,Werder Bremen,VfL Bochum,1-0,0-0
4,1977-08-27,15:30,Hamburger SV,1. FC Kaiserslautern,3-1,1-0
4,1977-08-27,15:30,FC Schalke 04,VfB Stuttgart,3-1,0-0
4,1977-08-27,15:30,1. FC Saarbrücken,FC St. Pauli,4-0,3-0
4,1977-08-27,15:30,Eintracht Braunschweig,Fortuna Duesseldorf,2-0,0-0
4,1977-08-27,15:30,Bor. Mönchengladbach,TSV 1860 München,2-1,0-1
4,1977-08-27,15:30,Bayern München,1. FC Köln,0-3,0-1
4,1977-08-27,15:30,Hertha BSC,MSV Duisburg,2-2,1-1
4,1977-08-27,15:30,Borussia Dortmund,Eintracht Frankfurt,0-2,0-2
5,1977-08-30,20:00,1. FC Kaiserslautern,Borussia Dortmund,4-0,2-0
5,1977-08-31,20:00,FC St. Pauli,FC Schalke 04,1-1,1-1
5,1977-08-31,20:00,VfB Stuttgart,Hamburger SV,1-2,0-1
5,1977-08-31,20:00,Eintracht Frankfurt,Bor. Mönchengladbach,4-2,1-1
5,1977-08-31,20:00,TSV 1860 München,Hertha BSC,2-3,1-2
5,1977-08-31,20:00,Werder Bremen,Bayern München,1-1,0-0
5,1977-08-31,20:00,1. FC Köln,Eintracht Braunschweig,6-0,3-0
5,1977-08-31,20:00,VfL Bochum,MSV Duisburg,1-2,0-1
5,1977-09-20,20:00,Fortuna Duesseldorf,1. FC Saarbrücken,2-1,1-1
6,1977-09-03,15:30,Bor. Mönchengladbach,1. FC Kaiserslautern,2-2,1-1
6,1977-09-03,15:30,Hamburger SV,FC St. Pauli,0-2,0-1
6,1977-09-03,15:30,FC Schalke 04,Fortuna Duesseldorf,1-0,1-0
6,1977-09-03,15:30,1. FC Saarbrücken,1. FC Köln,1-0,0-0
6,1977-09-03,15:30,Eintracht Braunschweig,Werder Bremen,2-0,2-0
6,1977-09-03,15:30,Bayern München,VfL Bochum,1-1,0-1
6,1977-09-03,15:30,MSV Duisburg,TSV 1860 München,1-1,0-1
6,1977-09-03,15:30,Hertha BSC,Eintracht Frankfurt,2-0,1-0
6,1977-09-03,15:30,Borussia Dortmund,VfB Stuttgart,4-1,2-0
7,1977-09-09,20:00,Werder Bremen,1. FC Saarbrücken,1-1,1-1
7,1977-09-09,20:00,Eintracht Frankfurt,MSV Duisburg,3-1,2-1
7,1977-09-10,15:30,Fortuna Duesseldorf,Hamburger SV,3-1,1-0
7,1977-09-10,15:30,FC St. Pauli,Borussia Dortmund,3-6,0-3
7,1977-09-10,15:30,VfB Stuttgart,Bor. Mönchengladbach,2-0,0-0
7,1977-09-10,15:30,1. FC Kaiserslautern,Hertha BSC,2-0,1-0
7,1977-09-10,15:30,Bayern München,Eintracht Braunschweig,3-2,2-1
7,1977-09-10,15:30,1. FC Köln,FC Schalke 04,2-4,1-1
7,1977-09-10,15:30,VfL Bochum,TSV 1860 München,2-0,2-0
8,1977-09-16,20:00,MSV Duisburg,1. FC Kaiserslautern,3-2,2-2
8,1977-09-17,15:30,Bor. Mönchengladbach,FC St. Pauli,2-1,0-0
8,1977-09-17,15:30,Hamburger SV,1. FC Köln,1-0,1-0
8,1977-09-17,15:30,FC Schalke 04,Werder Bremen,1-0,1-0
8,1977-09-17,15:30,Eintracht Braunschweig,VfL Bochum,3-1,2-1
8,1977-09-17,15:30,TSV 1860 München,Eintracht Frankfurt,2-4,0-2
8,1977-09-17,15:30,Hertha BSC,VfB Stuttgart,1-1,1-0
8,1977-09-17,15:30,Borussia Dortmund,Fortuna Duesseldorf,1-2,0-0
8,1977-09-17,16:15,1. FC Saarbrücken,Bayern München,2-1,1-1
9,1977-09-23,20:00,VfB Stuttgart,MSV Duisburg,1-0,0-0
9,1977-09-24,15:30,Fortuna Duesseldorf,Bor. Mönchengladbach,1-3,1-2
9,1977-09-24,15:30,FC St. Pauli,Hertha BSC,3-0,0-0
9,1977-09-24,15:30,1. FC Kaiserslautern,TSV 1860 München,1-0,1-0
9,1977-09-24,15:30,Eintracht Braunschweig,1. FC Saarbrücken,3-0,1-0
9,1977-09-24,15:30,Bayern München,FC Schalke 04,7-1,2-1
9,1977-09-24,15:30,Werder Bremen,Hamburger SV,1-2,0-1
9,1977-09-24,15:30,1. FC Köln,Borussia Dortmund,4-1,2-0
9,1977-09-24,15:30,VfL Bochum,Eintracht Frankfurt,0-1,0-0
10,1977-09-01,15:30,Eintracht Frankfurt,1. FC Kaiserslautern,1-3,0-0
10,1977-09-01,15:30,Hamburger SV,Bayern München,2-2,0-0
10,1977-09-01,15:30,Hertha BSC,Fortuna Duesseldorf,0-0,0-0
10,1977-09-01,15:30,Bor. Mönchengladbach,1. FC Köln,2-5,0-2
10,1977-09-30,20:00,MSV Duisburg,FC St. Pauli,4-3,4-1
10,1977-09-30,20:00,Borussia Dortmund,Werder Bremen,4-1,0-0
10,1977-09-30,20:00,1. FC Saarbrücken,VfL Bochum,0-1,0-1
10,1977-10-01,15:30,FC Schalke 04,Eintracht Braunschweig,1-0,1-0
10,1977-10-01,15:30,TSV 1860 München,VfB Stuttgart,1-2,0-1
11,1977-10-12,20:00,Fortuna Duesseldorf,MSV Duisburg,0-0,0-0
11,1977-10-12,20:00,FC St. Pauli,TSV 1860 München,4-1,1-1
11,1977-10-12,20:00,VfB Stuttgart,Eintracht Frankfurt,2-1,0-1
11,1977-10-12,20:00,1. FC Saarbrücken,FC Schalke 04,2-1,2-1
11,1977-10-12,20:00,Eintracht Braunschweig,Hamburger SV,4-0,2-0
11,1977-10-12,20:00,Bayern München,Borussia Dortmund,3-0,2-0
11,1977-10-12,20:00,Werder Bremen,Bor. Mönchengladbach,3-2,1-1
