Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 16 1969,Alemannia Aachen,0-0,TSV 1860 München
1,Sat Aug 16 1969,FC Schalke 04,2-0,Bor. Mönchengladbach
1,Sat Aug 16 1969,Hertha BSC,1-0,MSV Duisburg
1,Sat Aug 16 1969,Rot-Weiß Oberhausen,3-1,Eintracht Frankfurt
1,Sat Aug 16 1969,VfB Stuttgart,1-1,Werder Bremen
1,Sat Aug 16 1969,Hamburger SV,2-1,1. FC Kaiserslautern
1,Sat Aug 16 1969,1. FC Köln,3-2,Eintracht Braunschweig
1,Sat Aug 16 1969,Hannover 96,4-2,Borussia Dortmund
1,Sat Aug 16 1969,Bayern München,4-0,Rot-Weiss Essen
2,Fri Aug 22 1969,Eintracht Frankfurt,2-1,FC Schalke 04
2,Sat Aug 23 1969,1. FC Kaiserslautern,0-0,Rot-Weiß Oberhausen
2,Sat Aug 23 1969,TSV 1860 München,2-0,Hertha BSC
2,Sat Aug 23 1969,Bor. Mönchengladbach,2-1,Bayern München
2,Sat Aug 23 1969,Werder Bremen,2-1,1. FC Köln
2,Sat Aug 23 1969,MSV Duisburg,1-1,VfB Stuttgart
2,Sat Aug 23 1969,Eintracht Braunschweig,1-1,Hannover 96
2,Sat Aug 23 1969,Borussia Dortmund,2-1,Hamburger SV
2,Sat Aug 23 1969,Rot-Weiss Essen,2-0,Alemannia Aachen
3,Wed Aug 27 1969,Bayern München,2-1,Eintracht Frankfurt
3,Fri Aug 29 1969,1. FC Köln,6-2,MSV Duisburg
3,Sat Aug 30 1969,Hertha BSC,2-1,Alemannia Aachen
3,Sat Aug 30 1969,Rot-Weiß Oberhausen,2-1,Borussia Dortmund
3,Sat Aug 30 1969,Hannover 96,3-2,Werder Bremen
3,Sat Aug 30 1969,Hamburger SV,3-3,Eintracht Braunschweig
3,Sat Aug 30 1969,Bor. Mönchengladbach,2-1,Rot-Weiss Essen
3,Sat Aug 30 1969,FC Schalke 04,4-2,1. FC Kaiserslautern
3,Sat Aug 30 1969,VfB Stuttgart,3-1,TSV 1860 München
4,Fri Sep 5 1969,Eintracht Frankfurt,1-2,Bor. Mönchengladbach
4,Fri Sep 5 1969,MSV Duisburg,1-0,Hannover 96
4,Sat Sep 6 1969,1. FC Kaiserslautern,0-0,Bayern München
4,Sat Sep 6 1969,TSV 1860 München,1-0,1. FC Köln
4,Sat Sep 6 1969,Rot-Weiss Essen,5-2,Hertha BSC
4,Sat Sep 6 1969,Eintracht Braunschweig,0-4,Rot-Weiß Oberhausen
4,Sat Sep 6 1969,Werder Bremen,1-1,Hamburger SV
4,Sat Sep 6 1969,Alemannia Aachen,4-2,VfB Stuttgart
4,Sat Sep 6 1969,Borussia Dortmund,1-1,FC Schalke 04
5,Fri Sep 12 1969,Eintracht Frankfurt,2-1,Rot-Weiss Essen
5,Fri Sep 12 1969,Bor. Mönchengladbach,1-1,1. FC Kaiserslautern
5,Fri Sep 12 1969,Bayern München,3-0,Borussia Dortmund
5,Sat Sep 13 1969,Hamburger SV,4-1,MSV Duisburg
5,Sat Sep 13 1969,Rot-Weiß Oberhausen,3-1,Werder Bremen
5,Sat Sep 13 1969,FC Schalke 04,1-1,Eintracht Braunschweig
5,Sat Sep 13 1969,1. FC Köln,3-0,Alemannia Aachen
5,Sat Sep 13 1969,Hannover 96,3-1,TSV 1860 München
5,Sat Sep 13 1969,VfB Stuttgart,1-4,Hertha BSC
6,Fri Sep 26 1969,Hertha BSC,1-0,1. FC Köln
6,Fri Sep 26 1969,MSV Duisburg,2-1,Rot-Weiß Oberhausen
6,Sat Sep 27 1969,TSV 1860 München,0-2,Hamburger SV
6,Sat Sep 27 1969,Eintracht Braunschweig,0-4,Bayern München
6,Sat Sep 27 1969,Werder Bremen,0-1,FC Schalke 04
6,Sat Sep 27 1969,Rot-Weiss Essen,3-3,VfB Stuttgart
6,Sat Sep 27 1969,1. FC Kaiserslautern,2-0,Eintracht Frankfurt
6,Sat Sep 27 1969,Borussia Dortmund,2-1,Bor. Mönchengladbach
6,Sat Sep 27 1969,Alemannia Aachen,1-1,Hannover 96
7,Fri Oct 3 1969,Eintracht Frankfurt,2-0,Borussia Dortmund
7,Sat Oct 4 1969,Hamburger SV,4-1,Alemannia Aachen
7,Sat Oct 4 1969,Hannover 96,2-1,Hertha BSC
7,Sat Oct 4 1969,Bor. Mönchengladbach,1-0,Eintracht Braunschweig
7,Sat Oct 4 1969,1. FC Köln,3-1,VfB Stuttgart
7,Sat Oct 4 1969,1. FC Kaiserslautern,0-0,Rot-Weiss Essen
7,Sat Oct 4 1969,Bayern München,4-1,Werder Bremen
7,Sat Oct 4 1969,Rot-Weiß Oberhausen,3-0,TSV 1860 München
7,Sat Oct 4 1969,FC Schalke 04,0-0,MSV Duisburg
