Round,Date,Time,Team 1,Team 2,FT,HT
33,1970-04-24,20:00,Rot-Weiss Essen,FC Schalke 04,1-1,0-0
33,1970-04-25,15:30,1. FC Kaiserslautern,1. FC Köln,3-2,3-1
33,1970-04-30,15:30,Werder Bremen,Alemannia Aachen,4-1,2-0
33,1970-04-30,15:30,Eintracht Braunschweig,Hertha BSC,1-2,0-0
33,1970-04-30,15:30,Bor. Mönchengladbach,Hamburger SV,4-3,3-0
33,1970-04-30,15:30,Eintracht Frankfurt,Hannover 96,3-3,0-1
33,1970-04-30,15:30,Borussia Dortmund,VfB Stuttgart,0-0,0-0
33,1970-04-30,15:30,Bayern München,Rot-Weiss Oberhausen,6-2,4-1
33,1970-04-30,15:30,MSV Duisburg,TSV 1860 München,2-1,0-1
34,1970-05-03,15:30,1. FC Köln,Borussia Dortmund,5-2,2-0
34,1970-05-03,15:30,Hannover 96,1. FC Kaiserslautern,4-2,2-1
34,1970-05-03,15:30,Rot-Weiss Oberhausen,Bor. Mönchengladbach,3-4,1-2
34,1970-05-03,15:30,VfB Stuttgart,Eintracht Braunschweig,3-2,1-1
34,1970-05-03,15:30,Hamburger SV,Eintracht Frankfurt,5-1,3-0
34,1970-05-03,15:30,Hertha BSC,Werder Bremen,4-1,1-1
34,1970-05-03,15:30,Alemannia Aachen,MSV Duisburg,3-2,3-0
34,1970-05-03,15:30,TSV 1860 München,Rot-Weiss Essen,0-0,0-0
34,1970-05-03,15:30,FC Schalke 04,Bayern München,2-2,0-0
