Date,Team 1,Team 2,FT,HT
2007-08-10,Stuttgart,Schalke 04,2-2,0-1
2007-08-11,Bayern München,Hansa Rostock,3-0,1-0
2007-08-11,Bochum,Werder Bremen,2-2,0-2
2007-08-11,Ein Frankfurt,Hertha,1-0,1-0
2007-08-11,Hannover,Hamburg,0-1,0-1
2007-08-11,Leverkusen,Cottbus,0-0,0-0
2007-08-11,Wolfsburg,Bielefeld,1-3,0-1
2007-08-12,Dortmund,Duisburg,1-3,0-1
2007-08-12,Nürnberg,Karlsruhe,0-2,0-1
2007-08-17,Karlsruhe,Hannover,1-2,1-0
2007-08-18,Bielefeld,Ein Frankfurt,2-2,0-0
2007-08-18,Duisburg,Wolfsburg,1-3,0-1
2007-08-18,Hansa Rostock,Nürnberg,1-2,0-2
2007-08-18,Hertha,Stuttgart,3-1,0-1
2007-08-18,Schalke 04,Dortmund,4-1,2-0
2007-08-18,Werder Bremen,Bayern München,0-4,0-1
2007-08-19,Cottbus,Bochum,1-2,0-2
2007-08-19,Hamburg,Leverkusen,1-0,0-0
2007-08-24,Bochum,Hamburg,2-1,1-0
2007-08-25,Bayern München,Hannover,3-0,1-0
2007-08-25,Bielefeld,Hertha,2-0,0-0
2007-08-25,Dortmund,Cottbus,3-0,1-0
2007-08-25,Leverkusen,Karlsruhe,3-0,3-0
2007-08-25,Nürnberg,Werder Bremen,0-1,0-0
2007-08-25,Stuttgart,Duisburg,1-0,1-0
2007-08-26,Ein Frankfurt,Hansa Rostock,1-0,1-0
2007-08-26,Wolfsburg,Schalke 04,1-1,1-0
2007-08-31,Schalke 04,Leverkusen,1-1,1-0
2007-09-01,Cottbus,Nürnberg,1-1,1-0
2007-09-01,Duisburg,Bielefeld,3-0,0-0
2007-09-01,Hannover,Bochum,3-2,2-1
2007-09-01,Hansa Rostock,Dortmund,0-1,0-0
2007-09-01,Hertha,Wolfsburg,2-1,1-0
2007-09-01,Werder Bremen,Ein Frankfurt,2-1,1-0
2007-09-02,Hamburg,Bayern München,1-1,0-0
2007-09-02,Karlsruhe,Stuttgart,1-0,0-0
2007-09-14,Dortmund,Werder Bremen,3-0,3-0
2007-09-15,Bayern München,Schalke 04,1-1,0-1
2007-09-15,Bielefeld,Hansa Rostock,4-2,1-0
2007-09-15,Ein Frankfurt,Hamburg,2-1,1-0
2007-09-15,Leverkusen,Bochum,2-0,0-0
2007-09-15,Nürnberg,Hannover,2-2,0-2
2007-09-15,Stuttgart,Cottbus,3-0,0-0
2007-09-16,Duisburg,Hertha,1-2,0-0
2007-09-16,Wolfsburg,Karlsruhe,1-2,1-0
2007-09-21,Bochum,Ein Frankfurt,0-0,0-0
2007-09-22,Cottbus,Wolfsburg,1-2,1-1
2007-09-22,Hamburg,Nürnberg,1-0,0-0
2007-09-22,Hansa Rostock,Duisburg,2-0,1-0
2007-09-22,Hertha,Dortmund,3-2,1-1
2007-09-22,Schalke 04,Bielefeld,3-0,1-0
2007-09-22,Werder Bremen,Stuttgart,4-1,3-1
2007-09-23,Hannover,Leverkusen,0-3,0-0
2007-09-23,Karlsruhe,Bayern München,1-4,0-2
2007-09-25,Dortmund,Hamburg,0-3,0-2
2007-09-25,Duisburg,Schalke 04,0-2,0-1
2007-09-25,Hertha,Hansa Rostock,1-3,1-1
2007-09-25,Wolfsburg,Werder Bremen,1-1,0-0
2007-09-26,Bayern München,Cottbus,5-0,0-0
2007-09-26,Bielefeld,Hannover,0-2,0-0
2007-09-26,Ein Frankfurt,Karlsruhe,0-1,0-0
2007-09-26,Nürnberg,Leverkusen,1-2,0-1
2007-09-26,Stuttgart,Bochum,1-0,0-0
2007-09-28,Schalke 04,Hertha,1-0,1-0
2007-09-29,Bochum,Nürnberg,3-3,1-1
2007-09-29,Hamburg,Wolfsburg,2-2,1-0
2007-09-29,Hansa Rostock,Stuttgart,2-1,2-0
2007-09-29,Karlsruhe,Dortmund,3-1,1-1
2007-09-29,Leverkusen,Bayern München,0-1,0-1
2007-09-29,Werder Bremen,Bielefeld,8-1,4-1
2007-09-30,Cottbus,Ein Frankfurt,2-2,2-0
2007-09-30,Hannover,Duisburg,2-1,1-1
2007-10-05,Dortmund,Bochum,2-1,1-1
2007-10-06,Bielefeld,Hamburg,0-1,0-0
2007-10-06,Duisburg,Werder Bremen,1-3,1-1
2007-10-06,Hertha,Cottbus,0-0,0-0
2007-10-06,Schalke 04,Karlsruhe,0-2,0-0
2007-10-06,Stuttgart,Hannover,0-2,0-1
2007-10-06,Wolfsburg,Hansa Rostock,1-0,0-0
2007-10-07,Bayern München,Nürnberg,3-0,2-0
2007-10-07,Ein Frankfurt,Leverkusen,2-1,0-0
2007-10-19,Cottbus,Duisburg,1-2,0-1
2007-10-20,Bochum,Bayern München,1-2,1-1
2007-10-20,Hamburg,Stuttgart,4-1,3-0
2007-10-20,Hansa Rostock,Schalke 04,1-1,0-1
2007-10-20,Leverkusen,Dortmund,2-2,0-1
2007-10-20,Nürnberg,Ein Frankfurt,5-1,1-1
2007-10-20,Werder Bremen,Hertha,3-2,0-0
2007-10-21,Hannover,Wolfsburg,2-2,2-2
2007-10-21,Karlsruhe,Bielefeld,0-0,0-0
2007-10-26,Ein Frankfurt,Hannover,0-0,0-0
2007-10-27,Bielefeld,Cottbus,1-1,0-0
2007-10-27,Hansa Rostock,Karlsruhe,0-0,0-0
2007-10-27,Hertha,Bochum,2-0,2-0
2007-10-27,Schalke 04,Werder Bremen,1-1,1-1
2007-10-27,Stuttgart,Leverkusen,1-0,0-0
2007-10-27,Wolfsburg,Nürnberg,3-1,2-0
2007-10-28,Dortmund,Bayern München,0-0,0-0
2007-10-28,Duisburg,Hamburg,0-1,0-1
2007-11-02,Cottbus,Schalke 04,1-0,0-0
2007-11-03,Bayern München,Ein Frankfurt,0-0,0-0
2007-11-03,Hamburg,Hertha,2-1,1-0
2007-11-03,Hannover,Dortmund,2-1,0-0
2007-11-03,Leverkusen,Bielefeld,4-0,3-0
2007-11-03,Nürnberg,Stuttgart,0-1,0-1
2007-11-03,Werder Bremen,Hansa Rostock,1-0,1-0
2007-11-04,Bochum,Wolfsburg,5-3,4-0
2007-11-04,Karlsruhe,Duisburg,1-0,1-0
2007-11-09,Duisburg,Bochum,0-2,0-1
2007-11-10,Dortmund,Ein Frankfurt,1-1,0-0
2007-11-10,Hansa Rostock,Cottbus,3-2,1-0
2007-11-10,Hertha,Hannover,1-0,0-0
2007-11-10,Schalke 04,Hamburg,1-1,1-1
2007-11-10,Stuttgart,Bayern München,3-1,3-0
2007-11-10,Werder Bremen,Karlsruhe,4-0,2-0
2007-11-11,Bielefeld,Nürnberg,3-1,0-1
2007-11-11,Wolfsburg,Leverkusen,1-2,0-1
2007-11-23,Karlsruhe,Hertha,2-1,0-1
2007-11-24,Bayern München,Wolfsburg,2-1,1-0
2007-11-24,Bochum,Bielefeld,3-0,2-0
2007-11-24,Cottbus,Werder Bremen,0-2,0-0
2007-11-24,Ein Frankfurt,Stuttgart,1-4,1-1
2007-11-24,Hannover,Schalke 04,2-3,1-1
2007-11-24,Leverkusen,Duisburg,4-1,0-1
2007-11-25,Hamburg,Hansa Rostock,2-0,1-0
2007-11-25,Nürnberg,Dortmund,2-0,1-0
2007-11-30,Hansa Rostock,Hannover,0-3,0-0
2007-12-01,Cottbus,Karlsruhe,2-0,0-0
2007-12-01,Hertha,Leverkusen,0-3,0-1
2007-12-01,Schalke 04,Bochum,1-0,1-0
2007-12-01,Stuttgart,Dortmund,1-2,1-1
2007-12-01,Werder Bremen,Hamburg,2-1,1-0
2007-12-01,Wolfsburg,Ein Frankfurt,2-2,1-1
2007-12-02,Bielefeld,Bayern München,0-1,0-1
2007-12-02,Duisburg,Nürnberg,1-0,0-0
2007-12-07,Dortmund,Bielefeld,6-1,2-0
2007-12-08,Bayern München,Duisburg,0-0,0-0
2007-12-08,Bochum,Karlsruhe,2-2,1-1
2007-12-08,Ein Frankfurt,Schalke 04,2-2,0-0
2007-12-08,Hamburg,Cottbus,0-0,0-0
2007-12-08,Hannover,Werder Bremen,4-3,3-2
2007-12-08,Stuttgart,Wolfsburg,3-1,1-0
2007-12-09,Leverkusen,Hansa Rostock,3-0,1-0
2007-12-09,Nürnberg,Hertha,2-1,2-0
2007-12-14,Cottbus,Hannover,5-1,3-0
2007-12-15,Bielefeld,Stuttgart,2-0,0-0
2007-12-15,Hertha,Bayern München,0-0,0-0
2007-12-15,Karlsruhe,Hamburg,1-1,0-0
2007-12-15,Schalke 04,Nürnberg,2-1,2-0
2007-12-15,Werder Bremen,Leverkusen,5-2,1-1
2007-12-15,Wolfsburg,Dortmund,4-0,2-0
2007-12-16,Duisburg,Ein Frankfurt,0-1,0-1
2007-12-16,Hansa Rostock,Bochum,2-0,2-0
2008-02-01,Hansa Rostock,Bayern München,1-2,0-2
2008-02-02,Bielefeld,Wolfsburg,0-1,0-1
2008-02-02,Cottbus,Leverkusen,2-3,1-0
2008-02-02,Duisburg,Dortmund,3-3,2-0
2008-02-02,Hamburg,Hannover,1-1,0-1
