Date,Team 1,Team 2,FT,HT
1998-07-30,Hannover,Karlsruhe,1-0,0-0
1998-07-31,Cottbus,Stuttgarter K,2-0,1-0
1998-07-31,FC Köln,Dusseldorf,2-1,2-0
1998-07-31,St Pauli,TB Berlin,1-0,0-0
1998-08-02,Gutersloh,FC Köln,0-1,0-0
1998-08-02,Mainz,Greuther Fürth,3-0,1-0
1998-08-02,Oberhausen,Uerdingen,0-0,0-0
1998-08-02,Ulm,Wattenscheid,2-0,0-0
1998-08-02,Unterhaching,Bielefeld,0-2,0-0
1998-08-07,FC Köln,Unterhaching,0-1,0-1
1998-08-07,Stuttgarter K,Oberhausen,2-0,1-0
1998-08-07,Uerdingen,FC Köln,1-2,0-1
1998-08-09,Dusseldorf,Gutersloh,3-1,2-1
1998-08-09,Greuther Fürth,St Pauli,1-0,0-0
1998-08-09,Karlsruhe,Ulm,1-2,0-0
1998-08-09,TB Berlin,Cottbus,1-0,0-0
1998-08-09,Wattenscheid,Mainz,1-1,0-1
1998-08-10,Bielefeld,Hannover,0-1,0-1
1998-08-11,FC Köln,Stuttgarter K,2-1,0-1
1998-08-12,Oberhausen,TB Berlin,0-2,0-0
1998-08-13,Cottbus,Greuther Fürth,1-1,1-1
1998-08-13,Dusseldorf,Uerdingen,2-2,1-2
1998-08-13,Gutersloh,Unterhaching,1-1,0-1
1998-08-13,Mainz,Karlsruhe,4-1,2-1
1998-08-13,St Pauli,Wattenscheid,1-0,0-0
1998-08-13,Ulm,Bielefeld,6-2,2-1
1998-08-15,TB Berlin,FC Köln,3-2,1-1
1998-08-16,Bielefeld,Mainz,1-0,0-0
1998-08-16,FC Köln,Ulm,1-1,0-1
1998-08-16,Greuther Fürth,Oberhausen,1-1,0-1
1998-08-16,Stuttgarter K,Dusseldorf,1-0,0-0
1998-08-16,Uerdingen,Gutersloh,2-0,0-0
1998-08-16,Unterhaching,Hannover,3-1,1-1
1998-08-16,Wattenscheid,Cottbus,1-1,0-1
1998-08-17,Karlsruhe,St Pauli,3-0,3-0
1998-08-21,Mainz,FC Köln,2-1,1-0
1998-08-21,Uerdingen,Stuttgarter K,0-1,0-0
1998-08-21,Ulm,Unterhaching,3-1,2-0
1998-08-23,Cottbus,Karlsruhe,4-0,2-0
1998-08-23,FC Köln,Greuther Fürth,1-4,1-2
1998-08-23,Gutersloh,Hannover,2-1,1-0
1998-08-23,Oberhausen,Wattenscheid,1-0,0-0
1998-08-24,St Pauli,Bielefeld,1-2,0-1
1998-09-09,Dusseldorf,TB Berlin,2-2,1-0
1998-09-10,Hannover,FC Köln,6-1,1-1
1998-09-11,Bielefeld,Cottbus,2-0,0-0
1998-09-11,Karlsruhe,Oberhausen,3-1,0-1
1998-09-11,Wattenscheid,FC Köln,0-0,0-0
1998-09-13,Greuther Fürth,Dusseldorf,1-0,1-0
1998-09-13,Hannover,Ulm,1-1,0-1
1998-09-13,Stuttgarter K,Gutersloh,2-1,0-1
1998-09-13,TB Berlin,Uerdingen,3-1,2-1
1998-09-13,Unterhaching,Mainz,1-0,0-0
1998-09-14,FC Köln,St Pauli,1-4,1-4
1998-09-18,Oberhausen,Bielefeld,1-5,1-1
1998-09-18,Stuttgarter K,TB Berlin,1-0,0-0
1998-09-19,Dusseldorf,Wattenscheid,1-1,0-1
1998-09-20,FC Köln,Karlsruhe,0-1,0-1
1998-09-20,Gutersloh,Ulm,1-1,0-0
1998-09-20,Mainz,Hannover,1-0,1-0
1998-09-20,St Pauli,Unterhaching,1-1,0-1
1998-09-21,Cottbus,FC Köln,2-3,2-2
1998-09-25,Karlsruhe,Dusseldorf,3-1,1-1
1998-09-25,TB Berlin,Gutersloh,2-0,0-0
1998-09-26,Bielefeld,FC Köln,2-1,1-1
1998-09-27,FC Köln,Oberhausen,2-1,2-0
1998-09-27,Greuther Fürth,Stuttgarter K,1-0,0-0
1998-09-27,Hannover,St Pauli,3-0,3-0
1998-09-27,Unterhaching,Cottbus,1-0,0-0
1998-09-27,Wattenscheid,Uerdingen,2-1,1-0
