Round,Date,Time,Team 1,Team 2,FT,HT
1,1998-08-14,19:30,MSV Duisburg,Eintracht Frankfurt,2-1,1-1
1,1998-08-14,20:00,VfB Stuttgart,Borussia Dortmund,2-1,2-1
1,1998-08-15,15:30,VfL Wolfsburg,Bayern München,0-1,0-0
1,1998-08-15,15:30,Bayer Leverkusen,Hansa Rostock,3-1,1-1
1,1998-08-15,15:30,VfL Bochum,SC Freiburg,1-2,0-0
1,1998-08-15,15:30,1. FC Nürnberg,Hamburger SV,1-1,0-0
1,1998-08-15,15:30,Bor. Mönchengladbach,FC Schalke 04,3-0,2-0
1,1998-08-15,15:30,TSV 1860 München,1. FC Kaiserslautern,1-2,1-1
1,1998-08-16,18:00,Hertha BSC,Werder Bremen,1-0,0-0
2,1998-08-21,20:00,Werder Bremen,1. FC Nürnberg,2-3,2-2
2,1998-08-21,20:00,Hansa Rostock,VfL Wolfsburg,3-3,2-2
2,1998-08-22,15:30,Eintracht Frankfurt,TSV 1860 München,2-3,1-1
2,1998-08-22,15:30,FC Schalke 04,VfB Stuttgart,1-0,0-0
2,1998-08-22,15:30,Borussia Dortmund,Hertha BSC,3-0,1-0
2,1998-08-22,15:30,SC Freiburg,Bayer Leverkusen,1-1,0-0
2,1998-08-22,15:30,Bayern München,MSV Duisburg,3-1,1-1
2,1998-08-22,15:30,1. FC Kaiserslautern,Bor. Mönchengladbach,2-1,1-0
2,1998-08-23,18:00,Hamburger SV,VfL Bochum,1-0,1-0
3,1998-09-08,19:30,MSV Duisburg,TSV 1860 München,1-1,1-0
3,1998-09-08,20:00,VfL Wolfsburg,SC Freiburg,1-1,0-1
3,1998-09-08,20:00,VfL Bochum,Werder Bremen,2-0,1-0
3,1998-09-08,20:00,VfB Stuttgart,1. FC Kaiserslautern,4-0,1-0
3,1998-09-08,20:00,Bor. Mönchengladbach,Eintracht Frankfurt,1-1,0-0
3,1998-09-09,19:30,1. FC Nürnberg,Borussia Dortmund,0-0,0-0
3,1998-09-09,20:00,Bayer Leverkusen,Hamburger SV,1-2,0-0
3,1998-09-09,20:00,Hertha BSC,FC Schalke 04,2-0,0-0
3,1998-09-09,20:00,Bayern München,Hansa Rostock,6-1,0-0
4,1998-09-11,20:00,Eintracht Frankfurt,VfB Stuttgart,1-1,0-0
4,1998-09-11,20:00,TSV 1860 München,Bor. Mönchengladbach,3-1,2-0
4,1998-09-12,15:30,FC Schalke 04,1. FC Nürnberg,2-2,2-0
4,1998-09-12,15:30,Werder Bremen,Bayer Leverkusen,2-2,0-1
4,1998-09-12,15:30,Hamburger SV,VfL Wolfsburg,1-1,1-0
4,1998-09-12,15:30,SC Freiburg,Bayern München,0-2,0-2
4,1998-09-12,15:30,Hansa Rostock,MSV Duisburg,3-0,0-0
4,1998-09-12,15:30,1. FC Kaiserslautern,Hertha BSC,4-3,1-2
4,1998-09-13,18:00,Borussia Dortmund,VfL Bochum,0-1,0-0
5,1998-09-18,20:00,Hertha BSC,Eintracht Frankfurt,3-1,1-1
5,1998-09-18,20:00,Hansa Rostock,SC Freiburg,0-2,0-0
5,1998-09-19,15:30,VfL Wolfsburg,Werder Bremen,2-4,0-3
5,1998-09-19,15:30,Bayer Leverkusen,Borussia Dortmund,3-1,1-0
5,1998-09-19,15:30,1. FC Nürnberg,1. FC Kaiserslautern,1-1,1-0
5,1998-09-19,15:30,VfL Bochum,FC Schalke 04,1-2,0-0
5,1998-09-19,15:30,VfB Stuttgart,TSV 1860 München,0-1,0-0
5,1998-09-20,18:00,Bayern München,Hamburger SV,5-3,2-1
5,1998-09-20,18:00,MSV Duisburg,Bor. Mönchengladbach,2-2,1-0
6,1998-09-25,20:00,Hamburger SV,Hansa Rostock,1-0,0-0
6,1998-09-25,20:00,TSV 1860 München,Hertha BSC,2-0,1-0
6,1998-09-26,15:30,FC Schalke 04,Bayer Leverkusen,0-1,0-0
6,1998-09-26,15:30,Borussia Dortmund,VfL Wolfsburg,2-1,1-1
6,1998-09-26,15:30,Werder Bremen,Bayern München,0-1,0-0
6,1998-09-26,15:30,SC Freiburg,MSV Duisburg,2-2,1-0
6,1998-09-26,15:30,Bor. Mönchengladbach,VfB Stuttgart,2-3,2-2
6,1998-09-26,15:30,1. FC Kaiserslautern,VfL Bochum,2-3,1-0
6,1998-09-27,18:00,Eintracht Frankfurt,1. FC Nürnberg,3-2,1-1
7,1998-10-02,20:00,VfL Wolfsburg,FC Schalke 04,0-0,0-0
7,1998-10-02,20:00,Hertha BSC,Bor. Mönchengladbach,4-1,1-1
7,1998-10-03,15:30,Bayer Leverkusen,1. FC Kaiserslautern,2-2,1-2
7,1998-10-03,15:30,VfL Bochum,Eintracht Frankfurt,0-0,0-0
7,1998-10-03,15:30,1. FC Nürnberg,TSV 1860 München,1-5,0-2
7,1998-10-03,15:30,SC Freiburg,Hamburger SV,0-0,0-0
7,1998-10-03,15:30,Hansa Rostock,Werder Bremen,2-1,1-1
7,1998-10-04,18:00,Bayern München,Borussia Dortmund,2-2,2-1
7,1998-10-04,20:00,MSV Duisburg,VfB Stuttgart,2-0,1-0
8,1998-10-16,20:00,TSV 1860 München,VfL Bochum,2-1,2-1
8,1998-10-16,20:00,1. FC Kaiserslautern,VfL Wolfsburg,1-1,0-0
8,1998-10-17,15:30,Eintracht Frankfurt,Bayer Leverkusen,2-3,2-0
8,1998-10-17,15:30,FC Schalke 04,Bayern München,1-3,1-2
8,1998-10-17,15:30,Werder Bremen,SC Freiburg,2-3,1-3
8,1998-10-17,15:30,Hamburger SV,MSV Duisburg,4-1,2-0
8,1998-10-17,15:30,VfB Stuttgart,Hertha BSC,0-0,0-0
8,1998-10-17,15:30,Bor. Mönchengladbach,1. FC Nürnberg,0-2,0-1
8,1998-10-18,18:00,Borussia Dortmund,Hansa Rostock,2-0,1-0
9,1998-10-23,20:00,Hamburger SV,Werder Bremen,1-1,0-0
9,1998-10-23,20:00,SC Freiburg,Borussia Dortmund,2-2,1-1
9,1998-10-24,15:30,VfL Wolfsburg,Eintracht Frankfurt,2-0,1-0
9,1998-10-24,15:30,VfL Bochum,Bor. Mönchengladbach,2-1,1-1
9,1998-10-24,15:30,1. FC Nürnberg,VfB Stuttgart,2-2,0-2
9,1998-10-24,15:30,Hansa Rostock,FC Schalke 04,2-2,0-0
9,1998-10-24,15:30,Bayern München,1. FC Kaiserslautern,4-0,2-0
9,1998-10-25,18:00,Bayer Leverkusen,TSV 1860 München,1-1,1-0
9,1998-10-25,18:00,MSV Duisburg,Hertha BSC,0-0,0-0
10,1998-10-30,20:00,Bor. Mönchengladbach,Bayer Leverkusen,2-8,0-4
10,1998-10-30,20:00,1. FC Kaiserslautern,Hansa Rostock,3-2,0-2
10,1998-10-31,15:30,Eintracht Frankfurt,Bayern München,1-0,1-0
10,1998-10-31,15:30,Werder Bremen,MSV Duisburg,1-1,0-1
10,1998-10-31,15:30,VfB Stuttgart,VfL Bochum,4-2,2-1
10,1998-10-31,15:30,TSV 1860 München,VfL Wolfsburg,2-3,0-1
10,1998-11-01,18:00,Hertha BSC,1. FC Nürnberg,3-0,3-0
10,1998-11-03,20:00,FC Schalke 04,SC Freiburg,1-1,1-0
10,1998-11-24,19:30,Borussia Dortmund,Hamburger SV,2-1,1-0
11,1998-11-06,19:30,MSV Duisburg,1. FC Nürnberg,1-1,0-1
11,1998-11-06,20:00,Werder Bremen,Borussia Dortmund,1-1,0-1
11,1998-11-07,15:30,VfL Wolfsburg,Bor. Mönchengladbach,7-1,4-1
11,1998-11-07,15:30,VfL Bochum,Hertha BSC,2-0,0-0
11,1998-11-07,15:30,Hamburger SV,FC Schalke 04,2-2,1-0
11,1998-11-07,15:30,SC Freiburg,1. FC Kaiserslautern,0-1,0-1
11,1998-11-07,15:30,Hansa Rostock,Eintracht Frankfurt,2-2,1-1
11,1998-11-07,15:30,Bayern München,TSV 1860 München,3-1,0-0
11,1998-11-08,18:00,Bayer Leverkusen,VfB Stuttgart,0-0,0-0
12,1998-11-10,20:00,TSV 1860 München,Hansa Rostock,2-1,1-0
12,1998-11-10,20:00,1. FC Kaiserslautern,Hamburger SV,1-0,0-0
12,1998-11-11,19:30,1. FC Nürnberg,VfL Bochum,2-2,1-1
12,1998-11-11,20:00,Eintracht Frankfurt,SC Freiburg,3-1,2-1
12,1998-11-11,20:00,Borussia Dortmund,MSV Duisburg,2-0,2-0
12,1998-11-11,20:00,Hertha BSC,Bayer Leverkusen,0-1,0-0
12,1998-11-11,20:00,VfB Stuttgart,VfL Wolfsburg,1-2,1-1
12,1998-11-24,20:00,FC Schalke 04,Werder Bremen,1-2,0-0
12,1998-12-16,20:00,Bor. Mönchengladbach,Bayern München,0-2,0-2
13,1998-11-13,20:00,Werder Bremen,1. FC Kaiserslautern,0-1,0-0
13,1998-11-13,20:00,Hansa Rostock,Bor. Mönchengladbach,1-1,0-1
13,1998-11-14,15:30,VfL Wolfsburg,Hertha BSC,2-1,2-1
13,1998-11-14,15:30,Bayer Leverkusen,1. FC Nürnberg,3-0,3-0
13,1998-11-14,15:30,Borussia Dortmund,FC Schalke 04,3-0,2-0
13,1998-11-14,15:30,Hamburger SV,Eintracht Frankfurt,0-1,0-1
13,1998-11-14,15:30,Bayern München,VfB Stuttgart,2-0,0-0
13,1998-11-14,15:30,MSV Duisburg,VfL Bochum,2-0,1-0
13,1998-11-15,18:00,SC Freiburg,TSV 1860 München,1-2,1-0
14,1998-11-20,20:00,Eintracht Frankfurt,Werder Bremen,0-2,0-0
14,1998-11-20,20:00,FC Schalke 04,MSV Duisburg,2-0,1-0
14,1998-11-21,15:30,VfL Bochum,Bayer Leverkusen,1-5,0-2
14,1998-11-21,15:30,1. FC Nürnberg,VfL Wolfsburg,1-1,0-0
14,1998-11-21,15:30,Hertha BSC,Bayern München,1-0,0-0
14,1998-11-21,15:30,VfB Stuttgart,Hansa Rostock,1-1,1-0
14,1998-11-21,15:30,TSV 1860 München,Hamburger SV,0-0,0-0
14,1998-11-21,15:30,1. FC Kaiserslautern,Borussia Dortmund,1-0,0-0
14,1998-11-22,18:00,Bor. Mönchengladbach,SC Freiburg,3-1,2-1
15,1998-11-27,20:00,Borussia Dortmund,Eintracht Frankfurt,3-1,1-0
15,1998-11-27,20:00,Hansa Rostock,Hertha BSC,1-2,0-0
15,1998-11-28,15:30,Bayer Leverkusen,MSV Duisburg,2-0,1-0
15,1998-11-28,15:30,VfL Wolfsburg,VfL Bochum,4-1,2-1
15,1998-11-28,15:30,Werder Bremen,TSV 1860 München,4-1,1-1
15,1998-11-28,15:30,Hamburger SV,Bor. Mönchengladbach,3-0,2-0
15,1998-11-28,15:30,SC Freiburg,VfB Stuttgart,2-0,2-0
15,1998-11-28,15:30,Bayern München,1. FC Nürnberg,2-0,1-0
15,1998-11-29,18:00,1. FC Kaiserslautern,FC Schalke 04,4-1,1-1
16,1998-12-04,19:30,1. FC Nürnberg,Hansa Rostock,2-2,2-1
16,1998-12-04,20:00,VfL Bochum,Bayern München,2-2,1-1
16,1998-12-05,15:30,Eintracht Frankfurt,FC Schalke 04,1-2,0-2
16,1998-12-05,15:30,Bayer Leverkusen,VfL Wolfsburg,3-0,2-0
16,1998-12-05,15:30,VfB Stuttgart,Hamburger SV,3-1,1-1
16,1998-12-06,18:00,TSV 1860 München,Borussia Dortmund,2-0,1-0
16,1998-12-08,20:00,Bor. Mönchengladbach,Werder Bremen,0-1,0-1
16,1998-12-15,20:00,Hertha BSC,SC Freiburg,1-0,1-0
16,1998-12-16,19:30,MSV Duisburg,1. FC Kaiserslautern,3-1,0-1
17,1998-12-11,20:00,Borussia Dortmund,Bor. Mönchengladbach,1-1,1-1
17,1998-12-11,20:00,Hamburger SV,Hertha BSC,0-4,0-1
17,1998-12-12,15:30,VfL Wolfsburg,MSV Duisburg,4-2,1-0
17,1998-12-12,15:30,FC Schalke 04,TSV 1860 München,2-2,0-1
17,1998-12-12,15:30,Werder Bremen,VfB Stuttgart,2-2,0-1
17,1998-12-12,15:30,SC Freiburg,1. FC Nürnberg,1-0,1-0
17,1998-12-12,15:30,Hansa Rostock,VfL Bochum,3-0,1-0
17,1998-12-12,15:30,1. FC Kaiserslautern,Eintracht Frankfurt,2-1,1-0
17,1998-12-13,18:00,Bayern München,Bayer Leverkusen,2-0,2-0
18,1998-12-18,20:00,SC Freiburg,VfL Bochum,1-1,0-0
18,1998-12-18,20:00,Borussia Dortmund,VfB Stuttgart,3-0,1-0
18,1998-12-19,15:30,Bayern München,VfL Wolfsburg,3-0,1-0
18,1998-12-19,15:30,Hansa Rostock,Bayer Leverkusen,1-1,0-1
18,1998-12-19,15:30,Hamburger SV,1. FC Nürnberg,2-0,0-0
18,1998-12-19,15:30,FC Schalke 04,Bor. Mönchengladbach,1-0,0-0
18,1998-12-19,15:30,1. FC Kaiserslautern,TSV 1860 München,1-1,0-0
18,1998-12-19,15:30,Eintracht Frankfurt,MSV Duisburg,0-0,0-0
18,1998-12-20,18:00,Werder Bremen,Hertha BSC,2-1,1-0
19,1999-02-19,20:00,VfL Wolfsburg,Hansa Rostock,1-1,0-1
19,1999-02-20,15:30,TSV 1860 München,Eintracht Frankfurt,4-1,4-0
19,1999-02-20,15:30,VfB Stuttgart,FC Schalke 04,2-1,0-0
19,1999-02-20,15:30,Hertha BSC,Borussia Dortmund,3-0,0-0
19,1999-02-20,15:30,1. FC Nürnberg,Werder Bremen,1-1,1-1
19,1999-02-20,15:30,Bayer Leverkusen,SC Freiburg,1-1,0-1
19,1999-02-20,15:30,MSV Duisburg,Bayern München,0-3,0-2
19,1999-02-21,18:00,Bor. Mönchengladbach,1. FC Kaiserslautern,0-2,0-1
19,1999-03-16,20:00,VfL Bochum,Hamburger SV,2-0,1-0
20,1999-02-26,20:00,Werder Bremen,VfL Bochum,1-1,0-1
20,1999-02-26,20:00,1. FC Kaiserslautern,VfB Stuttgart,1-1,0-0
20,1999-02-27,15:30,SC Freiburg,VfL Wolfsburg,0-0,0-0
20,1999-02-27,15:30,Hamburger SV,Bayer Leverkusen,0-0,0-0
20,1999-02-27,15:30,Borussia Dortmund,1. FC Nürnberg,3-0,1-0
20,1999-02-27,15:30,Eintracht Frankfurt,Bor. Mönchengladbach,0-0,0-0
20,1999-02-27,15:30,Hansa Rostock,Bayern München,0-4,0-0
20,1999-02-27,15:30,TSV 1860 München,MSV Duisburg,0-0,0-0
20,1999-02-28,18:00,FC Schalke 04,Hertha BSC,0-0,0-0
21,1999-03-05,19:00,MSV Duisburg,Hansa Rostock,4-1,3-0
21,1999-03-05,20:30,1. FC Nürnberg,FC Schalke 04,3-0,2-0
21,1999-03-06,15:30,VfB Stuttgart,Eintracht Frankfurt,2-0,1-0
21,1999-03-06,15:30,VfL Bochum,Borussia Dortmund,0-1,0-1
21,1999-03-06,15:30,VfL Wolfsburg,Hamburger SV,4-1,1-1
21,1999-03-06,15:30,Bayern München,SC Freiburg,2-0,1-0
21,1999-03-06,15:30,Bor. Mönchengladbach,TSV 1860 München,2-0,1-0
21,1999-03-06,15:30,Hertha BSC,1. FC Kaiserslautern,1-1,0-1
21,1999-03-07,18:00,Bayer Leverkusen,Werder Bremen,2-0,0-0
22,1999-03-12,20:00,Borussia Dortmund,Bayer Leverkusen,1-0,1-0
22,1999-03-12,20:00,SC Freiburg,Hansa Rostock,3-0,0-0
22,1999-03-13,15:30,Werder Bremen,VfL Wolfsburg,0-1,0-0
22,1999-03-13,15:30,FC Schalke 04,VfL Bochum,2-2,2-2
22,1999-03-13,15:30,1. FC Kaiserslautern,1. FC Nürnberg,2-0,1-0
22,1999-03-13,15:30,TSV 1860 München,VfB Stuttgart,1-1,0-0
22,1999-03-13,15:30,Hamburger SV,Bayern München,0-2,0-2
