Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 9 2002,Borussia Dortmund,2-2,Hertha BSC
1,Sat Aug 10 2002,Energie Cottbus,1-1,Bayer 04 Leverkusen
1,Sat Aug 10 2002,Bor. Mönchengladbach,0-0,Bayern München
1,Sat Aug 10 2002,VfB Stuttgart,1-1,1. FC Kaiserslautern
1,Sat Aug 10 2002,FC Schalke 04,1-0,VfL Wolfsburg
1,Sat Aug 10 2002,1. FC Nürnberg,1-3,VfL Bochum
1,Sun Aug 11 2002,Arminia Bielefeld,3-0,Werder Bremen
1,Sun Aug 11 2002,Hamburger SV,2-1,Hannover 96
1,Wed Aug 14 2002,TSV 1860 München,0-2,Hansa Rostock
2,Sat Aug 17 2002,Hannover 96,1-3,TSV 1860 München
2,Sat Aug 17 2002,VfL Bochum,5-0,Energie Cottbus
2,Sat Aug 17 2002,Bayern München,6-2,Arminia Bielefeld
2,Sat Aug 17 2002,Bayer 04 Leverkusen,1-1,Borussia Dortmund
2,Sat Aug 17 2002,Hertha BSC,1-1,VfB Stuttgart
2,Sat Aug 17 2002,1. FC Kaiserslautern,1-3,FC Schalke 04
2,Sat Aug 17 2002,Hansa Rostock,2-0,1. FC Nürnberg
2,Sun Aug 18 2002,Werder Bremen,2-1,Hamburger SV
2,Sun Aug 18 2002,VfL Wolfsburg,1-0,Bor. Mönchengladbach
3,Sat Aug 24 2002,Borussia Dortmund,3-1,VfB Stuttgart
3,Sat Aug 24 2002,Energie Cottbus,0-4,Hansa Rostock
3,Sat Aug 24 2002,Arminia Bielefeld,1-0,VfL Wolfsburg
3,Sat Aug 24 2002,TSV 1860 München,3-0,Werder Bremen
3,Sat Aug 24 2002,Bayer 04 Leverkusen,2-4,VfL Bochum
3,Sat Aug 24 2002,Bor. Mönchengladbach,3-0,1. FC Kaiserslautern
3,Sat Aug 24 2002,Hamburger SV,0-3,Bayern München
3,Sun Aug 25 2002,1. FC Nürnberg,3-1,Hannover 96
3,Sun Aug 25 2002,FC Schalke 04,0-0,Hertha BSC
4,Tue Sep 10 2002,Bayern München,3-1,TSV 1860 München
4,Tue Sep 10 2002,VfL Bochum,0-0,Borussia Dortmund
4,Tue Sep 10 2002,Hertha BSC,1-2,Bor. Mönchengladbach
4,Tue Sep 10 2002,Werder Bremen,4-1,1. FC Nürnberg
4,Wed Sep 11 2002,Hannover 96,1-3,Energie Cottbus
4,Wed Sep 11 2002,Hansa Rostock,1-3,Bayer 04 Leverkusen
4,Wed Sep 11 2002,VfL Wolfsburg,2-1,Hamburger SV
4,Wed Sep 11 2002,VfB Stuttgart,1-1,FC Schalke 04
4,Wed Sep 11 2002,1. FC Kaiserslautern,1-1,Arminia Bielefeld
5,Sat Sep 14 2002,Arminia Bielefeld,0-1,Hertha BSC
5,Sat Sep 14 2002,Energie Cottbus,0-1,Werder Bremen
5,Sat Sep 14 2002,Borussia Dortmund,1-1,FC Schalke 04
5,Sat Sep 14 2002,Bayer 04 Leverkusen,1-3,Hannover 96
5,Sat Sep 14 2002,1. FC Nürnberg,1-2,Bayern München
5,Sat Sep 14 2002,TSV 1860 München,2-2,VfL Wolfsburg
5,Sat Sep 14 2002,Bor. Mönchengladbach,1-1,VfB Stuttgart
5,Sun Sep 15 2002,VfL Bochum,0-1,Hansa Rostock
5,Sun Sep 15 2002,Hamburger SV,2-0,1. FC Kaiserslautern
6,Sat Sep 21 2002,Hansa Rostock,0-1,Borussia Dortmund
6,Sat Sep 21 2002,Hannover 96,2-2,VfL Bochum
6,Sat Sep 21 2002,Bayern München,3-1,Energie Cottbus
6,Sat Sep 21 2002,VfL Wolfsburg,0-2,1. FC Nürnberg
6,Sat Sep 21 2002,1. FC Kaiserslautern,0-0,TSV 1860 München
6,Sat Sep 21 2002,Werder Bremen,3-2,Bayer 04 Leverkusen
6,Sat Sep 21 2002,Hertha BSC,2-0,Hamburger SV
6,Sun Sep 22 2002,VfB Stuttgart,3-0,Arminia Bielefeld
6,Sun Sep 22 2002,FC Schalke 04,2-1,Bor. Mönchengladbach
7,Sat Sep 28 2002,Arminia Bielefeld,2-1,FC Schalke 04
7,Sat Sep 28 2002,Energie Cottbus,0-1,VfL Wolfsburg
7,Sat Sep 28 2002,Borussia Dortmund,1-0,Bor. Mönchengladbach
7,Sat Sep 28 2002,Hamburger SV,3-2,VfB Stuttgart
7,Sat Sep 28 2002,TSV 1860 München,1-0,Hertha BSC
7,Sat Sep 28 2002,Bayer 04 Leverkusen,2-1,Bayern München
7,Sat Sep 28 2002,Hansa Rostock,1-2,Hannover 96
7,Sun Sep 29 2002,1. FC Nürnberg,1-0,1. FC Kaiserslautern
7,Sun Sep 29 2002,VfL Bochum,1-4,Werder Bremen
