Round,Date,Team 1,Team 2,FT,HT
1,1982-08-20,Borussia Dortmund,VfB Stuttgart,1-1,1-0
1,1982-08-20,1. FC Kaiserslautern,Hertha BSC,2-2,1-0
1,1982-08-21,Bayer Leverkusen,Arminia Bielefeld,0-1,0-1
1,1982-08-21,Karlsruher SC,Eintracht Frankfurt,1-0,1-0
1,1982-08-21,Fortuna Düsseldorf,VfL Bochum,2-0,1-0
1,1982-08-21,Werder Bremen,Bayern München,1-0,1-0
1,1982-08-21,1. FC Nürnberg,Hamburger SV,2-2,1-2
1,1982-08-21,FC Schalke 04,Bor. Mönchengladbach,2-4,0-1
1,1982-08-21,Eintracht Braunschweig,1. FC Köln,2-2,0-0
2,1982-08-17,Hertha BSC,Borussia Dortmund,1-3,0-2
2,1982-08-24,VfB Stuttgart,FC Schalke 04,2-1,2-0
2,1982-08-24,Bayern München,Fortuna Düsseldorf,1-0,0-0
2,1982-08-24,VfL Bochum,Karlsruher SC,0-1,0-0
2,1982-08-24,Eintracht Frankfurt,Bayer Leverkusen,5-0,1-0
2,1982-08-25,Bor. Mönchengladbach,1. FC Nürnberg,1-2,1-1
2,1982-08-25,Hamburger SV,Werder Bremen,1-1,1-1
2,1982-08-25,Arminia Bielefeld,Eintracht Braunschweig,2-0,1-0
2,1982-09-07,1. FC Köln,1. FC Kaiserslautern,3-0,2-0
3,1982-08-31,Werder Bremen,Bor. Mönchengladbach,2-0,1-0
3,1982-08-31,FC Schalke 04,Hertha BSC,2-0,1-0
3,1982-09-01,Bayer Leverkusen,VfL Bochum,1-0,1-0
3,1982-09-01,Borussia Dortmund,1. FC Köln,2-0,1-0
3,1982-09-01,Arminia Bielefeld,Eintracht Frankfurt,2-1,1-0
3,1982-09-01,Karlsruher SC,Bayern München,0-4,0-2
3,1982-09-01,1. FC Nürnberg,VfB Stuttgart,0-5,0-4
3,1982-09-07,Fortuna Düsseldorf,Hamburger SV,0-6,0-3
3,1982-11-09,Eintracht Braunschweig,1. FC Kaiserslautern,1-1,1-0
4,1982-09-04,1. FC Köln,FC Schalke 04,2-1,2-1
4,1982-09-04,VfB Stuttgart,Werder Bremen,4-1,2-0
4,1982-09-04,Bor. Mönchengladbach,Fortuna Düsseldorf,5-0,2-0
4,1982-09-04,Hamburger SV,Karlsruher SC,4-0,3-0
4,1982-09-04,Bayern München,Bayer Leverkusen,5-0,3-0
4,1982-09-04,VfL Bochum,Arminia Bielefeld,1-1,1-0
4,1982-09-04,Eintracht Frankfurt,Eintracht Braunschweig,0-1,0-0
4,1982-09-04,1. FC Kaiserslautern,Borussia Dortmund,0-2,0-1
4,1982-09-04,Hertha BSC,1. FC Nürnberg,5-1,2-1
5,1982-09-10,Bayer Leverkusen,Hamburger SV,0-1,0-0
5,1982-09-10,Karlsruher SC,Bor. Mönchengladbach,2-0,2-0
