Round,Date,Team 1,FT,Team 2
1,Fri Jul 27 2018,Eintracht Braunschweig,1-1,Karlsruher SC
1,Sat Jul 28 2018,FSV Zwickau,2-0,Hallescher FC
1,Sat Jul 28 2018,FC Carl Zeiss Jena,3-2,SG Großaspach
1,Sat Jul 28 2018,1. FC Kaiserslautern,1-0,TSV 1860 München
1,Sat Jul 28 2018,VfL Osnabrück,2-1,Würzburger Kickers
1,Sat Jul 28 2018,Fortuna Köln,1-4,Preußen Münster
1,Sat Jul 28 2018,VfR Aalen,1-2,SV Wehen Wiesbaden
1,Sun Jul 29 2018,Energie Cottbus,3-0,Hansa Rostock
1,Sun Jul 29 2018,KFC Uerdingen,1-3,SpVgg Unterhaching
1,Mon Jul 30 2018,SF Lotte,0-0,SV Meppen
2,Fri Aug 3 2018,Hansa Rostock,2-0,Eintracht Braunschweig
2,Sat Aug 4 2018,TSV 1860 München,5-1,SF Lotte
2,Sat Aug 4 2018,Würzburger Kickers,0-2,KFC Uerdingen
2,Sat Aug 4 2018,SG Großaspach,1-1,1. FC Kaiserslautern
2,Sat Aug 4 2018,Preußen Münster,1-2,FC Carl Zeiss Jena
2,Sat Aug 4 2018,SpVgg Unterhaching,0-0,VfR Aalen
2,Sat Aug 4 2018,Karlsruher SC,1-1,FSV Zwickau
2,Sat Aug 4 2018,Hallescher FC,1-2,Fortuna Köln
2,Sun Aug 5 2018,SV Wehen Wiesbaden,0-2,Energie Cottbus
2,Sun Aug 5 2018,SV Meppen,0-2,VfL Osnabrück
3,Tue Aug 7 2018,Fortuna Köln,0-1,Karlsruher SC
3,Tue Aug 7 2018,VfR Aalen,3-2,Würzburger Kickers
3,Tue Aug 7 2018,FC Carl Zeiss Jena,0-3,Hallescher FC
3,Tue Aug 7 2018,Eintracht Braunschweig,1-1,FSV Zwickau
3,Tue Aug 7 2018,1. FC Kaiserslautern,1-2,Preußen Münster
3,Wed Aug 8 2018,KFC Uerdingen,3-2,SV Meppen
3,Wed Aug 8 2018,Energie Cottbus,2-2,SpVgg Unterhaching
3,Wed Aug 8 2018,Hansa Rostock,3-2,SV Wehen Wiesbaden
3,Wed Aug 8 2018,SF Lotte,0-2,SG Großaspach
3,Wed Aug 8 2018,VfL Osnabrück,2-2,TSV 1860 München
4,Fri Aug 10 2018,Karlsruher SC,1-1,FC Carl Zeiss Jena
4,Sat Aug 11 2018,FSV Zwickau,1-0,Fortuna Köln
4,Sat Aug 11 2018,SG Großaspach,0-0,VfL Osnabrück
4,Sat Aug 11 2018,Hallescher FC,2-0,1. FC Kaiserslautern
4,Sat Aug 11 2018,SV Wehen Wiesbaden,3-3,Eintracht Braunschweig
4,Sat Aug 11 2018,SV Meppen,1-0,VfR Aalen
4,Sat Aug 11 2018,SpVgg Unterhaching,2-1,Hansa Rostock
4,Sun Aug 12 2018,TSV 1860 München,0-1,KFC Uerdingen
4,Sun Aug 12 2018,Würzburger Kickers,3-1,Energie Cottbus
4,Mon Aug 13 2018,Preußen Münster,1-0,SF Lotte
5,Fri Aug 24 2018,KFC Uerdingen,0-0,SG Großaspach
5,Sat Aug 25 2018,VfR Aalen,1-4,TSV 1860 München
5,Sat Aug 25 2018,Hansa Rostock,0-4,Würzburger Kickers
5,Sat Aug 25 2018,Energie Cottbus,1-1,SV Meppen
5,Sat Aug 25 2018,SV Wehen Wiesbaden,1-2,SpVgg Unterhaching
5,Sat Aug 25 2018,1. FC Kaiserslautern,0-0,Karlsruher SC
5,Sat Aug 25 2018,VfL Osnabrück,3-0,Preußen Münster
5,Sun Aug 26 2018,SF Lotte,0-1,Hallescher FC
5,Sun Aug 26 2018,Eintracht Braunschweig,0-2,Fortuna Köln
5,Mon Aug 27 2018,FC Carl Zeiss Jena,2-1,FSV Zwickau
6,Fri Aug 31 2018,TSV 1860 München,2-0,Energie Cottbus
6,Sat Sep 1 2018,Preußen Münster,0-1,KFC Uerdingen
6,Sat Sep 1 2018,SpVgg Unterhaching,3-0,Eintracht Braunschweig
6,Sat Sep 1 2018,Hallescher FC,1-1,VfL Osnabrück
6,Sat Sep 1 2018,SV Meppen,1-3,Hansa Rostock
6,Sat Sep 1 2018,Würzburger Kickers,3-1,SV Wehen Wiesbaden
6,Sat Sep 1 2018,Karlsruher SC,1-3,SF Lotte
6,Sun Sep 2 2018,FSV Zwickau,1-1,1. FC Kaiserslautern
6,Sun Sep 2 2018,Fortuna Köln,2-0,FC Carl Zeiss Jena
6,Mon Sep 3 2018,SG Großaspach,1-1,VfR Aalen
7,Fri Sep 14 2018,Eintracht Braunschweig,2-0,FC Carl Zeiss Jena
7,Sat Sep 15 2018,Hansa Rostock,2-2,TSV 1860 München
7,Sat Sep 15 2018,Energie Cottbus,0-0,SG Großaspach
7,Sat Sep 15 2018,VfR Aalen,4-1,Preußen Münster
7,Sat Sep 15 2018,VfL Osnabrück,0-1,Karlsruher SC
7,Sat Sep 15 2018,KFC Uerdingen,2-1,Hallescher FC
7,Sat Sep 15 2018,SV Wehen Wiesbaden,3-0,SV Meppen
7,Sun Sep 16 2018,SF Lotte,2-1,FSV Zwickau
7,Sun Sep 16 2018,SpVgg Unterhaching,0-1,Würzburger Kickers
7,Mon Sep 17 2018,1. FC Kaiserslautern,3-3,Fortuna Köln
8,Fri Sep 21 2018,Preußen Münster,3-0,Energie Cottbus
