Round,Date,Team 1,FT,Team 2
1,Fri Aug 3 2018,Hamburger SV,0-3,Holstein Kiel
1,Sat Aug 4 2018,VfL Bochum,0-2,1. FC Köln
1,Sat Aug 4 2018,SSV Jahn Regensburg,2-1,FC Ingolstadt 04
1,Sat Aug 4 2018,SpVgg Greuther Fürth,3-1,SV Sandhausen
1,Sun Aug 5 2018,1. FC Magdeburg,1-2,FC St. Pauli
1,Sun Aug 5 2018,1. FC Union Berlin,1-0,FC Erzgebirge Aue
1,Sun Aug 5 2018,1. FC Heidenheim,1-1,Arminia Bielefeld
1,Sun Aug 5 2018,SV Darmstadt 98,1-0,SC Paderborn 07
1,Mon Aug 6 2018,Dynamo Dresden,1-0,MSV Duisburg
2,Fri Aug 10 2018,FC Ingolstadt 04,1-1,SpVgg Greuther Fürth
2,Fri Aug 10 2018,SC Paderborn 07,2-0,SSV Jahn Regensburg
2,Fri Aug 10 2018,FC St. Pauli,2-0,SV Darmstadt 98
2,Sat Aug 11 2018,MSV Duisburg,0-2,VfL Bochum
2,Sat Aug 11 2018,Arminia Bielefeld,2-1,Dynamo Dresden
2,Sun Aug 12 2018,SV Sandhausen,0-3,Hamburger SV
2,Sun Aug 12 2018,FC Erzgebirge Aue,0-0,1. FC Magdeburg
2,Sun Aug 12 2018,Holstein Kiel,1-1,1. FC Heidenheim
2,Mon Aug 13 2018,1. FC Köln,1-1,1. FC Union Berlin
3,Fri Aug 24 2018,SV Darmstadt 98,3-0,MSV Duisburg
3,Fri Aug 24 2018,VfL Bochum,1-0,SV Sandhausen
3,Sat Aug 25 2018,1. FC Köln,3-1,FC Erzgebirge Aue
3,Sat Aug 25 2018,SpVgg Greuther Fürth,2-2,SC Paderborn 07
3,Sat Aug 25 2018,1. FC Magdeburg,1-1,FC Ingolstadt 04
3,Sun Aug 26 2018,1. FC Union Berlin,4-1,FC St. Pauli
3,Sun Aug 26 2018,SSV Jahn Regensburg,0-0,Holstein Kiel
3,Sun Aug 26 2018,Dynamo Dresden,1-3,1. FC Heidenheim
3,Mon Aug 27 2018,Hamburger SV,3-0,Arminia Bielefeld
4,Fri Aug 31 2018,SC Paderborn 07,2-2,VfL Bochum
4,Fri Aug 31 2018,FC Ingolstadt 04,3-2,FC Erzgebirge Aue
4,Sat Sep 1 2018,Arminia Bielefeld,5-3,SSV Jahn Regensburg
4,Sat Sep 1 2018,MSV Duisburg,0-1,SpVgg Greuther Fürth
4,Sun Sep 2 2018,1. FC Heidenheim,0-1,SV Darmstadt 98
4,Sun Sep 2 2018,FC St. Pauli,3-5,1. FC Köln
4,Sun Sep 2 2018,SV Sandhausen,0-0,1. FC Union Berlin
4,Mon Sep 3 2018,Holstein Kiel,2-1,1. FC Magdeburg
5,Fri Sep 14 2018,1. FC Union Berlin,2-2,MSV Duisburg
5,Fri Sep 14 2018,SSV Jahn Regensburg,0-2,Dynamo Dresden
5,Sat Sep 15 2018,SV Darmstadt 98,1-1,SV Sandhausen
5,Sat Sep 15 2018,Hamburger SV,3-2,1. FC Heidenheim
5,Sat Sep 15 2018,SpVgg Greuther Fürth,4-1,Holstein Kiel
5,Sun Sep 16 2018,1. FC Köln,3-5,SC Paderborn 07
5,Sun Sep 16 2018,VfL Bochum,6-0,FC Ingolstadt 04
5,Sun Sep 16 2018,FC Erzgebirge Aue,3-1,FC St. Pauli
5,Mon Sep 17 2018,1. FC Magdeburg,0-0,Arminia Bielefeld
4,Tue Sep 18 2018,Dynamo Dresden,0-1,Hamburger SV
6,Fri Sep 21 2018,SV Sandhausen,0-2,1. FC Köln
6,Fri Sep 21 2018,FC Ingolstadt 04,0-1,FC St. Pauli
6,Sat Sep 22 2018,Holstein Kiel,2-2,VfL Bochum
6,Sat Sep 22 2018,Dynamo Dresden,4-1,SV Darmstadt 98
6,Sat Sep 22 2018,Arminia Bielefeld,1-1,1. FC Union Berlin
6,Sun Sep 23 2018,Hamburger SV,0-5,SSV Jahn Regensburg
6,Sun Sep 23 2018,MSV Duisburg,1-2,FC Erzgebirge Aue
6,Sun Sep 23 2018,1. FC Heidenheim,2-0,SpVgg Greuther Fürth
6,Sun Sep 23 2018,SC Paderborn 07,4-4,1. FC Magdeburg
7,Tue Sep 25 2018,SV Darmstadt 98,1-2,Arminia Bielefeld
7,Tue Sep 25 2018,1. FC Köln,2-1,FC Ingolstadt 04
7,Tue Sep 25 2018,1. FC Union Berlin,2-0,Holstein Kiel
7,Tue Sep 25 2018,VfL Bochum,0-1,Dynamo Dresden
7,Wed Sep 26 2018,SSV Jahn Regensburg,2-1,1. FC Heidenheim
