Date,Team 1,Team 2,FT,HT
2004-08-07,Dresden,Duisburg,3-1,0-0
2004-08-07,Essen,Erzgebirge Aue,1-5,0-4
2004-08-07,Karlsruhe,Burghausen,1-1,0-0
2004-08-08,FC Koln,Cottbus,0-0,0-0
2004-08-08,Greuther Furth,Ahlen,1-0,0-0
2004-08-08,Munich 1860,Unterhaching,2-2,2-1
2004-08-08,Oberhausen,Ein Trier,1-1,1-1
2004-08-08,Saarbrucken,Erfurt,0-2,0-1
2004-08-09,Aachen,Ein Frankfurt,1-1,0-0
2004-08-13,Burghausen,FC Koln,4-2,2-1
2004-08-13,Duisburg,Saarbrucken,2-1,1-0
2004-08-13,Erzgebirge Aue,Munich 1860,3-1,2-1
2004-08-15,Ahlen,Aachen,1-1,1-1
2004-08-15,Ein Frankfurt,Karlsruhe,2-1,0-0
2004-08-15,Ein Trier,Essen,1-1,0-1
2004-08-15,Erfurt,Oberhausen,1-1,1-0
2004-08-15,Unterhaching,Greuther Furth,1-2,1-1
2004-08-16,Cottbus,Dresden,2-1,1-1
2004-08-27,Aachen,Karlsruhe,4-0,2-0
2004-08-27,Essen,Erfurt,0-0,0-0
2004-08-27,Munich 1860,Ein Trier,2-0,1-0
2004-08-29,Ahlen,Unterhaching,1-2,0-1
2004-08-29,Dresden,Burghausen,1-1,0-1
2004-08-29,Greuther Furth,Erzgebirge Aue,1-0,1-0
2004-08-29,Oberhausen,Duisburg,0-2,0-1
2004-08-29,Saarbrucken,Cottbus,0-0,0-0
2004-08-30,FC Koln,Ein Frankfurt,2-0,1-0
2004-09-10,Burghausen,Saarbrucken,1-2,1-0
2004-09-10,Cottbus,Oberhausen,1-0,0-0
2004-09-10,Ein Frankfurt,Dresden,2-1,1-0
2004-09-12,Duisburg,Essen,1-0,0-0
2004-09-12,Ein Trier,Greuther Furth,0-0,0-0
2004-09-12,Erzgebirge Aue,Ahlen,0-0,0-0
2004-09-12,Karlsruhe,FC Koln,0-1,0-0
2004-09-12,Unterhaching,Aachen,0-2,0-0
2004-09-13,Erfurt,Munich 1860,0-0,0-0
2004-09-17,Ahlen,Ein Trier,2-2,1-0
2004-09-17,Dresden,Karlsruhe,1-2,0-1
2004-09-17,Munich 1860,Duisburg,1-0,0-0
2004-09-19,Aachen,FC Koln,2-3,1-0
2004-09-19,Essen,Cottbus,4-2,1-0
2004-09-19,Greuther Furth,Erfurt,2-0,2-0
2004-09-19,Oberhausen,Burghausen,1-2,1-0
2004-09-19,Saarbrucken,Ein Frankfurt,3-0,1-0
2004-09-19,Unterhaching,Erzgebirge Aue,4-1,2-0
2004-09-24,Burghausen,Essen,3-2,2-1
2004-09-24,Erfurt,Ahlen,1-1,0-0
2004-09-24,Karlsruhe,Saarbrucken,1-1,0-1
2004-09-26,Duisburg,Greuther Furth,1-0,1-0
2004-09-26,Ein Frankfurt,Oberhausen,6-2,1-1
2004-09-26,Ein Trier,Unterhaching,2-0,2-0
2004-09-26,Erzgebirge Aue,Aachen,1-1,0-0
2004-09-26,FC Koln,Dresden,3-2,0-2
2004-09-27,Cottbus,Munich 1860,1-1,0-1
2004-10-01,Ahlen,Duisburg,2-0,1-0
2004-10-01,Essen,Ein Frankfurt,4-4,2-2
2004-10-01,Unterhaching,Erfurt,4-0,2-0
2004-10-03,Erzgebirge Aue,Ein Trier,1-2,0-0
2004-10-03,Greuther Furth,Cottbus,2-0,1-0
2004-10-03,Munich 1860,Burghausen,2-4,1-1
2004-10-03,Oberhausen,Karlsruhe,1-0,1-0
2004-10-03,Saarbrucken,FC Koln,2-0,1-0
2004-10-04,Aachen,Dresden,5-1,2-0
2004-10-15,Duisburg,Unterhaching,3-1,1-0
2004-10-15,Erfurt,Erzgebirge Aue,0-3,0-2
2004-10-15,Karlsruhe,Essen,4-1,2-1
2004-10-17,Burghausen,Greuther Furth,0-1,0-1
2004-10-17,Cottbus,Ahlen,0-0,0-0
2004-10-17,Dresden,Saarbrucken,2-1,2-1
2004-10-17,Ein Trier,Aachen,0-4,0-2
2004-10-17,FC Koln,Oberhausen,3-2,1-2
2004-10-18,Ein Frankfurt,Munich 1860,1-2,0-2
2004-10-22,Essen,FC Koln,2-2,1-0
2004-10-22,Greuther Furth,Ein Frankfurt,2-1,1-1
2004-10-22,Munich 1860,Karlsruhe,1-1,0-1
2004-10-22,Unterhaching,Cottbus,2-1,0-1
2004-10-24,Aachen,Saarbrucken,3-1,2-0
2004-10-24,Ein Trier,Erfurt,2-0,0-0
2004-10-24,Erzgebirge Aue,Duisburg,1-3,0-0
2004-10-24,Oberhausen,Dresden,2-0,1-0
2004-10-26,Burghausen,Unterhaching,2-0,1-0
2004-10-26,Ein Frankfurt,Ahlen,2-3,2-2
2004-10-26,FC Koln,Munich 1860,2-0,2-0
2004-10-26,Karlsruhe,Greuther Furth,2-2,0-1
2004-10-27,Dresden,Essen,1-0,1-0
2004-10-27,Duisburg,Ein Trier,4-3,3-3
2004-10-27,Erfurt,Aachen,1-0,0-0
2004-10-27,Saarbrucken,Oberhausen,3-0,2-0
2004-10-28,Cottbus,Erzgebirge Aue,1-0,0-0
2004-10-29,Ahlen,Karlsruhe,2-2,1-2
2004-10-29,Greuther Furth,FC Koln,0-1,0-0
2004-10-29,Unterhaching,Ein Frankfurt,2-0,1-0
2004-10-31,Aachen,Oberhausen,2-1,2-0
2004-10-31,Ein Trier,Cottbus,2-1,1-1
2004-10-31,Erfurt,Duisburg,0-0,0-0
2004-10-31,Erzgebirge Aue,Burghausen,2-0,0-0
2004-10-31,Essen,Saarbrucken,2-0,1-0
2004-11-01,Munich 1860,Dresden,2-0,0-0
2004-11-05,Burghausen,Ein Trier,0-0,0-0
2004-11-05,Ein Frankfurt,Erzgebirge Aue,2-0,1-0
2004-11-05,Karlsruhe,Unterhaching,1-0,1-0
2004-11-07,Cottbus,Erfurt,3-0,1-0
2004-11-07,Dresden,Greuther Furth,2-2,0-1
2004-11-07,FC Koln,Ahlen,3-0,2-0
2004-11-07,Oberhausen,Essen,1-1,0-0
2004-11-07,Saarbrucken,Munich 1860,4-1,2-1
2004-11-08,Duisburg,Aachen,1-0,1-0
2004-11-12,Erfurt,Burghausen,1-0,0-0
2004-11-12,Greuther Furth,Saarbrucken,2-0,1-0
2004-11-12,Munich 1860,Oberhausen,5-1,3-0
2004-11-14,Aachen,Essen,1-1,1-0
2004-11-14,Ahlen,Dresden,2-0,1-0
2004-11-14,Duisburg,Cottbus,2-0,1-0
2004-11-14,Ein Trier,Ein Frankfurt,2-2,1-2
2004-11-14,Erzgebirge Aue,Karlsruhe,1-0,0-0
2004-11-15,Unterhaching,FC Koln,1-3,1-0
2004-11-19,Ein Frankfurt,Erfurt,2-1,2-0
2004-11-19,FC Koln,Erzgebirge Aue,1-0,0-0
2004-11-19,Oberhausen,Greuther Furth,1-0,0-0
2004-11-19,Saarbrucken,Ahlen,0-0,0-0
2004-11-21,Burghausen,Duisburg,0-0,0-0
