Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 15 2008,Bayern München,2-2,Hamburger SV
1,Sat Aug 16 2008,Arminia Bielefeld,2-2,Werder Bremen
1,Sat Aug 16 2008,Energie Cottbus,0-3,TSG 1899 Hoffenheim
1,Sat Aug 16 2008,Karlsruher SC,1-0,VfL Bochum
1,Sat Aug 16 2008,VfL Wolfsburg,2-1,1. FC Köln
1,Sat Aug 16 2008,FC Schalke 04,3-0,Hannover 96
1,Sat Aug 16 2008,Bayer 04 Leverkusen,2-3,Borussia Dortmund
1,Sun Aug 17 2008,Bor. Mönchengladbach,1-3,VfB Stuttgart
1,Sun Aug 17 2008,Eintracht Frankfurt,0-2,Hertha BSC
2,Fri Aug 22 2008,Hannover 96,0-0,Energie Cottbus
2,Sat Aug 23 2008,Werder Bremen,1-1,FC Schalke 04
2,Sat Aug 23 2008,Hamburger SV,2-1,Karlsruher SC
2,Sat Aug 23 2008,Borussia Dortmund,1-1,Bayern München
2,Sat Aug 23 2008,TSG 1899 Hoffenheim,1-0,Bor. Mönchengladbach
2,Sat Aug 23 2008,VfB Stuttgart,0-2,Bayer 04 Leverkusen
2,Sat Aug 23 2008,Hertha BSC,1-1,Arminia Bielefeld
2,Sun Aug 24 2008,VfL Bochum,2-2,VfL Wolfsburg
2,Sun Aug 24 2008,1. FC Köln,1-1,Eintracht Frankfurt
3,Fri Aug 29 2008,Karlsruher SC,0-2,1. FC Köln
3,Sat Aug 30 2008,VfL Wolfsburg,2-2,Eintracht Frankfurt
3,Sat Aug 30 2008,Arminia Bielefeld,2-4,Hamburger SV
3,Sat Aug 30 2008,Bayer 04 Leverkusen,5-2,TSG 1899 Hoffenheim
3,Sat Aug 30 2008,Bor. Mönchengladbach,3-2,Werder Bremen
3,Sat Aug 30 2008,FC Schalke 04,1-0,VfL Bochum
3,Sat Aug 30 2008,Energie Cottbus,0-1,Borussia Dortmund
3,Sun Aug 31 2008,Bayern München,4-1,Hertha BSC
3,Sun Aug 31 2008,VfB Stuttgart,2-0,Hannover 96
4,Sat Sep 13 2008,1. FC Köln,0-3,Bayern München
4,Sat Sep 13 2008,Borussia Dortmund,3-3,FC Schalke 04
4,Sat Sep 13 2008,Hamburger SV,3-2,Bayer 04 Leverkusen
4,Sat Sep 13 2008,Hertha BSC,2-2,VfL Wolfsburg
4,Sat Sep 13 2008,TSG 1899 Hoffenheim,0-0,VfB Stuttgart
4,Sat Sep 13 2008,Werder Bremen,3-0,Energie Cottbus
4,Sun Sep 14 2008,VfL Bochum,2-0,Arminia Bielefeld
4,Sun Sep 14 2008,Hannover 96,5-1,Bor. Mönchengladbach
5,Fri Sep 19 2008,Bayer 04 Leverkusen,4-0,Hannover 96
5,Sat Sep 20 2008,FC Schalke 04,1-0,Eintracht Frankfurt
5,Sat Sep 20 2008,Bayern München,2-5,Werder Bremen
5,Sat Sep 20 2008,Bor. Mönchengladbach,0-1,Hertha BSC
5,Sat Sep 20 2008,Energie Cottbus,1-1,VfL Bochum
5,Sat Sep 20 2008,Arminia Bielefeld,2-0,1. FC Köln
5,Sun Sep 21 2008,VfL Wolfsburg,3-0,Hamburger SV
5,Sun Sep 21 2008,TSG 1899 Hoffenheim,4-1,Borussia Dortmund
5,Sun Sep 21 2008,VfB Stuttgart,3-1,Karlsruher SC
6,Fri Sep 26 2008,1. FC Köln,1-0,FC Schalke 04
6,Sat Sep 27 2008,Hannover 96,1-0,Bayern München
6,Sat Sep 27 2008,VfL Bochum,2-3,Bayer 04 Leverkusen
6,Sat Sep 27 2008,Hertha BSC,0-1,Energie Cottbus
6,Sat Sep 27 2008,Hamburger SV,1-0,Bor. Mönchengladbach
6,Sat Sep 27 2008,Werder Bremen,5-4,TSG 1899 Hoffenheim
6,Sat Sep 27 2008,Borussia Dortmund,3-0,VfB Stuttgart
6,Sun Sep 28 2008,Karlsruher SC,2-1,VfL Wolfsburg
6,Sun Sep 28 2008,Eintracht Frankfurt,1-1,Arminia Bielefeld
7,Fri Oct 3 2008,Arminia Bielefeld,1-2,Karlsruher SC
7,Sat Oct 4 2008,VfB Stuttgart,4-1,Werder Bremen
7,Sat Oct 4 2008,Bayern München,3-3,VfL Bochum
7,Sat Oct 4 2008,Bor. Mönchengladbach,1-2,1. FC Köln
7,Sat Oct 4 2008,Bayer 04 Leverkusen,0-1,Hertha BSC
7,Sat Oct 4 2008,TSG 1899 Hoffenheim,2-1,Eintracht Frankfurt
7,Sun Oct 5 2008,Energie Cottbus,1-2,Hamburger SV
7,Sun Oct 5 2008,FC Schalke 04,2-2,VfL Wolfsburg
7,Sun Oct 5 2008,Borussia Dortmund,1-1,Hannover 96
8,Fri Oct 17 2008,VfL Bochum,2-2,Bor. Mönchengladbach
8,Sat Oct 18 2008,Eintracht Frankfurt,0-2,Bayer 04 Leverkusen
8,Sat Oct 18 2008,VfL Wolfsburg,4-1,Arminia Bielefeld
8,Sat Oct 18 2008,Werder Bremen,3-3,Borussia Dortmund
8,Sat Oct 18 2008,Hannover 96,2-5,TSG 1899 Hoffenheim
8,Sat Oct 18 2008,Hertha BSC,2-1,VfB Stuttgart
8,Sat Oct 18 2008,Karlsruher SC,0-1,Bayern München
8,Sat Oct 18 2008,1. FC Köln,1-0,Energie Cottbus
8,Sun Oct 19 2008,Hamburger SV,1-1,FC Schalke 04
4,Wed Oct 22 2008,Eintracht Frankfurt,2-1,Karlsruher SC
9,Fri Oct 24 2008,Bayer 04 Leverkusen,2-0,1. FC Köln
9,Sat Oct 25 2008,Energie Cottbus,2-3,Eintracht Frankfurt
9,Sat Oct 25 2008,Bayern München,4-2,VfL Wolfsburg
9,Sat Oct 25 2008,Hannover 96,1-1,Werder Bremen
9,Sat Oct 25 2008,FC Schalke 04,0-0,Arminia Bielefeld
9,Sat Oct 25 2008,Bor. Mönchengladbach,1-0,Karlsruher SC
9,Sun Oct 26 2008,Borussia Dortmund,1-1,Hertha BSC
9,Sun Oct 26 2008,TSG 1899 Hoffenheim,3-0,Hamburger SV
9,Sun Oct 26 2008,VfB Stuttgart,2-0,VfL Bochum
10,Tue Oct 28 2008,Arminia Bielefeld,1-1,Energie Cottbus
10,Tue Oct 28 2008,Karlsruher SC,0-3,FC Schalke 04
10,Tue Oct 28 2008,VfL Wolfsburg,3-0,Bor. Mönchengladbach
10,Tue Oct 28 2008,Werder Bremen,0-2,Bayer 04 Leverkusen
10,Wed Oct 29 2008,VfL Bochum,1-3,TSG 1899 Hoffenheim
10,Wed Oct 29 2008,Eintracht Frankfurt,1-2,Bayern München
10,Wed Oct 29 2008,Hertha BSC,3-0,Hannover 96
10,Wed Oct 29 2008,Hamburger SV,2-0,VfB Stuttgart
10,Wed Oct 29 2008,1. FC Köln,0-1,Borussia Dortmund
11,Fri Oct 31 2008,Bayer 04 Leverkusen,2-0,VfL Wolfsburg
11,Sat Nov 1 2008,Hannover 96,3-0,Hamburger SV
11,Sat Nov 1 2008,Energie Cottbus,0-2,FC Schalke 04
11,Sat Nov 1 2008,Bayern München,3-1,Arminia Bielefeld
11,Sat Nov 1 2008,TSG 1899 Hoffenheim,4-1,Karlsruher SC
11,Sat Nov 1 2008,VfB Stuttgart,1-3,1. FC Köln
11,Sat Nov 1 2008,Werder Bremen,5-1,Hertha BSC
11,Sun Nov 2 2008,Borussia Dortmund,1-1,VfL Bochum
11,Sun Nov 2 2008,Bor. Mönchengladbach,1-2,Eintracht Frankfurt
12,Fri Nov 7 2008,1. FC Köln,2-1,Hannover 96
12,Sat Nov 8 2008,Arminia Bielefeld,0-2,Bor. Mönchengladbach
12,Sat Nov 8 2008,VfL Bochum,0-0,Werder Bremen
12,Sat Nov 8 2008,VfL Wolfsburg,3-0,Energie Cottbus
12,Sat Nov 8 2008,Karlsruher SC,3-3,Bayer 04 Leverkusen
12,Sat Nov 8 2008,Hamburger SV,2-1,Borussia Dortmund
12,Sun Nov 9 2008,Eintracht Frankfurt,2-2,VfB Stuttgart
12,Sun Nov 9 2008,FC Schalke 04,1-2,Bayern München
12,Sun Nov 9 2008,Hertha BSC,1-0,TSG 1899 Hoffenheim
13,Fri Nov 14 2008,Hannover 96,1-1,VfL Bochum
13,Sat Nov 15 2008,Hertha BSC,2-1,Hamburger SV
13,Sat Nov 15 2008,Borussia Dortmund,4-0,Eintracht Frankfurt
13,Sat Nov 15 2008,Energie Cottbus,1-0,Karlsruher SC
13,Sat Nov 15 2008,TSG 1899 Hoffenheim,3-2,VfL Wolfsburg
13,Sat Nov 15 2008,Bayer 04 Leverkusen,2-1,FC Schalke 04
13,Sat Nov 15 2008,Bor. Mönchengladbach,2-2,Bayern München
13,Sat Nov 15 2008,VfB Stuttgart,0-0,Arminia Bielefeld
13,Sun Nov 16 2008,Werder Bremen,3-1,1. FC Köln
14,Fri Nov 21 2008,Karlsruher SC,0-1,Borussia Dortmund
14,Sat Nov 22 2008,VfL Bochum,2-3,Hertha BSC
14,Sat Nov 22 2008,Arminia Bielefeld,2-1,Bayer 04 Leverkusen
14,Sat Nov 22 2008,Bayern München,4-1,Energie Cottbus
14,Sat Nov 22 2008,Eintracht Frankfurt,4-0,Hannover 96
14,Sat Nov 22 2008,1. FC Köln,1-3,TSG 1899 Hoffenheim
14,Sat Nov 22 2008,FC Schalke 04,3-1,Bor. Mönchengladbach
14,Sat Nov 22 2008,VfL Wolfsburg,4-1,VfB Stuttgart
14,Sun Nov 23 2008,Hamburger SV,2-1,Werder Bremen
15,Fri Nov 28 2008,Hertha BSC,2-1,1. FC Köln
15,Sat Nov 29 2008,Hannover 96,3-2,Karlsruher SC
15,Sat Nov 29 2008,TSG 1899 Hoffenheim,3-0,Arminia Bielefeld
15,Sat Nov 29 2008,Bayer 04 Leverkusen,0-2,Bayern München
15,Sat Nov 29 2008,Werder Bremen,5-0,Eintracht Frankfurt
15,Sat Nov 29 2008,Bor. Mönchengladbach,1-3,Energie Cottbus
15,Sun Nov 30 2008,VfL Bochum,1-1,Hamburger SV
15,Sun Nov 30 2008,Borussia Dortmund,0-0,VfL Wolfsburg
15,Sun Nov 30 2008,VfB Stuttgart,2-0,FC Schalke 04
16,Fri Dec 5 2008,Bayern München,2-1,TSG 1899 Hoffenheim
16,Sat Dec 6 2008,Arminia Bielefeld,0-0,Borussia Dortmund
16,Sat Dec 6 2008,Energie Cottbus,0-3,VfB Stuttgart
16,Sat Dec 6 2008,Eintracht Frankfurt,4-0,VfL Bochum
16,Sat Dec 6 2008,FC Schalke 04,1-0,Hertha BSC
16,Sat Dec 6 2008,Bor. Mönchengladbach,1-3,Bayer 04 Leverkusen
16,Sat Dec 6 2008,Karlsruher SC,1-0,Werder Bremen
16,Sun Dec 7 2008,1. FC Köln,1-2,Hamburger SV
16,Sun Dec 7 2008,VfL Wolfsburg,2-1,Hannover 96
17,Fri Dec 12 2008,Borussia Dortmund,2-1,Bor. Mönchengladbach
17,Sat Dec 13 2008,VfL Bochum,1-2,1. FC Köln
17,Sat Dec 13 2008,Hamburger SV,1-0,Eintracht Frankfurt
17,Sat Dec 13 2008,Hannover 96,1-1,Arminia Bielefeld
17,Sat Dec 13 2008,Hertha BSC,4-0,Karlsruher SC
17,Sat Dec 13 2008,Werder Bremen,2-1,VfL Wolfsburg
17,Sat Dec 13 2008,VfB Stuttgart,2-2,Bayern München
17,Sat Dec 13 2008,Bayer 04 Leverkusen,1-1,Energie Cottbus
17,Sun Dec 14 2008,TSG 1899 Hoffenheim,1-1,FC Schalke 04
18,Fri Jan 30 2009,Hamburger SV,1-0,Bayern München
18,Sat Jan 31 2009,Borussia Dortmund,1-1,Bayer 04 Leverkusen
18,Sat Jan 31 2009,1. FC Köln,1-1,VfL Wolfsburg
18,Sat Jan 31 2009,Hannover 96,1-0,FC Schalke 04
18,Sat Jan 31 2009,VfB Stuttgart,2-0,Bor. Mönchengladbach
18,Sat Jan 31 2009,TSG 1899 Hoffenheim,2-0,Energie Cottbus
18,Sat Jan 31 2009,Hertha BSC,2-1,Eintracht Frankfurt
18,Sun Feb 1 2009,VfL Bochum,2-0,Karlsruher SC
18,Sun Feb 1 2009,Werder Bremen,1-2,Arminia Bielefeld
19,Fri Feb 6 2009,Arminia Bielefeld,1-1,Hertha BSC
19,Sat Feb 7 2009,VfL Wolfsburg,2-0,VfL Bochum
19,Sat Feb 7 2009,Karlsruher SC,3-2,Hamburger SV
19,Sat Feb 7 2009,Eintracht Frankfurt,2-2,1. FC Köln
19,Sat Feb 7 2009,Bor. Mönchengladbach,1-1,TSG 1899 Hoffenheim
19,Sat Feb 7 2009,FC Schalke 04,1-0,Werder Bremen
19,Sat Feb 7 2009,Bayer 04 Leverkusen,2-4,VfB Stuttgart
19,Sun Feb 8 2009,Bayern München,3-1,Borussia Dortmund
19,Sun Feb 8 2009,Energie Cottbus,3-1,Hannover 96
20,Fri Feb 13 2009,TSG 1899 Hoffenheim,1-4,Bayer 04 Leverkusen
20,Sat Feb 14 2009,Eintracht Frankfurt,0-2,VfL Wolfsburg
20,Sat Feb 14 2009,VfL Bochum,2-1,FC Schalke 04
20,Sat Feb 14 2009,Werder Bremen,1-1,Bor. Mönchengladbach
20,Sat Feb 14 2009,Hannover 96,3-3,VfB Stuttgart
20,Sat Feb 14 2009,Hertha BSC,2-1,Bayern München
20,Sat Feb 14 2009,1. FC Köln,0-0,Karlsruher SC
20,Sun Feb 15 2009,Borussia Dortmund,1-1,Energie Cottbus
20,Sun Feb 15 2009,Hamburger SV,2-0,Arminia Bielefeld
21,Fri Feb 20 2009,FC Schalke 04,1-1,Borussia Dortmund
21,Sat Feb 21 2009,Arminia Bielefeld,1-1,VfL Bochum
21,Sat Feb 21 2009,Bayern München,1-2,1. FC Köln
21,Sat Feb 21 2009,Energie Cottbus,2-1,Werder Bremen
21,Sat Feb 21 2009,Karlsruher SC,0-1,Eintracht Frankfurt
21,Sat Feb 21 2009,Bor. Mönchengladbach,3-2,Hannover 96
21,Sat Feb 21 2009,VfL Wolfsburg,2-1,Hertha BSC
21,Sat Feb 21 2009,VfB Stuttgart,3-3,TSG 1899 Hoffenheim
21,Sun Feb 22 2009,Bayer 04 Leverkusen,1-2,Hamburger SV
22,Fri Feb 27 2009,1. FC Köln,1-1,Arminia Bielefeld
22,Sat Feb 28 2009,Borussia Dortmund,0-0,TSG 1899 Hoffenheim
22,Sat Feb 28 2009,VfL Bochum,3-2,Energie Cottbus
22,Sat Feb 28 2009,Hertha BSC,2-1,Bor. Mönchengladbach
22,Sat Feb 28 2009,Hannover 96,1-0,Bayer 04 Leverkusen
22,Sat Feb 28 2009,Eintracht Frankfurt,1-2,FC Schalke 04
22,Sun Mar 1 2009,Hamburger SV,1-3,VfL Wolfsburg
22,Sun Mar 1 2009,Karlsruher SC,0-2,VfB Stuttgart
22,Sun Mar 1 2009,Werder Bremen,0-0,Bayern München
23,Fri Mar 6 2009,FC Schalke 04,1-0,1. FC Köln
23,Sat Mar 7 2009,Bayern München,5-1,Hannover 96
23,Sat Mar 7 2009,Energie Cottbus,1-3,Hertha BSC
23,Sat Mar 7 2009,TSG 1899 Hoffenheim,0-0,Werder Bremen
23,Sat Mar 7 2009,Bor. Mönchengladbach,4-1,Hamburger SV
23,Sat Mar 7 2009,VfB Stuttgart,2-1,Borussia Dortmund
23,Sat Mar 7 2009,VfL Wolfsburg,1-0,Karlsruher SC
23,Sun Mar 8 2009,Arminia Bielefeld,0-0,Eintracht Frankfurt
23,Sun Mar 8 2009,Bayer 04 Leverkusen,1-1,VfL Bochum
24,Fri Mar 13 2009,VfL Wolfsburg,4-3,FC Schalke 04
24,Sat Mar 14 2009,Eintracht Frankfurt,1-1,TSG 1899 Hoffenheim
24,Sat Mar 14 2009,VfL Bochum,0-3,Bayern München
24,Sat Mar 14 2009,1. FC Köln,2-4,Bor. Mönchengladbach
24,Sat Mar 14 2009,Hannover 96,4-4,Borussia Dortmund
24,Sat Mar 14 2009,Karlsruher SC,0-1,Arminia Bielefeld
24,Sat Mar 14 2009,Hertha BSC,1-0,Bayer 04 Leverkusen
24,Sun Mar 15 2009,Hamburger SV,2-0,Energie Cottbus
24,Sun Mar 15 2009,Werder Bremen,4-0,VfB Stuttgart
25,Fri Mar 20 2009,Bor. Mönchengladbach,0-1,VfL Bochum
25,Sat Mar 21 2009,Arminia Bielefeld,0-3,VfL Wolfsburg
25,Sat Mar 21 2009,Bayern München,1-0,Karlsruher SC
25,Sat Mar 21 2009,Energie Cottbus,0-2,1. FC Köln
25,Sat Mar 21 2009,Borussia Dortmund,1-0,Werder Bremen
25,Sat Mar 21 2009,TSG 1899 Hoffenheim,2-2,Hannover 96
25,Sat Mar 21 2009,VfB Stuttgart,2-0,Hertha BSC
25,Sat Mar 21 2009,Bayer 04 Leverkusen,1-1,Eintracht Frankfurt
25,Sun Mar 22 2009,FC Schalke 04,1-2,Hamburger SV
26,Fri Apr 3 2009,Arminia Bielefeld,0-2,FC Schalke 04
26,Sat Apr 4 2009,Eintracht Frankfurt,2-1,Energie Cottbus
26,Sat Apr 4 2009,VfL Bochum,1-2,VfB Stuttgart
26,Sat Apr 4 2009,Hamburger SV,1-0,TSG 1899 Hoffenheim
26,Sat Apr 4 2009,Hertha BSC,1-3,Borussia Dortmund
26,Sat Apr 4 2009,VfL Wolfsburg,5-1,Bayern München
26,Sun Apr 5 2009,1. FC Köln,0-2,Bayer 04 Leverkusen
26,Sun Apr 5 2009,Karlsruher SC,0-0,Bor. Mönchengladbach
26,Sun Apr 5 2009,Werder Bremen,4-1,Hannover 96
27,Sat Apr 11 2009,Energie Cottbus,2-1,Arminia Bielefeld
