Round,Date,Team 1,Team 2,FT,HT
1,2008-08-15,Bayern München,Hamburger SV,2-2,2-1
1,2008-08-16,FC Schalke 04,Hannover 96,3-0,2-0
1,2008-08-16,VfL Wolfsburg,1. FC Köln,2-1,0-1
1,2008-08-16,Bayer Leverkusen,Borussia Dortmund,2-3,1-2
1,2008-08-16,Karlsruher SC,VfL Bochum,1-0,1-0
1,2008-08-16,Energie Cottbus,1899 Hoffenheim,0-3,0-1
1,2008-08-16,Arminia Bielefeld,Werder Bremen,2-2,0-0
1,2008-08-17,Eintracht Frankfurt,Hertha BSC,0-2,0-1
1,2008-08-17,Bor. Mönchengladbach,VfB Stuttgart,1-3,0-3
2,2008-08-22,Hannover 96,Energie Cottbus,0-0,0-0
2,2008-08-23,Werder Bremen,FC Schalke 04,1-1,0-0
2,2008-08-23,Hamburger SV,Karlsruher SC,2-1,1-0
2,2008-08-23,VfB Stuttgart,Bayer Leverkusen,0-2,0-1
2,2008-08-23,Hertha BSC,Arminia Bielefeld,1-1,1-1
2,2008-08-23,Borussia Dortmund,Bayern München,1-1,1-0
2,2008-08-23,1899 Hoffenheim,Bor. Mönchengladbach,1-0,1-0
2,2008-08-24,VfL Bochum,VfL Wolfsburg,2-2,1-0
2,2008-08-24,1. FC Köln,Eintracht Frankfurt,1-1,1-0
3,2008-08-29,Karlsruher SC,1. FC Köln,0-2,0-0
3,2008-08-30,FC Schalke 04,VfL Bochum,1-0,1-0
3,2008-08-30,VfL Wolfsburg,Eintracht Frankfurt,2-2,1-1
3,2008-08-30,Bayer Leverkusen,1899 Hoffenheim,5-2,3-1
3,2008-08-30,Energie Cottbus,Borussia Dortmund,0-1,0-1
3,2008-08-30,Arminia Bielefeld,Hamburger SV,2-4,2-1
3,2008-08-30,Bor. Mönchengladbach,Werder Bremen,3-2,2-0
3,2008-08-31,Bayern München,Hertha BSC,4-1,1-0
3,2008-08-31,VfB Stuttgart,Hannover 96,2-0,2-0
4,2008-09-13,Werder Bremen,Energie Cottbus,3-0,0-0
4,2008-09-13,Hamburger SV,Bayer Leverkusen,3-2,1-2
4,2008-09-13,Hertha BSC,VfL Wolfsburg,2-2,0-1
4,2008-09-13,Borussia Dortmund,FC Schalke 04,3-3,0-2
4,2008-09-13,1899 Hoffenheim,VfB Stuttgart,0-0,0-0
4,2008-09-13,1. FC Köln,Bayern München,0-3,0-0
4,2008-09-14,Hannover 96,Bor. Mönchengladbach,5-1,2-0
4,2008-09-14,VfL Bochum,Arminia Bielefeld,2-0,2-0
4,2008-10-22,Eintracht Frankfurt,Karlsruher SC,2-1,0-0
5,2008-09-19,Bayer Leverkusen,Hannover 96,4-0,2-0
5,2008-09-20,Bayern München,Werder Bremen,2-5,0-2
5,2008-09-20,FC Schalke 04,Eintracht Frankfurt,1-0,1-0
5,2008-09-20,Energie Cottbus,VfL Bochum,1-1,1-0
5,2008-09-20,Arminia Bielefeld,1. FC Köln,2-0,0-0
5,2008-09-20,Bor. Mönchengladbach,Hertha BSC,0-1,0-1
5,2008-09-21,VfL Wolfsburg,Hamburger SV,3-0,3-0
5,2008-09-21,VfB Stuttgart,Karlsruher SC,3-1,1-1
5,2008-09-21,1899 Hoffenheim,Borussia Dortmund,4-1,2-0
6,2008-09-26,1. FC Köln,FC Schalke 04,1-0,1-0
6,2008-09-27,Werder Bremen,1899 Hoffenheim,5-4,4-2
6,2008-09-27,Hamburger SV,Bor. Mönchengladbach,1-0,1-0
6,2008-09-27,Hannover 96,Bayern München,1-0,1-0
6,2008-09-27,Hertha BSC,Energie Cottbus,0-1,0-1
6,2008-09-27,VfL Bochum,Bayer Leverkusen,2-3,0-2
6,2008-09-27,Borussia Dortmund,VfB Stuttgart,3-0,2-0
6,2008-09-28,Eintracht Frankfurt,Arminia Bielefeld,1-1,0-1
6,2008-09-28,Karlsruher SC,VfL Wolfsburg,2-1,0-0
7,2008-10-03,Arminia Bielefeld,Karlsruher SC,1-2,0-1
7,2008-10-04,Bayern München,VfL Bochum,3-3,2-1
7,2008-10-04,VfB Stuttgart,Werder Bremen,4-1,2-0
7,2008-10-04,Bayer Leverkusen,Hertha BSC,0-1,0-0
7,2008-10-04,Bor. Mönchengladbach,1. FC Köln,1-2,1-1
7,2008-10-04,1899 Hoffenheim,Eintracht Frankfurt,2-1,0-0
7,2008-10-05,FC Schalke 04,VfL Wolfsburg,2-2,1-0
7,2008-10-05,Borussia Dortmund,Hannover 96,1-1,1-1
7,2008-10-05,Energie Cottbus,Hamburger SV,1-2,0-0
8,2008-10-17,VfL Bochum,Bor. Mönchengladbach,2-2,0-1
8,2008-10-18,Werder Bremen,Borussia Dortmund,3-3,0-0
8,2008-10-18,VfL Wolfsburg,Arminia Bielefeld,4-1,2-0
8,2008-10-18,Hannover 96,1899 Hoffenheim,2-5,0-1
8,2008-10-18,Eintracht Frankfurt,Bayer Leverkusen,0-2,0-1
8,2008-10-18,Hertha BSC,VfB Stuttgart,2-1,1-0
8,2008-10-18,Karlsruher SC,Bayern München,0-1,0-0
8,2008-10-18,1. FC Köln,Energie Cottbus,1-0,1-0
8,2008-10-19,Hamburger SV,FC Schalke 04,1-1,1-0
9,2008-10-24,Bayer Leverkusen,1. FC Köln,2-0,0-0
9,2008-10-25,Bayern München,VfL Wolfsburg,4-2,1-2
9,2008-10-25,FC Schalke 04,Arminia Bielefeld,0-0,0-0
9,2008-10-25,Hannover 96,Werder Bremen,1-1,1-1
9,2008-10-25,Energie Cottbus,Eintracht Frankfurt,2-3,2-1
9,2008-10-25,Bor. Mönchengladbach,Karlsruher SC,1-0,0-0
9,2008-10-26,VfB Stuttgart,VfL Bochum,2-0,0-0
9,2008-10-26,Borussia Dortmund,Hertha BSC,1-1,0-1
9,2008-10-26,1899 Hoffenheim,Hamburger SV,3-0,3-0
10,2008-10-28,Werder Bremen,Bayer Leverkusen,0-2,0-0
10,2008-10-28,VfL Wolfsburg,Bor. Mönchengladbach,3-0,1-0
10,2008-10-28,Karlsruher SC,FC Schalke 04,0-3,0-2
10,2008-10-28,Arminia Bielefeld,Energie Cottbus,1-1,0-1
10,2008-10-29,Hamburger SV,VfB Stuttgart,2-0,1-0
10,2008-10-29,Eintracht Frankfurt,Bayern München,1-2,0-0
10,2008-10-29,Hertha BSC,Hannover 96,3-0,0-0
10,2008-10-29,VfL Bochum,1899 Hoffenheim,1-3,1-0
10,2008-10-29,1. FC Köln,Borussia Dortmund,0-1,0-0
11,2008-10-31,Bayer Leverkusen,VfL Wolfsburg,2-0,0-0
11,2008-11-01,Bayern München,Arminia Bielefeld,3-1,1-1
11,2008-11-01,Werder Bremen,Hertha BSC,5-1,3-0
11,2008-11-01,VfB Stuttgart,1. FC Köln,1-3,0-1
11,2008-11-01,Hannover 96,Hamburger SV,3-0,2-0
11,2008-11-01,Energie Cottbus,FC Schalke 04,0-2,0-0
11,2008-11-01,1899 Hoffenheim,Karlsruher SC,4-1,1-1
11,2008-11-02,Borussia Dortmund,VfL Bochum,1-1,1-1
11,2008-11-02,Bor. Mönchengladbach,Eintracht Frankfurt,1-2,1-1
12,2008-11-07,1. FC Köln,Hannover 96,2-1,1-1
12,2008-11-08,Hamburger SV,Borussia Dortmund,2-1,2-0
12,2008-11-08,VfL Wolfsburg,Energie Cottbus,3-0,1-0
12,2008-11-08,Karlsruher SC,Bayer Leverkusen,3-3,1-3
12,2008-11-08,VfL Bochum,Werder Bremen,0-0,0-0
12,2008-11-08,Arminia Bielefeld,Bor. Mönchengladbach,0-2,0-1
12,2008-11-09,FC Schalke 04,Bayern München,1-2,1-2
12,2008-11-09,Eintracht Frankfurt,VfB Stuttgart,2-2,1-0
12,2008-11-09,Hertha BSC,1899 Hoffenheim,1-0,0-0
13,2008-11-14,Hannover 96,VfL Bochum,1-1,0-0
13,2008-11-15,VfB Stuttgart,Arminia Bielefeld,0-0,0-0
13,2008-11-15,Bayer Leverkusen,FC Schalke 04,2-1,2-0
