Round,Date,Team 1,FT,Team 2
1,Fri Sep 18 2020,1. FC Kaiserslautern,,Dynamo Dresden
1,Sat Sep 19 2020,Bayern München II,,Türkgücü München
1,Sat Sep 19 2020,FC Ingolstadt 04,,KFC Uerdingen
1,Sat Sep 19 2020,Hansa Rostock,,MSV Duisburg
1,Sat Sep 19 2020,SV Meppen,,TSV 1860 München
1,Sat Sep 19 2020,1. FC Magdeburg,,Hallescher FC
1,Sat Sep 19 2020,FSV Zwickau,,SpVgg Unterhaching
1,Sat Sep 19 2020,SV Wehen Wiesbaden,,SC Verl
1,Sat Sep 19 2020,VfB Lübeck,,1. FC Saarbrücken
1,Sat Sep 19 2020,SV Waldhof Mannheim,,FC Viktoria Köln
2,Fri Sep 25 2020,Dynamo Dresden,,SV Waldhof Mannheim
2,Fri Sep 25 2020,MSV Duisburg,,FSV Zwickau
2,Fri Sep 25 2020,SpVgg Unterhaching,,VfB Lübeck
2,Fri Sep 25 2020,FC Viktoria Köln,,SV Wehen Wiesbaden
2,Fri Sep 25 2020,1. FC Saarbrücken,,Hansa Rostock
2,Fri Sep 25 2020,SC Verl,,Bayern München II
2,Fri Sep 25 2020,Türkgücü München,,1. FC Kaiserslautern
2,Fri Sep 25 2020,TSV 1860 München,,1. FC Magdeburg
2,Fri Sep 25 2020,Hallescher FC,,FC Ingolstadt 04
2,Fri Sep 25 2020,KFC Uerdingen,,SV Meppen
3,Fri Oct 2 2020,Bayern München II,,Dynamo Dresden
3,Fri Oct 2 2020,SV Wehen Wiesbaden,,1. FC Kaiserslautern
3,Fri Oct 2 2020,Hansa Rostock,,KFC Uerdingen
3,Fri Oct 2 2020,SV Meppen,,SC Verl
3,Fri Oct 2 2020,1. FC Magdeburg,,FC Viktoria Köln
3,Fri Oct 2 2020,FSV Zwickau,,TSV 1860 München
3,Fri Oct 2 2020,1. FC Saarbrücken,,Hallescher FC
3,Fri Oct 2 2020,FC Ingolstadt 04,,SpVgg Unterhaching
3,Fri Oct 2 2020,SV Waldhof Mannheim,,Türkgücü München
3,Fri Oct 2 2020,VfB Lübeck,,MSV Duisburg
4,Fri Oct 9 2020,1. FC Kaiserslautern,,SV Waldhof Mannheim
4,Fri Oct 9 2020,MSV Duisburg,,1. FC Saarbrücken
4,Fri Oct 9 2020,TSV 1860 München,,VfB Lübeck
4,Fri Oct 9 2020,KFC Uerdingen,,Bayern München II
4,Fri Oct 9 2020,Hallescher FC,,FSV Zwickau
4,Fri Oct 9 2020,SC Verl,,Hansa Rostock
4,Fri Oct 9 2020,Türkgücü München,,SV Wehen Wiesbaden
4,Fri Oct 9 2020,SpVgg Unterhaching,,SV Meppen
4,Fri Oct 9 2020,FC Viktoria Köln,,FC Ingolstadt 04
4,Fri Oct 9 2020,Dynamo Dresden,,1. FC Magdeburg
5,Fri Oct 16 2020,1. FC Magdeburg,,Türkgücü München
5,Fri Oct 16 2020,Bayern München II,,1. FC Kaiserslautern
5,Fri Oct 16 2020,FC Ingolstadt 04,,SC Verl
5,Fri Oct 16 2020,MSV Duisburg,,Hallescher FC
5,Fri Oct 16 2020,Hansa Rostock,,TSV 1860 München
5,Fri Oct 16 2020,SV Meppen,,FC Viktoria Köln
5,Fri Oct 16 2020,VfB Lübeck,,Dynamo Dresden
5,Fri Oct 16 2020,SV Wehen Wiesbaden,,SV Waldhof Mannheim
5,Fri Oct 16 2020,FSV Zwickau,,KFC Uerdingen
5,Fri Oct 16 2020,1. FC Saarbrücken,,SpVgg Unterhaching
6,Tue Oct 20 2020,1. FC Kaiserslautern,,FC Ingolstadt 04
6,Tue Oct 20 2020,FC Viktoria Köln,,Bayern München II
6,Tue Oct 20 2020,Hallescher FC,,SV Meppen
6,Tue Oct 20 2020,SC Verl,,1. FC Magdeburg
6,Tue Oct 20 2020,Türkgücü München,,VfB Lübeck
6,Tue Oct 20 2020,Dynamo Dresden,,FSV Zwickau
6,Tue Oct 20 2020,TSV 1860 München,,1. FC Saarbrücken
6,Tue Oct 20 2020,SV Waldhof Mannheim,,Hansa Rostock
6,Tue Oct 20 2020,SpVgg Unterhaching,,MSV Duisburg
6,Tue Oct 20 2020,KFC Uerdingen,,SV Wehen Wiesbaden
7,Fri Oct 23 2020,SV Meppen,,1. FC Kaiserslautern
7,Fri Oct 23 2020,Bayern München II,,SV Waldhof Mannheim
7,Fri Oct 23 2020,FC Ingolstadt 04,,Dynamo Dresden
7,Fri Oct 23 2020,Hansa Rostock,,FC Viktoria Köln
7,Fri Oct 23 2020,FSV Zwickau,,Türkgücü München
7,Fri Oct 23 2020,1. FC Saarbrücken,,SC Verl
7,Fri Oct 23 2020,VfB Lübeck,,Hallescher FC
7,Fri Oct 23 2020,SpVgg Unterhaching,,TSV 1860 München
7,Fri Oct 23 2020,1. FC Magdeburg,,SV Wehen Wiesbaden
7,Fri Oct 23 2020,MSV Duisburg,,KFC Uerdingen
8,Fri Oct 30 2020,SC Verl,,FSV Zwickau
8,Fri Oct 30 2020,SV Wehen Wiesbaden,,Bayern München II
8,Fri Oct 30 2020,Dynamo Dresden,,SV Meppen
8,Fri Oct 30 2020,SV Waldhof Mannheim,,1. FC Magdeburg
8,Fri Oct 30 2020,FC Viktoria Köln,,VfB Lübeck
8,Fri Oct 30 2020,KFC Uerdingen,,1. FC Saarbrücken
8,Fri Oct 30 2020,Hallescher FC,,SpVgg Unterhaching
8,Fri Oct 30 2020,TSV 1860 München,,MSV Duisburg
8,Fri Oct 30 2020,1. FC Kaiserslautern,,Hansa Rostock
8,Fri Oct 30 2020,Türkgücü München,,FC Ingolstadt 04
9,Fri Nov 6 2020,MSV Duisburg,,FC Viktoria Köln
9,Fri Nov 6 2020,FC Ingolstadt 04,,SV Wehen Wiesbaden
9,Fri Nov 6 2020,Hansa Rostock,,Türkgücü München
9,Fri Nov 6 2020,SpVgg Unterhaching,,SC Verl
9,Fri Nov 6 2020,1. FC Magdeburg,,Bayern München II
9,Fri Nov 6 2020,FSV Zwickau,,1. FC Kaiserslautern
9,Fri Nov 6 2020,TSV 1860 München,,Hallescher FC
9,Fri Nov 6 2020,SV Meppen,,SV Waldhof Mannheim
9,Fri Nov 6 2020,VfB Lübeck,,KFC Uerdingen
9,Fri Nov 6 2020,1. FC Saarbrücken,,Dynamo Dresden
10,Fri Nov 13 2020,Bayern München II,,SV Meppen
10,Fri Nov 13 2020,SV Wehen Wiesbaden,,FSV Zwickau
10,Fri Nov 13 2020,Dynamo Dresden,,TSV 1860 München
10,Fri Nov 13 2020,1. FC Kaiserslautern,,1. FC Magdeburg
10,Fri Nov 13 2020,FC Viktoria Köln,,1. FC Saarbrücken
10,Fri Nov 13 2020,KFC Uerdingen,,SpVgg Unterhaching
10,Fri Nov 13 2020,Hallescher FC,,Hansa Rostock
10,Fri Nov 13 2020,SC Verl,,VfB Lübeck
10,Fri Nov 13 2020,Türkgücü München,,MSV Duisburg
10,Fri Nov 13 2020,SV Waldhof Mannheim,,FC Ingolstadt 04
11,Sat Nov 21 2020,VfB Lübeck,,Bayern München II
11,Sat Nov 21 2020,FC Ingolstadt 04,,1. FC Magdeburg
11,Sat Nov 21 2020,MSV Duisburg,,SC Verl
11,Sat Nov 21 2020,TSV 1860 München,,KFC Uerdingen
11,Sat Nov 21 2020,SV Meppen,,Türkgücü München
11,Sat Nov 21 2020,Hallescher FC,,1. FC Kaiserslautern
11,Sat Nov 21 2020,1. FC Saarbrücken,,SV Wehen Wiesbaden
11,Sat Nov 21 2020,Hansa Rostock,,Dynamo Dresden
