Round,Date,Team 1,FT,Team 2
1,Fri Sep 18 2020,Hamburger SV,2-1,Fortuna Düsseldorf
1,Fri Sep 18 2020,SSV Jahn Regensburg,1-1,1. FC Nürnberg
1,Sat Sep 19 2020,Hannover 96,2-0,Karlsruher SC
1,Sat Sep 19 2020,SV Sandhausen,3-2,SV Darmstadt 98
1,Sat Sep 19 2020,Würzburger Kickers,0-3,FC Erzgebirge Aue
1,Sun Sep 20 2020,1. FC Heidenheim,2-0,Eintracht Braunschweig
1,Sun Sep 20 2020,Holstein Kiel,1-0,SC Paderborn 07
1,Sun Sep 20 2020,SpVgg Greuther Fürth,1-1,VfL Osnabrück
1,Mon Sep 21 2020,VfL Bochum,2-2,FC St. Pauli
2,Fri Sep 25 2020,FC Erzgebirge Aue,1-1,SpVgg Greuther Fürth
2,Fri Sep 25 2020,VfL Osnabrück,2-1,Hannover 96
2,Sat Sep 26 2020,Fortuna Düsseldorf,1-0,Würzburger Kickers
2,Sat Sep 26 2020,SV Darmstadt 98,0-0,SSV Jahn Regensburg
2,Sat Sep 26 2020,Eintracht Braunschweig,0-0,Holstein Kiel
2,Sun Sep 27 2020,FC St. Pauli,4-2,1. FC Heidenheim
2,Sun Sep 27 2020,Karlsruher SC,0-1,VfL Bochum
2,Sun Sep 27 2020,1. FC Nürnberg,1-0,SV Sandhausen
2,Mon Sep 28 2020,SC Paderborn 07,3-4,Hamburger SV
3,Fri Oct 2 2020,VfL Bochum,0-0,VfL Osnabrück
3,Fri Oct 2 2020,SV Sandhausen,1-0,FC St. Pauli
3,Sat Oct 3 2020,1. FC Heidenheim,0-0,SC Paderborn 07
3,Sat Oct 3 2020,Hannover 96,4-1,Eintracht Braunschweig
3,Sat Oct 3 2020,SSV Jahn Regensburg,1-0,Karlsruher SC
3,Sun Oct 4 2020,Holstein Kiel,2-1,Fortuna Düsseldorf
3,Sun Oct 4 2020,Würzburger Kickers,2-2,SpVgg Greuther Fürth
3,Mon Oct 5 2020,1. FC Nürnberg,2-3,SV Darmstadt 98
4,Sat Oct 17 2020,SpVgg Greuther Fürth,0-1,Hamburger SV
4,Sat Oct 17 2020,Karlsruher SC,3-0,SV Sandhausen
4,Sat Oct 17 2020,Eintracht Braunschweig,2-1,VfL Bochum
4,Sun Oct 18 2020,Fortuna Düsseldorf,2-2,SSV Jahn Regensburg
4,Sun Oct 18 2020,SC Paderborn 07,1-0,Hannover 96
4,Sun Oct 18 2020,FC Erzgebirge Aue,2-1,1. FC Heidenheim
4,Sun Oct 18 2020,Würzburger Kickers,0-2,Holstein Kiel
4,Mon Oct 19 2020,FC St. Pauli,2-2,1. FC Nürnberg
3,Wed Oct 21 2020,Hamburger SV,3-0,FC Erzgebirge Aue
5,Fri Oct 23 2020,SSV Jahn Regensburg,3-0,Eintracht Braunschweig
5,Fri Oct 23 2020,1. FC Nürnberg,1-1,Karlsruher SC
