Round,Date,Team 1,FT,Team 2
1,Fri Jul 26 2019,VfB Stuttgart,2-1,Hannover 96
1,Sat Jul 27 2019,Dynamo Dresden,0-1,1. FC Nürnberg
1,Sat Jul 27 2019,Holstein Kiel,1-1,SV Sandhausen
1,Sat Jul 27 2019,VfL Osnabrück,1-3,1. FC Heidenheim
1,Sun Jul 28 2019,Hamburger SV,1-1,SV Darmstadt 98
1,Sun Jul 28 2019,SSV Jahn Regensburg,3-1,VfL Bochum
1,Sun Jul 28 2019,SV Wehen Wiesbaden,1-2,Karlsruher SC
1,Sun Jul 28 2019,SpVgg Greuther Fürth,0-2,FC Erzgebirge Aue
1,Mon Jul 29 2019,Arminia Bielefeld,1-1,FC St. Pauli
2,Fri Aug 2 2019,VfL Bochum,3-3,Arminia Bielefeld
2,Fri Aug 2 2019,SV Sandhausen,0-1,VfL Osnabrück
2,Fri Aug 2 2019,FC St. Pauli,1-3,SpVgg Greuther Fürth
2,Sat Aug 3 2019,Karlsruher SC,4-2,Dynamo Dresden
2,Sat Aug 3 2019,Hannover 96,1-1,SSV Jahn Regensburg
2,Sun Aug 4 2019,1. FC Heidenheim,2-2,VfB Stuttgart
2,Sun Aug 4 2019,FC Erzgebirge Aue,3-2,SV Wehen Wiesbaden
2,Sun Aug 4 2019,SV Darmstadt 98,2-0,Holstein Kiel
2,Mon Aug 5 2019,1. FC Nürnberg,0-4,Hamburger SV
3,Fri Aug 16 2019,SV Sandhausen,3-2,1. FC Nürnberg
3,Fri Aug 16 2019,Hamburger SV,1-0,VfL Bochum
3,Sat Aug 17 2019,Arminia Bielefeld,3-1,FC Erzgebirge Aue
3,Sat Aug 17 2019,SV Wehen Wiesbaden,0-3,Hannover 96
3,Sat Aug 17 2019,VfB Stuttgart,2-1,FC St. Pauli
3,Sun Aug 18 2019,SpVgg Greuther Fürth,1-0,SSV Jahn Regensburg
3,Sun Aug 18 2019,Dynamo Dresden,2-1,1. FC Heidenheim
3,Sun Aug 18 2019,Holstein Kiel,2-1,Karlsruher SC
3,Mon Aug 19 2019,VfL Osnabrück,4-0,SV Darmstadt 98
4,Fri Aug 23 2019,FC Erzgebirge Aue,0-0,VfB Stuttgart
4,Fri Aug 23 2019,SV Darmstadt 98,0-0,Dynamo Dresden
4,Sat Aug 24 2019,SSV Jahn Regensburg,1-3,Arminia Bielefeld
4,Sat Aug 24 2019,VfL Bochum,3-3,SV Wehen Wiesbaden
4,Sat Aug 24 2019,Hannover 96,1-1,SpVgg Greuther Fürth
4,Sun Aug 25 2019,1. FC Heidenheim,0-2,SV Sandhausen
4,Sun Aug 25 2019,1. FC Nürnberg,1-0,VfL Osnabrück
4,Sun Aug 25 2019,Karlsruher SC,2-4,Hamburger SV
4,Mon Aug 26 2019,FC St. Pauli,2-1,Holstein Kiel
5,Fri Aug 30 2019,SV Sandhausen,1-0,SV Darmstadt 98
5,Fri Aug 30 2019,1. FC Nürnberg,2-2,1. FC Heidenheim
5,Sat Aug 31 2019,Arminia Bielefeld,2-2,SpVgg Greuther Fürth
5,Sat Aug 31 2019,Dynamo Dresden,3-3,FC St. Pauli
5,Sat Aug 31 2019,SV Wehen Wiesbaden,0-5,SSV Jahn Regensburg
5,Sun Sep 1 2019,Holstein Kiel,1-1,FC Erzgebirge Aue
5,Sun Sep 1 2019,Hamburger SV,3-0,Hannover 96
5,Sun Sep 1 2019,VfL Osnabrück,3-0,Karlsruher SC
5,Mon Sep 2 2019,VfB Stuttgart,2-1,VfL Bochum
6,Fri Sep 13 2019,Karlsruher SC,1-0,SV Sandhausen
6,Fri Sep 13 2019,SpVgg Greuther Fürth,2-1,SV Wehen Wiesbaden
6,Sat Sep 14 2019,SSV Jahn Regensburg,2-3,VfB Stuttgart
6,Sat Sep 14 2019,Hannover 96,0-2,Arminia Bielefeld
6,Sat Sep 14 2019,1. FC Heidenheim,3-0,Holstein Kiel
6,Sun Sep 15 2019,SV Darmstadt 98,3-3,1. FC Nürnberg
6,Sun Sep 15 2019,VfL Bochum,2-2,Dynamo Dresden
6,Sun Sep 15 2019,FC Erzgebirge Aue,1-0,VfL Osnabrück
6,Mon Sep 16 2019,FC St. Pauli,2-0,Hamburger SV
7,Fri Sep 20 2019,Holstein Kiel,1-2,Hannover 96
7,Fri Sep 20 2019,1. FC Heidenheim,1-0,SV Darmstadt 98
7,Sat Sep 21 2019,SV Sandhausen,1-1,VfL Bochum
7,Sat Sep 21 2019,SV Wehen Wiesbaden,2-5,Arminia Bielefeld
7,Sat Sep 21 2019,1. FC Nürnberg,1-1,Karlsruher SC
7,Sat Sep 21 2019,VfB Stuttgart,2-0,SpVgg Greuther Fürth
7,Sun Sep 22 2019,Dynamo Dresden,2-1,SSV Jahn Regensburg
7,Sun Sep 22 2019,Hamburger SV,4-0,FC Erzgebirge Aue
7,Sun Sep 22 2019,VfL Osnabrück,1-1,FC St. Pauli
8,Fri Sep 27 2019,SV Wehen Wiesbaden,2-0,VfL Osnabrück
8,Fri Sep 27 2019,Arminia Bielefeld,0-1,VfB Stuttgart
8,Sat Sep 28 2019,Karlsruher SC,1-1,1. FC Heidenheim
8,Sat Sep 28 2019,VfL Bochum,2-2,SV Darmstadt 98
8,Sat Sep 28 2019,SSV Jahn Regensburg,2-2,Hamburger SV
8,Sun Sep 29 2019,FC Erzgebirge Aue,4-1,Dynamo Dresden
8,Sun Sep 29 2019,FC St. Pauli,2-0,SV Sandhausen
8,Sun Sep 29 2019,SpVgg Greuther Fürth,0-3,Holstein Kiel
8,Mon Sep 30 2019,Hannover 96,0-4,1. FC Nürnberg
9,Fri Oct 4 2019,VfB Stuttgart,1-2,SV Wehen Wiesbaden
9,Fri Oct 4 2019,SV Darmstadt 98,1-1,Karlsruher SC
9,Sat Oct 5 2019,SV Sandhausen,2-2,FC Erzgebirge Aue
9,Sat Oct 5 2019,Dynamo Dresden,0-2,Hannover 96
9,Sat Oct 5 2019,Hamburger SV,2-0,SpVgg Greuther Fürth
9,Sun Oct 6 2019,Holstein Kiel,1-2,SSV Jahn Regensburg
9,Sun Oct 6 2019,1. FC Heidenheim,2-3,VfL Bochum
9,Sun Oct 6 2019,1. FC Nürnberg,1-1,FC St. Pauli
9,Mon Oct 7 2019,VfL Osnabrück,0-1,Arminia Bielefeld
10,Fri Oct 18 2019,FC Erzgebirge Aue,4-3,1. FC Nürnberg
10,Fri Oct 18 2019,SpVgg Greuther Fürth,2-0,Dynamo Dresden
10,Sat Oct 19 2019,SV Wehen Wiesbaden,0-0,1. FC Heidenheim
10,Sat Oct 19 2019,FC St. Pauli,0-1,SV Darmstadt 98
10,Sat Oct 19 2019,SSV Jahn Regensburg,1-0,SV Sandhausen
10,Sun Oct 20 2019,VfB Stuttgart,0-1,Holstein Kiel
10,Sun Oct 20 2019,VfL Bochum,3-3,Karlsruher SC
10,Sun Oct 20 2019,Hannover 96,0-0,VfL Osnabrück
10,Mon Oct 21 2019,Arminia Bielefeld,1-1,Hamburger SV
11,Fri Oct 25 2019,Holstein Kiel,2-1,VfL Bochum
11,Fri Oct 25 2019,SV Darmstadt 98,1-0,FC Erzgebirge Aue
11,Sat Oct 26 2019,Dynamo Dresden,0-1,Arminia Bielefeld
11,Sat Oct 26 2019,Karlsruher SC,3-3,Hannover 96
11,Sat Oct 26 2019,Hamburger SV,6-2,VfB Stuttgart
11,Sun Oct 27 2019,VfL Osnabrück,0-0,SpVgg Greuther Fürth
11,Sun Oct 27 2019,1. FC Nürnberg,1-1,SSV Jahn Regensburg
11,Sun Oct 27 2019,1. FC Heidenheim,1-0,FC St. Pauli
11,Mon Oct 28 2019,SV Sandhausen,0-0,SV Wehen Wiesbaden
12,Fri Nov 1 2019,Hannover 96,1-1,SV Sandhausen
12,Fri Nov 1 2019,SSV Jahn Regensburg,3-3,VfL Osnabrück
12,Sat Nov 2 2019,SpVgg Greuther Fürth,3-1,SV Darmstadt 98
12,Sat Nov 2 2019,FC St. Pauli,2-2,Karlsruher SC
12,Sat Nov 2 2019,FC Erzgebirge Aue,1-1,1. FC Heidenheim
12,Sun Nov 3 2019,SV Wehen Wiesbaden,1-1,Hamburger SV
12,Sun Nov 3 2019,Arminia Bielefeld,2-1,Holstein Kiel
12,Sun Nov 3 2019,VfB Stuttgart,3-1,Dynamo Dresden
12,Mon Nov 4 2019,VfL Bochum,3-1,1. FC Nürnberg
13,Fri Nov 8 2019,Dynamo Dresden,1-0,SV Wehen Wiesbaden
13,Fri Nov 8 2019,FC St. Pauli,1-1,VfL Bochum
13,Sat Nov 9 2019,SV Sandhausen,3-2,SpVgg Greuther Fürth
13,Sat Nov 9 2019,Holstein Kiel,1-1,Hamburger SV
13,Sat Nov 9 2019,VfL Osnabrück,1-0,VfB Stuttgart
13,Sun Nov 10 2019,1. FC Heidenheim,4-0,Hannover 96
13,Sun Nov 10 2019,1. FC Nürnberg,1-5,Arminia Bielefeld
13,Sun Nov 10 2019,SV Darmstadt 98,2-2,SSV Jahn Regensburg
13,Mon Nov 11 2019,Karlsruher SC,1-1,FC Erzgebirge Aue
14,Fri Nov 22 2019,FC Erzgebirge Aue,3-1,FC St. Pauli
14,Fri Nov 22 2019,VfL Bochum,1-1,VfL Osnabrück
14,Sat Nov 23 2019,SV Wehen Wiesbaden,3-6,Holstein Kiel
14,Sat Nov 23 2019,Hamburger SV,2-1,Dynamo Dresden
14,Sat Nov 23 2019,Arminia Bielefeld,1-1,SV Sandhausen
14,Sun Nov 24 2019,SSV Jahn Regensburg,3-1,1. FC Heidenheim
14,Sun Nov 24 2019,SpVgg Greuther Fürth,0-0,1. FC Nürnberg
14,Sun Nov 24 2019,VfB Stuttgart,3-0,Karlsruher SC
14,Mon Nov 25 2019,Hannover 96,1-2,SV Darmstadt 98
15,Fri Nov 29 2019,Karlsruher SC,4-1,SSV Jahn Regensburg
15,Fri Nov 29 2019,VfL Osnabrück,2-1,Hamburger SV
15,Sat Nov 30 2019,1. FC Nürnberg,0-2,SV Wehen Wiesbaden
15,Sat Nov 30 2019,FC St. Pauli,0-1,Hannover 96
15,Sat Nov 30 2019,VfL Bochum,2-0,FC Erzgebirge Aue
15,Sat Nov 30 2019,Dynamo Dresden,1-2,Holstein Kiel
15,Sun Dec 1 2019,SV Darmstadt 98,1-3,Arminia Bielefeld
15,Sun Dec 1 2019,SV Sandhausen,2-1,VfB Stuttgart
15,Sun Dec 1 2019,1. FC Heidenheim,1-0,SpVgg Greuther Fürth
16,Fri Dec 6 2019,Arminia Bielefeld,2-2,Karlsruher SC
16,Fri Dec 6 2019,Hamburger SV,0-1,1. FC Heidenheim
16,Sat Dec 7 2019,SpVgg Greuther Fürth,3-1,VfL Bochum
16,Sat Dec 7 2019,Holstein Kiel,2-4,VfL Osnabrück
16,Sat Dec 7 2019,Hannover 96,3-2,FC Erzgebirge Aue
16,Sun Dec 8 2019,SV Wehen Wiesbaden,0-0,SV Darmstadt 98
16,Sun Dec 8 2019,Dynamo Dresden,1-1,SV Sandhausen
16,Sun Dec 8 2019,SSV Jahn Regensburg,1-0,FC St. Pauli
16,Mon Dec 9 2019,VfB Stuttgart,3-1,1. FC Nürnberg
17,Fri Dec 13 2019,VfL Bochum,2-1,Hannover 96
17,Fri Dec 13 2019,FC Erzgebirge Aue,1-0,SSV Jahn Regensburg
17,Sat Dec 14 2019,1. FC Heidenheim,0-0,Arminia Bielefeld
17,Sat Dec 14 2019,Karlsruher SC,1-5,SpVgg Greuther Fürth
17,Sat Dec 14 2019,FC St. Pauli,3-1,SV Wehen Wiesbaden
17,Sun Dec 15 2019,1. FC Nürnberg,2-2,Holstein Kiel
17,Sun Dec 15 2019,VfL Osnabrück,3-0,Dynamo Dresden
17,Sun Dec 15 2019,SV Sandhausen,1-1,Hamburger SV
17,Mon Dec 16 2019,SV Darmstadt 98,1-1,VfB Stuttgart
18,Fri Dec 20 2019,Karlsruher SC,0-1,SV Wehen Wiesbaden
18,Fri Dec 20 2019,1. FC Nürnberg,2-0,Dynamo Dresden
