Round,Date,Team 1,FT,Team 2
1,Fri Aug 16 2019,Bayern München,2-2,Hertha BSC
1,Sat Aug 17 2019,Werder Bremen,1-3,Fortuna Düsseldorf
1,Sat Aug 17 2019,SC Freiburg,3-0,1. FSV Mainz 05
1,Sat Aug 17 2019,Bayer 04 Leverkusen,3-2,SC Paderborn 07
1,Sat Aug 17 2019,Borussia Dortmund,5-1,FC Augsburg
1,Sat Aug 17 2019,VfL Wolfsburg,2-1,1. FC Köln
1,Sat Aug 17 2019,Bor. Mönchengladbach,0-0,FC Schalke 04
1,Sun Aug 18 2019,Eintracht Frankfurt,1-0,TSG 1899 Hoffenheim
1,Sun Aug 18 2019,1. FC Union Berlin,0-4,RB Leipzig
2,Fri Aug 23 2019,1. FC Köln,1-3,Borussia Dortmund
2,Sat Aug 24 2019,Fortuna Düsseldorf,1-3,Bayer 04 Leverkusen
2,Sat Aug 24 2019,1. FSV Mainz 05,1-3,Bor. Mönchengladbach
2,Sat Aug 24 2019,FC Augsburg,1-1,1. FC Union Berlin
2,Sat Aug 24 2019,SC Paderborn 07,1-3,SC Freiburg
2,Sat Aug 24 2019,TSG 1899 Hoffenheim,3-2,Werder Bremen
2,Sat Aug 24 2019,FC Schalke 04,0-3,Bayern München
2,Sun Aug 25 2019,RB Leipzig,2-1,Eintracht Frankfurt
2,Sun Aug 25 2019,Hertha BSC,0-3,VfL Wolfsburg
3,Fri Aug 30 2019,Bor. Mönchengladbach,1-3,RB Leipzig
3,Sat Aug 31 2019,FC Schalke 04,3-0,Hertha BSC
3,Sat Aug 31 2019,SC Freiburg,1-2,1. FC Köln
3,Sat Aug 31 2019,Bayer 04 Leverkusen,0-0,TSG 1899 Hoffenheim
3,Sat Aug 31 2019,Bayern München,6-1,1. FSV Mainz 05
3,Sat Aug 31 2019,VfL Wolfsburg,1-1,SC Paderborn 07
3,Sat Aug 31 2019,1. FC Union Berlin,3-1,Borussia Dortmund
3,Sun Sep 1 2019,Werder Bremen,3-2,FC Augsburg
3,Sun Sep 1 2019,Eintracht Frankfurt,2-1,Fortuna Düsseldorf
4,Fri Sep 13 2019,Fortuna Düsseldorf,1-1,VfL Wolfsburg
4,Sat Sep 14 2019,1. FC Köln,0-1,Bor. Mönchengladbach
4,Sat Sep 14 2019,Borussia Dortmund,4-0,Bayer 04 Leverkusen
4,Sat Sep 14 2019,1. FSV Mainz 05,2-1,Hertha BSC
4,Sat Sep 14 2019,1. FC Union Berlin,1-2,Werder Bremen
4,Sat Sep 14 2019,FC Augsburg,2-1,Eintracht Frankfurt
4,Sat Sep 14 2019,RB Leipzig,1-1,Bayern München
4,Sun Sep 15 2019,TSG 1899 Hoffenheim,0-3,SC Freiburg
4,Sun Sep 15 2019,SC Paderborn 07,1-5,FC Schalke 04
5,Fri Sep 20 2019,FC Schalke 04,2-1,1. FSV Mainz 05
5,Sat Sep 21 2019,SC Freiburg,1-1,FC Augsburg
5,Sat Sep 21 2019,Bayer 04 Leverkusen,2-0,1. FC Union Berlin
5,Sat Sep 21 2019,Bayern München,4-0,1. FC Köln
5,Sat Sep 21 2019,Hertha BSC,2-1,SC Paderborn 07
5,Sat Sep 21 2019,Werder Bremen,0-3,RB Leipzig
5,Sun Sep 22 2019,Bor. Mönchengladbach,2-1,Fortuna Düsseldorf
5,Sun Sep 22 2019,Eintracht Frankfurt,2-2,Borussia Dortmund
5,Mon Sep 23 2019,VfL Wolfsburg,1-1,TSG 1899 Hoffenheim
6,Fri Sep 27 2019,1. FC Union Berlin,1-2,Eintracht Frankfurt
6,Sat Sep 28 2019,1. FSV Mainz 05,0-1,VfL Wolfsburg
6,Sat Sep 28 2019,FC Augsburg,0-3,Bayer 04 Leverkusen
6,Sat Sep 28 2019,SC Paderborn 07,2-3,Bayern München
6,Sat Sep 28 2019,TSG 1899 Hoffenheim,0-3,Bor. Mönchengladbach
