Round,Date,Team 1,FT,Team 2
1,Fri Jul 19 2019,TSV 1860 München,1-1,Preußen Münster
1,Sat Jul 20 2019,Hansa Rostock,3-3,FC Viktoria Köln
1,Sat Jul 20 2019,SV Meppen,0-2,FSV Zwickau
1,Sat Jul 20 2019,1. FC Kaiserslautern,1-1,SpVgg Unterhaching
1,Sat Jul 20 2019,MSV Duisburg,4-1,SG Großaspach
1,Sat Jul 20 2019,Würzburger Kickers,3-1,Bayern München II
1,Sat Jul 20 2019,1. FC Magdeburg,2-4,Eintracht Braunschweig
1,Sun Jul 21 2019,Chemnitzer FC,1-1,SV Waldhof Mannheim
1,Sun Jul 21 2019,KFC Uerdingen,1-0,Hallescher FC
1,Mon Jul 22 2019,FC Carl Zeiss Jena,1-2,FC Ingolstadt 04
2,Fri Jul 26 2019,Bayern München II,2-1,KFC Uerdingen
2,Sat Jul 27 2019,SV Waldhof Mannheim,0-0,SV Meppen
2,Sat Jul 27 2019,SpVgg Unterhaching,5-4,Würzburger Kickers
2,Sat Jul 27 2019,Hallescher FC,1-0,Hansa Rostock
2,Sat Jul 27 2019,Preußen Münster,2-0,FC Carl Zeiss Jena
2,Sat Jul 27 2019,FC Ingolstadt 04,3-2,MSV Duisburg
2,Sat Jul 27 2019,SG Großaspach,1-3,1. FC Kaiserslautern
2,Sat Jul 27 2019,Eintracht Braunschweig,2-1,TSV 1860 München
2,Sun Jul 28 2019,FC Viktoria Köln,3-2,Chemnitzer FC
2,Sun Jul 28 2019,FSV Zwickau,0-0,1. FC Magdeburg
3,Tue Jul 30 2019,FC Carl Zeiss Jena,0-2,Eintracht Braunschweig
3,Tue Jul 30 2019,Würzburger Kickers,0-3,SG Großaspach
3,Tue Jul 30 2019,KFC Uerdingen,2-2,SpVgg Unterhaching
3,Tue Jul 30 2019,Hansa Rostock,2-1,Bayern München II
3,Tue Jul 30 2019,1. FC Kaiserslautern,0-0,FC Ingolstadt 04
3,Wed Jul 31 2019,TSV 1860 München,3-0,FSV Zwickau
3,Wed Jul 31 2019,FC Viktoria Köln,0-2,Hallescher FC
3,Wed Jul 31 2019,Chemnitzer FC,2-4,SV Meppen
3,Wed Jul 31 2019,MSV Duisburg,2-0,Preußen Münster
3,Wed Jul 31 2019,1. FC Magdeburg,1-1,SV Waldhof Mannheim
